canonical_name,entity_class,bie_operation_type,parent_native_entity,dataset,recipient_name,recipient_state,match_method,confidence_tier,tier_rationale,n_transactions,obligations_usd,fiscal_years,uei,duns_internal_only,ein,built_date,cedar_uid
First Mesa Elementary School,BIE School,tribally_controlled,,federal_funding,FIRST MESA ELEMENTARY SCHOOL,AZ,exact,B,"Name match against the IHS/BIE roster entity, guarded by trap-word, organisation-type and state checks. Tier B: the identifier is not independently confirmed against SAM/IRS for this entity.",101,26258952.36,2015-2023,L92CPWZS9615,079737213,,2026-08-06,CE-000EK-RV
Chief Leschi Schools,BIE School,tribally_controlled,,federal_funding,CHIEF LESCHI SCHOOLS,WA,exact,B,"Name match against the IHS/BIE roster entity, guarded by trap-word, organisation-type and state checks. Tier B: the identifier is not independently confirmed against SAM/IRS for this entity.",209,140705098.69,2012-2023,LCC8JBMGGND5,835499385,,2026-08-06,CE-000DN-ZX
Hopi Junior Senior High School,BIE School,tribally_controlled,CE-00153-F4|Hopi,federal_funding,HOPI JUNIOR/SENIOR HIGH SCHOOL INC,AZ,core,B,"Name match against the IHS/BIE roster entity, guarded by trap-word, organisation-type and state checks. Tier B: the identifier is not independently confirmed against SAM/IRS for this entity.",204,129670680.19,2008-2023,R83DXCB1KPT1,619844715,,2026-08-06,CE-000EX-MN
Little Singer Community School,BIE School,tribally_controlled,,federal_funding,LITTLE SINGER COMMUNITY SCHOOL BOARD INC,AZ,alias,B,"Name match against the IHS/BIE roster entity, guarded by trap-word, organisation-type and state checks. Tier B: the identifier is not independently confirmed against SAM/IRS for this entity.",145,51911544.75,2013-2023,H9Q4XMFL9K13,179480660,,2026-08-06,CE-000FP-FP
Hunters Point Boarding School,BIE School,tribally_controlled,,federal_funding,HUNTERS POINT BOARDING SCHOOL,AZ,exact,B,"Name match against the IHS/BIE roster entity, guarded by trap-word, organisation-type and state checks. Tier B: the identifier is not independently confirmed against SAM/IRS for this entity.",156,38608957.68,2013-2023,L5NEAD8CGU29,962981820,,2026-08-06,CE-000EV-83
Ohkay Owingeh Community School,BIE School,tribally_controlled,CE-0017V-9W|Ohkay Owingeh,federal_funding,OHKAY OWINGEH COMMUNITY SCHOOL,NM,exact,B,"Name match against the IHS/BIE roster entity, guarded by trap-word, organisation-type and state checks. Tier B: the identifier is not independently confirmed against SAM/IRS for this entity.",63,8822188.0,2019-2023,WFFPJ522KGN8,079816295,,2026-08-06,CE-000ER-PR
Pinon Community School,BIE School,tribally_controlled,,federal_funding,PINON COMMUNITY SCHOOL INC,AZ,core,B,"Name match against the IHS/BIE roster entity, guarded by trap-word, organisation-type and state checks. Tier B: the identifier is not independently confirmed against SAM/IRS for this entity.",155,32307974.61,2013-2023,MRH3ZPAR46E5,159420728,,2026-08-06,CE-000GN-ED
Kha'p'o Community School,BIE School,tribally_controlled,,federal_funding,KHA'P'O COMMUNITY SCHOOL,NM,exact,B,"Name match against the IHS/BIE roster entity, guarded by trap-word, organisation-type and state checks. Tier B: the identifier is not independently confirmed against SAM/IRS for this entity.",97,19578781.28,2016-2023,FBQHNLRA6A19,080269239,,2026-08-06,CE-000FB-D3
Lac Courte Oreilles Ojibwe School,BIE School,tribally_controlled,CE-00163-MM|Lac Courte Oreilles,federal_funding,LAC COURTE OREILLES OJIBWE SCHOOLS,WI,alias,B,"Name match against the IHS/BIE roster entity, guarded by trap-word, organisation-type and state checks. Tier B: the identifier is not independently confirmed against SAM/IRS for this entity.",149,81431325.81,2014-2023,LNKDANG6ERK8,047396924,,2026-08-06,CE-000FF-57
Hopi Junior Senior High School,BIE School,tribally_controlled,CE-00153-F4|Hopi,faads_all_agencies,HOPI JUNIOR/SENIOR HIGH SCHOOL INC,AZ,core,B,"Name match against the IHS/BIE roster entity, guarded by trap-word, organisation-type and state checks. Tier B: the identifier is not independently confirmed against SAM/IRS for this entity.",6,131926.0,2007-2007,R83DXCB1KPT1,619844715,,2026-08-06,CE-000EX-MN
