schedule_c_row_id,ein,object_id,taxpayer_name_as_filed,return_type,tax_period,tax_year,index_year,cedar_entity_id,cedar_entity_name,cedar_entity_class,entity_link_tier,entity_link_basis,entity_link_refusal_reason,record_scope_basis,inclusion_basis,matched_terms,schedule_c_present,reporting_regime,reporting_regime_basis,election_501h,election_501h_basis,total_lobbying_usd,direct_lobbying_usd,grassroots_lobbying_usd,nonelecting_lobbying_usd,lobbying_nontaxable_ceiling_usd,grassroots_nontaxable_ceiling_usd,exempt_purpose_expenditure_usd,political_expenditure_usd,section_527_amount_usd,dues_received_usd,dues_lobbying_political_usd,method_volunteers,method_paid_staff,method_media,method_mailings,method_publications,method_grants,method_direct_contact,method_rallies,method_other,lobbying_usd_headline,lobbying_usd_basis,event_class,channel,is_lobbying,rule_basis,source_url,source_object_url,parse_status,confidence_tier,built_date,cedar_uid
SCHEDC-010514750-201731359349301423,010514750,201731359349301423,PENOBSCOT COMMUNITY HEALTH CENTER,990,201612,2016,2017,CE-0018D-TE,Penobscot,tribe,B,resolver_containment,,ADR-010: the EIN on this return resolves to one Cedar entity in np_orgs.csv.,named_entity,010514750,1,SCHEDULE_C_FILED_NO_PART_II_FIGURES,Schedule C is attached but neither Part II-A nor Part II-B carries a figure. Filed and zero is a reported fact and is not the same as not filed.,0,"derived: Schedule C Part II-B completed, the non-electing regime",,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,no lobbying figure on this return; reporting_regime says why,ADVOCACY,SELF_REPORTED_LOBBYING_EXPENDITURE,0,"Retrieved fact only, transcribed from the filer's own IRS e-file XML. This row records what the organisation REPORTED on Schedule C for one return period: whether it filed the schedule, under which regime, and the dollar figures it entered. It asserts no position, no target and no outcome. Schedule C lobbying is NOT LDA lobbying and the two must never be summed: is_lobbying=0 records that this row is outside the LDA regime, not that no lobbying occurred.",https://apps.irs.gov/pub/epostcard/990/xml/2017/index_2017.csv,https://s3.amazonaws.com/irs-form-990/201731359349301423_public.xml,OK,A,2026-09-02,CE-0018D-TE
SCHEDC-410785161-201712239349301656,410785161,201712239349301656,MILLE LACS HEALTH SYSTEM,990,201609,2016,2017,CE-000QG-K0,Mille Lacs,native org,B,resolver_containment,,ADR-010: the filer is a named Cedar entity AND it is a Native organisation advocating for a constituency rather than for one tribe. cedar_entity_id names the filer; record_scope says who the filing is for.,named_entity,410785161,1,NON_ELECTING_PART_II_B,"Part II-B is completed. A non-electing filer reports one total and yes/no activity checkboxes; the form has no grassroots/direct split, so those cells are blank because the line does not exist, not because the read failed.",0,"derived: Schedule C Part II-B completed, the non-electing regime",,,,2265,,,,,,,,0,0,0,0,0,0,0,0,1,2265,Schedule C Part II-B total,ADVOCACY,SELF_REPORTED_LOBBYING_EXPENDITURE,0,"Retrieved fact only, transcribed from the filer's own IRS e-file XML. This row records what the organisation REPORTED on Schedule C for one return period: whether it filed the schedule, under which regime, and the dollar figures it entered. It asserts no position, no target and no outcome. Schedule C lobbying is NOT LDA lobbying and the two must never be summed: is_lobbying=0 records that this row is outside the LDA regime, not that no lobbying occurred.",https://apps.irs.gov/pub/epostcard/990/xml/2017/index_2017.csv,https://s3.amazonaws.com/irs-form-990/201712239349301656_public.xml,OK,A,2026-09-02,CE-000QG-K0
SCHEDC-410785161-202132229349301703,410785161,202132229349301703,MILLE LACS HEALTH SYSTEM,990,202009,2020,2021,CE-000QG-K0,Mille Lacs,native org,B,resolver_containment,,ADR-010: the filer is a named Cedar entity AND it is a Native organisation advocating for a constituency rather than for one tribe. cedar_entity_id names the filer; record_scope says who the filing is for.,named_entity,410785161,1,NON_ELECTING_PART_II_B,"Part II-B is completed. A non-electing filer reports one total and yes/no activity checkboxes; the form has no grassroots/direct split, so those cells are blank because the line does not exist, not because the read failed.",0,"derived: Schedule C Part II-B completed, the non-electing regime",,,,2635,,,,,,,,0,0,0,0,0,0,0,0,1,2635,Schedule C Part II-B total,ADVOCACY,SELF_REPORTED_LOBBYING_EXPENDITURE,0,"Retrieved fact only, transcribed from the filer's own IRS e-file XML. This row records what the organisation REPORTED on Schedule C for one return period: whether it filed the schedule, under which regime, and the dollar figures it entered. It asserts no position, no target and no outcome. Schedule C lobbying is NOT LDA lobbying and the two must never be summed: is_lobbying=0 records that this row is outside the LDA regime, not that no lobbying occurred.",https://apps.irs.gov/pub/epostcard/990/xml/2021/index_2021.csv,https://s3.amazonaws.com/irs-form-990/202132229349301703_public.xml,OK,A,2026-09-02,CE-000QG-K0
SCHEDC-410785161-202532279349300143,410785161,202532279349300143,MILLE LACS HEALTH SYSTEM,990,202409,2024,2025,CE-000QG-K0,Mille Lacs,native org,B,resolver_containment,,ADR-010: the filer is a named Cedar entity AND it is a Native organisation advocating for a constituency rather than for one tribe. cedar_entity_id names the filer; record_scope says who the filing is for.,named_entity,410785161,1,NON_ELECTING_PART_II_B,"Part II-B is completed. A non-electing filer reports one total and yes/no activity checkboxes; the form has no grassroots/direct split, so those cells are blank because the line does not exist, not because the read failed.",0,"derived: Schedule C Part II-B completed, the non-electing regime",,,,2798,,,,,,,,0,0,0,0,0,0,0,0,1,2798,Schedule C Part II-B total,ADVOCACY,SELF_REPORTED_LOBBYING_EXPENDITURE,0,"Retrieved fact only, transcribed from the filer's own IRS e-file XML. This row records what the organisation REPORTED on Schedule C for one return period: whether it filed the schedule, under which regime, and the dollar figures it entered. It asserts no position, no target and no outcome. Schedule C lobbying is NOT LDA lobbying and the two must never be summed: is_lobbying=0 records that this row is outside the LDA regime, not that no lobbying occurred.",https://apps.irs.gov/pub/epostcard/990/xml/2025/index_2025.csv,https://s3.amazonaws.com/irs-form-990/202532279349300143_public.xml,OK,A,2026-09-02,CE-000QG-K0
SCHEDC-471377524-202211309349301566,471377524,202211309349301566,CHICKASAW INKANA FOUNDATION,990,202112,2021,2022,CE-00135-HP,The Chickasaw Nation,tribe,B,resolver_containment;state_conflict:MS!=OK,,ADR-010: the EIN on this return resolves to one Cedar entity in np_orgs.csv.,named_entity,471377524,1,NON_ELECTING_PART_II_B,"Part II-B is completed. A non-electing filer reports one total and yes/no activity checkboxes; the form has no grassroots/direct split, so those cells are blank because the line does not exist, not because the read failed.",0,"derived: Schedule C Part II-B completed, the non-electing regime",,,,30000,,,,,,,,0,0,0,0,0,0,0,0,1,30000,Schedule C Part II-B total,ADVOCACY,SELF_REPORTED_LOBBYING_EXPENDITURE,0,"Retrieved fact only, transcribed from the filer's own IRS e-file XML. This row records what the organisation REPORTED on Schedule C for one return period: whether it filed the schedule, under which regime, and the dollar figures it entered. It asserts no position, no target and no outcome. Schedule C lobbying is NOT LDA lobbying and the two must never be summed: is_lobbying=0 records that this row is outside the LDA regime, not that no lobbying occurred.",https://apps.irs.gov/pub/epostcard/990/xml/2022/index_2022.csv,https://s3.amazonaws.com/irs-form-990/202211309349301566_public.xml,OK,A,2026-09-02,CE-00135-HP
SCHEDC-920094184-201712279349302761,920094184,201712279349302761,COOK INLET TRIBAL COUNCIL INC,990,201609,2016,2017,CE-0008F-2Q,Council Native Corporation,ANC,B,resolver_containment,,ADR-010: the EIN on this return resolves to one Cedar entity in np_orgs.csv.,named_entity,920094184,1,NON_ELECTING_PART_II_B,"Part II-B is completed. A non-electing filer reports one total and yes/no activity checkboxes; the form has no grassroots/direct split, so those cells are blank because the line does not exist, not because the read failed.",1,"derived: Schedule C Part II-A completed, which only a 501(h) electing filer does",,,,58000,,,,,,,,0,0,0,0,0,0,0,0,1,58000,Schedule C Part II-B total,ADVOCACY,SELF_REPORTED_LOBBYING_EXPENDITURE,0,"Retrieved fact only, transcribed from the filer's own IRS e-file XML. This row records what the organisation REPORTED on Schedule C for one return period: whether it filed the schedule, under which regime, and the dollar figures it entered. It asserts no position, no target and no outcome. Schedule C lobbying is NOT LDA lobbying and the two must never be summed: is_lobbying=0 records that this row is outside the LDA regime, not that no lobbying occurred.",https://apps.irs.gov/pub/epostcard/990/xml/2017/index_2017.csv,https://s3.amazonaws.com/irs-form-990/201712279349302761_public.xml,OK,A,2026-09-02,CE-0008F-2Q
SCHEDC-920094184-202121939349301192,920094184,202121939349301192,Cook Inlet Tribal Council Inc,990,201909,2019,2021,CE-0008F-2Q,Council Native Corporation,ANC,B,resolver_containment,,ADR-010: the EIN on this return resolves to one Cedar entity in np_orgs.csv.,named_entity,920094184,1,NON_ELECTING_PART_II_B,"Part II-B is completed. A non-electing filer reports one total and yes/no activity checkboxes; the form has no grassroots/direct split, so those cells are blank because the line does not exist, not because the read failed.",1,"derived: Schedule C Part II-A completed, which only a 501(h) electing filer does",,,,34500,,,,,,,,0,1,0,0,0,0,0,0,1,34500,Schedule C Part II-B total,ADVOCACY,SELF_REPORTED_LOBBYING_EXPENDITURE,0,"Retrieved fact only, transcribed from the filer's own IRS e-file XML. This row records what the organisation REPORTED on Schedule C for one return period: whether it filed the schedule, under which regime, and the dollar figures it entered. It asserts no position, no target and no outcome. Schedule C lobbying is NOT LDA lobbying and the two must never be summed: is_lobbying=0 records that this row is outside the LDA regime, not that no lobbying occurred.",https://apps.irs.gov/pub/epostcard/990/xml/2021/index_2021.csv,https://s3.amazonaws.com/irs-form-990/202121939349301192_public.xml,OK,A,2026-09-02,CE-0008F-2Q
SCHEDC-920094184-202402259349303110,920094184,202402259349303110,Cook Inlet Tribal Council,990,202309,2023,2024,CE-0008F-2Q,Council Native Corporation,ANC,B,resolver_containment,,ADR-010: the EIN on this return resolves to one Cedar entity in np_orgs.csv.,named_entity,920094184,1,NON_ELECTING_PART_II_B,"Part II-B is completed. A non-electing filer reports one total and yes/no activity checkboxes; the form has no grassroots/direct split, so those cells are blank because the line does not exist, not because the read failed.",0,"derived: Schedule C Part II-B completed, the non-electing regime",,,,172345,,,,,,,,0,1,0,0,0,0,0,0,1,172345,Schedule C Part II-B total,ADVOCACY,SELF_REPORTED_LOBBYING_EXPENDITURE,0,"Retrieved fact only, transcribed from the filer's own IRS e-file XML. This row records what the organisation REPORTED on Schedule C for one return period: whether it filed the schedule, under which regime, and the dollar figures it entered. It asserts no position, no target and no outcome. Schedule C lobbying is NOT LDA lobbying and the two must never be summed: is_lobbying=0 records that this row is outside the LDA regime, not that no lobbying occurred.",https://apps.irs.gov/pub/epostcard/990/xml/2024/index_2024.csv,https://s3.amazonaws.com/irs-form-990/202402259349303110_public.xml,OK,A,2026-09-02,CE-0008F-2Q
SCHEDC-920162721-201912279349303346,920162721,201912279349303346,ALASKA NATIVE TRIBAL HEALTH CONSORTIUM,990,201809,2018,2019,CE-000RZ-J7,Alaska Native Tribal Health Consortium,native org,A,resolver_exact;name match clears placename and civic flags,,ADR-010: the filer is a named Cedar entity AND it is a Native organisation advocating for a constituency rather than for one tribe. cedar_entity_id names the filer; record_scope says who the filing is for.,named_entity,920162721,1,NON_ELECTING_PART_II_B,"Part II-B is completed. A non-electing filer reports one total and yes/no activity checkboxes; the form has no grassroots/direct split, so those cells are blank because the line does not exist, not because the read failed.",1,"derived: Schedule C Part II-A completed, which only a 501(h) electing filer does",,,,190000,,,,,,,,0,1,0,0,1,0,1,0,1,190000,Schedule C Part II-B total,ADVOCACY,SELF_REPORTED_LOBBYING_EXPENDITURE,0,"Retrieved fact only, transcribed from the filer's own IRS e-file XML. This row records what the organisation REPORTED on Schedule C for one return period: whether it filed the schedule, under which regime, and the dollar figures it entered. It asserts no position, no target and no outcome. Schedule C lobbying is NOT LDA lobbying and the two must never be summed: is_lobbying=0 records that this row is outside the LDA regime, not that no lobbying occurred.",https://apps.irs.gov/pub/epostcard/990/xml/2019/index_2019.csv,https://s3.amazonaws.com/irs-form-990/201912279349303346_public.xml,OK,A,2026-09-02,CE-000RZ-J7
SCHEDC-920162721-202342239349301774,920162721,202342239349301774,ALASKA NATIVE TRIBAL HEALTH CONSORTIUM,990,202209,2022,2023,CE-000RZ-J7,Alaska Native Tribal Health Consortium,native org,A,resolver_exact;name match clears placename and civic flags,,ADR-010: the filer is a named Cedar entity AND it is a Native organisation advocating for a constituency rather than for one tribe. cedar_entity_id names the filer; record_scope says who the filing is for.,named_entity,920162721,1,NON_ELECTING_PART_II_B,"Part II-B is completed. A non-electing filer reports one total and yes/no activity checkboxes; the form has no grassroots/direct split, so those cells are blank because the line does not exist, not because the read failed.",0,"derived: Schedule C Part II-B completed, the non-electing regime",,,,160000,,,,,,,,0,1,0,0,0,0,1,0,0,160000,Schedule C Part II-B total,ADVOCACY,SELF_REPORTED_LOBBYING_EXPENDITURE,0,"Retrieved fact only, transcribed from the filer's own IRS e-file XML. This row records what the organisation REPORTED on Schedule C for one return period: whether it filed the schedule, under which regime, and the dollar figures it entered. It asserts no position, no target and no outcome. Schedule C lobbying is NOT LDA lobbying and the two must never be summed: is_lobbying=0 records that this row is outside the LDA regime, not that no lobbying occurred.",https://apps.irs.gov/pub/epostcard/990/xml/2023/index_2023.csv,https://s3.amazonaws.com/irs-form-990/202342239349301774_public.xml,OK,A,2026-09-02,CE-000RZ-J7
