registrant_id,registrant_name,registrant_state,identifier_type,identifier,asserted_by_source,source_name_as_recorded,source_state,match_basis,confidence_tier,tier_rationale,tier_assigned_not_inherited,reading,built_date,n_asserting_sources,corroboration_note,irs_bmf_subsection,irs_bmf_filing_requirement,irs_bmf_ntee,irs_bmf_city,irs_bmf_ruling_yyyymm,irs_bmf_asset_amt,irs_bmf_revenue_amt,np_990_tax_year,np_990_form_type,np_990_filing_regime,np_990_total_revenue,np_990_total_expenses,np_990_lobbying_expenditure,np_990_lobbying_field_basis,np_990_schedc_total_lobbying,np_990_source_url,np_990_caveat,np_orgs_classification_ruling,np_orgs_confidence_tier,schedule_i_filer_ein,schedule_i_filer_name,graph_node_resolved_entity,graph_node_resolved_tier,graph_node_datasets,graph_node_usd_observed,prime_tribe_id,prime_confidence_tier,assistance_total_obligated_usd,subaward_total_usd,fpds_uei
36127,"SONOSKY, CHAMBERS, SACHSE, ENDRESON & PERRY, LLP",DC,HOUSE_REGISTRANT_ID,32732,LDA_REGISTRANT_RECORD,"SONOSKY, CHAMBERS, SACHSE, ENDRESON & PERRY, LLP",DC,STATED_ON_THE_REGISTRATION_ITSELF,A,not a match: the Senate LDA registrant record carries the Clerk of the House registrant id as a field of the registration itself,0,"An identifier on this row is a claim that one legal person holds two identifiers. It is NEVER a claim that the person is Native, and it must not be used to attribute a dollar on its own.",2026-08-26,1,"n_asserting_sources counts how many independent local sources put this identifier on this registrant. It NEVER promotes the tier - two-leg promotion is a ledger method, not a consumer's.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400637924,"TILEAF GROUP, INC.",HI,EIN,873487605,IRS_BMF_FULL,TILEAF GROUP,HI,NAME_EXACT_PLUS_STATE_AGREEMENT,B,"normalized legal name exact AND state agreement, against the full IRS exempt-organization Business Master File",1,"An identifier on this row is a claim that one legal person holds two identifiers. It is NEVER a claim that the person is Native, and it must not be used to attribute a dollar on its own.",2026-08-26,1,"n_asserting_sources counts how many independent local sources put this identifier on this registrant. It NEVER promotes the tier - two-leg promotion is a ledger method, not a consumer's.",03,01,S99,HONOLULU,202203,36517,177115,,,,,,,,,,,,,,,,,,,,,,,
88052,NATIVE AMERICAN RIGHTS FUND,CO,EIN,840611876,NP_ORGS,NATIVE AMERICAN RIGHTS FUND,CO,NAME_EXACT_PLUS_STATE_AGREEMENT,B,"normalized legal name exact AND state agreement, against Cedar's nonprofit organisation table",1,"An identifier on this row is a claim that one legal person holds two identifiers. It is NEVER a claim that the person is Native, and it must not be used to attribute a dollar on its own.",2026-08-26,3,"n_asserting_sources counts how many independent local sources put this identifier on this registrant. It NEVER promotes the tier - two-leg promotion is a ledger method, not a consumer's.",,,,,,,,2016,,,12055367,10685328,94800,,,"https://apps.irs.gov/pub/epostcard/990/xml/2017/download990xml_2017_3.zip (IRS e-file return object_id 201720609349300227, member 201720609349300227_public.xml)","6,453 of 12,764 organisations in np_orgs are 990-N filers reporting no financial detail. A zero here may be the filing regime, not a finding. LDA spend and 990 lobbying are different measures on different definitions and must never be summed.",UNRULED,B,,,,,,,,,,,
39837,VAN SCOYOC ASSOCIATES,DC,EIN,521710923,SCHEDULE_I_RECIPIENT,VAN SCOYOC ASSOCIATES INC,DC,NAME_EXACT_PLUS_STATE_AGREEMENT,B,"an EIN a 990 filer reported for this recipient; name exact and state agreement. The EIN is the FILER's assertion, not the IRS's",1,"An identifier on this row is a claim that one legal person holds two identifiers. It is NEVER a claim that the person is Native, and it must not be used to attribute a dollar on its own.",2026-08-26,1,"n_asserting_sources counts how many independent local sources put this identifier on this registrant. It NEVER promotes the tier - two-leg promotion is a ledger method, not a consumer's.",,,,,,,,,,,,,,,,,,,,520595110,JOHNS HOPKINS UNIVERSITY,,,,,,,,,
401106660,CHUGACH ALASKA CORPORATION,AK,UEI,L2YMLW7SK3K8,IDENTIFIER_GRAPH_NODE,CHUGACH ALASKA CORPORATION,,NAME_EXACT_NO_STATE_AGREEMENT,C,normalized name exact against a name observed on a federal spending row carrying this identifier -- DOWNGRADED to C: the states do not agree or the source carries no state,1,"An identifier on this row is a claim that one legal person holds two identifiers. It is NEVER a claim that the person is Native, and it must not be used to attribute a dollar on its own.",2026-08-26,2,"n_asserting_sources counts how many independent local sources put this identifier on this registrant. It NEVER promotes the tier - two-leg promotion is a ledger method, not a consumer's.",,,,,,,,,,,,,,,,,,,,,,CE-0007C-BW,B,federal_funding,27259142.11,,,,,
301072,ARCTIC SLOPE REGIONAL CORP,AK,UEI,CY16XXPHX213,IDENTIFIER_GRAPH_NODE,Arctic Slope Regional Corporation,,NAME_EXACT_NO_STATE_AGREEMENT,C,normalized name exact against a name observed on a federal spending row carrying this identifier -- DOWNGRADED to C: the states do not agree or the source carries no state,1,"An identifier on this row is a claim that one legal person holds two identifiers. It is NEVER a claim that the person is Native, and it must not be used to attribute a dollar on its own.",2026-08-26,4,"n_asserting_sources counts how many independent local sources put this identifier on this registrant. It NEVER promotes the tier - two-leg promotion is a ledger method, not a consumer's.",,,,,,,,,,,,,,,,,,,,,,CE-00078-KR,B,federal_funding|prime_contracts,66690730.16,,,,,
88052,NATIVE AMERICAN RIGHTS FUND,CO,UEI,E7LHBWA1K146,PRIME_CONTRACTS,Native American Rights Fund,CO,NAME_EXACT_PLUS_STATE_AGREEMENT,B,normalized name exact against prime_contracts.awardee_name,1,"An identifier on this row is a claim that one legal person holds two identifiers. It is NEVER a claim that the person is Native, and it must not be used to attribute a dollar on its own.",2026-08-26,3,"n_asserting_sources counts how many independent local sources put this identifier on this registrant. It NEVER promotes the tier - two-leg promotion is a ledger method, not a consumer's.",,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,
400305430,NANA DEVELOPMENT CORPORATION,AK,UEI,PUJCW9UH2455,PRIME_CONTRACTS,NANA DEVELOPMENT CORPORATION,AK,NAME_EXACT_PLUS_STATE_AGREEMENT,B,normalized name exact against prime_contracts.awardee_name,1,"An identifier on this row is a claim that one legal person holds two identifiers. It is NEVER a claim that the person is Native, and it must not be used to attribute a dollar on its own.",2026-08-26,3,"n_asserting_sources counts how many independent local sources put this identifier on this registrant. It NEVER promotes the tier - two-leg promotion is a ledger method, not a consumer's.",,,,,,,,,,,,,,,,,,,,,,,,,,CE-0007G-30,A,,,
88052,NATIVE AMERICAN RIGHTS FUND,CO,UEI,E7LHBWA1K146,FUNDING_IDENTIFIER_HARVEST,NATIVE AMERICAN RIGHTS FUND,CO,NAME_EXACT_PLUS_STATE_AGREEMENT,B,normalized name exact against the assistance identifier harvest,1,"An identifier on this row is a claim that one legal person holds two identifiers. It is NEVER a claim that the person is Native, and it must not be used to attribute a dollar on its own.",2026-08-26,3,"n_asserting_sources counts how many independent local sources put this identifier on this registrant. It NEVER promotes the tier - two-leg promotion is a ledger method, not a consumer's.",,,,,,,,,,,,,,,,,,,,,,,,,,,,95237.49,,
400828460,AFOGNAK NATIVE CORPORATION,AK,UEI,RQ13XQQKKQ67,FUNDING_IDENTIFIER_HARVEST,AFOGNAK NATIVE CORP,AK,NAME_EXACT_PLUS_STATE_AGREEMENT,B,normalized name exact against the assistance identifier harvest,1,"An identifier on this row is a claim that one legal person holds two identifiers. It is NEVER a claim that the person is Native, and it must not be used to attribute a dollar on its own.",2026-08-26,2,"n_asserting_sources counts how many independent local sources put this identifier on this registrant. It NEVER promotes the tier - two-leg promotion is a ledger method, not a consumer's.",,,,,,,,,,,,,,,,,,,,,,,,,,,,29226152.03,,
