correction_id,recorded_date,recorded_by_script,finding_id,entity_id,withdrawn_key,table,column_unlinked,rows_affected,rows_removed,action,repointed_to,provenance_preserved,reason,cedar_uid
CORR-3796cf7f78c0,2026-08-26,350_withdraw_false_lobbying_attributions.py,FA-01,ANRC-BRBYCO-00,BRISTOL BAY AREA HEALTH CORP,native_entity_lobbying_disclosures.csv,entity_id,97,0,UNLINK,,client_name; matched_alias; attribution_method; spend_usd,Bristol Bay Area Health Corporation (BBAHC) is a separate tribal health organisation. It is NOT Bristol Bay Native Corporation. Matched on 'bay bristol corp'.,CE-0007A-ZA
CORR-d09b07ab8d25,2026-08-26,350_withdraw_false_lobbying_attributions.py,FA-01,SGVF-BRBYAS-00,BRISTOL BAY DRIFTNETTERS ASSOCIATION,native_entity_lobbying_disclosures.csv,entity_id,2,0,UNLINK,,client_name; matched_alias; attribution_method; spend_usd,A driftnet fishermen's association - not the Bristol Bay Native Association. Matched on 'association bay bristol'.,CE-0010C-CN
CORR-d9f7b235bcb5,2026-08-26,350_withdraw_false_lobbying_attributions.py,FA-01,TRBF-SROSAR-00,CHRISTUS SANTA ROSA HOSPITAL,native_entity_lobbying_disclosures.csv,entity_id,4,0,UNLINK,,client_name; matched_alias; attribution_method; spend_usd,"CHRISTUS Santa Rosa, a Texas hospital system - not the Santa Rosa Rancheria Tachi Tribe.",CE-001AS-CT
CORR-828f50d99459,2026-08-26,350_withdraw_false_lobbying_attributions.py,FA-01,TRBF-SROSAR-00,"SANTA ROSA COUNTY, FL",native_entity_lobbying_disclosures.csv,entity_id,38,0,UNLINK,,client_name; matched_alias; attribution_method; spend_usd,"Santa Rosa County, FLORIDA - a county government, not the Santa Rosa Rancheria Tachi Tribe of California. Matched on the token pair 'rosa santa'.",CE-001AS-CT
CORR-2b21422624f6,2026-08-26,350_withdraw_false_lobbying_attributions.py,FA-01,TRBF-SROSAR-00,TEAM SANTA ROSA,native_entity_lobbying_disclosures.csv,entity_id,8,0,UNLINK,,client_name; matched_alias; attribution_method; spend_usd,"Team Santa Rosa, the economic development council of Santa Rosa County, FLORIDA - not the Santa Rosa Rancheria Tachi Tribe.",CE-001AS-CT
CORR-12cb4afcff0c,2026-08-26,352_unlink_false_foia_entity_links.py,FA-02,AKNF-GEORGT-00-CALSTA-ASVCPR,DOI-2025-007210,foia_request_index.csv,tribe_entity_id,1,0,UNLINK,,tribe_mentioned; tribe_match_phrase; tribe_entity_id_withdrawn; tribe_entity_link_audit,"The phrase 'georgetown' was matched inside a list of EMAIL DOMAINS the requester asked the agency to search ('georgetown.edu', 'law.georgetown.edu'), alongside ucla.edu and stanford.edu. An internet domain in a search instruction is not a party to the request, and it is not the Native Village of Georgetown, Alaska.",CE-0001W-DC
CORR-fc586fd8336e,2026-08-26,352_unlink_false_foia_entity_links.py,FA-02,AKNF-GEORGT-00-CALSTA-ASVCPR,DOI-2025-007214,foia_request_index.csv,tribe_entity_id,1,0,UNLINK,,tribe_mentioned; tribe_match_phrase; tribe_entity_id_withdrawn; tribe_entity_link_audit,"The phrase 'georgetown' was matched inside a list of EMAIL DOMAINS the requester asked the agency to search ('georgetown.edu', 'law.georgetown.edu'), alongside ucla.edu and stanford.edu. An internet domain in a search instruction is not a party to the request, and it is not the Native Village of Georgetown, Alaska.",CE-0001W-DC
CORR-54dbf9e5a2df,2026-08-26,352_unlink_false_foia_entity_links.py,FA-02,AKNF-GEORGT-00-CALSTA-ASVCPR,DOI-2025-007218,foia_request_index.csv,tribe_entity_id,1,0,UNLINK,,tribe_mentioned; tribe_match_phrase; tribe_entity_id_withdrawn; tribe_entity_link_audit,"The phrase 'georgetown' was matched inside a list of EMAIL DOMAINS the requester asked the agency to search ('georgetown.edu', 'law.georgetown.edu'), alongside ucla.edu and stanford.edu. An internet domain in a search instruction is not a party to the request, and it is not the Native Village of Georgetown, Alaska.",CE-0001W-DC
CORR-ac770d172feb,2026-08-26,352_unlink_false_foia_entity_links.py,FA-02,AKNF-GEORGT-00-CALSTA-ASVCPR,DOI-2025-007222,foia_request_index.csv,tribe_entity_id,1,0,UNLINK,,tribe_mentioned; tribe_match_phrase; tribe_entity_id_withdrawn; tribe_entity_link_audit,"The phrase 'georgetown' was matched inside a list of EMAIL DOMAINS the requester asked the agency to search ('georgetown.edu', 'law.georgetown.edu'), alongside ucla.edu and stanford.edu. An internet domain in a search instruction is not a party to the request, and it is not the Native Village of Georgetown, Alaska.",CE-0001W-DC
CORR-3e752816770e,2026-08-26,352_unlink_false_foia_entity_links.py,FA-02,AKNF-GEORGT-00-CALSTA-ASVCPR,DOI-2025-007226,foia_request_index.csv,tribe_entity_id,1,0,UNLINK,,tribe_mentioned; tribe_match_phrase; tribe_entity_id_withdrawn; tribe_entity_link_audit,"The phrase 'georgetown' was matched inside a list of EMAIL DOMAINS the requester asked the agency to search ('georgetown.edu', 'law.georgetown.edu'), alongside ucla.edu and stanford.edu. An internet domain in a search instruction is not a party to the request, and it is not the Native Village of Georgetown, Alaska.",CE-0001W-DC
