event_id,effective_date,event_year,acquirer_entity,target_entity,seller_entity,direction,asset_class,ownership_change_type,announced_value_usd,native_party_verbatim,counterparty_verbatim,party_role_basis,deal_category,date_usable_for_attribution,source_deal_id,source_url,confidence,verification_status,pre_2000_flag,native_entity_neid,neid_join_status,source_deal_withdrawn,tribe_canonical_name,entity_match_method,entity_tier,entity_match_basis,entity_keyed_date,entity_id,cedar_uid
OWN-ND-2005-001,2005-01-25,2005,Mohegan Tribal Gaming Authority (Mohegan Tribe of Indians of Connecticut),"Penn National Gaming, Inc. (Nasdaq: PENN)",,acquisition,corporate_entity,Acquisition,280000000,Mohegan Tribal Gaming Authority (Mohegan Tribe of Indians of Connecticut),"Penn National Gaming, Inc. (Nasdaq: PENN)","acquirer = Native_Party verbatim; target = Counterparty_or_Funder verbatim. CAUTION: on asset and real-property rows Counterparty_or_Funder sometimes names the SELLER rather than the thing acquired (e.g. 'Private seller(s)', 'McGregor family'). Read Deal_Title before using target_entity as an entity name.",Acquisition,1,ND-2005-001,https://www.sec.gov/Archives/edgar/data/1005276/000119312505013109/dex991.htm | https://www.sec.gov/Archives/edgar/data/1005276/000119312504173158/d8k.htm,High,Primary + independent verified,0,CE-0016X-GY,JOINED tier A - propagated_from_agent_ruling,0,Mohegan Tribe of Indians of Connecticut,agent_ruling+agent_ruling+alias,A,propagated_from_agent_ruling,2026-08-06,CE-0016X-GY,CE-0016X-GY
OWN-ND-2015-001,2015-08-03,2015,Bering Straits Native Corporation,"Alaska Industrial Hardware, Inc. (founding-family ownership)",,acquisition,corporate_entity,Acquisition,,Bering Straits Native Corporation,"Alaska Industrial Hardware, Inc. (founding-family ownership)","acquirer = Native_Party verbatim; target = Counterparty_or_Funder verbatim. CAUTION: on asset and real-property rows Counterparty_or_Funder sometimes names the SELLER rather than the thing acquired (e.g. 'Private seller(s)', 'McGregor family'). Read Deal_Title before using target_entity as an entity name.",Acquisition,1,ND-2015-001,https://beringstraits.com/bsnc-acquires-alaska-industrial-hardware/ | https://www.newsminer.com/news/local_news/bering-straits-native-corp-acquires-alaska-industrial-hardware/article_420ab988-3a4b-11e5-b7ad-034acc87466a.html,High,Primary verified,0,CE-00079-SH,JOINED tier A - propagated_from_agent_ruling,0,Bering Straits Native Corporation,agent_ruling+agent_ruling+exact,A,propagated_from_agent_ruling,2026-08-06,CE-00079-SH,CE-00079-SH
OWN-ND-2018-003,2018-11-30,2018,"Chickasaw Nation Industries, Inc.","Technology Trends Group, LLC (TTG)",,acquisition,corporate_entity,Acquisition,,"Chickasaw Nation Industries, Inc.","Technology Trends Group, LLC (TTG)","acquirer = Native_Party verbatim; target = Counterparty_or_Funder verbatim. CAUTION: on asset and real-property rows Counterparty_or_Funder sometimes names the SELLER rather than the thing acquired (e.g. 'Private seller(s)', 'McGregor family'). Read Deal_Title before using target_entity as an entity name.",Acquisition,1,ND-2018-003,https://www.chickasaw.com/about/news/2018/cni-acquires-technology-trends-group-llc,High,Primary verified,0,CE-00135-HP,JOINED tier A - propagated_from_elijah_ruling,0,The Chickasaw Nation,elijah_ruling+elijah_ruling+core,A,propagated_from_elijah_ruling,2026-08-06,CE-00135-HP,CE-00135-HP
OWN-ND-2019-007,2019-10-31,2019,Snoqualmie Indian Tribe,Muckleshoot Indian Tribe,,acquisition,real_property,Land and operating-asset acquisition,125000000,Snoqualmie Indian Tribe,Muckleshoot Indian Tribe,"acquirer = Native_Party verbatim; target = Counterparty_or_Funder verbatim. CAUTION: on asset and real-property rows Counterparty_or_Funder sometimes names the SELLER rather than the thing acquired (e.g. 'Private seller(s)', 'McGregor family'). Read Deal_Title before using target_entity as an entity name.",Real estate / land acquisition,1,ND-2019-007,https://snoqualmietribe.us/snoqualmie-muckleshoot-tribes-close-historic-deal-to-transfer-salish-lodge-and-land/ | https://ictnews.org/news/snoqualmie-tribe-buys-ancestral-snoqualmie-falls-from-muckleshoot-for-125-million/,High,Primary + independent verified,0,CE-001AF-G0,JOINED tier A - propagated_from_agent_ruling,0,Snoqualmie Indian Tribe,agent_ruling+agent_ruling+core,A,propagated_from_agent_ruling,2026-08-06,CE-001AF-G0,CE-001AF-G0
OWN-ACQ2020-016,2020-01-13,2020,Waséyabek Development Company and Gun Lake Investments,McKay Tower,,acquisition,real_property,50/50 joint commercial real-estate acquisition,17500000.0,Waséyabek Development Company and Gun Lake Investments,McKay Tower,"acquirer = Native_Party verbatim; target = Counterparty_or_Funder verbatim. CAUTION: on asset and real-property rows Counterparty_or_Funder sometimes names the SELLER rather than the thing acquired (e.g. 'Private seller(s)', 'McGregor family'). Read Deal_Title before using target_entity as an entity name.",Real estate / land acquisition,1,ACQ2020-016,https://waseyabek.com/two-michigan-tribes-announce-joint-venture-to-purchase-mckay-tower-in-grand-rapids/ | https://waseyabek.com/iconic-mckay-tower-acquisition-by-wdc-and-gli-named-mibizs-2020-real-estate-deal-of-the-year/,High,Primary verified,0,CE-0016T-YK,JOINED tier A - propagated_from_elijah_ruling,0,Match-E-Be-Nash-She-Wish Band of Pottawatomi (previously listed as Match-E-Be-Nash-She-Wish Band of Pottawatomi Indians of Michigan),elijah_ruling+elijah_ruling+containment,A,propagated_from_elijah_ruling,2026-08-06,CE-0016T-YK,CE-0016T-YK
OWN-ACQ2020-015,2020-02-05,2020,Oneida Indian Nation,"Microtel Inn & Suites property, reopened as Sandstone Hollow Inn",,acquisition,real_property,Hotel property acquisition,,Oneida Indian Nation,"Microtel Inn & Suites property, reopened as Sandstone Hollow Inn","acquirer = Native_Party verbatim; target = Counterparty_or_Funder verbatim. CAUTION: on asset and real-property rows Counterparty_or_Funder sometimes names the SELLER rather than the thing acquired (e.g. 'Private seller(s)', 'McGregor family'). Read Deal_Title before using target_entity as an entity name.",Real estate / land acquisition,1,ACQ2020-015,https://www.oneidaindiannation.com/oneida-indian-nation-to-open-sandstone-hollow-inn-to-accommodate-increased-visitor-demand-formerly-the-microtel-inn-suites-by-wyndham/ | https://tribalbusinessnews.com/sections/economic-development/11834-tribal-business-news-briefs-feb-10-2020,High,Primary + independent verified,0,CE-0017X-NE,JOINED tier A - propagated_from_agent_ruling,0,Oneida Nation,agent_ruling+agent_ruling+core,A,propagated_from_agent_ruling,2026-08-06,CE-0017X-NE,CE-0017X-NE
OWN-MA2020-003,2020-05-22,2020,Bering Straits Native Corporation,Northwest Contracting,,acquisition,corporate_entity,Acquisition,18324000,Bering Straits Native Corporation,Northwest Contracting,"acquirer = Native_Party verbatim; target = Counterparty_or_Funder verbatim. CAUTION: on asset and real-property rows Counterparty_or_Funder sometimes names the SELLER rather than the thing acquired (e.g. 'Private seller(s)', 'McGregor family'). Read Deal_Title before using target_entity as an entity name.",Acquisition,1,MA2020-003,https://beringstraits.com/bsnc-acquires-northwest-contracting/ | https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=be368e17-cf57-4f3a-a702-2942dda9a794,High,Primary verified,0,CE-00079-SH,JOINED tier A - propagated_from_agent_ruling,0,Bering Straits Native Corporation,agent_ruling+agent_ruling+exact,A,propagated_from_agent_ruling,2026-08-06,CE-00079-SH,CE-00079-SH
OWN-ND-2020-SEED-007,2020-07-30,2020,Bering Straits Native Corporation,Bureau of Land Management,,acquisition,real_property,Completed,,Bering Straits Native Corporation,Bureau of Land Management,"acquirer = Native_Party verbatim; target = Counterparty_or_Funder verbatim. CAUTION: on asset and real-property rows Counterparty_or_Funder sometimes names the SELLER rather than the thing acquired (e.g. 'Private seller(s)', 'McGregor family'). Read Deal_Title before using target_entity as an entity name.",Real estate / land,1,ND-2020-SEED-007,https://www.blm.gov/press-release/blm-alaska-conveys-lands-bering-straits-native-corporation,High,Primary verified,0,CE-00079-SH,JOINED tier A - propagated_from_agent_ruling,0,Bering Straits Native Corporation,agent_ruling+agent_ruling+exact,A,propagated_from_agent_ruling,2026-08-06,CE-00079-SH,CE-00079-SH
OWN-ND-2024-005,2024-01-02,2024,Anvil Corporation,Doyon Anvil joint venture (Doyon's interest),"Doyon, Limited",divestiture,corporate_entity,Sale of joint-venture interest,,"Doyon, Limited",Anvil Corporation,"hand-transcribed from this row's own text. Description: 'Anvil Corporation acquired Doyon, Limited's interest in the Doyon Anvil joint venture ... Doyon is the divesting principal.'",Divestiture,1,ND-2024-005,https://www.doyon.com/doyon-anvil-acquisition/,High,Primary verified,0,CE-0007E-QE,JOINED tier A - propagated_from_elijah_ruling,0,"Doyon, Limited",elijah_ruling+elijah_ruling+exact,A,propagated_from_elijah_ruling,2026-08-06,CE-0007E-QE,CE-0007E-QE
OWN-ND-2025-017,2025-07-29,2025,Waséyabek Development Company,Michigan Capital Network (MCN),,acquisition,equity_stake,Invested,5000000,Waséyabek Development Company,Michigan Capital Network (MCN),"acquirer = Native_Party verbatim; target = Counterparty_or_Funder verbatim. CAUTION: on asset and real-property rows Counterparty_or_Funder sometimes names the SELLER rather than the thing acquired (e.g. 'Private seller(s)', 'McGregor family'). Read Deal_Title before using target_entity as an entity name.",Equity investment,1,ND-2025-017,https://waseyabek.com/waseyabek-invests-west-michigan-capital-firm/,High,Primary verified,0,CE-0017R-QH,JOINED tier A - propagated_from_elijah_ruling,0,"Nottawaseppi Huron Band of the Potawatomi, Michigan",elijah_ruling+elijah_ruling+containment,A,propagated_from_elijah_ruling,2026-08-06,CE-0017R-QH,CE-0017R-QH
