identifier_type,identifier,canonical_name,legal_business_name,entity_class,attribution_method,confidence_tier,tier_rationale,is_authority,exclusion_id,exclusion_evidence,evidence_url,verified_date,state,prime_dollars_M,joint_ownership_flag,joint_ownership_note,evidence_source_file,evidence_url_integrity,cedar_uid,crossgov_name_collision_flag,crossgov_name_collision_proposed_entity_id,crossgov_name_collision_disposition,crossgov_name_collision_basis,method_quarantined,quarantine_disposition,quarantine_disposition_basis
UEI,WVJKC2L1ZN11,Confederated Salish and Kootenai Tribes of the Flathead Reservation,S And K Aerospace Incorporated,Federally recognized tribe,agent_research_one_leg,B,Agent-researched 2026-08-06: single evidence leg,YES,,,https://,2026-04-27,MT,3079.505,,,user_final_tribes.dta,"Reclassified 2026-08-06: this was a local file path, not a retrievable URL. The attribution may still be correct; the claim of web verification was not.",CE-0013X-1E,,,,,N,,
UEI,TYBBMBUXPFH6,"Choggiung, Ltd.","Bristol Design Build Services, Llc",Alaska Native Regional Corporation,elijah_ruling,A,Ruled by Elijah 2026-08-12: confirmed owner,YES,,,,2026-04-27,AK,309.775,1,"Bristol Industries, LLC is JOINTLY owned by Choggiung, Ltd. and Bristol Bay Native Corporation (bristol-companies.com/about/). Attributed to Choggiung per Elijah's ruling; BBNC holds a real share. Do NOT book the full value to either parent.",sam_uei_to_tribe_assignment_v3.csv,"Reclassified 2026-08-06: this was a local file path, not a retrievable URL. The attribution may still be correct; the claim of web verification was not.",CE-00088-R8,,,,,N,,
UEI,LLK6MNEEK7A8,Bristol Bay Native Corporation,"Bristol Site Contractors, Llc",Alaska Native Regional Corporation,cluster_v3,B,"Algorithmic name clustering, unreviewed",,,,,2026-04-27,AK,58.629,1,"Bristol Industries, LLC is JOINTLY owned by Choggiung, Ltd. and Bristol Bay Native Corporation (bristol-companies.com/about/). Attributed to Choggiung per Elijah's ruling; BBNC holds a real share. Do NOT book the full value to either parent.",sam_uei_to_tribe_assignment_v3.csv,"Reclassified 2026-08-06: this was a local file path, not a retrievable URL. The attribution may still be correct; the claim of web verification was not.",CE-0007A-ZA,,,,,Y,KEEP,"audited annual report: Bristol_Bay_Native_Corporation names `bristol site contractors` in its own consolidated subsidiary list [ownership(density=17,verb=False)]"
UEI,YKTMUQUJFA81,Bristol Bay Native Corporation,"Bristol Site Contractors, Llc",Alaska Native Regional Corporation,cluster_v3,B,"Algorithmic name clustering, unreviewed",,,,,2026-04-27,CO,16.472,1,"Bristol Industries, LLC is JOINTLY owned by Choggiung, Ltd. and Bristol Bay Native Corporation (bristol-companies.com/about/). Attributed to Choggiung per Elijah's ruling; BBNC holds a real share. Do NOT book the full value to either parent.",sam_uei_to_tribe_assignment_v3.csv,"Reclassified 2026-08-06: this was a local file path, not a retrievable URL. The attribution may still be correct; the claim of web verification was not.",CE-0007A-ZA,,,,,Y,KEEP,"audited annual report: Bristol_Bay_Native_Corporation names `bristol site contractors` in its own consolidated subsidiary list [ownership(density=17,verb=False)]"
UEI,MLKJC2UKXNL9,Bristol Bay Native Corporation,"Bristol-Cannon Jv, Llc",Alaska Native Regional Corporation,cluster_v3,B,"Algorithmic name clustering, unreviewed",,,,,2026-04-27,AK,4.651,1,"Bristol Industries, LLC is JOINTLY owned by Choggiung, Ltd. and Bristol Bay Native Corporation (bristol-companies.com/about/). Attributed to Choggiung per Elijah's ruling; BBNC holds a real share. Do NOT book the full value to either parent.",sam_uei_to_tribe_assignment_v3.csv,"Reclassified 2026-08-06: this was a local file path, not a retrievable URL. The attribution may still be correct; the claim of web verification was not.",CE-0007A-ZA,,,,,Y,KEEP,deal ledger row deal names this firm alongside the hub
UEI,WV5CKEFM1VQ1,Bristol Bay Native Corporation,Bristol Fuel Systems Engineers & Constructors Llc,Alaska Native Regional Corporation,cluster_v3,B,"Algorithmic name clustering, unreviewed",,,,,2026-04-27,AK,1.244,1,"Bristol Industries, LLC is JOINTLY owned by Choggiung, Ltd. and Bristol Bay Native Corporation (bristol-companies.com/about/). Attributed to Choggiung per Elijah's ruling; BBNC holds a real share. Do NOT book the full value to either parent.",sam_uei_to_tribe_assignment_v3.csv,"Reclassified 2026-08-06: this was a local file path, not a retrievable URL. The attribution may still be correct; the claim of web verification was not.",CE-0007A-ZA,,,,,Y,KEEP,brand corroboration: shares distinctive token(s) `constructors|fuel` with an identifier keyed to this hub by a RULED or two-leg method
UEI,LWRAHAFNKQ13,Flandreau Santee Sioux Tribe of South Dakota,Flandreau Santee Sioux Tribe,Federally recognized tribe,ladder_1122,B,"Repointed 2026-09-02 by code/1122, carrying out the ladder over OWNER_DECISION_QUEUE EL-1 / review/ledger_crossgov_name_collisions_2026-09-02.csv (detector code/1099). The recorded legal_business_name is the proposed nation's own official name with an EMPTY residue, while the nation it was keyed to leaves a residue. 'Flandreau Santee Sioux Tribe' is a federally recognized tribe at Flandreau SOUTH DAKOTA, distinct from the Santee Sioux Nation of NEBRASKA it was keyed to. All prime rows are SD; the two CAGE rows also carry registration_state = SD.",YES,,,,2026-09-02,SD,0.057,,,user_final_tribes.dta,"Reclassified 2026-08-06: this was a local file path, not a retrievable URL. The attribution may still be correct; the claim of web verification was not.",CE-0014E-C7,Y,CE-0014E-C7,TRANSACTION_STATE_CONTRADICTS_KEYED_ENTITY,"legal_business_name is the official name of exactly one OTHER government-class spine entity (CE-0014E-C7 Flandreau, SD); rule7 residue empty; no legal-form token in the name; registration state (none) vs keyed NE. FLAG ONLY - nothing repointed. See review/ledger_crossgov_name_collisions_2026-09-02.csv",N,,
UEI,NL5HNWNUFMK4,Bristol Bay Native Corporation,BRISTOL BAY AREA HEALTH CORPORATION,Alaska Native Regional Corporation,cluster_v3,X,Withdrawn 2026-08-29 by 354 propagation of CORR-9af3a7f1db5c: Bristol Bay Area Health Corporation (BBAHC) is a separate tribal health organisation. It is NOT Bristol Bay Native Corporation.,,,,,2026-04-27,,0.0,1,"Bristol Industries, LLC is JOINTLY owned by Choggiung, Ltd. and Bristol Bay Native Corporation (bristol-companies.com/about/). Attributed to Choggiung per Elijah's ruling; BBNC holds a real share. Do NOT book the full value to either parent.",sam_uei_to_tribe_assignment_v3.csv,"Reclassified 2026-08-06: this was a local file path, not a retrievable URL. The attribution may still be correct; the claim of web verification was not.",CE-0007A-ZA,,,,,Y,KEEP,ledger tier X - already non-attributing; 40_build_prime_contracts.py never keys it
CAGE,8HGQ8,Bristol Bay Native Corporation,"BRISTOL-BGI JV, LLC",ANC_REGIONAL,need_v6,B,NEED v6 attribution - review,,,,https://search.certifications.sba.gov/,2026-04-30,AK,0.0,1,"Bristol Industries, LLC is JOINTLY owned by Choggiung, Ltd. and Bristol Bay Native Corporation (bristol-companies.com/about/). Attributed to Choggiung per Elijah's ruling; BBNC holds a real share. Do NOT book the full value to either parent.",,,CE-0007A-ZA,,,,,Y,HOLD,"REPORTED, NOT APPLIED - the CAGE leg is outside this pass's declared scope and is newly measured here -- no rung of the corroboration ladder reached and the only shared token is `bristol`, on cedar_domain.NAME_TRAPS - the trap register says a token match on a trap is NO evidence"
EIN,352466382,Grand Caillou/Dulac Band of Biloxi Chitimacha Choctaw,GRAND CAILLOU DULAC BAND OF BILOXI CHITIMACHA CHOCTAW,State-recognized tribe,ladder_1122,B,"Repointed 2026-09-02 by code/1122, carrying out the ladder over OWNER_DECISION_QUEUE EL-1 / review/ledger_crossgov_name_collisions_2026-09-02.csv (detector code/1099). The recorded legal_business_name is the proposed nation's own official name with an EMPTY residue, while the nation it was keyed to leaves a residue. 'GRAND CAILLOU DULAC BAND OF BILOXI CHITIMACHA CHOCTAW' (Louisiana, state-recognized) was keyed to the Confederated Tribes of Grand Ronde (OREGON) on the word 'Grand'.",,,,https://www.irs.gov/charities-non-profits/exempt-organizations-business-master-file-extract-eo-bmf,2026-09-02,,0.0,,,,,CE-001DA-1K,Y,CE-001DA-1K,NO_STATE_ON_ANY_RECORD,"legal_business_name is the official name of exactly one OTHER government-class spine entity (CE-001DA-1K Grand Caillou/Dulac Band of Biloxi Chitimacha Choctaw, LA); rule7 residue empty; no legal-form token in the name; registration state (none) vs keyed OR. FLAG ONLY - nothing repointed. See review/ledger_crossgov_name_collisions_2026-09-02.csv",Y,HOLD,"REPORTED, NOT APPLIED - the CAGE leg is outside this pass's declared scope and is newly measured here -- no rung of the corroboration ladder reached and the firm shares NO distinctive token with `Grand Ronde Tribes` (hub tokens: confederated|grande|oregon|ronde); the link rests on nothing"
