observation_id,facility_id,cedar_place_id_absent_reason,cedar_place_id,facility_name,tribe_id,state,site_host,game_title,manufacturer,denomination,floor_location,floor_location_basis,game_category,volatility_as_published,quantity_if_known,quantity_absent_reason,measurement_type,listing_unit,is_device_count,source_game_id,first_seen,last_seen,supersedes_observation_id,source,source_url,source_quote,retrieved_at,attribution_basis,confidence,source_md5,built_by_script,built_date,entity_id,entity_level,entity_tier,entity_tier_basis,entity_link_rung,entity_link_date,cedar_uid
GFO-000001,CCP-38800,,CEDAR-PLACE-000169-FH,Coushatta Casino Resort,TRBF-COUSLA-00,LA,www.coushattacasinoresort.com,8X Crystal Bells (Prog),AGS,$0.01,,the finder plots a pixel marker on a floor-plan SVG (slot-map.php?sid=N) and publishes no named zone; the map id is kept in source_game_id,Video,Medium - Low,,"the finder publishes no quantity; a listing is a (title x denomination) SKU, not a cabinet",GAME_FINDER_OBSERVATION,title_denomination_listing,no,sid=1660,2026-08-12,2026-08-12,,operator public game finder (coushatta_slot_search platform),https://www.coushattacasinoresort.com/ajax-slot-result.php?title=&denom=&manu=AGS&type=&volatil=,8X Crystal Bells (Prog) | AGS | $0.01 | Video,2026-08-12,"hand_ruling: coushattacasinoresort.com is the site of Coushatta Casino Resort, Kinder LA; the property carries no status literal in gaming_facilities.csv so it was outside the discovery frame",B,8cff0e0d9dca7783b64a243bb4c7861c,code/142_build_property_site_observations.py,2026-08-12,TRBF-COUSLA-00,facility,A,inherited from gaming_facilities.CCP-38800.entity_tier (method=alias),facility_id_exact,2026-08-26,CE-0013P-QZ
GFO-000005,CCP-38800,,CEDAR-PLACE-000169-FH,Coushatta Casino Resort,TRBF-COUSLA-00,LA,www.coushattacasinoresort.com,Cluck Cluck Cash (Prog),AGS,$0.01,,the finder plots a pixel marker on a floor-plan SVG (slot-map.php?sid=N) and publishes no named zone; the map id is kept in source_game_id,Video,Medium,,"the finder publishes no quantity; a listing is a (title x denomination) SKU, not a cabinet",GAME_FINDER_OBSERVATION,title_denomination_listing,no,sid=1097,2026-08-12,2026-08-12,,operator public game finder (coushatta_slot_search platform),https://www.coushattacasinoresort.com/ajax-slot-result.php?title=&denom=&manu=AGS&type=&volatil=,Cluck Cluck Cash (Prog) | AGS | $0.01 | Video,2026-08-12,"hand_ruling: coushattacasinoresort.com is the site of Coushatta Casino Resort, Kinder LA; the property carries no status literal in gaming_facilities.csv so it was outside the discovery frame",B,8cff0e0d9dca7783b64a243bb4c7861c,code/142_build_property_site_observations.py,2026-08-12,TRBF-COUSLA-00,facility,A,inherited from gaming_facilities.CCP-38800.entity_tier (method=alias),facility_id_exact,2026-08-26,CE-0013P-QZ
GFO-000009,CCP-38800,,CEDAR-PLACE-000169-FH,Coushatta Casino Resort,TRBF-COUSLA-00,LA,www.coushattacasinoresort.com,Diamond Reels Md Prog,AGS,$0.25,,the finder plots a pixel marker on a floor-plan SVG (slot-map.php?sid=N) and publishes no named zone; the map id is kept in source_game_id,Reel,High,,"the finder publishes no quantity; a listing is a (title x denomination) SKU, not a cabinet",GAME_FINDER_OBSERVATION,title_denomination_listing,no,sid=319,2026-08-12,2026-08-12,,operator public game finder (coushatta_slot_search platform),https://www.coushattacasinoresort.com/ajax-slot-result.php?title=&denom=&manu=AGS&type=&volatil=,Diamond Reels Md Prog | AGS | $0.25 | Reel,2026-08-12,"hand_ruling: coushattacasinoresort.com is the site of Coushatta Casino Resort, Kinder LA; the property carries no status literal in gaming_facilities.csv so it was outside the discovery frame",B,8cff0e0d9dca7783b64a243bb4c7861c,code/142_build_property_site_observations.py,2026-08-12,TRBF-COUSLA-00,facility,A,inherited from gaming_facilities.CCP-38800.entity_tier (method=alias),facility_id_exact,2026-08-26,CE-0013P-QZ
GFO-000013,CCP-38800,,CEDAR-PLACE-000169-FH,Coushatta Casino Resort,TRBF-COUSLA-00,LA,www.coushattacasinoresort.com,Flaming Reels Md Prog,AGS,$0.25,,the finder plots a pixel marker on a floor-plan SVG (slot-map.php?sid=N) and publishes no named zone; the map id is kept in source_game_id,Reel,High,,"the finder publishes no quantity; a listing is a (title x denomination) SKU, not a cabinet",GAME_FINDER_OBSERVATION,title_denomination_listing,no,sid=320,2026-08-12,2026-08-12,,operator public game finder (coushatta_slot_search platform),https://www.coushattacasinoresort.com/ajax-slot-result.php?title=&denom=&manu=AGS&type=&volatil=,Flaming Reels Md Prog | AGS | $0.25 | Reel,2026-08-12,"hand_ruling: coushattacasinoresort.com is the site of Coushatta Casino Resort, Kinder LA; the property carries no status literal in gaming_facilities.csv so it was outside the discovery frame",B,8cff0e0d9dca7783b64a243bb4c7861c,code/142_build_property_site_observations.py,2026-08-12,TRBF-COUSLA-00,facility,A,inherited from gaming_facilities.CCP-38800.entity_tier (method=alias),facility_id_exact,2026-08-26,CE-0013P-QZ
GFO-000017,CCP-38800,,CEDAR-PLACE-000169-FH,Coushatta Casino Resort,TRBF-COUSLA-00,LA,www.coushattacasinoresort.com,Gold Nudge Md Prog,AGS,$0.25,,the finder plots a pixel marker on a floor-plan SVG (slot-map.php?sid=N) and publishes no named zone; the map id is kept in source_game_id,Reel,Low,,"the finder publishes no quantity; a listing is a (title x denomination) SKU, not a cabinet",GAME_FINDER_OBSERVATION,title_denomination_listing,no,sid=564,2026-08-12,2026-08-12,,operator public game finder (coushatta_slot_search platform),https://www.coushattacasinoresort.com/ajax-slot-result.php?title=&denom=&manu=AGS&type=&volatil=,Gold Nudge Md Prog | AGS | $0.25 | Reel,2026-08-12,"hand_ruling: coushattacasinoresort.com is the site of Coushatta Casino Resort, Kinder LA; the property carries no status literal in gaming_facilities.csv so it was outside the discovery frame",B,8cff0e0d9dca7783b64a243bb4c7861c,code/142_build_property_site_observations.py,2026-08-12,TRBF-COUSLA-00,facility,A,inherited from gaming_facilities.CCP-38800.entity_tier (method=alias),facility_id_exact,2026-08-26,CE-0013P-QZ
GFO-000021,CCP-38800,,CEDAR-PLACE-000169-FH,Coushatta Casino Resort,TRBF-COUSLA-00,LA,www.coushattacasinoresort.com,Grand Panda (Mc) (Md) (Prog),AGS,$0.01,,the finder plots a pixel marker on a floor-plan SVG (slot-map.php?sid=N) and publishes no named zone; the map id is kept in source_game_id,Video,Medium,,"the finder publishes no quantity; a listing is a (title x denomination) SKU, not a cabinet",GAME_FINDER_OBSERVATION,title_denomination_listing,no,sid=1202,2026-08-12,2026-08-12,,operator public game finder (coushatta_slot_search platform),https://www.coushattacasinoresort.com/ajax-slot-result.php?title=&denom=&manu=AGS&type=&volatil=,Grand Panda (Mc) (Md) (Prog) | AGS | $0.01 | Video,2026-08-12,"hand_ruling: coushattacasinoresort.com is the site of Coushatta Casino Resort, Kinder LA; the property carries no status literal in gaming_facilities.csv so it was outside the discovery frame",B,8cff0e0d9dca7783b64a243bb4c7861c,code/142_build_property_site_observations.py,2026-08-12,TRBF-COUSLA-00,facility,A,inherited from gaming_facilities.CCP-38800.entity_tier (method=alias),facility_id_exact,2026-08-26,CE-0013P-QZ
GFO-000025,CCP-38800,,CEDAR-PLACE-000169-FH,Coushatta Casino Resort,TRBF-COUSLA-00,LA,www.coushattacasinoresort.com,Jade Wins (Prog),AGS,$0.01,,the finder plots a pixel marker on a floor-plan SVG (slot-map.php?sid=N) and publishes no named zone; the map id is kept in source_game_id,Video,Medium,,"the finder publishes no quantity; a listing is a (title x denomination) SKU, not a cabinet",GAME_FINDER_OBSERVATION,title_denomination_listing,no,sid=1095,2026-08-12,2026-08-12,,operator public game finder (coushatta_slot_search platform),https://www.coushattacasinoresort.com/ajax-slot-result.php?title=&denom=&manu=AGS&type=&volatil=,Jade Wins (Prog) | AGS | $0.01 | Video,2026-08-12,"hand_ruling: coushattacasinoresort.com is the site of Coushatta Casino Resort, Kinder LA; the property carries no status literal in gaming_facilities.csv so it was outside the discovery frame",B,8cff0e0d9dca7783b64a243bb4c7861c,code/142_build_property_site_observations.py,2026-08-12,TRBF-COUSLA-00,facility,A,inherited from gaming_facilities.CCP-38800.entity_tier (method=alias),facility_id_exact,2026-08-26,CE-0013P-QZ
GFO-000029,CCP-38800,,CEDAR-PLACE-000169-FH,Coushatta Casino Resort,TRBF-COUSLA-00,LA,www.coushattacasinoresort.com,Lion Cash:Princess Pingyang Mc Md P,AGS,$0.01,,the finder plots a pixel marker on a floor-plan SVG (slot-map.php?sid=N) and publishes no named zone; the map id is kept in source_game_id,VIdeo,Medium,,"the finder publishes no quantity; a listing is a (title x denomination) SKU, not a cabinet",GAME_FINDER_OBSERVATION,title_denomination_listing,no,sid=1067,2026-08-12,2026-08-12,,operator public game finder (coushatta_slot_search platform),https://www.coushattacasinoresort.com/ajax-slot-result.php?title=&denom=&manu=AGS&type=&volatil=,Lion Cash:Princess Pingyang Mc Md P | AGS | $0.01 | VIdeo,2026-08-12,"hand_ruling: coushattacasinoresort.com is the site of Coushatta Casino Resort, Kinder LA; the property carries no status literal in gaming_facilities.csv so it was outside the discovery frame",B,8cff0e0d9dca7783b64a243bb4c7861c,code/142_build_property_site_observations.py,2026-08-12,TRBF-COUSLA-00,facility,A,inherited from gaming_facilities.CCP-38800.entity_tier (method=alias),facility_id_exact,2026-08-26,CE-0013P-QZ
GFO-000033,CCP-38800,,CEDAR-PLACE-000169-FH,Coushatta Casino Resort,TRBF-COUSLA-00,LA,www.coushattacasinoresort.com,Mariachi Party (Prog),AGS,$0.01,,the finder plots a pixel marker on a floor-plan SVG (slot-map.php?sid=N) and publishes no named zone; the map id is kept in source_game_id,Video,Medium - High,,"the finder publishes no quantity; a listing is a (title x denomination) SKU, not a cabinet",GAME_FINDER_OBSERVATION,title_denomination_listing,no,sid=1390,2026-08-12,2026-08-12,,operator public game finder (coushatta_slot_search platform),https://www.coushattacasinoresort.com/ajax-slot-result.php?title=&denom=&manu=AGS&type=&volatil=,Mariachi Party (Prog) | AGS | $0.01 | Video,2026-08-12,"hand_ruling: coushattacasinoresort.com is the site of Coushatta Casino Resort, Kinder LA; the property carries no status literal in gaming_facilities.csv so it was outside the discovery frame",B,8cff0e0d9dca7783b64a243bb4c7861c,code/142_build_property_site_observations.py,2026-08-12,TRBF-COUSLA-00,facility,A,inherited from gaming_facilities.CCP-38800.entity_tier (method=alias),facility_id_exact,2026-08-26,CE-0013P-QZ
GFO-000037,CCP-38800,,CEDAR-PLACE-000169-FH,Coushatta Casino Resort,TRBF-COUSLA-00,LA,www.coushattacasinoresort.com,Pirate Plunder (Mc) (Md) (Prog),AGS,$0.01,,the finder plots a pixel marker on a floor-plan SVG (slot-map.php?sid=N) and publishes no named zone; the map id is kept in source_game_id,Video,Medium,,"the finder publishes no quantity; a listing is a (title x denomination) SKU, not a cabinet",GAME_FINDER_OBSERVATION,title_denomination_listing,no,sid=1099,2026-08-12,2026-08-12,,operator public game finder (coushatta_slot_search platform),https://www.coushattacasinoresort.com/ajax-slot-result.php?title=&denom=&manu=AGS&type=&volatil=,Pirate Plunder (Mc) (Md) (Prog) | AGS | $0.01 | Video,2026-08-12,"hand_ruling: coushattacasinoresort.com is the site of Coushatta Casino Resort, Kinder LA; the property carries no status literal in gaming_facilities.csv so it was outside the discovery frame",B,8cff0e0d9dca7783b64a243bb4c7861c,code/142_build_property_site_observations.py,2026-08-12,TRBF-COUSLA-00,facility,A,inherited from gaming_facilities.CCP-38800.entity_tier (method=alias),facility_id_exact,2026-08-26,CE-0013P-QZ
