project_id,metric,value,unit,impact_type,geography,time_period,reported_or_calculated,source_document,page,table_ref,confidence,tribe,alternative,derivation,observation_status,modelling_basis,page_label,source_url,notes,source_document_date,source_document_date_basis
OSAGE-LAKEOZARK,water_demand,38153,gallons per day,infrastructure,City of Lake Ozark municipal supply,"average day, stabilized operations",reported,"Osage Nation Lake Ozark Casino Resort Project Environmental Assessment, July 2025",58,Table 26: Estimated Water and Wastewater Usage,high,The Osage Nation,Alternative A - Casino and Hotel,,proposed,Montrose Environmental,54,https://www.bia.gov/sites/default/files/media_document/ea-report.pdf,"Table 26 cells as printed: casino 15,840 GPD, hotel 22,313 GPD, total 38,153 GPD; drivers 1,760 average daily patrons at 9 GPD/patron and 128 average daily occupied rooms at 175 GPD/room. The casino cell reproduces exactly (1,760 x 9 = 15,840); the HOTEL CELL DOES NOT (128 x 175 = 22,400, not 22,313). The table's own figures are recorded verbatim and the discrepancy is not corrected. The EA body rounds the total to 'approximately 38,000 gallons' (p.16, p.57) and states it is approximately 3.2 percent of the 1.2 MGD municipal capacity.",2025-07,exact - the source_document title states this month and year
OSAGE-LAKEOZARK,implied_hotel_occupancy,85.3,percent,operational,Project Site,stabilized operations,calculated,"Osage Nation Lake Ozark Casino Resort Project Environmental Assessment, July 2025",58; 15,Table 26 and Table 2 (inputs),medium,The Osage Nation,Alternative A - Casino and Hotel,"128 average daily occupied rooms (EA Table 26, p.58) / 150 hotel rooms (EA Table 2, p.15)",proposed,,54; (table page),https://www.bia.gov/sites/default/files/media_document/ea-report.pdf,CEDAR PRESS CALCULATION -- an implied occupancy rate is never stated in the EA.,2025-07,exact - the source_document title states this month and year
MENOM-KENOSHA,wastewater_generation,113000,gallons per day,infrastructure,Kenosha WWTP,stabilized operations,reported,"Menominee Indian Tribe of Wisconsin Kenosha Casino Project Environmental Assessment, March 2026 (NEPA-ID-58312)",16; 50,Appendix GRADE,high,Menominee Indian Tribe of Wisconsin,Alternative A - Casino and Hotel,,proposed,"Eriksson Engineering Associates, LTD.",11; 45,https://www.bia.gov/sites/default/files/media_document/menominee-kenosha_casino_published_ea.pdf,Stated as 0.4 percent of Kenosha WWTP capacity; WWTP average flows approximately 19.6 MGD against 28.6 MGD capacity.,2026-03,exact - the source_document title states this month and year
MENOM-KENOSHA,payroll_related_taxes,20860000,USD per year,fiscal,federal and State of Wisconsin,stabilized annual,reported,"Menominee Kenosha EA Appendix SOCIO -- KlasRobinson Q.E.D., Economic Impact Study, November 2023",18,Annual Payroll Related Taxes,high,Menominee Indian Tribe of Wisconsin,Alternative A - Casino and Hotel,,proposed,"KlasRobinson Q.E.D., IMPLAN model; inputs from KlasRobinson's own November 2023 Feasibility Study (NOT posted)",13,https://www.bia.gov/sites/default/files/media_document/menominee_kenosha_casino_ea_appendix-socio.pdf,"Components: federal withholding $8,089,000; state withholding $2,753,000; Social Security employee-paid $4,211,000 and employer-paid $4,211,000; Medicare employee-paid $798,000 and employer-paid $798,000.",2023-11,exact - the source_document title states this month and year
MENOM-KENOSHA,direct_spending,276250000,USD per year,operational_modelled,Project Site,stabilized annual,reported,"Menominee Kenosha EA Appendix SOCIO -- KlasRobinson Q.E.D., Economic Impact Study, November 2023",34; 39,Total Spending by Source,high,Menominee Indian Tribe of Wisconsin,Alternative A - Casino and Hotel,,proposed,"KlasRobinson Q.E.D., IMPLAN model; inputs from KlasRobinson's own November 2023 Feasibility Study (NOT posted)",29; 34,https://www.bia.gov/sites/default/files/media_document/menominee_kenosha_casino_ea_appendix-socio.pdf,"By origin: Kenosha County $18,129,400 (6.6 percent); other Wisconsin $86,070,450 (31.2 percent); outside Wisconsin $172,049,800 (62.3 percent). This equals the study's Year 3 'Total Kenosha Revenue' line.",2023-11,exact - the source_document title states this month and year
MENOM-KENOSHA,projected_property_revenue,267260000,USD,operational_modelled,Project Site,Year 2,reported,"Menominee Kenosha EA Appendix SOCIO -- KlasRobinson Q.E.D., Economic Impact Study, November 2023",38,Projected Competitive Gaming Impact,high,Menominee Indian Tribe of Wisconsin,Alternative A - Casino and Hotel,,proposed,"KlasRobinson Q.E.D., IMPLAN model; inputs from KlasRobinson's own November 2023 Feasibility Study (NOT posted)",33,https://www.bia.gov/sites/default/files/media_document/menominee_kenosha_casino_ea_appendix-socio.pdf,"CONSULTANT PROJECTION, not observed revenue, and not a disclosure of gaming win by any operating facility. Reproduced in the EA as Appendix ENV ANA Table ENV ANA-20.",2023-11,exact - the source_document title states this month and year
MENOM-KENOSHA,gaming_revenue_substitution,13851816,USD,substitution,"Potawatomi Hotel & Casino, Milwaukee, WI",Year 3,reported,"Menominee Kenosha EA Appendix SOCIO -- KlasRobinson Q.E.D., Economic Impact Study, November 2023",38,Projected Competitive Gaming Impact,high,Menominee Indian Tribe of Wisconsin,Alternative A - Casino and Hotel,,proposed,"KlasRobinson Q.E.D., IMPLAN model; inputs from KlasRobinson's own November 2023 Feasibility Study (NOT posted)",33,https://www.bia.gov/sites/default/files/media_document/menominee_kenosha_casino_ea_appendix-socio.pdf,Revenue projected to be captured FROM the named competitor.,2023-11,exact - the source_document title states this month and year
MENOM-KENOSHA,net_new_revenue,275028336,USD,operational_modelled,Project Site,Year 4,reported,"Menominee Kenosha EA Appendix SOCIO -- KlasRobinson Q.E.D., Economic Impact Study, November 2023",38,Projected Competitive Gaming Impact,high,Menominee Indian Tribe of Wisconsin,Alternative A - Casino and Hotel,,proposed,"KlasRobinson Q.E.D., IMPLAN model; inputs from KlasRobinson's own November 2023 Feasibility Study (NOT posted)",33,https://www.bia.gov/sites/default/files/media_document/menominee_kenosha_casino_ea_appendix-socio.pdf,Total projected revenue less capture from Wisconsin competitors; includes capture from Illinois.,2023-11,exact - the source_document title states this month and year
MENOM-KENOSHA,economic_output_full,352180000,USD per year,operational_modelled,"Kenosha County, WI",stabilized annual,reported,"Menominee Kenosha EA Appendix SOCIO -- KlasRobinson Q.E.D., Economic Impact Study, November 2023",39,Projected Full Economic Impact,high,Menominee Indian Tribe of Wisconsin,Alternative A - Casino and Hotel,,proposed,"KlasRobinson Q.E.D., IMPLAN model; inputs from KlasRobinson's own November 2023 Feasibility Study (NOT posted)",34,https://www.bia.gov/sites/default/files/media_document/menominee_kenosha_casino_ea_appendix-socio.pdf,"MODELLED OUTPUT, NOT GAMING REVENUE. Direct 276250000 + indirect 57130000 + induced 18800000.",2023-11,exact - the source_document title states this month and year
MENOM-KENOSHA,employment_full,2345,jobs,operational_modelled,State of Wisconsin,stabilized annual,reported,"Menominee Kenosha EA Appendix SOCIO -- KlasRobinson Q.E.D., Economic Impact Study, November 2023",39,Projected Full Economic Impact,high,Menominee Indian Tribe of Wisconsin,Alternative A - Casino and Hotel,,proposed,"KlasRobinson Q.E.D., IMPLAN model; inputs from KlasRobinson's own November 2023 Feasibility Study (NOT posted)",34,https://www.bia.gov/sites/default/files/media_document/menominee_kenosha_casino_ea_appendix-socio.pdf,Direct 1075 + indirect 725 + induced 545.,2023-11,exact - the source_document title states this month and year
