raw_name,normalised_name,n_occurrences,source_datasets,example_source_row,first_year_seen,last_year_seen,matched_entity_id,matched_entity_name,match_method,match_confidence,n_raw_variants,native_by_construction,prior_ruling_excluded
SEMINOLE TRIBE OF FLORIDA,seminole tribe of florida,461,compacts.bia_tribes_column|compacts.tribe|deals[deals_2000_2019_additions].Native_Party|deals[deals_federal_awards_additions].Native_Party|deals[deals_historical_2020_2025].Native_Party|federal_actions.title_abstract[alias_phrase]|gaming_facilities.tribe|identifier_ledger.legal_business_name|lobbying_disclosures.client_name,deals_2000_2019_additions.csv:row15,1979,2026,T-0470,Seminole Tribe of Florida,exact_normalised_string,exact,8,1,
Navajo Nation,navajo nation,234,deals[deals_2026_ytd].Native_Party|deals[deals_historical_2020_2025].Native_Party|federal_actions.title_abstract[anchored_suffix]|gaming_facilities.tribe|identifier_ledger.legal_business_name|native_bills.title[anchored_suffix],deals_2026_ytd.csv:row15,1994,2026,T-0340,"Navajo Nation, Arizona, New Mexico, & Utah",alias_token_set_with_state,alias,3,1,
MASHPEE WAMPANOAG TRIBE,mashpee wampanoag tribe,211,compacts.tribe|deals[deals_federal_awards_additions].Native_Party|federal_actions.title_abstract[alias_phrase]|federal_actions.title_abstract[anchored_suffix]|gaming_land_decisions.tribe|identifier_ledger.legal_business_name|lobbying_disclosures.client_name|native_bills.title[anchored_suffix],deals_federal_awards_additions.csv:row109,2001,2026,T-0215,Mashpee Wampanoag Tribe,exact_normalised_string,exact,3,1,
COQUILLE INDIAN TRIBE,coquille indian tribe,156,compacts.bia_tribes_column|compacts.tribe|federal_actions.title_abstract[alias_phrase]|federal_actions.title_abstract[anchored_suffix]|gaming_facilities.tribe|gaming_land_decisions.tribe|identifier_ledger.legal_business_name|lobbying_disclosures.client_name|native_bills.title[anchored_suffix],native_entity_lobbying_disclosures.csv:row1537,1994,2026,T-0090,Coquille Indian Tribe,exact_normalised_string,exact,4,1,
STANDING ROCK SIOUX TRIBE,standing rock sioux tribe,149,deals[deals_federal_awards_additions].Native_Party|federal_actions.title_abstract[anchored_suffix]|gaming_facilities.tribe|identifier_ledger.legal_business_name|lobbying_disclosures.client_name|native_bills.title[anchored_suffix],deals_federal_awards_additions.csv:row279,1991,2026,T-0495,Standing Rock Sioux Tribe of North & South Dakota,alias_token_set_state_optional,alias,2,1,
NISQUALLY INDIAN TRIBE,nisqually indian tribe,131,compacts.bia_tribes_column|compacts.tribe|deals[deals_federal_awards_additions].Native_Party|federal_actions.title_abstract[alias_phrase]|federal_actions.title_abstract[anchored_suffix]|gaming_facilities.tribe|gaming_land_decisions.tribe|identifier_ledger.legal_business_name|lobbying_disclosures.client_name|native_bills.title[anchored_suffix],deals_federal_awards_additions.csv:row102,1997,2026,T-0349,Nisqually Indian Tribe,exact_normalised_string,exact,3,1,
MASHANTUCKET PEQUOT TRIBAL NATION,mashantucket pequot tribal nation,120,deals[deals_federal_awards_additions].Native_Party|federal_actions.title_abstract[anchored_suffix]|gaming_facilities.tribe|lobbying_disclosures.client_name,deals_federal_awards_additions.csv:row16,1992,2026,T-0214,Mashantucket Pequot Indian Tribe,alias_token_set_with_state,alias,2,1,
"CONFEDERATED TRIBES OF COOS, LOWER UMPQUA AND SIUSLAW INDIANS",confederated tribes of coos lower umpqua and siuslaw indians,113,deals[deals_sec_2010_2017_additions].Native_Party|identifier_ledger.legal_business_name|lobbying_disclosures.client_name,deals_sec_2010_2017_additions.csv:row11,1999,2026,T-0085,"Confederated Tribes of the Coos, Lower Umpqua and Siuslaw Indians",alias_token_set_with_state,alias,5,1,
Cherokee Nation,cherokee nation,108,compacts.bia_tribes_column|compacts.tribe|deals[deals_2026_ytd].Native_Party|deals[deals_federal_awards_additions].Native_Party|federal_actions.title_abstract[alias_phrase]|federal_actions.title_abstract[anchored_suffix]|gaming_facilities.tribe|gaming_land_decisions.tribe|identifier_ledger.legal_business_name|native_bills.title[anchored_suffix]|subawards.sub_name,deals_federal_awards_additions.csv:row221,1993,2026,T-0056,Cherokee Nation,exact_normalised_string,exact,4,1,
SWINOMISH INDIAN TRIBAL COMMUNITY,swinomish indian tribal community,103,compacts.bia_tribes_column|compacts.tribe|deals[deals_federal_awards_additions].Native_Party|federal_actions.title_abstract[alias_phrase]|gaming_facilities.tribe|identifier_ledger.legal_business_name|lobbying_disclosures.client_name,deals_federal_awards_additions.csv:row133,1985,2026,T-0503,Swinomish Indian Tribal Community,exact_normalised_string,exact,3,1,
