claim_id,source_claim_id,claim_family,assertion_class,assertion_class_note,metric,value,unit,value_is_bounded,bound_direction,bound_basis,not_summable_with,measurement_type,measurement_basis,vocabulary_status,metric_renamed_from,recovery_rule,recovery_reason,n_occurrences_collapsed,facility_id,cedar_place_id_absent_reason,cedar_place_id,facility_name,tribe_name,cedar_uid,state,record_scope_basis,inclusion_basis,also_in_gaming_property_site_observations,site_host,source_url,source_quote,retrieved_at,as_of_date,as_of_date_precision,as_of_date_basis,attribution_basis,confidence,built_date,unit_as_harvested,value_verbatim,bound_direction_as_harvested,measurement_scope,measurement_scope_basis,facility_attribution_status,tribe_facility_ids_not_disambiguated,n_facilities_for_tribe,duplicate_of_existing_claim_id,duplicate_within_source_page,source_md5
GSPC-345e89db1cac,GWH-efcac6c784420941,web_harvest_980,SELF_PUBLISHED_OPERATOR_CLAIM,"SELF-PUBLISHED BY THE OPERATOR, harvested from the property's own site by code/980_gaming_web_harvest.py. It is an ASSERTION, not a regulator's measurement and not an audited figure, and it must never be pooled with `gaming_capacity_official.csv` (regulator-reported), with NIGC gross gaming revenue, or with the Casino City vendor panel. Where the two disagree, this row is the weaker evidence and says so.",gaming_machines,450,machines,Y,LOWER_BOUND,trailing '+' in the operator's own wording,nigc_gross_gaming_revenue;state_regulator_device_counts;gaming_facility_metrics.official;other_rows_of_this_table_for_the_same_facility,SELF_PUBLISHED_MARKETING_CLAIM,"a capacity figure the operator publishes about itself on its own website, regex-extracted with the verbatim sentence retained; promotional, not audited",,,,,1,CCP-44500,,CEDAR-PLACE-000009-P1,BlueWater Resort & Casino,Colorado River,CE-0013N-H6,AZ,the claim is published on a host operated by one Native entity; the property it describes is that entity's single gaming facility,published on the website of a tribally owned or operated gaming property in Cedar's facility universe,N,bluewater-casino-resort.com,https://bluewater-casino-resort.com/casino/,Blue Water Resort & Casino CALENDAR THE CLUB CAREERS PROMOTIONS BOOK A ROOM! TICKETS PLAY Enjoy Table Games & 450+ Slots STAY Discover Luxury Suites & Resort Amenities DINE Experience Casual & Fine Dining Delights SPLASH Cool Off,2026-09-02T06:47:39.332378+00:00,2026-09-02,day,date the page was retrieved; page states no as-of date,single_facility_tribe,low_needs_review,2026-09-02,count,450+ Slots,at_least,UNVERIFIED_SCOPE,nothing in the sentence says whether this is the whole property or one room; Cedar has not verified it either way,SINGLE_FACILITY_TRIBE,,1,GSPC-345e89db1cac,,dfdb4bdafa7f216386fd0181eacd60d7
GSPC-938125cc695f,GWH-e64b740b806cd22a,web_harvest_980,SELF_PUBLISHED_OPERATOR_CLAIM,"SELF-PUBLISHED BY THE OPERATOR, harvested from the property's own site by code/980_gaming_web_harvest.py. It is an ASSERTION, not a regulator's measurement and not an audited figure, and it must never be pooled with `gaming_capacity_official.csv` (regulator-reported), with NIGC gross gaming revenue, or with the Casino City vendor panel. Where the two disagree, this row is the weaker evidence and says so.",gaming_machines,450,machines,Y,LOWER_BOUND,trailing '+' in the operator's own wording,nigc_gross_gaming_revenue;state_regulator_device_counts;gaming_facility_metrics.official;other_rows_of_this_table_for_the_same_facility,SELF_PUBLISHED_MARKETING_CLAIM,"a capacity figure the operator publishes about itself on its own website, regex-extracted with the verbatim sentence retained; promotional, not audited",,,,,1,CCP-44500,,CEDAR-PLACE-000009-P1,BlueWater Resort & Casino,Colorado River,CE-0013N-H6,AZ,the claim is published on a host operated by one Native entity; the property it describes is that entity's single gaming facility,published on the website of a tribally owned or operated gaming property in Cedar's facility universe,N,bluewater-casino-resort.com,https://bluewater-casino-resort.com/about/,ino Resort on the Colorado CALENDAR THE CLUB CAREERS PROMOTIONS BOOK A ROOM! TICKETS PLAY Enjoy Table Games & 450+ Slots STAY Discover Luxury Suites & Resort Amenities DINE Experience Casual & Fine Dining Delights SPLASH Cool Off,2026-09-02T06:47:39.332378+00:00,2026-09-02,day,date the page was retrieved; page states no as-of date,single_facility_tribe,low_needs_review,2026-09-02,count,450+ Slots,at_least,UNVERIFIED_SCOPE,nothing in the sentence says whether this is the whole property or one room; Cedar has not verified it either way,SINGLE_FACILITY_TRIBE,,1,GSPC-938125cc695f,,24dfad427065022d2c4d3ac183437e22
GSPC-5c84329bb32e,GWH-4af5d981f0a8e2c3,web_harvest_980,SELF_PUBLISHED_OPERATOR_CLAIM,"SELF-PUBLISHED BY THE OPERATOR, harvested from the property's own site by code/980_gaming_web_harvest.py. It is an ASSERTION, not a regulator's measurement and not an audited figure, and it must never be pooled with `gaming_capacity_official.csv` (regulator-reported), with NIGC gross gaming revenue, or with the Casino City vendor panel. Where the two disagree, this row is the weaker evidence and says so.",gaming_machines,900,machines,Y,LOWER_BOUND,trailing '+' in the operator's own wording,nigc_gross_gaming_revenue;state_regulator_device_counts;gaming_facility_metrics.official;other_rows_of_this_table_for_the_same_facility,SELF_PUBLISHED_MARKETING_CLAIM,"a capacity figure the operator publishes about itself on its own website, regex-extracted with the verbatim sentence retained; promotional, not audited",,,,,1,CCP-41600,,CEDAR-PLACE-000056-N8,Chicken Ranch Bingo & Casino,Chicken Ranch,CE-00132-ZB,CA,the claim is published on a host operated by one Native entity; the property it describes is that entity's single gaming facility,published on the website of a tribally owned or operated gaming property in Cedar's facility universe,N,chickenranchcasinoresort.com,https://chickenranchcasinoresort.com/gaming,"oor, or see what we have to offer. High Limit Slots Table Games SLOTS GO FOR A SPIN! Spin to win on one of our 900+ slot machines! Brand new, primed, and ready for play. We’ve even got a few classics for the more seasoned birds. Slot Machi",2026-09-02T06:47:39.332378+00:00,2026-09-02,day,date the page was retrieved; page states no as-of date,single_facility_tribe,low_needs_review,2026-09-02,count,900+ slot machines,at_least,UNVERIFIED_SCOPE,nothing in the sentence says whether this is the whole property or one room; Cedar has not verified it either way,SINGLE_FACILITY_TRIBE,,1,GSPC-5c84329bb32e,,fd56434dde15a67fb9e8ae691f6dac80
GSPC-ff151bfd81f1,GWH-616978dc3bec5bfc,web_harvest_980,SELF_PUBLISHED_OPERATOR_CLAIM,"SELF-PUBLISHED BY THE OPERATOR, harvested from the property's own site by code/980_gaming_web_harvest.py. It is an ASSERTION, not a regulator's measurement and not an audited figure, and it must never be pooled with `gaming_capacity_official.csv` (regulator-reported), with NIGC gross gaming revenue, or with the Casino City vendor panel. Where the two disagree, this row is the weaker evidence and says so.",gaming_machines,2300,machines,Y,LOWER_BOUND,,nigc_gross_gaming_revenue;state_regulator_device_counts;gaming_facility_metrics.official;other_rows_of_this_table_for_the_same_facility,SELF_PUBLISHED_MARKETING_CLAIM,"a capacity figure the operator publishes about itself on its own website, regex-extracted with the verbatim sentence retained; promotional, not audited",,,,,1,CCP-42800,,CEDAR-PLACE-000058-1T,Chumash Casino Resort,Santa Ynez,CE-001AW-Y5,CA,the claim is published on a host operated by one Native entity; the property it describes is that entity's single gaming facility,published on the website of a tribally owned or operated gaming property in Cedar's facility universe,N,chumash.gov,https://chumash.gov/press-releases/ventura-county-man-hits-137k-jackpot-on-four-card-poker-at-chumash-casino-resort,"d and operated by the Santa Ynez Band of Chumash Indians. The casino’s gaming floor is open 24/7 and features over 2,300 slot machines, 45 table games, poker, bingo, and weekly car giveaways. ### Download as PDF Sean Larsen July 31, 2023 Facebo",2026-09-02T06:47:39.332378+00:00,2026-09-02,day,date the page was retrieved; page states no as-of date,single_facility_tribe,low_needs_review,2026-09-02,count,"over 2,300 slot machines",at_least,UNVERIFIED_SCOPE,nothing in the sentence says whether this is the whole property or one room; Cedar has not verified it either way,SINGLE_FACILITY_TRIBE,,1,GSPC-ff151bfd81f1,,b7c93a9bd8dbf2a674e817c377ae8f07
GSPC-8d042657f2a4,GWH-4bba9edc4b6d645f,web_harvest_980,SELF_PUBLISHED_OPERATOR_CLAIM,"SELF-PUBLISHED BY THE OPERATOR, harvested from the property's own site by code/980_gaming_web_harvest.py. It is an ASSERTION, not a regulator's measurement and not an audited figure, and it must never be pooled with `gaming_capacity_official.csv` (regulator-reported), with NIGC gross gaming revenue, or with the Casino City vendor panel. Where the two disagree, this row is the weaker evidence and says so.",gaming_machines,1300,machines,Y,LOWER_BOUND,,nigc_gross_gaming_revenue;state_regulator_device_counts;gaming_facility_metrics.official;other_rows_of_this_table_for_the_same_facility,SELF_PUBLISHED_MARKETING_CLAIM,"a capacity figure the operator publishes about itself on its own website, regex-extracted with the verbatim sentence retained; promotional, not audited",,,,,1,CCP-126300,,CEDAR-PLACE-000596-JM,Suquamish Clearwater Casino Resort,Suquamish,CE-001B0-VS,WA,the claim is published on a host operated by one Native entity; the property it describes is that entity's single gaming facility,published on the website of a tribally owned or operated gaming property in Cedar's facility universe,N,clearwatercasino.com,https://clearwatercasino.com/casino/,"dive into the excitement with live Clearwater Casino Table Games, the FanDuel Sportsbook® , Keno Lounge , and over 1,300 Slot Machines. Stunning Views of Seattle and the Waterfront Drink in the views from one of our 183 guest rooms, designed to",2026-09-02T06:47:39.332378+00:00,2026-09-02,day,date the page was retrieved; page states no as-of date,single_facility_tribe,low_needs_review,2026-09-02,count,"over 1,300 Slot Machines",at_least,UNVERIFIED_SCOPE,nothing in the sentence says whether this is the whole property or one room; Cedar has not verified it either way,SINGLE_FACILITY_TRIBE,,1,GSPC-8d042657f2a4,,2b2cb6bb0f52a94225d49e00afe78413
GSPC-b12449f236af,GWH-3b19a33d618785ae,web_harvest_980,SELF_PUBLISHED_OPERATOR_CLAIM,"SELF-PUBLISHED BY THE OPERATOR, harvested from the property's own site by code/980_gaming_web_harvest.py. It is an ASSERTION, not a regulator's measurement and not an audited figure, and it must never be pooled with `gaming_capacity_official.csv` (regulator-reported), with NIGC gross gaming revenue, or with the Casino City vendor panel. Where the two disagree, this row is the weaker evidence and says so.",gaming_machines,500,machines,Y,LOWER_BOUND,,nigc_gross_gaming_revenue;state_regulator_device_counts;gaming_facility_metrics.official;other_rows_of_this_table_for_the_same_facility,SELF_PUBLISHED_MARKETING_CLAIM,"a capacity figure the operator publishes about itself on its own website, regex-extracted with the verbatim sentence retained; promotional, not audited",,,,,1,CCP-66400,,CEDAR-PLACE-000205-C5,Fortune Bay Resort Casino,Bois Forte,CE-000QC-VW,MN,the claim is published on a host operated by one Native entity; the property it describes is that entity's single gaming facility,published on the website of a tribally owned or operated gaming property in Cedar's facility universe,N,fortunebay.com,https://fortunebay.com/index.php/casino/games,dings & Events Weddings Meetings & Events Testimonials Gallery Explore Casino Games at Fortune Bay Slots With more than 500 slot machines - including video poker and video keno - you're sure to find the game you want to play. Learn More Blackjack,2026-09-02T06:47:39.332378+00:00,2026-09-02,day,date the page was retrieved; page states no as-of date,single_facility_tribe,low_needs_review,2026-09-02,count,more than 500 slot machines,at_least,UNVERIFIED_SCOPE,nothing in the sentence says whether this is the whole property or one room; Cedar has not verified it either way,SINGLE_FACILITY_TRIBE,,1,GSPC-b12449f236af,,9031c453f4fbb922c9dbe28a140bc0bf
GSPC-0c6e307b073b,GWH-0a12eebb83657381,web_harvest_980,SELF_PUBLISHED_OPERATOR_CLAIM,"SELF-PUBLISHED BY THE OPERATOR, harvested from the property's own site by code/980_gaming_web_harvest.py. It is an ASSERTION, not a regulator's measurement and not an audited figure, and it must never be pooled with `gaming_capacity_official.csv` (regulator-reported), with NIGC gross gaming revenue, or with the Casino City vendor panel. Where the two disagree, this row is the weaker evidence and says so.",gaming_machines,400,machines,Y,LOWER_BOUND,trailing '+' in the operator's own wording,nigc_gross_gaming_revenue;state_regulator_device_counts;gaming_facility_metrics.official;other_rows_of_this_table_for_the_same_facility,SELF_PUBLISHED_MARKETING_CLAIM,"a capacity figure the operator publishes about itself on its own website, regex-extracted with the verbatim sentence retained; promotional, not audited",,,,,1,,no facility_id on this row,,,The Osage Nation,CE-00180-C9,OK,the claim is published on a host operated by one Native entity; the property it describes is one of several the entity operates and the page does not say which,published on the website of a tribally owned or operated gaming property in Cedar's facility universe,N,osagecasino.com,https://osagecasino.com/gaming/,"g Options Location: 301 Blackjack Dr. Sand Springs, OK 74063 Open 24/7 View Floor Map Entertainment Ponca City 400+ Electronic Games Hotel Reservations Dining Options Location: 64464 Highway 60 Ponca City, OK 74604 Open 24/7 View Floor Map En",2026-09-02T06:47:39.332378+00:00,2026-09-02,day,date the page was retrieved; page states no as-of date,tribe-level host serving 10 Cedar facilities - not attributable to one,low_needs_review,2026-09-02,count,400+ Electronic Games,at_least,UNVERIFIED_SCOPE,nothing in the sentence says whether this is the whole property or one room; Cedar has not verified it either way,TRIBE_LEVEL_MULTI_FACILITY_NOT_DISAMBIGUATED,CCP-783500;CCP-659000;CCP-659100;CCP-662000;CCP-859600;CCP-863200;CCP-689400;VP-0199;VP-0194;VP-0193,10,GSPC-0c6e307b073b,,9b08251fc0fbb221dc3d1efb37b10203
GSPC-c3cf64bb70c8,GWH-0f2624b3725aee95,web_harvest_980,SELF_PUBLISHED_OPERATOR_CLAIM,"SELF-PUBLISHED BY THE OPERATOR, harvested from the property's own site by code/980_gaming_web_harvest.py. It is an ASSERTION, not a regulator's measurement and not an audited figure, and it must never be pooled with `gaming_capacity_official.csv` (regulator-reported), with NIGC gross gaming revenue, or with the Casino City vendor panel. Where the two disagree, this row is the weaker evidence and says so.",gaming_machines,800,machines,Y,LOWER_BOUND,,nigc_gross_gaming_revenue;state_regulator_device_counts;gaming_facility_metrics.official;other_rows_of_this_table_for_the_same_facility,SELF_PUBLISHED_MARKETING_CLAIM,"a capacity figure the operator publishes about itself on its own website, regex-extracted with the verbatim sentence retained; promotional, not audited",,,,,1,CCP-536400,,CEDAR-PLACE-000112-F0,Rolling Hills Casino,Paskenta,CE-0018Q-P8,CA,the claim is published on a host operated by one Native entity; the property it describes is that entity's single gaming facility,published on the website of a tribally owned or operated gaming property in Cedar's facility universe,N,rollinghillscasino.com,https://rollinghillscasino.com/casinos/slot-machines/,"OOK NOW We are upgrading our system, please call the Hotel directly to book during this time. ▲ Slot Machines OVER 800 SLOT MACHINES? SOUNDS LIKE FUN! With one of the widest varieties of traditional and contemporary offerings in the North Sta",2026-09-02T06:47:39.332378+00:00,2026-09-02,day,date the page was retrieved; page states no as-of date,single_facility_tribe,low_needs_review,2026-09-02,count,OVER 800 SLOT MACHINES,at_least,UNVERIFIED_SCOPE,nothing in the sentence says whether this is the whole property or one room; Cedar has not verified it either way,SINGLE_FACILITY_TRIBE,,1,GSPC-c3cf64bb70c8,,0c74f2bf54e8581c4d0436d4c1fa4d13
GSPC-8d8d7bc77a40,GWH-6017e8e06ee68ed9,web_harvest_980,SELF_PUBLISHED_OPERATOR_CLAIM,"SELF-PUBLISHED BY THE OPERATOR, harvested from the property's own site by code/980_gaming_web_harvest.py. It is an ASSERTION, not a regulator's measurement and not an audited figure, and it must never be pooled with `gaming_capacity_official.csv` (regulator-reported), with NIGC gross gaming revenue, or with the Casino City vendor panel. Where the two disagree, this row is the weaker evidence and says so.",gaming_square_feet,90000,sq_ft,Y,LOWER_BOUND,,nigc_gross_gaming_revenue;state_regulator_device_counts;gaming_facility_metrics.official;other_rows_of_this_table_for_the_same_facility,SELF_PUBLISHED_MARKETING_CLAIM,"a capacity figure the operator publishes about itself on its own website, regex-extracted with the verbatim sentence retained; promotional, not audited",,,,,1,CCP-123400,,CEDAR-PLACE-000536-0R,Spirit Mountain Casino,Grand Ronde Tribes,CE-0014S-ET,OR,the claim is published on a host operated by one Native entity; the property it describes is that entity's single gaming facility,published on the website of a tribally owned or operated gaming property in Cedar's facility universe,Y,spiritmountain.com,https://spiritmountain.com/about/casino-near-portland-or/,"ands of slot machines and classic table games like blackjack, roulette, and craps Spacious Casino Floor: Over 90,000 square feet of gaming space provides plenty of room to explore and play All-in-One Destination: Dining, entertainment, gaming, and",2026-09-02T06:47:39.332378+00:00,2026-09-02,day,date the page was retrieved; page states no as-of date,single_facility_tribe,low_needs_review,2026-09-02,square_feet,"90,000 square feet of gaming",at_least,UNVERIFIED_SCOPE,nothing in the sentence says whether this is the whole property or one room; Cedar has not verified it either way,SINGLE_FACILITY_TRIBE,,1,GSPC-d88d0642470c,,322a67838da13b0db282d2145badc725
GSPC-0e18efd1d60e,GWH-f24b73e7434a9710,web_harvest_980,SELF_PUBLISHED_OPERATOR_CLAIM,"SELF-PUBLISHED BY THE OPERATOR, harvested from the property's own site by code/980_gaming_web_harvest.py. It is an ASSERTION, not a regulator's measurement and not an audited figure, and it must never be pooled with `gaming_capacity_official.csv` (regulator-reported), with NIGC gross gaming revenue, or with the Casino City vendor panel. Where the two disagree, this row is the weaker evidence and says so.",gaming_machines,800,machines,Y,LOWER_BOUND,,nigc_gross_gaming_revenue;state_regulator_device_counts;gaming_facility_metrics.official;other_rows_of_this_table_for_the_same_facility,SELF_PUBLISHED_MARKETING_CLAIM,"a capacity figure the operator publishes about itself on its own website, regex-extracted with the verbatim sentence retained; promotional, not audited",,,,,1,CCP-522600,,CEDAR-PLACE-000054-9P,Casino Pauma,Pauma,CE-00185-A6,CA,the claim is published on a host operated by one Native entity; the property it describes is that entity's single gaming facility,published on the website of a tribally owned or operated gaming property in Cedar's facility universe,N,www.casinopauma.com,https://www.casinopauma.com/about/,"d in scenic Pauma Valley, offering an intimate casino experience just a short drive from San Diego. Featuring over 800 slot machines, table games, and promotions for nonstop excitement on the gaming floor. Guests can enjoy casual dining optio",2026-09-02T06:47:39.332378+00:00,2026-09-02,day,date the page was retrieved; page states no as-of date,single_facility_tribe,low_needs_review,2026-09-02,count,over 800 slot machines,at_least,UNVERIFIED_SCOPE,nothing in the sentence says whether this is the whole property or one room; Cedar has not verified it either way,SINGLE_FACILITY_TRIBE,,1,GSPC-0e18efd1d60e,,13b822f8a2865b17d0a6d7afa4b6b7a6
