funder_key,funder_name_canonical,funder_ein,expected_form,is_donor_advised_fund,index_years_searched,returns_indexed,returns_retrieved,returns_parsed,grant_rows,tax_years_observed,coverage_status,coverage_note,built_date,built_by_script
BRADLEY,LYNDE AND HARRY BRADLEY FOUNDATION INC,396037928,990PF,0,2017-2026,5,5,5,1982,"2020,2021,2022,2023,2024",RETRIEVED_AND_PARSED,"5 Form 990-T return(s) indexed and deliberately not read: Form 990-T is the business income tax return and carries no grants schedule. Filed on Form 990-PF, whose Part XV grants list carries NO recipient EIN -- recipient identification is by name only. E-file coverage is partial before tax year 2019.",2026-08-12,code/140_build_grantmaker_funding_flows.py
SEARLE,SEARLE FREEDOM TRUST,367244615,990PF,0,2017-2026,5,5,5,537,"2020,2021,2022,2023,2024",RETRIEVED_AND_PARSED,"5 Form 990-T return(s) indexed and deliberately not read: Form 990-T is the business income tax return and carries no grants schedule. Filed on Form 990-PF, whose Part XV grants list carries NO recipient EIN -- recipient identification is by name only. E-file coverage is partial before tax year 2019.",2026-08-12,code/140_build_grantmaker_funding_flows.py
DONORSCAPITAL,DONORS CAPITAL FUND INC,541934032,990,1,2017-2026,5,5,5,59,"2020,2021,2022,2023,2024",RETRIEVED_AND_PARSED,Filed on Form 990; Schedule I Part II carries the recipient EIN. This filer is a donor-advised fund and anonymises the original donor by design. E-file coverage is partial before tax year 2019.,2026-08-12,code/140_build_grantmaker_funding_flows.py
KOCHFDN2,CHARLES KOCH FOUNDATION II,854058882,990PF,0,2017-2026,5,5,5,7,"2020,2021,2022,2023,2024",RETRIEVED_AND_PARSED,"5 Form 990-T return(s) indexed and deliberately not read: Form 990-T is the business income tax return and carries no grants schedule. Filed on Form 990-PF, whose Part XV grants list carries NO recipient EIN -- recipient identification is by name only. E-file coverage is partial before tax year 2019.",2026-08-12,code/140_build_grantmaker_funding_flows.py
UIHLEIN,ED UIHLEIN FAMILY FOUNDATION,205723621,990PF,0,2017-2026,6,6,6,325,"2020,2021,2022,2023,2024",RETRIEVED_AND_PARSED,"Filed on Form 990-PF, whose Part XV grants list carries NO recipient EIN -- recipient identification is by name only. E-file coverage is partial before tax year 2019.",2026-08-12,code/140_build_grantmaker_funding_flows.py
TEMPLETON,JOHN TEMPLETON FOUNDATION,621322826,990PF,0,2017-2026,9,8,8,3932,"2016,2017,2018,2020,2021,2022,2023,2024",PARTIAL_SOME_RETURNS_INDEXED_NOT_RETRIEVED,"1 indexed return(s) not retrieved. 5 Form 990-T return(s) indexed and deliberately not read: Form 990-T is the business income tax return and carries no grants schedule. Filed on Form 990-PF, whose Part XV grants list carries NO recipient EIN -- recipient identification is by name only. E-file coverage is partial before tax year 2019.",2026-08-12,code/140_build_grantmaker_funding_flows.py
JM,THE JM FOUNDATION,136068340,990PF,0,2017-2026,5,5,5,20,"2020,2024,2025",RETRIEVED_AND_PARSED,"1 Form 990-T return(s) indexed and deliberately not read: Form 990-T is the business income tax return and carries no grants schedule. Filed on Form 990-PF, whose Part XV grants list carries NO recipient EIN -- recipient identification is by name only. E-file coverage is partial before tax year 2019.",2026-08-12,code/140_build_grantmaker_funding_flows.py
RECIPIENT:GOLDWATER,BARRY GOLDWATER INSTITUTE FOR PUBLIC POLICY RESEARCH,860597661,,0,,,,,35,"2016,2017,2018,2019,2020,2021,2022,2023,2024",OBSERVABLE,match bases: recipient_name_phrase_match_no_ein_on_form=19; recipient_ein_on_filed_schedule=16,2026-08-12,code/140_build_grantmaker_funding_flows.py
RECIPIENT:TPPF,TEXAS PUBLIC POLICY FOUNDATION,742524057,,0,,,,,41,"2016,2017,2018,2019,2020,2021,2022,2023,2024,2025",OBSERVABLE,match bases: recipient_name_phrase_match_no_ein_on_form=26; recipient_ein_on_filed_schedule=15,2026-08-12,code/140_build_grantmaker_funding_flows.py
RECIPIENT:NCLA,NEW CIVIL LIBERTIES ALLIANCE,813474290,,0,,,,,29,"2017,2018,2020,2021,2022,2023,2024",OBSERVABLE,match bases: recipient_name_phrase_match_no_ein_on_form=21; recipient_ein_on_filed_schedule=8,2026-08-12,code/140_build_grantmaker_funding_flows.py
