agency,parent_department,agency_key,n_consultation_events,n_participant_rows,n_distinct_tribes,first_year,last_year,n_years_with_records,publishes_named_participants,publishes_event_location,publishes_event_dates,records_mentioning_written_comments,records_mentioning_summary,records_mentioning_transcript,consultation_page_url,consultation_page_status,policy_frequency_obligation,policy_trigger_obligation,policy_source_url,policy_source_quote,coverage_basis,coverage_gap_note,fetched_date,built_date
National Park Service,Interior Department,NPS,1841,10361,395,2002,2025,20,1,3,0,5,0,5,https://www.nps.gov/subjects/tribes/index.htm,200,,,,,federal_register_full_text,Agency consultation page returned HTTP 200 but under 500 characters of text: the content is JavaScript-rendered and not machine-readable by a plain fetch.,2026-08-07,2026-08-07
Interior Department,Interior Department,DOI,27,34,34,1997,2024,10,1,7,6,13,1,0,https://www.doi.gov/priorities/strengthening-tribal-nations;https://www.doi.gov/tribalconsultation;https://www.doi.gov/tribes/consultation;https://www.doi.gov/elips/browse;https://www.doi.gov/tribes/consultation-policy,404;404;404;200;404,,,,,federal_register_full_text,,2026-08-07,2026-08-07
Housing and Urban Development Department,Housing and Urban Development Department,HUD,14,0,0,1999,2024,8,0,0,1,4,0,0,https://www.hud.gov/program_offices/public_indian_housing/ih/codetalk,200,,,,,federal_register_full_text,"Agency consultation page returned HTTP 200 but under 500 characters of text: the content is JavaScript-rendered and not machine-readable by a plain fetch. Agency appears in the consultation corpus but no record of its consultations names the participating Tribes. Participant coverage is a gap for this agency, not an absence of participants.",2026-08-07,2026-08-07
Employment and Training Administration,Labor Department,,10,0,0,1997,2024,8,0,1,3,6,0,0,,not_probed,,,,,federal_register_full_text,"Agency consultation page not probed in this build. Agency appears in the consultation corpus but no record of its consultations names the participating Tribes. Participant coverage is a gap for this agency, not an absence of participants.",2026-08-07,2026-08-07
Commerce Department,Commerce Department,,5,0,0,1996,2022,5,0,0,0,1,0,0,,not_probed,,,,,federal_register_full_text,"Agency consultation page not probed in this build. Agency appears in the consultation corpus but no record of its consultations names the participating Tribes. Participant coverage is a gap for this agency, not an absence of participants.",2026-08-07,2026-08-07
Federal Highway Administration,Transportation Department,DOT,4,0,0,1999,2025,3,0,0,0,3,0,0,https://www.transportation.gov/tribal,403,,,,,federal_register_full_text,"Agency consultation page BLOCKED to automated fetch (HTTP 403 from the site's edge). Its published consultation material is real and unretrieved; this is an access limit, not an absence. Agency appears in the consultation corpus but no record of its consultations names the participating Tribes. Participant coverage is a gap for this agency, not an absence of participants.",2026-08-07,2026-08-07
National Oceanic and Atmospheric Administration,Commerce Department,,4,0,0,2013,2025,3,0,1,0,2,0,0,,not_probed,,,,,federal_register_full_text,"Agency consultation page not probed in this build. Agency appears in the consultation corpus but no record of its consultations names the participating Tribes. Participant coverage is a gap for this agency, not an absence of participants.",2026-08-07,2026-08-07
Energy Department,Energy Department,DOE,3,0,0,1996,2023,3,0,0,0,1,0,0,https://www.energy.gov/indianenergy/office-indian-energy-policy-and-programs;https://www.energy.gov/indianenergy/tribal-consultation;https://www.energy.gov/management/doe-tribal-consultation-policy,200;404;404,,,,,federal_register_full_text,"Agency appears in the consultation corpus but no record of its consultations names the participating Tribes. Participant coverage is a gap for this agency, not an absence of participants.",2026-08-07,2026-08-07
National Institutes of Health,Health and Human Services Department,,3,0,0,2019,2023,2,0,1,0,0,0,0,,not_probed,,,,,federal_register_full_text,"Agency consultation page not probed in this build. Agency appears in the consultation corpus but no record of its consultations names the participating Tribes. Participant coverage is a gap for this agency, not an absence of participants.",2026-08-07,2026-08-07
Reclamation Bureau,Interior Department,DOI,2,0,0,2003,2022,2,0,0,1,2,0,0,https://www.doi.gov/priorities/strengthening-tribal-nations;https://www.doi.gov/tribalconsultation;https://www.doi.gov/tribes/consultation;https://www.doi.gov/elips/browse;https://www.doi.gov/tribes/consultation-policy,404;404;404;200;404,,,,,federal_register_full_text,"Agency appears in the consultation corpus but no record of its consultations names the participating Tribes. Participant coverage is a gap for this agency, not an absence of participants.",2026-08-07,2026-08-07
