Deal_ID,Event_Date,Event_Year,Event_Quarter,Event_Month,Deal_Title,Native_Party,Native_Party_Type,Counterparty_or_Funder,Deal_Category,Industry,Event_Type,Status,Record_Scope,Announced_Value_USD,Value_Type,Project_Total_Value_USD,State,Location,Description,Native_Connection,Source_1,Source_1_Type,Source_2,Source_2_Type,Verification_Status,Confidence,Threshold_Exception,Date_Basis,Notes,Date_Added,Data_As_Of,_source_file,record_class,sector,transaction_type,capital_source,native_party_role,deal_status_std,sector_raw,transaction_type_raw,deal_category_raw,value_type_raw,classified_date,native_party_entity_id,native_party_canonical_name,native_party_parent_entity,native_party_attribution_tier,native_party_attribution_method,native_party_attribution_source,native_party_value_caution,cedar_uid
ANCSA-2015-001,2015-01-05,2015,Q1,2015-01,"Chugach Commercial Holdings, LLC acquires a 90-percent interest in All American Oilfield, LLC",Chugach Alaska Corporation,Alaska Native corporation,"All American Oilfield, LLC",Acquisition,Oil and gas services,90% ownership interest acquisition,Completed,2015 commitment,5000000,"Total consideration paid by the Corporation: $4,464,000 closing cash payment plus $536,000 working capital contribution",10000000,AK,Alaska,"Chugach Alaska Corporation's wholly owned subsidiary Chugach Commercial Holdings, LLC acquired a 90% ownership interest in All American Oilfield, LLC, an oil and gas services company. No liabilities were assumed. Goodwill of $7,945,283 was recognised.",Chugach Alaska Corporation is an Alaska Native Claims Settlement Act corporation and a filer with the Alaska Division of Banking and Securities under AS 45.55.139.,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=d6ee583d-6ef6-4e4f-8a22-5375df11c3ff,ANCSA corporation annual report filed with the Alaska Division of Banking and Securities (STAR portal),https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=063c5913-d29a-4691-a692-2620822cef72,ANCSA corporation annual report filed with the Alaska Division of Banking and Securities (STAR portal),Primary verified,High,No,"Transaction date stated in the annual report note: ""On January 5, 2015, the Corporation's wholly owned subsidiary Chugach Commercial Holdings, LLC acquired a 90% ownership interest in an oil and gas services company, All American Oilfield, LLC.""","ANCSA portal harvest 2026-08-05. VALUE HANDLING: the note's table totals $10,000,000, which is the Corporation's $5,000,000 consideration PLUS a $3,000,000 promissory note, $1,000,000 contingent consideration and $1,000,000 of noncontrolling-interest contributions. Announced_Value_USD carries only the $5,000,000 the Corporation itself paid; Project_Total_Value_USD carries the $10,000,000 table total. Do NOT sum. The filing further states the earn-out was not achieved during 2015 and the $1,000,000 contingent consideration was never earned. See ANCSA-2020-001 for the later purchase of the remaining 10%.",2026-08-05,2026-08-05,deals_ancsa_portal_additions.csv,TRANSACTION,Natural Resources,Acquisition,Private,Acquirer,Completed,Oil and gas services,90% ownership interest acquisition,Acquisition,"Total consideration paid by the Corporation: $4,464,000 closing cash payment plus $536,000 working capital contribution",2026-09-02,ANRC-CHGCCO-00,Chugach Alaska Corporation,Chugach Alaska Corporation,A,agent_ruling+exact,deals_party_attribution_agent.csv,0,CE-0007C-BW
FA-DOE-0003,2024-05-01,2024,Q2,2024-05,DOE Office of Indian Energy grant: Coyote Valley Community Solar Project,Coyote Valley Band of Pomo Indians,Tribal government or Native entity,"U.S. Department of Energy, Office of Indian Energy Policy and Programs",Grant / public financing,Energy - Solar,Awarded,Awarded,2024 commitment,3191312.0,Federal grant award (DOE share),9729518.0,CA,"Redwood Valley, CA",Coyote Valley Community Solar Project. DOE grant number DE-IE0000178. Type of application: Deployment. Awardee cost share $6538206; total project $9729518.,The tribe or Native entity is the direct federal award recipient.,https://www.energy.gov/node/4853152,Federal agency project page,https://www.energy.gov/indianenergy/tribal-energy-projects-database,Federal award list,Primary verified,High,No,"DOE project period-of-performance start date (award performance start, not the obligation date)","DOE Tribal Energy Projects Database award year 2022. Only projects with a DOE share of $1M or more are written; 176 sub-threshold projects in the same database are logged, not written.",2026-08-05,2026-08-05,deals_federal_awards_additions.csv,PUBLIC_AWARD,Energy,Grant / Public Award,Federal,Grantee,Awarded,Energy - Solar,Awarded,Grant / public financing,Federal grant award (DOE share),2026-09-02,TRBF-CYOTEV-00,Coyote Valley,Coyote Valley,A,agent_ruling+containment,deals_party_attribution_agent.csv,0,CE-00140-R9
FA-DOE-0010,2018-10-01,2018,Q4,2018-10,DOE Office of Indian Energy grant: Pueblo of Picuris Community Solar System Phase II,Picuris Pueblo,Tribal government or Native entity,"U.S. Department of Energy, Office of Indian Energy Policy and Programs",Grant / public financing,Energy - Solar,Awarded,Awarded,2018 commitment,1851024.0,Federal grant award (DOE share),2637745.0,NM,"Peñasco, NM",Pueblo of Picuris Community Solar System Phase II. DOE grant number DE-IE0000104. Type of application: Deployment. Awardee cost share $786721; total project $2637745.,The tribe or Native entity is the direct federal award recipient.,https://www.energy.gov/node/4127162,Federal agency project page,https://www.energy.gov/indianenergy/tribal-energy-projects-database,Federal award list,Primary verified,High,No,"DOE project period-of-performance start date (award performance start, not the obligation date)","DOE Tribal Energy Projects Database award year 2018. Only projects with a DOE share of $1M or more are written; 176 sub-threshold projects in the same database are logged, not written.",2026-08-05,2026-08-05,deals_federal_awards_additions.csv,PUBLIC_AWARD,Energy,Grant / Public Award,Federal,Grantee,Awarded,Energy - Solar,Awarded,Grant / public financing,Federal grant award (DOE share),2026-09-02,TRBF-PCURIS-00,Pueblo of Picuris,Pueblo of Picuris,A,agent_ruling+alias,deals_party_attribution_agent.csv,0,CE-00188-WH
FA-DOE-0014,2021-04-01,2021,Q2,2021-04,DOE Office of Indian Energy grant: Building Resiliency into the Grand Canyon West Micro Grid,Hualapai Indian Tribe,Tribal government or Native entity,"U.S. Department of Energy, Office of Indian Energy Policy and Programs",Grant / public financing,Energy - Renewable Energy (Multiple Technologies),Awarded,Awarded,2021 commitment,2430000.0,Federal grant award (DOE share),3695158.0,AZ,"Peach Springs, AZ",Building Resiliency into the Grand Canyon West Micro Grid. DOE grant number DE-IE0000128. Type of application: Deployment. Awardee cost share $1265158; total project $3695158.,The tribe or Native entity is the direct federal award recipient.,https://www.energy.gov/node/4810779,Federal agency project page,https://www.energy.gov/indianenergy/tribal-energy-projects-database,Federal award list,Primary verified,High,No,"DOE project period-of-performance start date (award performance start, not the obligation date)","DOE Tribal Energy Projects Database award year 2020. Only projects with a DOE share of $1M or more are written; 176 sub-threshold projects in the same database are logged, not written.",2026-08-05,2026-08-05,deals_federal_awards_additions.csv,PUBLIC_AWARD,Energy,Grant / Public Award,Federal,Grantee,Awarded,Energy - Renewable Energy (Multiple Technologies),Awarded,Grant / public financing,Federal grant award (DOE share),2026-09-02,TRBF-HUALAP-00,Hualapai,Hualapai,A,agent_ruling+core,deals_party_attribution_agent.csv,0,CE-00155-VP
FA-DOE-0018,2019-10-01,2019,Q4,2019-10,DOE Office of Indian Energy grant: Housing Energy Connection Project,Colusa Indian Community Council,Tribal government or Native entity,"U.S. Department of Energy, Office of Indian Energy Policy and Programs",Grant / public financing,Energy - Energy Efficiency,Awarded,Awarded,2019 commitment,1740740.0,Federal grant award (DOE share),2337015.0,CA,"Colusa, CA",Housing Energy Connection Project. DOE grant number DE-IE0000116. Type of application: Deployment. Awardee cost share $596275; total project $2337015.,The tribe or Native entity is the direct federal award recipient.,https://www.energy.gov/node/4314531,Federal agency project page,https://www.energy.gov/indianenergy/tribal-energy-projects-database,Federal award list,Primary verified,High,No,"DOE project period-of-performance start date (award performance start, not the obligation date)","DOE Tribal Energy Projects Database award year 2019. Only projects with a DOE share of $1M or more are written; 176 sub-threshold projects in the same database are logged, not written.",2026-08-05,2026-08-05,deals_federal_awards_additions.csv,PUBLIC_AWARD,Housing & Community Development,Grant / Public Award,Federal,Grantee,Awarded,Energy - Energy Efficiency,Awarded,Grant / public financing,Federal grant award (DOE share),2026-09-02,TRBF-CACHLD-00,Cachil DeHe,Cachil DeHe,B,agent_ruling+alias,deals_party_attribution_agent.csv,0,CE-0012Q-R8
FA-DOE-0023,2019-10-01,2019,Q4,2019-10,DOE Office of Indian Energy grant: White River Community Solar on the Northern Cheyenne Reservation,Northern Cheyenne Tribe,Tribal government or Native entity,"U.S. Department of Energy, Office of Indian Energy Policy and Programs",Grant / public financing,Energy - Solar,Awarded,Awarded,2019 commitment,3258514.0,Federal grant award (DOE share),4073143.0,MT,"Lame Deer, MT",White River Community Solar on the Northern Cheyenne Reservation. DOE grant number DE-IE0000122. Type of application: Deployment. Awardee cost share $814629; total project $4073143.,The tribe or Native entity is the direct federal award recipient.,https://www.energy.gov/node/4317765,Federal agency project page,https://www.energy.gov/indianenergy/tribal-energy-projects-database,Federal award list,Primary verified,High,No,"DOE project period-of-performance start date (award performance start, not the obligation date)","DOE Tribal Energy Projects Database award year 2019. Only projects with a DOE share of $1M or more are written; 176 sub-threshold projects in the same database are logged, not written.",2026-08-05,2026-08-05,deals_federal_awards_additions.csv,PUBLIC_AWARD,Energy,Grant / Public Award,Federal,Grantee,Awarded,Energy - Solar,Awarded,Grant / public financing,Federal grant award (DOE share),2026-09-02,TRBF-NORCHY-00,Northern Cheyenne,Northern Cheyenne,A,agent_ruling+core,deals_party_attribution_agent.csv,0,CE-0017N-56
FA-DOE-0028,2018-12-01,2018,Q4,2018-12,DOE Office of Indian Energy grant: Seminole Rural Reservation Resiliency Initiative,Seminole Tribe of Florida,Tribal government or Native entity,"U.S. Department of Energy, Office of Indian Energy Policy and Programs",Grant / public financing,Energy - Solar,Awarded,Awarded,2018 commitment,1608000.0,Federal grant award (DOE share),3529812.0,FL,"Hollywood, FL",Seminole Rural Reservation Resiliency Initiative. DOE grant number DE-IE0000109. Type of application: Deployment. Awardee cost share $1921812; total project $3529812.,The tribe or Native entity is the direct federal award recipient.,https://www.energy.gov/node/4138766,Federal agency project page,https://www.energy.gov/indianenergy/tribal-energy-projects-database,Federal award list,Primary verified,High,No,"DOE project period-of-performance start date (award performance start, not the obligation date)","DOE Tribal Energy Projects Database award year 2018. Only projects with a DOE share of $1M or more are written; 176 sub-threshold projects in the same database are logged, not written.",2026-08-05,2026-08-05,deals_federal_awards_additions.csv,PUBLIC_AWARD,Energy,Grant / Public Award,Federal,Grantee,Awarded,Energy - Solar,Awarded,Grant / public financing,Federal grant award (DOE share),2026-09-02,TRBF-SMNLFL-00,Seminole,Seminole,A,agent_ruling+alias,deals_party_attribution_agent.csv,0,CE-001A9-CA
FA-DOE-0032,2017-09-15,2017,Q3,2017-09,DOE Office of Indian Energy grant: Graton Renewable Energy Efficiency Network Project (GREEN Project),Federated Indians of Graton Rancheria,Tribal government or Native entity,"U.S. Department of Energy, Office of Indian Energy Policy and Programs",Grant / public financing,Energy - Solar,Awarded,Awarded,2017 commitment,1958857.0,Federal grant award (DOE share),3567763.0,CA,"Rohnert Park, CA",Graton Renewable Energy Efficiency Network Project (GREEN Project). DOE grant number DE-IE0000088. Type of application: Deployment. Awardee cost share $1608906; total project $3567763.,The tribe or Native entity is the direct federal award recipient.,https://www.energy.gov/node/3067298,Federal agency project page,https://www.energy.gov/indianenergy/tribal-energy-projects-database,Federal award list,Primary verified,Medium,No,"MONTH-LEVEL ONLY: DOE project page gives period of performance start as ""September 2017""; day set to the 15th as a disclosed mid-month placeholder","DOE Tribal Energy Projects Database award year 2017. Only projects with a DOE share of $1M or more are written; 176 sub-threshold projects in the same database are logged, not written.",2026-08-05,2026-08-05,deals_federal_awards_additions.csv,PUBLIC_AWARD,Energy,Grant / Public Award,Federal,Grantee,Awarded,Energy - Solar,Awarded,Grant / public financing,Federal grant award (DOE share),2026-09-02,TRBF-GRATON-00,Federated Indians of Graton,Federated Indians of Graton,A,agent_ruling+core,deals_party_attribution_agent.csv,0,CE-0014P-WF
FA-DOE-0039,2016-07-15,2016,Q3,2016-07,DOE Office of Indian Energy grant: SCC Emission-Free and Treaty Resources Protection Clean Energy Initiative,Sokaogon Chippewa Community,Tribal government or Native entity,"U.S. Department of Energy, Office of Indian Energy Policy and Programs",Grant / public financing,Energy - Solar,Awarded,Awarded,2016 commitment,1000000.0,Federal grant award (DOE share),2152925.0,WI,"Crandon, WI",SCC Emission-Free and Treaty Resources Protection Clean Energy Initiative. DOE grant number DE-IE0000036. Type of application: Deployment. Awardee cost share $1152925; total project $2152925.,The tribe or Native entity is the direct federal award recipient.,https://www.energy.gov/node/2315729,Federal agency project page,https://www.energy.gov/indianenergy/tribal-energy-projects-database,Federal award list,Primary verified,Medium,No,"MONTH-LEVEL ONLY: DOE project page gives period of performance start as ""July 2016""; day set to the 15th as a disclosed mid-month placeholder","DOE Tribal Energy Projects Database award year 2016. Only projects with a DOE share of $1M or more are written; 176 sub-threshold projects in the same database are logged, not written.",2026-08-05,2026-08-05,deals_federal_awards_additions.csv,PUBLIC_AWARD,Energy,Grant / Public Award,Federal,Grantee,Awarded,Energy - Solar,Awarded,Grant / public financing,Federal grant award (DOE share),2026-09-02,TRBF-SOKGON-00,Sokaogon,Sokaogon,A,agent_ruling+containment,deals_party_attribution_agent.csv,0,CE-001AJ-2B
FA-DOE-0043,2014-06-15,2014,Q2,2014-06,DOE Office of Indian Energy grant: Installation of Solar Photovoltaic Systems,Forest County Potawatomi Community,Tribal government or Native entity,"U.S. Department of Energy, Office of Indian Energy Policy and Programs",Grant / public financing,Energy - Solar,Awarded,Awarded,2014 commitment,1406348.0,Federal grant award (DOE share),2812700.0,WI,"Milwaukee, WI",Installation of Solar Photovoltaic Systems. DOE grant number DE-EE0006473. Type of application: Deployment. Awardee cost share $1406352; total project $2812700.,The tribe or Native entity is the direct federal award recipient.,https://www.energy.gov/indianenergy/forest-county-potawatomi-community-2014-project,Federal agency project page,https://www.energy.gov/indianenergy/tribal-energy-projects-database,Federal award list,Primary verified,Medium,No,"MONTH-LEVEL ONLY: DOE project page gives period of performance start as ""June 2014""; day set to the 15th as a disclosed mid-month placeholder","DOE Tribal Energy Projects Database award year 2014. Only projects with a DOE share of $1M or more are written; 176 sub-threshold projects in the same database are logged, not written.",2026-08-05,2026-08-05,deals_federal_awards_additions.csv,PUBLIC_AWARD,Energy,Grant / Public Award,Federal,Grantee,Awarded,Energy - Solar,Awarded,Grant / public financing,Federal grant award (DOE share),2026-09-02,TRBF-FSTCTY-00,Forest County,Forest County,A,agent_ruling+containment,deals_party_attribution_agent.csv,0,CE-0014H-YJ
