observation_id,facility_id,cedar_place_id_absent_reason,cedar_place_id,facility_name,tribe_id,site_host,provision_type,value,unit,observation_class,measurement_type,measurement_type_note,not_an_employee_count,source_url,source_quote,retrieved_at,first_seen,last_seen,supersedes_observation_id,attribution_basis,confidence,source_md5,built_by_script,built_date,entity_id,entity_level,entity_tier,entity_tier_basis,entity_link_rung,entity_link_date,cedar_uid
GPL-000001,CCP-1096200,,CEDAR-PLACE-000381-55,Casino Oklahoma,TRBF-DELAWN-00,casinooklahoma.com,gaming_license_required,,,LABOR_DEMAND_STATEMENT,LABOR_DEMAND_STATEMENT,deliberately OUTSIDE cedar_domain.MeasurementType: a job posting or a preference policy measures nothing about capacity and must never join the count vocabulary,an open posting or a policy statement is labour DEMAND; it is never an employee count,https://casinooklahoma.com/jobs/,"s, and where cigarette smoke is present. To uphold the integrity of our gaming operations, all team members must be able to pass a background check to obtain a gaming license and complete a pre-employment drug screening.",2026-08-12,2026-08-12,2026-08-12,,single_property_host,B,ad1b7965a61bb282eded683e284c7912,code/142_build_property_site_observations.py,2026-08-12,TRBF-DELAWN-00,facility,A,inherited from gaming_facilities.CCP-1096200.entity_tier (method=exact),facility_id_exact,2026-08-26,CE-00141-Y2
GPL-000005,CCP-126200,,CEDAR-PLACE-000666-0A,Dakota Magic Casino & Resort,TRBF-SWOYTE-00,dakotamagic.com,indian_preference,,,LABOR_DEMAND_STATEMENT,LABOR_DEMAND_STATEMENT,deliberately OUTSIDE cedar_domain.MeasurementType: a job posting or a preference policy measures nothing about capacity and must never join the count vocabulary,an open posting or a policy statement is labour DEMAND; it is never an employee count,https://dakotamagic.com/careers/,Indian preference will apply/EEO (Please Provide Tribal Enrollment),2026-08-12,2026-08-12,2026-08-12,,single_property_host,B,79a1c0226d5072743f9da5e7f4fb2099,code/142_build_property_site_observations.py,2026-08-12,TRBF-SWOYTE-00,facility,B,inherited from gaming_facilities.CCP-126200.entity_tier (method=containment),facility_id_exact,2026-08-26,CE-001B3-D4
GPL-000009,CCP-658400,,CEDAR-PLACE-000176-S0,FireKeepers Casino Hotel,TRBF-NTWSPH-00,firekeeperscasino.com,gaming_license_required,,,LABOR_DEMAND_STATEMENT,LABOR_DEMAND_STATEMENT,deliberately OUTSIDE cedar_domain.MeasurementType: a job posting or a preference policy measures nothing about capacity and must never join the count vocabulary,an open posting or a policy statement is labour DEMAND; it is never an employee count,https://firekeeperscasino.com/about/careers/hiring-process/,Why does the Gaming Commission ask for so much information when you apply for a Gaming License?,2026-08-12,2026-08-12,2026-08-12,,"hand_ruling: firekeeperscasino.com is the site of FireKeepers Casino Hotel, Battle Creek MI",B,2863cf2e9ef70afdfaf90cedb12945d6,code/142_build_property_site_observations.py,2026-08-12,TRBF-NTWSPH-00,facility,B,inherited from gaming_facilities.CCP-658400.entity_tier (method=containment),facility_id_exact,2026-08-26,CE-0017R-QH
GPL-000013,CCP-409500,,CEDAR-PLACE-000439-BF,Gold River Casino,TRBF-DELAWN-00,goldriverok.com,wage_floor,13,usd_per_hour,LABOR_DEMAND_STATEMENT,LABOR_DEMAND_STATEMENT,deliberately OUTSIDE cedar_domain.MeasurementType: a job posting or a preference policy measures nothing about capacity and must never join the count vocabulary,an open posting or a policy statement is labour DEMAND; it is never an employee count,https://goldriverok.com/jobs/,"ity to work efficiently within the casino's dynamic environment while upholding all service, safety, and sanitation standards. Waitstaff is $13/hour plus tips.",2026-08-12,2026-08-12,2026-08-12,,single_property_host,B,2cf31b8668335f7460d7a4a64a0cb74c,code/142_build_property_site_observations.py,2026-08-12,TRBF-DELAWN-00,facility,A,inherited from gaming_facilities.CCP-409500.entity_tier (method=exact),facility_id_exact,2026-08-26,CE-00141-Y2
GPL-000017,CCP-126100,,CEDAR-PLACE-000304-D0,Spirit Lake Casino & Resort,TRBF-SPRTLK-00,spiritlakecasino.com,indian_preference,,,LABOR_DEMAND_STATEMENT,LABOR_DEMAND_STATEMENT,deliberately OUTSIDE cedar_domain.MeasurementType: a job posting or a preference policy measures nothing about capacity and must never join the count vocabulary,an open posting or a policy statement is labour DEMAND; it is never an employee count,https://spiritlakecasino.com/about/employment-opportunities/,NATIVE AMERICAN PREFERENCE STATEMENT,2026-08-12,2026-08-12,2026-08-12,,single_property_host,B,5318178ff022298f6e61f87d0639dec1,code/142_build_property_site_observations.py,2026-08-12,TRBF-SPRTLK-00,facility,B,inherited from gaming_facilities.CCP-126100.entity_tier (method=core),facility_id_exact,2026-08-26,CE-001AN-MP
GPL-000021,CCP-954900,,CEDAR-PLACE-000325-GX,Flowing Water Navajo Casino,TRBF-NAVAJO-00,www.flowingwatercasino.com,gaming_license_required,,,LABOR_DEMAND_STATEMENT,LABOR_DEMAND_STATEMENT,deliberately OUTSIDE cedar_domain.MeasurementType: a job posting or a preference policy measures nothing about capacity and must never join the count vocabulary,an open posting or a policy statement is labour DEMAND; it is never an employee count,https://www.flowingwatercasino.com/about-flowing-water/employment/,Pre-employment drug testing and background investigation are conditions of employment. Must be 21 years of age to apply for employment. Must be eligible for a gaming license. The Navajo Nation Gaming Enterprise complies with the Navajo Preference in Employment Act.,2026-08-12,2026-08-12,2026-08-12,,single_property_host,B,d5a73076a36702522542db5d8524e36b,code/142_build_property_site_observations.py,2026-08-12,TRBF-NAVAJO-00,facility,B,inherited from gaming_facilities.CCP-954900.entity_tier (method=core),facility_id_exact,2026-08-26,CE-0017F-1G
GPL-000025,,no facility_id on this row,,,,www.muckleshootcasino.com,gaming_license_required,,,LABOR_DEMAND_STATEMENT,LABOR_DEMAND_STATEMENT,deliberately OUTSIDE cedar_domain.MeasurementType: a job posting or a preference policy measures nothing about capacity and must never join the count vocabulary,an open posting or a policy statement is labour DEMAND; it is never an employee count,https://www.muckleshootcasino.com/careers/,exercises Indian Preference in hiring practices. Pre-employment drug testing is required. Team members must obtain and maintain a Muckleshoot Indian Commission Gaming License.,2026-08-12,2026-08-12,2026-08-12,,"seed_host_with_no_verified_property_link - recorded, not snapped to a nearest property",C,fbd4e653d9c00cc9a86a57b742a86318,code/142_build_property_site_observations.py,2026-08-12,,,,,,,
GPL-000029,CCP-114700,,CEDAR-PLACE-000700-HC,Prairie Wind Casino & Hotel,TRBF-OGLALA-00,www.prairiewindcasino.com,gaming_license_required,,,LABOR_DEMAND_STATEMENT,LABOR_DEMAND_STATEMENT,deliberately OUTSIDE cedar_domain.MeasurementType: a job posting or a preference policy measures nothing about capacity and must never join the count vocabulary,an open posting or a policy statement is labour DEMAND; it is never an employee count,https://www.prairiewindcasino.com/employment,Obtain and Maintain a Gaming License from the Oglala Sioux Tribe Gaming Commission,2026-08-12,2026-08-12,2026-08-12,,single_property_host,B,f8821f628a05094be0ac48e82e5e9f28,code/142_build_property_site_observations.py,2026-08-12,TRBF-OGLALA-00,facility,A,inherited from gaming_facilities.CCP-114700.entity_tier (method=alias),facility_id_exact,2026-08-26,CE-0017T-33
GPL-000033,,no facility_id on this row,,,,www.soaringeaglecasino.com,gaming_license_required,,,LABOR_DEMAND_STATEMENT,LABOR_DEMAND_STATEMENT,deliberately OUTSIDE cedar_domain.MeasurementType: a job posting or a preference policy measures nothing about capacity and must never join the count vocabulary,an open posting or a policy statement is labour DEMAND; it is never an employee count,https://www.soaringeaglecasino.com/careers/,Step Six: Gaming License,2026-08-12,2026-08-12,2026-08-12,,"seed_host_with_no_verified_property_link - recorded, not snapped to a nearest property",C,c57baeb90972a448f1a4381c5d1ef0e9,code/142_build_property_site_observations.py,2026-08-12,,,,,,,
GPL-000040,CCP-904800,,CEDAR-PLACE-000508-KC,Sugar Creek Casino,TRBF-WKWTOK-00,www.sugarcreekcasino.com,indian_preference,,,LABOR_DEMAND_STATEMENT,LABOR_DEMAND_STATEMENT,deliberately OUTSIDE cedar_domain.MeasurementType: a job posting or a preference policy measures nothing about capacity and must never join the count vocabulary,an open posting or a policy statement is labour DEMAND; it is never an employee count,https://www.sugarcreekcasino.com/careers/inventory-clerk/,Sugar Creek Casino is an Equal Opportunity Employer but does exercise Tribal and Native American Preference according to Federal Law.,2026-08-12,2026-08-12,2026-08-12,,single_property_host,B,c1c068c8991b69fb7c4d4a0a77af377e,code/142_build_property_site_observations.py,2026-08-12,TRBF-WKWTOK-00,facility,B,inherited from gaming_facilities.CCP-904800.entity_tier (method=containment),facility_id_exact,2026-08-26,CE-001C5-Y6
