observation_id,facility_id,cedar_place_id_absent_reason,cedar_place_id,facility_name,tribe_id,tribe_canonical_name,facility_name_as_published,tribe_name_as_published,state,metric,metric_class,measurement_status,measurement_type,value,unit,qualifier,applies_to,proposed_vs_actual,as_of_date,as_of_date_precision,period_start,period_end,source_authority,source_document_type,source_url,source_page,source_quote,facility_match_method,tribe_match_method,corroborating_sources,exclusion_flag,exclusion_reason,fetched_date,built_date,cedar_uid
GCO-CP-00056,CCP-555700,,CEDAR-PLACE-000043-73,Augustine Casino,TRBF-AGSTNE-00,Augustine,,"Augustine Band of Cahuilla Indians, California",CA,minimum_gambling_age,operating_rule,authorization,AUTHORIZED_MAXIMUM,18,years,,tribe,,2000-07-06,day,2000-07-06,2020-12-31,"Tribal-State Gaming Compact, California (approved by the Secretary of the Interior)",tribal_state_compact,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_2000.07.06_augustine_band_of_cahuilla_indian_tribal_state_gaming_compact_0.pdf,508_compliant_2000.07.06_augustine_band_of_cahuilla_indian_tribal_state_gaming_compact_0.pdf,", Management, and Control of Gaming Operation. The Gaming Operations authorized under this Gaming Compact shall be owned solely by the Tribe. Sec. 6.3. Prohibition Regarding Minors. (a) Except as provided in subdivision (b), the Tribe shall not permit persons under the age of 18 years to be present in any room in which Class III Gaming Activities are being conducted unless the person is en-route to a non-gaming area of the Gaming Facility. (b) If the Tribe permits the consumption of alcoholic beverages in the Gaming Facility, the Tribe shall prohibit persons under the age of 21 years from being present in any area in which Class III gaming activitie",sole_property_of_tribe_in_state,inherited_from_compact_id,Bureau of Indian Affairs compact index,1,document states more than one value for this metric: 21,2026-08-07,2026-08-07,CE-0011X-QE
GCO-CP-00080,CCP-41400,,CEDAR-PLACE-000068-24,Fantasy Springs Resort Casino,TRBF-CABAZN-00,Cabazon,,"Cabazon Band of Cahuilla Indians (previously listed as Cabazon Band of Mission Indians, California)",CA,minimum_gambling_age,operating_rule,authorization,AUTHORIZED_MAXIMUM,18,years,,tribe,,2019-12-27,day,2019-12-27,2020-12-31,"Tribal-State Gaming Compact, California (approved by the Secretary of the Interior)",tribal_state_compact,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_2000.05.16_cabazon_band_of_cahuilla_mission_indians_tribal_state_gaming_compact_0.pdf,508_compliant_2000.05.16_cabazon_band_of_cahuilla_mission_indians_tribal_state_gaming_compact_0.pdf,"p, Management, and Control of Gaming Operation.The Gaming Operations authorized under this Gaming Compact shall be owned solely by the Tribe. Sec. 6.3. Prohibition Regarding Minors. (a) Except as provided in subdivision (b), the Tribe shall not permit persons under the age of 18 years to be present in any room in which Class III Gaming Activities are being conducted unless the person is en- route to a non-gaming area of the Gaming Facility. (b) If the Tribe permits the consumption of alcoholic beverages in the Gaming Facility, the Tribe shall prohibit persons under the age of 21 years from being present in any area in which Class III gaming activiti",sole_property_of_tribe_in_state,inherited_from_compact_id,Bureau of Indian Affairs compact index,1,document states more than one value for this metric: 21,2026-08-07,2026-08-07,CE-0012P-JF
GCO-CP-00099,CCP-43200,,CEDAR-PLACE-000055-FF,Cher-Ae Heights Casino,TRBF-CHRAEH-00,Cher-Ae Heights,,"Cher-Ae Heights Indian Community of the Trinidad Rancheria, California",CA,minimum_gambling_age,operating_rule,authorization,AUTHORIZED_MAXIMUM,18,years,,tribe,,2000-05-16,day,2000-05-16,2020-12-31,"Tribal-State Gaming Compact, California (approved by the Secretary of the Interior)",tribal_state_compact,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_2000.05.16_cher-ae_heights_indian_community_of_the_trinidad_rancheria_tribal_state_gaming_compact.pdf,508_compliant_2000.05.16_cher-ae_heights_indian_community_of_the_trinidad_rancheria_tribal_state_gaming_compact.pdf,"Management, and Control of Gaming Operation. The Gaming Operations authorized under this Gaming Compact shall be owned solely by the Tribe. Sec. 6.3. Prohibition Regarding Minors. (a) Except as provided in subdivision (b ), the Tribe shall not permit persons under the age of 18 years to be present in any room in which Class III Gaming Activities are being conducted unless the person is en-route to a non-gaming area of the Gaming Facility. (b) If the Tribe permits the consumption of alcoholic beverages in the Gaming Facility, the Tribe shall prohibit persons under the age of 21 years from being present in any area in which Class III gaming activitie",sole_property_of_tribe_in_state,inherited_from_compact_id,Bureau of Indian Affairs compact index,1,document states more than one value for this metric: 21,2026-08-07,2026-08-07,CE-00138-31
GCO-CP-00106,CCP-563100,,CEDAR-PLACE-000110-3E,River Rock Casino,TRBF-DRYCRK-00,Dry Creek,,"Dry Creek Rancheria Band of Pomo Indians, California",CA,minimum_gambling_age,operating_rule,authorization,AUTHORIZED_MAXIMUM,18,years,,tribe,,2000-05-16,day,2000-05-16,2020-12-31,"Tribal-State Gaming Compact, California (approved by the Secretary of the Interior)",tribal_state_compact,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_2000.05.16_dry_creek_rancheria_tribal_state_gaming_compact.pdf,508_compliant_2000.05.16_dry_creek_rancheria_tribal_state_gaming_compact.pdf,"nership, Management, and Control of Gaming Operation. The Gaming Operations authorized under this Gaming Compact shall be owned solely by the Tribe. Sec. 6.3. ProhibitionRegardingMinors. (a)Except asprovidedinsubdivision(b), the Tribe shall not permit persons under the age of 18 years to be present in any room in which Class III Gaming Activities are being conducted unless the person is en-route to a non-gaming area of the Gaming Facility. (b) If the Tribe permits the consumption of alcoholic beverages in the Gaming Facility, the Tribe shall prohibit persons under the age of 21 years from being present in any area in which Class III gaming activitie",sole_property_of_tribe_in_state,inherited_from_compact_id,Bureau of Indian Affairs compact index,1,document states more than one value for this metric: 21,2026-08-07,2026-08-07,CE-00143-AM
GCO-CP-00115,VP-0063,NOT_A_PLACE: this facility_id names a row asserting the entity operates no gaming property,,Tribal admin only - no casino,TRBF-WIAPYP-00,Ewiiaapaayp,,"Ewiiaapaayp Band of Kumeyaay Indians (previously listed as Ewiiaapaayp Band of Kumeyaay Indians, California)",CA,minimum_gambling_age,operating_rule,authorization,AUTHORIZED_MAXIMUM,18,years,,tribe,,2000-05-16,day,2000-05-16,2020-12-31,"Tribal-State Gaming Compact, California (approved by the Secretary of the Interior)",tribal_state_compact,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_2000.05.16_ewiiaapaayp_cuyapaipe_band_of_kumeyaay_indians_tribal_state_gaming_compact.pdf,508_compliant_2000.05.16_ewiiaapaayp_cuyapaipe_band_of_kumeyaay_indians_tribal_state_gaming_compact.pdf,", Management, and Control of Gaming Operation. The Gaming Operations authorized under this Gaming Compact shall be owned solely by the Tribe. Sec. 6.3. Prohibition Regarding Minors. (a) Except as provided in subdivision (b), the Tribe shall not permit persons under the age of 18 years to be present in any room in which Class III Gaming Activities are being conducted unless the person is en-route to a non-gaming area of the Gaming Facility. (b) If the Tribe permits the consumption of alcoholic beverages in the Gaming Facility, the Tribe shall prohibit persons under the age of 21 years from being present in any area in which Class III gaming activitie",sole_property_of_tribe_in_state,inherited_from_compact_id,Bureau of Indian Affairs compact index,1,document states more than one value for this metric: 21,2026-08-07,2026-08-07,CE-001C2-CV
GCO-CP-00134,CCP-775700,,CEDAR-PLACE-000082-P2,Jamul Casino,TRBF-JAMULV-00,Jamul,,Jamul Indian Village of California,CA,minimum_gambling_age,operating_rule,authorization,AUTHORIZED_MAXIMUM,18,years,,tribe,,2000-05-16,day,2000-05-16,2020-12-31,"Tribal-State Gaming Compact, California (approved by the Secretary of the Interior)",tribal_state_compact,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508%20Compliant%202000.05.16%20Jamul%20Indian%20Village%20Tribal%20State%20Gaming%20Compact.pdf,508 Compliant 2000.05.16 Jamul Indian Village Tribal State Gaming Compact.pdf,"p, Management, and Control of Gaming Operation.The Gaming Operations authorized under this Gaming Compact shall be owned solely by the Tribe. Sec. 6.3. Prohibition Regarding Minors. (a) Except as provided in subdivision (b), the Tribe shall not permit persons under the age of 18 years to be present in any room in which Class III Gaming Activities are being conducted unless the person is en-route to a non-gaming area of the Gaming Facility. (b) If the Tribe permits the consumption of alcoholic beverages in the Gaming Facility, the Tribe shall prohibit persons under the age of 21 years from being present in any area in which Class III gaming activitie",sole_property_of_tribe_in_state,inherited_from_compact_id,Bureau of Indian Affairs compact index,1,document states more than one value for this metric: 21,2026-08-07,2026-08-07,CE-0015C-55
GCO-CP-00144,VP-0062,,CEDAR-PLACE-000088-TR,Lazy K-Bar Casino (closed),TRBF-MNZNTA-00,Manzanita,,Manzanita Band of Diegueno Mission lndians of the Manzanita Reservation,CA,minimum_gambling_age,operating_rule,authorization,AUTHORIZED_MAXIMUM,18,years,,tribe,,2000-05-16,day,2000-05-16,2020-12-31,"Tribal-State Gaming Compact, California (approved by the Secretary of the Interior)",tribal_state_compact,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508%20Compliant%202000.05.16%20Manzanita%20Band%20of%20Diegueno%20Mission%20Indians%20Tribal%20State%20Gaming%20Compact.pdf,508 Compliant 2000.05.16 Manzanita Band of Diegueno Mission Indians Tribal State Gaming Compact.pdf,", Management, and Control of Gaming Operation. The Gaming Operations authorized under this Gaming Compact shall be owned solely by the Tribe. Sec. 6.3. Prohibition Regarding Minors. (a) Except as provided in subdivision (b), the Tribe shall not permit persons under the age of 18 years to be present in any room in which Class III Gaming Activities are being conducted unless the person is en-route to a non-gaming area of the Gaming Facility. (b) If the Tribe permits the consumption of alcoholic beverages in the Gaming Facility, the Tribe shall prohibit persoqs under the age of 21 years from being present in any area in which Class III gaming activitie",sole_property_of_tribe_in_state,inherited_from_compact_id,Bureau of Indian Affairs compact index,1,document states more than one value for this metric: 21,2026-08-07,2026-08-07,CE-00173-S4
GCO-CP-00161,CCP-522600,,CEDAR-PLACE-000054-9P,Casino Pauma,TRBF-PAUMAB-00,Pauma,,"Pauma Band of Luiseno Mission Indians of the Pauma & Yuima Reservation, California",CA,minimum_gambling_age,operating_rule,authorization,AUTHORIZED_MAXIMUM,18,years,,tribe,,2000-10-19,day,2000-10-19,2020-12-31,"Tribal-State Gaming Compact, California (approved by the Secretary of the Interior)",tribal_state_compact,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508%20Compliant%202000.10.19%20Pauma%20Band%20of%20Luiseno%20Mission%20Indians%20Tribal%20State%20Gaming%20Compact.pdf,508 Compliant 2000.10.19 Pauma Band of Luiseno Mission Indians Tribal State Gaming Compact.pdf,", Management, and Control of Gaming Operation. The Gaming Operations authorized under this Gaming Compact shall be owned solely by the Tribe. Sec. 6.3. Prohibition Regarding Minors. (a) Except as provided in subdivision (b), the Tribe shall not permit persons under the age of 18 years to be present in any room in which Class III Gaming Activities are being conducted unless the person is en-route to a non-gaming area of the Gaming Facility. (b) If the Tribe permits the consumption of alcoholic beverages in the Gaming Facility, the Tribe shall prohibit persons under the age of 21 years from being present in any area in which Class III gaming activitie",sole_property_of_tribe_in_state,inherited_from_compact_id,Bureau of Indian Affairs compact index,1,document states more than one value for this metric: 21,2026-08-07,2026-08-07,CE-00185-A6
GCO-CP-00168,CCP-595800,,CEDAR-PLACE-000057-V1,Chukchansi Gold Resort & Casino,TRBF-PYCKCH-00,Picayune,,Picayune Rancheria of Chukchansi Indians of California,CA,minimum_gambling_age,operating_rule,authorization,AUTHORIZED_MAXIMUM,18,years,,tribe,,2000-05-16,day,2000-05-16,2020-12-31,"Tribal-State Gaming Compact, California (approved by the Secretary of the Interior)",tribal_state_compact,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_2000.05.16_picayune_rancheria_tribal_state_gaming_compact_1.pdf,508_compliant_2000.05.16_picayune_rancheria_tribal_state_gaming_compact_1.pdf,", Management, and Control of Gaming Operation. The Gaming Operations authorized under this Gaming Compact shall be owned solely by the Tribe. Sec. 6.3. Prohibition Regarding Minors. (a) Except as provided in subdivision (b), the Tribe shall not permit persons under the age of 18 years to be present in any room in which Class III Gaming Activities are being conducted unless the person is en-route to a non-gaming area of the Gaming Facility .. (b) If the Tribe permits the consumption of alcoholic beverages in the Gaming Facility, the Tribe shall prohibit persons under the age of 21 years from being present in any area in which Class III gaming activit",sole_property_of_tribe_in_state,inherited_from_compact_id,Bureau of Indian Affairs compact index,1,document states more than one value for this metric: 21,2026-08-07,2026-08-07,CE-0018X-TY
GCO-CP-00181,CCP-42300,,CEDAR-PLACE-000131-6B,Win-River Resort & Casino,TRBF-RDDING-00,Redding,,"Redding Rancheria, California",CA,minimum_gambling_age,operating_rule,authorization,AUTHORIZED_MAXIMUM,18,years,,tribe,,2000-05-16,day,2000-05-16,2020-12-31,"Tribal-State Gaming Compact, California (approved by the Secretary of the Interior)",tribal_state_compact,https://www.bia.gov/sites/default/files/dup/assets/as-ia/oig/pdf/508_compliant_2000.05.16_redding_rancheria_tribal_state_gaming_compact_1.pdf,508_compliant_2000.05.16_redding_rancheria_tribal_state_gaming_compact_1.pdf,"nagement, and Control o f Gaming Operatio n. The Gaming Operations authorized under this Gaming Compact shal l be owned solely by the Tribe. Sec. 6.3. Prohibition Regarding Minors . (a) Except as provided in subdivision (b), the Tribe shall not permit persons under the age of 18 years to be present in any room in which Class III Gaming Activities are being conducted unless th e person is en-route to a non-gaming area of the Gaming Facility.. (b) If the Tribe permits the consumption of alcoholic beverages in the Gaming Facility, the Tribe shall prohibit persons under the age of 21 years from being present in any area in which Class III gaming activit",sole_property_of_tribe_in_state,inherited_from_compact_id,Bureau of Indian Affairs compact index,1,document states more than one value for this metric: 21,2026-08-07,2026-08-07,CE-00195-FP
