document_number,publication_date,publication_year,type,title,agency_names,normalized_departments,consultation_signal,comment_url,html_url,relevance_tier
94-23587,1994-09-27,1994,Uncategorized Document,Tribal Consultation on Indian Education Topics,Interior Department; Indian Affairs Bureau,Interior,title,,https://www.federalregister.gov/documents/1994/09/27/94-23587/tribal-consultation-on-indian-education-topics,title_subject
95-21258,1995-08-28,1995,Notice,Office of Trust Funds Management National Tribal Consultation,Interior Department; Indian Affairs Bureau,Interior,title,,https://www.federalregister.gov/documents/1995/08/28/95-21258/office-of-trust-funds-management-national-tribal-consultation,title_subject
96-3113,1996-02-13,1996,Notice,Unfunded Mandates Reform Act; Intergovernmental Consultation,Commerce Department; ,Commerce,title,,https://www.federalregister.gov/documents/1996/02/13/96-3113/unfunded-mandates-reform-act-intergovernmental-consultation,abstract_subject
96-33132,1996-12-30,1996,Notice,National Tribal Consultation,Interior Department; Indian Affairs Bureau,Interior,title,,https://www.federalregister.gov/documents/1996/12/30/96-33132/national-tribal-consultation,title_subject
97-7618,1997-03-26,1997,Notice,Request for Comments on the Development of Minimum Tribal Child Care Standards,Health and Human Services Department; Children and Families Administration,HHS,abstract,,https://www.federalregister.gov/documents/1997/03/26/97-7618/request-for-comments-on-the-development-of-minimum-tribal-child-care-standards,title_subject
97-33724,1997-12-29,1997,Notice,"Notice of Intent To Adopt the Bureau of Land Management (BLM) Coos Bay District Final Proposed Resource Management Plan (PRMP)/ Environmental Impact Statement (EIS), Dated September 1994, as the Resource Management Plan and Environmental Impact Statement for the 5,410 Acre Coquille Forest.",Interior Department; Indian Affairs Bureau,Interior,abstract,,https://www.federalregister.gov/documents/1997/12/29/97-33724/notice-of-intent-to-adopt-the-bureau-of-land-management-blm-coos-bay-district-final-proposed,abstract_subject
98-7960,1998-03-26,1998,Notice,Indian and Native American Welfare-to-Work Grant Program Proposed Collection; Comment Request,Labor Department; Employment and Training Administration,Labor,abstract,,https://www.federalregister.gov/documents/1998/03/26/98-7960/indian-and-native-american-welfare-to-work-grant-program-proposed-collection-comment-request,title_subject
99-643,1999-01-12,1999,Notice,Statement of Considerations of Comments Received on Draft Agency Tribal Policy,Federal Emergency Management Agency,Homeland Security,abstract,,https://www.federalregister.gov/documents/1999/01/12/99-643/statement-of-considerations-of-comments-received-on-draft-agency-tribal-policy,title_subject
99-12055,1999-05-18,1999,Notice,Recommended Approach for Consultation on Recovery of Significant Information From Archaeological Sites,Advisory Council on Historic Preservation,Other / unmapped,title,,https://www.federalregister.gov/documents/1999/05/18/99-12055/recommended-approach-for-consultation-on-recovery-of-significant-information-from-archaeological,abstract_subject
99-28578,1999-11-02,1999,Notice,Notice of Regional Meetings on Draft HUD Tribal Consultation Policy,Housing and Urban Development Department,HUD,title,,https://www.federalregister.gov/documents/1999/11/02/99-28578/notice-of-regional-meetings-on-draft-hud-tribal-consultation-policy,title_subject
