vp_key,decision,cedar_place_id,evidence_summary,sources,evidence_date,confidence,reviewer,reviewed_on
VP-0063,NOT_A_GAMING_FACILITY,,"Legacy row is a votingpatterns_canonical negative assertion (name contains 'no casino'; no street address; town-centroid coords; duplicate_of blank; cedar_place_id blank with NOT_A_PLACE reason). Not a record of any physical property, so no VP source-key binding and no new place. No registered place within 250 m; Ewiiaapaayp Band of Kumeyaay Indians; 'Tribal admin only - no casino'; Alpine CA 32.8000,-116.6000. Nearest place Viejas Bingo 10.8 km (Viejas Band, other tribe). CGCC RSTF list publishes facility 'N/A' (CAFAC-00195); NIGC roster has only Viejas locations in Alpine. Absence assertion corroborated.","review/place_non_place_rows_2026-09-02.csv (NO_PLACE_ID); code/1129_place_ids.py is_non_place(); CGCC List_of_RSTF_Eligible_Tribes.pdf as of 2025-11-13 (https://cgcc.ca.gov/documents/Tribal/List_of_RSTF_Eligible_Tribes.pdf); data/raw/external/nigc/locations/nigc_roster_current_2026-08-26.csv (https://www.nigc.gov/map/, 510 locations)",2025-11-13,high,claude,2026-09-24
VP-0101,NOT_A_GAMING_FACILITY,,"Legacy row is a votingpatterns_canonical negative assertion (name contains 'no casino'; no street address; town-centroid coords; duplicate_of blank; cedar_place_id blank with NOT_A_PLACE reason). Not a record of any physical property, so no VP source-key binding and no new place. No registered place within 250 m; Yurok Tribe; 'No casino currently'; Klamath CA 41.5267,-124.0383. Absence assertion is CONTRADICTED: Yurok's Redwood Hotel Casino, 171 Klamath Blvd, is already bound as CEDAR-PLACE-000109-XN via CCP-767900 (328 m away) and is listed by NIGC roster 2026-08-26 and CGCC casino list 2025-01-23 / RSTF list 2025-11-13 (CAFAC-00065/00111/00242). The VP row names no property, so it is not bound to 000109-XN. Its 'no casino' claim must not be published as a Yurok fact.","review/place_non_place_rows_2026-09-02.csv (NO_PLACE_ID); code/1129_place_ids.py is_non_place(); data/raw/external/nigc/locations/nigc_roster_current_2026-08-26.csv (https://www.nigc.gov/map/, 510 locations); CGCC List_of_RSTF_Eligible_Tribes.pdf as of 2025-11-13 (https://cgcc.ca.gov/documents/Tribal/List_of_RSTF_Eligible_Tribes.pdf); CGCC List_of-Casinos_alpha_by_tribe_name.pdf 2025-01-23",2026-08-26,high,claude,2026-09-24
VP-0102,NOT_A_GAMING_FACILITY,,"Legacy row is a votingpatterns_canonical negative assertion (name contains 'no casino'; no street address; town-centroid coords; duplicate_of blank; cedar_place_id blank with NOT_A_PLACE reason). Not a record of any physical property, so no VP source-key binding and no new place. No registered place within 250 m; Quartz Valley Indian Community; 'No casino'; Fort Jones CA. Nearest place Rain Rock Casino 33 km (Karuk). CGCC RSTF list facility 'N/A' (CAFAC-00226); no NIGC location in Fort Jones. Absence assertion is corroborated.","review/place_non_place_rows_2026-09-02.csv (NO_PLACE_ID); code/1129_place_ids.py is_non_place(); CGCC List_of_RSTF_Eligible_Tribes.pdf as of 2025-11-13 (https://cgcc.ca.gov/documents/Tribal/List_of_RSTF_Eligible_Tribes.pdf); data/raw/external/nigc/locations/nigc_roster_current_2026-08-26.csv (https://www.nigc.gov/map/, 510 locations)",2025-11-13,high,claude,2026-09-24
VP-0109,NOT_A_GAMING_FACILITY,,"Legacy row is a votingpatterns_canonical negative assertion (name contains 'no casino'; no street address; town-centroid coords; duplicate_of blank; cedar_place_id blank with NOT_A_PLACE reason). Not a record of any physical property, so no VP source-key binding and no new place. No registered place within 250 m; Cher-O-Kee Concow Rancheria / 'Konkow Valley Band - no casino'; Oroville CA 39.5,-121.5 (rounded). No tribe_id/cedar_uid on the row (GAMING_THIRTEENTH_DATASET notes it). Gold Country Casino (Berry Creek Rancheria, other tribe) is 655 m from the rounded centroid, a coincidence. No CGCC or NIGC record for this group.","review/place_non_place_rows_2026-09-02.csv (NO_PLACE_ID); code/1129_place_ids.py is_non_place(); data/raw/external/nigc/locations/nigc_roster_current_2026-08-26.csv (https://www.nigc.gov/map/, 510 locations); docs/GAMING_THIRTEENTH_DATASET_2026-09-02.md",2026-08-26,high,claude,2026-09-24
VP-0110,NOT_A_GAMING_FACILITY,,"Legacy row is a votingpatterns_canonical negative assertion (name contains 'no casino'; no street address; town-centroid coords; duplicate_of blank; cedar_place_id blank with NOT_A_PLACE reason). Not a record of any physical property, so no VP source-key binding and no new place. No registered place within 250 m; Kletsel Dehe Wintun (Cortina); 'no casino'; Williams CA. Nearest place Colusa Casino 17.6 km (Cachil Dehe, other tribe). CGCC RSTF list facility 'N/A' (CAFAC-00210); no NIGC location in Williams. Absence assertion is corroborated.","review/place_non_place_rows_2026-09-02.csv (NO_PLACE_ID); code/1129_place_ids.py is_non_place(); CGCC List_of_RSTF_Eligible_Tribes.pdf as of 2025-11-13 (https://cgcc.ca.gov/documents/Tribal/List_of_RSTF_Eligible_Tribes.pdf); data/raw/external/nigc/locations/nigc_roster_current_2026-08-26.csv (https://www.nigc.gov/map/, 510 locations)",2025-11-13,high,claude,2026-09-24
VP-0241,NOT_A_GAMING_FACILITY,,"Legacy row is a votingpatterns_canonical negative assertion (name contains 'no casino'; no street address; town-centroid coords; duplicate_of blank; cedar_place_id blank with NOT_A_PLACE reason). Not a record of any physical property, so no VP source-key binding and no new place. No registered place within 250 m; Hualapai; 'Grand Canyon West - no casino'; Peach Springs AZ. Nearest place is Truxton Canyon Agency (BIA) at 25 km. No NIGC location in Peach Springs/Grand Canyon West. Compact authorization rows (GCO-CP-00016..19: 2 facilities / 500 machines max) are tribe-level authorizations, not a facility.","review/place_non_place_rows_2026-09-02.csv (NO_PLACE_ID); code/1129_place_ids.py is_non_place(); data/raw/external/nigc/locations/nigc_roster_current_2026-08-26.csv (https://www.nigc.gov/map/, 510 locations); data/clean/gaming_capacity_official.csv",2026-08-26,high,claude,2026-09-24
VP-0242,NOT_A_GAMING_FACILITY,,"Legacy row is a votingpatterns_canonical negative assertion (name contains 'no casino'; no street address; town-centroid coords; duplicate_of blank; cedar_place_id blank with NOT_A_PLACE reason). Not a record of any physical property, so no VP source-key binding and no new place. No registered place within 250 m; Havasupai; 'No casino'; Supai AZ. Nearest place Havasupai Elementary School 1.1 km (school). No NIGC location. Compact wager rows (GCO-CP-00013/14) are authorizations, not a facility.","review/place_non_place_rows_2026-09-02.csv (NO_PLACE_ID); code/1129_place_ids.py is_non_place(); data/raw/external/nigc/locations/nigc_roster_current_2026-08-26.csv (https://www.nigc.gov/map/, 510 locations)",2026-08-26,high,claude,2026-09-24
VP-0243,NOT_A_GAMING_FACILITY,,"Legacy row is a votingpatterns_canonical negative assertion (name contains 'no casino'; no street address; town-centroid coords; duplicate_of blank; cedar_place_id blank with NOT_A_PLACE reason). Not a record of any physical property, so no VP source-key binding and no new place. No registered place within 250 m; Hopi; 'No casino'; Kykotsmovi AZ. Nearest place Second Mesa Day School 12 km. No NIGC location on Hopi lands. Compact row GCO-CP-00015 is an authorization, not a facility.","review/place_non_place_rows_2026-09-02.csv (NO_PLACE_ID); code/1129_place_ids.py is_non_place(); data/raw/external/nigc/locations/nigc_roster_current_2026-08-26.csv (https://www.nigc.gov/map/, 510 locations)",2026-08-26,high,claude,2026-09-24
VP-0254,NOT_A_GAMING_FACILITY,,"Legacy row is a votingpatterns_canonical negative assertion (name contains 'no casino'; no street address; town-centroid coords; duplicate_of blank; cedar_place_id blank with NOT_A_PLACE reason). Not a record of any physical property, so no VP source-key binding and no new place. No registered place within 250 m; Pueblo of Zuni; 'No casino'; Zuni NM. Nearest place Zuni Agency (BIA) 382 m. No NIGC location in Zuni. Compact rows (GCO-CP-00323 NM; 00051/52 AZ) are authorizations.","review/place_non_place_rows_2026-09-02.csv (NO_PLACE_ID); code/1129_place_ids.py is_non_place(); data/raw/external/nigc/locations/nigc_roster_current_2026-08-26.csv (https://www.nigc.gov/map/, 510 locations)",2026-08-26,high,claude,2026-09-24
VP-0255,NOT_A_GAMING_FACILITY,,"Legacy row is a votingpatterns_canonical negative assertion (name contains 'no casino'; no street address; town-centroid coords; duplicate_of blank; cedar_place_id blank with NOT_A_PLACE reason). Not a record of any physical property, so no VP source-key binding and no new place. No registered place within 250 m; Kaibab Paiute; 'Pipe Spring National Monument area - no casino'; Fredonia AZ. No registered place within 5 km. No NIGC location in Fredonia/Moccasin. Compact rows GCO-CP-00020..22 are authorizations.","review/place_non_place_rows_2026-09-02.csv (NO_PLACE_ID); code/1129_place_ids.py is_non_place(); data/raw/external/nigc/locations/nigc_roster_current_2026-08-26.csv (https://www.nigc.gov/map/, 510 locations)",2026-08-26,high,claude,2026-09-24
