native_party,canonical_name,party_role,parent_native_entity,confidence_tier,ruling_authority,match_method,evidence_class,rests_on_search_page,value_attribution_caution,org_kind,spine_match,uei,cage_code,ruling_text,ruling_note,ruled_date,cedar_uid
Cherokee Nation,Cherokee Nation,ENTITY_OWNED,Cherokee Nation,A,agent_research,agent_ruling+exact,bia_fr_notice,0,0,,exact,TBAHL1WANLF3,3MZJ5,Cherokee Nation,"Federally recognized tribal government: the name appears verbatim on the BIA list — ""Cherokee Nation"" (Indian Tribal Entities Within the Contiguous 48 States section). Source: https://www.federalregister.gov/documents/2026/01/30/2026-01899/indian-entities-recognized-by-and-eligible-to-receive-services-from-the-united-states-bureau-of (91 FR 4102, 2026-01-30), retrieved 2026-08-05. NEID CE-00134-BX. Identifier: exact legal-name match in FPDS legal business name (funding_identifier_harvest.csv/fpds_uei_cage_map.csv staged in data/clean).",2026-08-05,CE-00134-BX
Mashpee Wampanoag Tribe,Mashpee Wampanoag Tribe,ENTITY_OWNED,Mashpee,A,agent_research,agent_ruling+alias,bia_fr_notice,0,0,,alias,M57NNA17HT25,4TV17,Mashpee Wampanoag Tribe,"Federally recognized tribal government: the name appears verbatim on the BIA list — ""Mashpee Wampanoag Tribe"" (Indian Tribal Entities Within the Contiguous 48 States section). Source: https://www.federalregister.gov/documents/2026/01/30/2026-01899/indian-entities-recognized-by-and-eligible-to-receive-services-from-the-united-states-bureau-of (91 FR 4102, 2026-01-30), retrieved 2026-08-05. NEID CE-0017D-NY. Identifier: exact legal-name match in FPDS legal business name (funding_identifier_harvest.csv/fpds_uei_cage_map.csv staged in data/clean).",2026-08-05,CE-0017D-NY
Hydaburg Cooperative Association,Hydaburg Cooperative Association,ENTITY_OWNED,Hydaburg,A,agent_research,agent_ruling+alias,bia_fr_notice,0,0,,alias,GDM2XDL25K58,3YAZ3,Hydaburg Cooperative Association,"Federally recognized tribal government: the name appears verbatim on the BIA list — ""Hydaburg Cooperative Association"" (Native Entities Within the State of Alaska section). Source: https://www.federalregister.gov/documents/2026/01/30/2026-01899/indian-entities-recognized-by-and-eligible-to-receive-services-from-the-united-states-bureau-of (91 FR 4102, 2026-01-30), retrieved 2026-08-05. NEID CE-00023-WB. Identifier: exact legal-name match in FPDS legal business name (funding_identifier_harvest.csv/fpds_uei_cage_map.csv staged in data/clean).",2026-08-05,CE-00023-WB
Hoh Indian Tribe,Hoh Indian Tribe,ENTITY_OWNED,Hoh,A,agent_research,agent_ruling+core,bia_fr_notice,0,0,,core,NBMUNJPNYFB4,4AFC2,Hoh Indian Tribe,"Federally recognized tribal government: the name appears verbatim on the BIA list — ""Hoh Indian Tribe"" (Indian Tribal Entities Within the Contiguous 48 States section). Source: https://www.federalregister.gov/documents/2026/01/30/2026-01899/indian-entities-recognized-by-and-eligible-to-receive-services-from-the-united-states-bureau-of (91 FR 4102, 2026-01-30), retrieved 2026-08-05. NEID CE-00151-3J. Identifier: exact legal-name match in FPDS legal business name (funding_identifier_harvest.csv/fpds_uei_cage_map.csv staged in data/clean).",2026-08-05,CE-00151-3J
Prairie Band Potawatomi Nation,Prairie Band Potawatomi Nation,ENTITY_OWNED,Prairie Band,A,agent_research,agent_ruling+alias,bia_fr_notice,0,0,,alias,EA1HDZHG2RF5,37BB5,Prairie Band Potawatomi Nation,"Federally recognized tribal government: the name appears verbatim on the BIA list — ""Prairie Band Potawatomi Nation"" (Indian Tribal Entities Within the Contiguous 48 States section). Source: https://www.federalregister.gov/documents/2026/01/30/2026-01899/indian-entities-recognized-by-and-eligible-to-receive-services-from-the-united-states-bureau-of (91 FR 4102, 2026-01-30), retrieved 2026-08-05. NEID CE-0018M-4X. Identifier: exact legal-name match in FPDS legal business name (funding_identifier_harvest.csv/fpds_uei_cage_map.csv staged in data/clean).",2026-08-05,CE-0018M-4X
Knik Tribe,Knik Tribe,ENTITY_OWNED,Knik,A,agent_research,agent_ruling+core,bia_fr_notice,0,0,,core,T66QMVWRG4L7,4AC46,Knik Tribe,"Federally recognized tribal government: the name appears verbatim on the BIA list — ""Knik Tribe"" (Native Entities Within the State of Alaska section). Source: https://www.federalregister.gov/documents/2026/01/30/2026-01899/indian-entities-recognized-by-and-eligible-to-receive-services-from-the-united-states-bureau-of (91 FR 4102, 2026-01-30), retrieved 2026-08-05. NEID CE-0002X-RN. Identifier: exact legal-name match in FPDS legal business name (funding_identifier_harvest.csv/fpds_uei_cage_map.csv staged in data/clean).",2026-08-05,CE-0002X-RN
Spokane Tribe of the Spokane Reservation,Spokane Tribe of the Spokane Reservation,ENTITY_OWNED,Spokane,A,agent_research,agent_ruling+core,bia_fr_notice,0,0,,core,Q4XPD6M7TNE7,1DSN7,Spokane Tribe of the Spokane Reservation,"Federally recognized tribal government: the name appears verbatim on the BIA list — ""Spokane Tribe of the Spokane Reservation"" (Indian Tribal Entities Within the Contiguous 48 States section). Source: https://www.federalregister.gov/documents/2026/01/30/2026-01899/indian-entities-recognized-by-and-eligible-to-receive-services-from-the-united-states-bureau-of (91 FR 4102, 2026-01-30), retrieved 2026-08-05. NEID CE-001AK-84. Identifier: exact legal-name match in FPDS legal business name (funding_identifier_harvest.csv/fpds_uei_cage_map.csv staged in data/clean).",2026-08-05,CE-001AK-84
Kickapoo Traditional Tribe of Texas,Kickapoo Traditional Tribe of Texas,ENTITY_OWNED,Kickapoo of Texas,A,agent_research,agent_ruling+alias,bia_fr_notice,0,0,,alias,D8LQNLJDLDX9,44W14,Kickapoo Traditional Tribe of Texas,"Federally recognized tribal government: the name appears verbatim on the BIA list — ""Kickapoo Traditional Tribe of Texas"" (Indian Tribal Entities Within the Contiguous 48 States section). Source: https://www.federalregister.gov/documents/2026/01/30/2026-01899/indian-entities-recognized-by-and-eligible-to-receive-services-from-the-united-states-bureau-of (91 FR 4102, 2026-01-30), retrieved 2026-08-05. NEID CE-0015S-KA. Identifier: exact legal-name match in FPDS legal business name (funding_identifier_harvest.csv/fpds_uei_cage_map.csv staged in data/clean).",2026-08-05,CE-0015S-KA
Sitka Tribe of Alaska,Sitka Tribe of Alaska,ENTITY_OWNED,Sitka,A,agent_research,agent_ruling+alias,bia_fr_notice,0,0,,alias,RSHJU9JW4G59,3RJB5,Sitka Tribe of Alaska,"Federally recognized tribal government: the name appears verbatim on the BIA list — ""Sitka Tribe of Alaska"" (Native Entities Within the State of Alaska section). Source: https://www.federalregister.gov/documents/2026/01/30/2026-01899/indian-entities-recognized-by-and-eligible-to-receive-services-from-the-united-states-bureau-of (91 FR 4102, 2026-01-30), retrieved 2026-08-05. NEID CE-0005P-XP. Identifier: exact legal-name match in FPDS legal business name (funding_identifier_harvest.csv/fpds_uei_cage_map.csv staged in data/clean).",2026-08-05,CE-0005P-XP
Wichita & Affiliated Tribes,"Wichita and Affiliated Tribes (Wichita, Keechi, Waco, & Tawakonie), Oklahoma",ENTITY_OWNED,Wichita,A,agent_research,agent_ruling+alias,bia_fr_notice,0,0,,alias,HB2ERLNW6KD8,3NNG1,Wichita and Affiliated Tribes,"Name variant of a federally recognized tribal government. BIA list carries it as ""Wichita and Affiliated Tribes"". Source: https://www.federalregister.gov/documents/2026/01/30/2026-01899/indian-entities-recognized-by-and-eligible-to-receive-services-from-the-united-states-bureau-of (91 FR 4102, 2026-01-30), retrieved 2026-08-05. NEID CE-001C5-Y6. Identifier: exact legal-name match in FPDS legal business name (funding_identifier_harvest.csv/fpds_uei_cage_map.csv staged in data/clean).",2026-08-05,CE-001C5-Y6
