Deal_ID,Event_Date,Deal_Title,Native_Party,Counterparty_or_Funder,Deal_Category,Industry,Event_Type,Status,Announced_Value_USD,Value_Type,Record_Scope
ND-2001-001,2001-03-15,Choctaw Resort Development Enterprise issues $200 million of 9 1/4% Senior Notes due 2009,Choctaw Resort Development Enterprise (Mississippi Band of Choctaw Indians),Private placement note purchasers,Financing,Gaming / casino resort finance,Notes issued,Closed,200000000,9 1/4% Senior Notes due 2009 (aggregate principal),2001 commitment
ANCSA2-2017-002,2017-09-15,"ASRC Industrial Services acquires US Coatings, Inc.",Arctic Slope Regional Corporation,"US Coatings, Inc.",Acquisition,Specialty painting and coatings (marine),100% stock acquisition,Completed,17500000,"Purchase price stated in the acquisitions note, net of cash received, plus a closing-date working capital excess of $105 thousand less seller expenses paid of $36 thousand.",2017 commitment
FA-NTIA-0043,2023-06-29,NTIA TBCP award: Colusa Indian Community Council,Colusa Indian Community Council,NTIA (Tribal Broadband Connectivity Program),Grant / public financing,Broadband,Awarded,Awarded,481533.8,Federal grant award,2023 commitment
FA-NTIA-0126,2023-07-20,NTIA TBCP award: Table Mountain Rancheria,Table Mountain Rancheria,NTIA (Tribal Broadband Connectivity Program),Grant / public financing,Broadband,Awarded,Awarded,500000.0,Federal grant award,2023 commitment
FA-NTIA-0213,2024-12-16,NTIA TBCP award: Aroostook Band of Micmacs,Aroostook Band of Micmacs,NTIA (Tribal Broadband Connectivity Program),Grant / public financing,Broadband,Recommended for award,Recommended for award,1282696.0,Federal grant recommended for award,2024 commitment
FA-DOE-0024,2019-09-01,DOE Office of Indian Energy grant: Oneida Indian Nation's Facility Energy Efficiency Project,Oneida Indian Nation,"U.S. Department of Energy, Office of Indian Energy Policy and Programs",Grant / public financing,Energy - Energy Efficiency,Awarded,Awarded,1523946.0,Federal grant award (DOE share),2019 commitment
FA-HUD-0058,2024-12-27,HUD ONAP IHBG Competitive FY 2024 award: Comanche Nation Housing Authority,Comanche Nation Housing Authority,HUD Office of Native American Programs (IHBG Competitive),Grant / public financing,Housing / community development,Awarded,Awarded,6000000.0,Federal competitive grant award,2024 commitment
FA-HUD-0141,2019-12-16,HUD ONAP IHBG Competitive FY 2018-2019 award: San Felipe Pueblo Housing Authority,San Felipe Pueblo Housing Authority,HUD Office of Native American Programs (IHBG Competitive),Grant / public financing,Housing / community development,Awarded,Awarded,5000000.0,Federal competitive grant award,2019 commitment
FA-EDA-0003,2022-09-14,EDA ARPA Indigenous Communities award: Sokaogon Chippewa Community,Sokaogon Chippewa Community,U.S. Economic Development Administration (ARPA Indigenous Communities Program),Grant / public financing,Economic development,Awarded,Awarded,427458.0,Federal competitive grant award (EDA share),2022 commitment
ND-2026-016,2026-03-19,$132M Northwest Alaska tribal health workforce housing financing closes,Maniilaq Association / Tribal Development Partners,Public Finance Authority and bond investors,Financing,Housing / health care,Bond financing closed,Closed,132000000.0,Tax-exempt revenue bonds,2026 commitment
