source_system,publisher,attribute,coverage_state,what_was_swept,evidence,source_url,checked_date
ONRR_NRRD,Office of Natural Resources Revenue,lease / agreement / well identifier on Native American records,WITHHOLDS,"all five ONRR bulk files held locally: monthly_revenue, calendar_year_revenue, fiscal_year_revenue, fiscal_year_disbursements, monthly_production","No ONRR bulk file carries a lease, agreement, tract or well column for ANY land class, and the publisher states: 'For all Native American land, the federal government only releases natural resource extraction and revenue information in aggregate. Specific data on Native American revenues are confidential and proprietary.'",https://revenuedata.onrr.gov/how-revenue-works/native-american-revenue/,2026-08-06
ONRR_NRRD,Office of Natural Resources Revenue,state / county / FIPS on Native American records,WITHHOLDS,"9,238 Native American monthly revenue rows","0 of 9,238 Native rows carry any geography, against 99.8% of Federal rows in the same file. Re-measured on every run of script 83.",https://revenuedata.onrr.gov/downloads/,2026-08-06
ONRR_NRRD,Office of Natural Resources Revenue,tribe or entity name,WITHHOLDS,every ONRR bulk file held,"No ONRR file has a tribe-name field at all. 'Osage' appears zero times across all of them, despite the Osage mineral estate having exactly one owner.",https://revenuedata.onrr.gov/how-revenue-works/native-american-revenue/,2026-08-06
ONRR_NRRD,Office of Natural Resources Revenue,"production volume, Native American aggregate",PUBLISHES,monthly_production.csv,"837 Native American rows, land class x land category x commodity x volume. Held raw: with no lease, geography or entity there is nothing to attach a volume to, and volume x price is a model, not a measurement.",https://revenuedata.onrr.gov/downloads/,2026-08-06
BIA_NIOGEMS,Bureau of Indian Affairs,lease / tract / agreement / well identifiers for Indian minerals,NOT_FOUND,public BIA web properties,"NIOGEMS is an internal BIA system on the order of 50 tribal users across 8 reservations. No public interface or extract was located. The niogems_* columns are empty BY CONSTRUCTION so that access, if ever granted, is a merge and not a rebuild. Partnership target, never a cited source.",https://www.bia.gov/,2026-08-06
BIA_Osage_Agency,Bureau of Indian Affairs,per-lease and per-tract records of the Osage Mineral Estate,NOT_FOUND,BIA Osage Agency public pages,"The Agency states it administers leasing of the 1.45 million-acre estate; it publishes the estate's extent, not its leases.",https://www.bia.gov/regional-offices/eastern-oklahoma/osage-agency,2026-08-12
ND_DMR,North Dakota Dept. of Mineral Resources,mineral ownership (trust vs fee) on wells,WITHHOLDS,DMR free well search field list,"No DMR field states trust vs fee mineral ownership. Trust/fee is a Tax Commissioner construct and is FRACTIONAL, not binary - each spacing unit carries a Trust Ratio by mineral acreage. The strings TRUST and INDIAN in DMR data are lease, well and operator NAMES and must never be parsed as ownership. The complete Well Index is subscription-gated.",https://www.dmr.nd.gov/oilgas/,2026-08-06
MT_BOGC,Montana Board of Oil and Gas Conservation,mineral ownership on wells,WITHHOLDS,BOGC documented well attribute list,Location and well identity only; no mineral-ownership field. Same conclusion as North Dakota.,https://bogc.dnrc.mt.gov/,2026-08-06
SEC_EDGAR,U.S. Securities and Exchange Commission,executed tribal mineral leases filed as exhibits,PUBLISHES,"EDGAR full-text search for the Navajo/Hopi lease language, and the Westmoreland exhibit index","Two instruments retrieved: the Crow Tribal Lands Coal Lease (EX-10.51) and Peabody's FY2010 10-K describing three Navajo/Hopi coal leases. This is the only route found to a tribal lease INSTRUMENT. www.sec.gov returns HTTP 403 without a declared User-Agent; that is an access rule, not an absence.",https://www.sec.gov/cgi-bin/srqsb?text=form-type%3D10-K,2026-08-12
SEC_EDGAR,lessee filings,royalty rate on tribal coal leases,WITHHOLDS,"Peabody FY2010 10-K, Westmoreland Crow lease",Peabody states tribal rates are 'generally based upon a percentage of the gross realization' and gives no number; the 12.5%/8.0% rates in the same filing are FEDERAL leases. Westmoreland's lease gives 6.5% capped at 12.5% but no tonnage. Rate x tonnage is a model and is refused in both cases.,https://www.sec.gov/,2026-08-12
