opinion_id,source_index_row,game_title,game_class,game_class_meaning,bingo,card_games,card_games_state,pull_tabs,internet_gaming,other,opinion_date,opinion_date_basis,document_url,source_index_url,source_authority,source_host,record_scope,record_scope_basis,inclusion_basis,derivation_basis,fetched_date,retrieved_by,built_by,built_date
NIGCGC-AB64A42A10DE,2,All American Game,Both,"II / III / Both, verbatim from the index. Class II and Class III are the IGRA categories at 25 U.S.C. 2703(7)-(8) and they carry entirely different regulatory consequences: Class III requires a tribal-state compact, Class II does not. A blank means the index left the cell blank.",N,N,,N,N,N,2024-04-26,verbatim from the Date column of the NIGC index table,https://www.nigc.gov?wpdmdl=7386&ind=7425,https://www.nigc.gov/office-of-general-counsel/legal-opinions/game-classification-opinions/,National Indian Gaming Commission (NIGC),www.nigc.gov,indian_country,"the opinion classifies a GAME under IGRA. It names no Native entity and the source index carries no party column; the classification applies wherever the game is offered in Indian country. ADR-010 scope `indian_country`, which is an answer and not a gap.","NIGC is the federal regulator created by the Indian Gaming Regulatory Act, 25 U.S.C. 2701 et seq.; every document it publishes concerns Indian gaming by statute.","one row per published game classification opinion, transcribed from the NIGC Office of General Counsel index table (TablePress id 9). The five feature flags are the index's own checkbox columns read as Y/N.",2026-09-01,code/344_pull_nigc_document_surface.py,code/586_promote_nigc_gaming.py,2026-09-01
NIGCGC-DA973A636462,6,O-Craps,III,"II / III / Both, verbatim from the index. Class II and Class III are the IGRA categories at 25 U.S.C. 2703(7)-(8) and they carry entirely different regulatory consequences: Class III requires a tribal-state compact, Class II does not. A blank means the index left the cell blank.",N,N,,N,N,Y,2020-04-29,verbatim from the Date column of the NIGC index table,https://www.nigc.gov?wpdmdl=7418&ind=7429,https://www.nigc.gov/office-of-general-counsel/legal-opinions/game-classification-opinions/,National Indian Gaming Commission (NIGC),www.nigc.gov,indian_country,"the opinion classifies a GAME under IGRA. It names no Native entity and the source index carries no party column; the classification applies wherever the game is offered in Indian country. ADR-010 scope `indian_country`, which is an answer and not a gap.","NIGC is the federal regulator created by the Indian Gaming Regulatory Act, 25 U.S.C. 2701 et seq.; every document it publishes concerns Indian gaming by statute.","one row per published game classification opinion, transcribed from the NIGC Office of General Counsel index table (TablePress id 9). The five feature flags are the index's own checkbox columns read as Y/N.",2026-09-01,code/344_pull_nigc_document_surface.py,code/586_promote_nigc_gaming.py,2026-09-01
NIGCGC-6CD9604F9C25,10,Gamblit Poker LIVE,II,"II / III / Both, verbatim from the index. Class II and Class III are the IGRA categories at 25 U.S.C. 2703(7)-(8) and they carry entirely different regulatory consequences: Class III requires a tribal-state compact, Class II does not. A blank means the index left the cell blank.",N,Y,"MI, IN",N,N,N,2018-01-23,verbatim from the Date column of the NIGC index table,https://www.nigc.gov?wpdmdl=7422&ind=7433,https://www.nigc.gov/office-of-general-counsel/legal-opinions/game-classification-opinions/,National Indian Gaming Commission (NIGC),www.nigc.gov,indian_country,"the opinion classifies a GAME under IGRA. It names no Native entity and the source index carries no party column; the classification applies wherever the game is offered in Indian country. ADR-010 scope `indian_country`, which is an answer and not a gap.","NIGC is the federal regulator created by the Indian Gaming Regulatory Act, 25 U.S.C. 2701 et seq.; every document it publishes concerns Indian gaming by statute.","one row per published game classification opinion, transcribed from the NIGC Office of General Counsel index table (TablePress id 9). The five feature flags are the index's own checkbox columns read as Y/N.",2026-09-01,code/344_pull_nigc_document_surface.py,code/586_promote_nigc_gaming.py,2026-09-01
NIGCGC-BB457E36646F,14,Bingo Nation,II,"II / III / Both, verbatim from the index. Class II and Class III are the IGRA categories at 25 U.S.C. 2703(7)-(8) and they carry entirely different regulatory consequences: Class III requires a tribal-state compact, Class II does not. A blank means the index left the cell blank.",Y,N,,N,N,N,2014-06-27,verbatim from the Date column of the NIGC index table,https://www.nigc.gov?wpdmdl=7437&ind=7448,https://www.nigc.gov/office-of-general-counsel/legal-opinions/game-classification-opinions/,National Indian Gaming Commission (NIGC),www.nigc.gov,indian_country,"the opinion classifies a GAME under IGRA. It names no Native entity and the source index carries no party column; the classification applies wherever the game is offered in Indian country. ADR-010 scope `indian_country`, which is an answer and not a gap.","NIGC is the federal regulator created by the Indian Gaming Regulatory Act, 25 U.S.C. 2701 et seq.; every document it publishes concerns Indian gaming by statute.","one row per published game classification opinion, transcribed from the NIGC Office of General Counsel index table (TablePress id 9). The five feature flags are the index's own checkbox columns read as Y/N.",2026-09-01,code/344_pull_nigc_document_surface.py,code/586_promote_nigc_gaming.py,2026-09-01
NIGCGC-9B27A5985EA6,19,WhoopAss Poker (table version),III,"II / III / Both, verbatim from the index. Class II and Class III are the IGRA categories at 25 U.S.C. 2703(7)-(8) and they carry entirely different regulatory consequences: Class III requires a tribal-state compact, Class II does not. A blank means the index left the cell blank.",N,Y,,N,N,N,2012-08-06,verbatim from the Date column of the NIGC index table,https://www.nigc.gov?wpdmdl=7442&ind=7452,https://www.nigc.gov/office-of-general-counsel/legal-opinions/game-classification-opinions/,National Indian Gaming Commission (NIGC),www.nigc.gov,indian_country,"the opinion classifies a GAME under IGRA. It names no Native entity and the source index carries no party column; the classification applies wherever the game is offered in Indian country. ADR-010 scope `indian_country`, which is an answer and not a gap.","NIGC is the federal regulator created by the Indian Gaming Regulatory Act, 25 U.S.C. 2701 et seq.; every document it publishes concerns Indian gaming by statute.","one row per published game classification opinion, transcribed from the NIGC Office of General Counsel index table (TablePress id 9). The five feature flags are the index's own checkbox columns read as Y/N.",2026-09-01,code/344_pull_nigc_document_surface.py,code/586_promote_nigc_gaming.py,2026-09-01
NIGCGC-75DC3FC57D73,26,Player Pooled Blackjack at Northern Winz Casino,III,"II / III / Both, verbatim from the index. Class II and Class III are the IGRA categories at 25 U.S.C. 2703(7)-(8) and they carry entirely different regulatory consequences: Class III requires a tribal-state compact, Class II does not. A blank means the index left the cell blank.",N,Y,MT,N,N,N,2007-08-10,verbatim from the Date column of the NIGC index table,https://www.nigc.gov?wpdmdl=7459&ind=7470,https://www.nigc.gov/office-of-general-counsel/legal-opinions/game-classification-opinions/,National Indian Gaming Commission (NIGC),www.nigc.gov,indian_country,"the opinion classifies a GAME under IGRA. It names no Native entity and the source index carries no party column; the classification applies wherever the game is offered in Indian country. ADR-010 scope `indian_country`, which is an answer and not a gap.","NIGC is the federal regulator created by the Indian Gaming Regulatory Act, 25 U.S.C. 2701 et seq.; every document it publishes concerns Indian gaming by statute.","one row per published game classification opinion, transcribed from the NIGC Office of General Counsel index table (TablePress id 9). The five feature flags are the index's own checkbox columns read as Y/N.",2026-09-01,code/344_pull_nigc_document_surface.py,code/586_promote_nigc_gaming.py,2026-09-01
NIGCGC-016F91BF9326,56,Eastern Shawnee BJ Tournament,III,"II / III / Both, verbatim from the index. Class II and Class III are the IGRA categories at 25 U.S.C. 2703(7)-(8) and they carry entirely different regulatory consequences: Class III requires a tribal-state compact, Class II does not. A blank means the index left the cell blank.",N,Y,OK,N,N,N,2003-06-10,verbatim from the Date column of the NIGC index table,https://www.nigc.gov?wpdmdl=7522&ind=7533,https://www.nigc.gov/office-of-general-counsel/legal-opinions/game-classification-opinions/,National Indian Gaming Commission (NIGC),www.nigc.gov,indian_country,"the opinion classifies a GAME under IGRA. It names no Native entity and the source index carries no party column; the classification applies wherever the game is offered in Indian country. ADR-010 scope `indian_country`, which is an answer and not a gap.","NIGC is the federal regulator created by the Indian Gaming Regulatory Act, 25 U.S.C. 2701 et seq.; every document it publishes concerns Indian gaming by statute.","one row per published game classification opinion, transcribed from the NIGC Office of General Counsel index table (TablePress id 9). The five feature flags are the index's own checkbox columns read as Y/N.",2026-09-01,code/344_pull_nigc_document_surface.py,code/586_promote_nigc_gaming.py,2026-09-01
NIGCGC-2B19328C3BA3,60,Tournament Blackjack,II,"II / III / Both, verbatim from the index. Class II and Class III are the IGRA categories at 25 U.S.C. 2703(7)-(8) and they carry entirely different regulatory consequences: Class III requires a tribal-state compact, Class II does not. A blank means the index left the cell blank.",N,Y,OK,N,N,N,2003-04-23,verbatim from the Date column of the NIGC index table,https://www.nigc.gov?wpdmdl=7527&ind=7537,https://www.nigc.gov/office-of-general-counsel/legal-opinions/game-classification-opinions/,National Indian Gaming Commission (NIGC),www.nigc.gov,indian_country,"the opinion classifies a GAME under IGRA. It names no Native entity and the source index carries no party column; the classification applies wherever the game is offered in Indian country. ADR-010 scope `indian_country`, which is an answer and not a gap.","NIGC is the federal regulator created by the Indian Gaming Regulatory Act, 25 U.S.C. 2701 et seq.; every document it publishes concerns Indian gaming by statute.","one row per published game classification opinion, transcribed from the NIGC Office of General Counsel index table (TablePress id 9). The five feature flags are the index's own checkbox columns read as Y/N.",2026-09-01,code/344_pull_nigc_document_surface.py,code/586_promote_nigc_gaming.py,2026-09-01
NIGCGC-8BB9750BC48D,90,Poker Club,II,"II / III / Both, verbatim from the index. Class II and Class III are the IGRA categories at 25 U.S.C. 2703(7)-(8) and they carry entirely different regulatory consequences: Class III requires a tribal-state compact, Class II does not. A blank means the index left the cell blank.",N,Y,NY,N,N,N,1999-06-17,verbatim from the Date column of the NIGC index table,https://www.nigc.gov?wpdmdl=7589&ind=7599,https://www.nigc.gov/office-of-general-counsel/legal-opinions/game-classification-opinions/,National Indian Gaming Commission (NIGC),www.nigc.gov,indian_country,"the opinion classifies a GAME under IGRA. It names no Native entity and the source index carries no party column; the classification applies wherever the game is offered in Indian country. ADR-010 scope `indian_country`, which is an answer and not a gap.","NIGC is the federal regulator created by the Indian Gaming Regulatory Act, 25 U.S.C. 2701 et seq.; every document it publishes concerns Indian gaming by statute.","one row per published game classification opinion, transcribed from the NIGC Office of General Counsel index table (TablePress id 9). The five feature flags are the index's own checkbox columns read as Y/N.",2026-09-01,code/344_pull_nigc_document_surface.py,code/586_promote_nigc_gaming.py,2026-09-01
NIGCGC-4FC20C5708FA,97,Dream Card,II,"II / III / Both, verbatim from the index. Class II and Class III are the IGRA categories at 25 U.S.C. 2703(7)-(8) and they carry entirely different regulatory consequences: Class III requires a tribal-state compact, Class II does not. A blank means the index left the cell blank.",N,Y,AZ,N,N,N,1998-07-14,verbatim from the Date column of the NIGC index table,https://www.nigc.gov?wpdmdl=7606&ind=7617,https://www.nigc.gov/office-of-general-counsel/legal-opinions/game-classification-opinions/,National Indian Gaming Commission (NIGC),www.nigc.gov,indian_country,"the opinion classifies a GAME under IGRA. It names no Native entity and the source index carries no party column; the classification applies wherever the game is offered in Indian country. ADR-010 scope `indian_country`, which is an answer and not a gap.","NIGC is the federal regulator created by the Indian Gaming Regulatory Act, 25 U.S.C. 2701 et seq.; every document it publishes concerns Indian gaming by statute.","one row per published game classification opinion, transcribed from the NIGC Office of General Counsel index table (TablePress id 9). The five feature flags are the index's own checkbox columns read as Y/N.",2026-09-01,code/344_pull_nigc_document_surface.py,code/586_promote_nigc_gaming.py,2026-09-01
