child_uei,child_name,parent_uei,parent_name,edge_type,n_observations,first_year,last_year,blocklisted_parent,blocklist_reason,blocklist_note
CF6LJU43PU13,"INDIAN AFFAIRS, BUREAU OF",NW2RJN8TQQW1,GOVERNMENT OF THE UNITED STATES,parent_uei,3,2013,2018,1,federal_registrant_rollup,"Records as GOVERNMENT OF THE UNITED STATES. Its children include BIA, IHS and tribally-controlled grant schools. Inheriting through it would attribute federal agencies to tribes."
CNM9BENTV8K1,INDIAN HEALTH SERVICE,NW2RJN8TQQW1,GOVERNMENT OF THE UNITED STATES,parent_uei,1,2016,2016,1,federal_registrant_rollup,"Records as GOVERNMENT OF THE UNITED STATES. Its children include BIA, IHS and tribally-controlled grant schools. Inheriting through it would attribute federal agencies to tribes."
CQPBZDCJKKC5,NAATSIS'AAN COMMUNITY SCHOOL,NW2RJN8TQQW1,GOVERNMENT OF THE UNITED STATES,ultimate_parent_uei,7,2005,2010,1,federal_registrant_rollup,"Records as GOVERNMENT OF THE UNITED STATES. Its children include BIA, IHS and tribally-controlled grant schools. Inheriting through it would attribute federal agencies to tribes."
DL9JUE3YJDR1,BACA BLOAYAZHI COMMUNITY SCHOOL,NW2RJN8TQQW1,GOVERNMENT OF THE UNITED STATES,parent_uei,5,2011,2012,1,federal_registrant_rollup,"Records as GOVERNMENT OF THE UNITED STATES. Its children include BIA, IHS and tribally-controlled grant schools. Inheriting through it would attribute federal agencies to tribes."
E7LGD5JCENQ4,INDIAN AFFAIRS BUREAU OF,NW2RJN8TQQW1,GOVERNMENT OF THE UNITED STATES,parent_uei,167,2007,2023,1,federal_registrant_rollup,"Records as GOVERNMENT OF THE UNITED STATES. Its children include BIA, IHS and tribally-controlled grant schools. Inheriting through it would attribute federal agencies to tribes."
EDMGUGHUEL64,INDIAN HEALTH SERVICE,NW2RJN8TQQW1,GOVERNMENT OF THE UNITED STATES,parent_uei,28,2008,2026,1,federal_registrant_rollup,"Records as GOVERNMENT OF THE UNITED STATES. Its children include BIA, IHS and tribally-controlled grant schools. Inheriting through it would attribute federal agencies to tribes."
F19NZB713ZP9,CHILCHINBETO COMMUNITY SCHOOL INC.,NW2RJN8TQQW1,GOVERNMENT OF THE UNITED STATES,ultimate_parent_uei,21,2005,2019,1,federal_registrant_rollup,"Records as GOVERNMENT OF THE UNITED STATES. Its children include BIA, IHS and tribally-controlled grant schools. Inheriting through it would attribute federal agencies to tribes."
F2MMWG4MN8E6,"INDIAN AFFAIRS, BUREAU OF",R8U7S9K184F6,GOVERNMENT OF THE UNITED STATES,parent_uei,21,2023,2024,1,federal_registrant_rollup,"Records as GOVERNMENT OF THE UNITED STATES. Its children include BIA, IHS and tribally-controlled grant schools. Inheriting through it would attribute federal agencies to tribes."
FMX1QLNYNWY5,INDIAN NATIONS UNIVERSITY,NW2RJN8TQQW1,GOVERNMENT OF THE UNITED STATES,parent_uei,128,2008,2020,1,federal_registrant_rollup,"Records as GOVERNMENT OF THE UNITED STATES. Its children include BIA, IHS and tribally-controlled grant schools. Inheriting through it would attribute federal agencies to tribes."
GAALGMSVBPK3,LUGER JOANNE DR,NW2RJN8TQQW1,GOVERNMENT OF THE UNITED STATES,parent_uei,7,2007,2009,1,federal_registrant_rollup,"Records as GOVERNMENT OF THE UNITED STATES. Its children include BIA, IHS and tribally-controlled grant schools. Inheriting through it would attribute federal agencies to tribes."
