Deal_ID,Event_Date,Event_Year,Event_Quarter,Event_Month,Deal_Title,Native_Party,Native_Party_Type,Counterparty_or_Funder,Deal_Category,Industry,Event_Type,Status,Announced_Value_USD,Value_Type,Project_Total_Value_USD,State,Location,Description,Native_Connection,Source_1,Source_1_Type,Source_2,Source_2_Type,Verification_Status,Confidence,Notes,Date_Added,Data_As_Of
ANCSA-2012-001,2012-03-01,2012,Q1,2012-03,"Cook Inlet Region, Inc. acquires a 75-percent interest in Cruzco Services Holdings LLC","Cook Inlet Region, Inc.",Alaska Native corporation,Cruzco Services Holdings LLC,Acquisition,Oilfield services / marine transport,75-percent interest acquisition,Completed,30130000,"Initial purchase price recorded at acquisition, being the net present value of purchase payments made plus contingent consideration expected to be paid; $18,643,000 was paid at closing",,AK,Alaska and North Dakota (Bakken),"CIRI acquired a 75-percent interest in Cruzco Services Holdings LLC, which through wholly owned subsidiaries provides oilfield services in North Dakota's Bakken oilfield and operates a marine business transporting equipment and materials offshore and on interior Alaska river systems.","Cook Inlet Region, Inc. is an Alaska Native Claims Settlement Act corporation and a filer with the Alaska Division of Banking and Securities under AS 45.55.139.",https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=fdbc385d-1085-4504-a463-dec49229f5dc,ANCSA corporation annual report filed with the Alaska Division of Banking and Securities (STAR portal),,,Primary verified,High,"ANCSA portal harvest 2026-08-05. VALUE HANDLING: $30,130,000 is the initial recorded purchase price (net present value of payments plus expected contingent consideration), re-read in the filing. Closing cash was $18,643,000. Earn-out payments of $11,195,000 (2014) and $7,868,000 (2013) are components of the same purchase price and must NOT be added to it. The filing also states purchase-price recalculations of +$716,000, -$1,233,000 and +$4,409,000 at stated dates. Restated in the 2016 CIRI annual report, four years after the transaction; filed by TRANSACTION year.",2026-08-05,2026-08-05
ANCSA-2015-001,2015-01-05,2015,Q1,2015-01,"Chugach Commercial Holdings, LLC acquires a 90-percent interest in All American Oilfield, LLC",Chugach Alaska Corporation,Alaska Native corporation,"All American Oilfield, LLC",Acquisition,Oil and gas services,90% ownership interest acquisition,Completed,5000000,"Total consideration paid by the Corporation: $4,464,000 closing cash payment plus $536,000 working capital contribution",10000000,AK,Alaska,"Chugach Alaska Corporation's wholly owned subsidiary Chugach Commercial Holdings, LLC acquired a 90% ownership interest in All American Oilfield, LLC, an oil and gas services company. No liabilities were assumed. Goodwill of $7,945,283 was recognised.",Chugach Alaska Corporation is an Alaska Native Claims Settlement Act corporation and a filer with the Alaska Division of Banking and Securities under AS 45.55.139.,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=d6ee583d-6ef6-4e4f-8a22-5375df11c3ff,ANCSA corporation annual report filed with the Alaska Division of Banking and Securities (STAR portal),https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=063c5913-d29a-4691-a692-2620822cef72,ANCSA corporation annual report filed with the Alaska Division of Banking and Securities (STAR portal),Primary verified,High,"ANCSA portal harvest 2026-08-05. VALUE HANDLING: the note's table totals $10,000,000, which is the Corporation's $5,000,000 consideration PLUS a $3,000,000 promissory note, $1,000,000 contingent consideration and $1,000,000 of noncontrolling-interest contributions. Announced_Value_USD carries only the $5,000,000 the Corporation itself paid; Project_Total_Value_USD carries the $10,000,000 table total. Do NOT sum. The filing further states the earn-out was not achieved during 2015 and the $1,000,000 contingent consideration was never earned. See ANCSA-2020-001 for the later purchase of the remaining 10%.",2026-08-05,2026-08-05
ANCSA-2015-004,2015-10-01,2015,Q4,2015-10,"Doyon, Limited subsidiary acquires Design Data Systems, Inc.","Doyon, Limited",Alaska Native corporation,"Design Data Systems, Inc.",Acquisition,Information technology services,100% stock acquisition,Completed,13558000,"Base purchase price; a working capital adjustment brought the total purchase price to $14,072,000",14072000,AK,"Washington, D.C.","A subsidiary of Doyon, Limited acquired 100% of the outstanding stock of Design Data Systems, Inc., an information technology service provider based in Washington, D.C. providing 24/7 IT support, data backup, cloud computing and IT consulting. The agreement required $12,658,000 at closing; a $514,000 working capital adjustment was finalised and paid in August 2016; $400,000 was held as an indemnification reserve payable on the two-year anniversary of closing; and $500,000 of contingent consideration remained payable on the three-year anniversary subject to operating performance metrics.","Doyon, Limited is an Alaska Native Claims Settlement Act corporation and a filer with the Alaska Division of Banking and Securities under AS 45.55.139.",https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=ce6f975e-6d1c-427b-86c0-83caec1c3417,ANCSA corporation annual report filed with the Alaska Division of Banking and Securities (STAR portal),,,Primary verified,High,"ANCSA portal harvest 2026-08-05. Doyon states figures in thousands on a 30 September fiscal year. Announced_Value_USD carries the stated base purchase price of $13,558,000; Project_Total_Value_USD carries the $14,072,000 total after the working capital adjustment. Do NOT sum the two.",2026-08-05,2026-08-05
ANCSA-2016-002,2016-02-02,2016,Q1,2016-02,"Ahtna, Inc. subsidiary acquires AAA Valley Gravel, Inc.","Ahtna, Inc.",Alaska Native corporation,"AAA Valley Gravel, Inc.",Acquisition,"Sand and gravel mining, trucking and asphalt",100% stock acquisition,Completed,4500000,"Purchase price, excluding AAA Valley's current assets and liabilities at the acquisition date",,AK,"Palmer, Alaska (Matanuska-Susitna Valley)","A subsidiary of Ahtna, Inc. acquired 100 percent of the outstanding stock of AAA Valley Gravel, Inc., which operates in sand and gravel mining, trucking and asphalt and is positioned to support transportation projects in the Matanuska-Susitna Valley of Alaska. The recognised identifiable amounts were property and equipment of $2,491,800 and land and gravel of $4,418,400, less deferred income taxes of $2,410,200.","Ahtna, Inc. is an Alaska Native Claims Settlement Act corporation and a filer with the Alaska Division of Banking and Securities under AS 45.55.139.",https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=a4dd8db9-4369-4e22-97c8-3dbbb2f03f21,ANCSA corporation annual report filed with the Alaska Division of Banking and Securities (STAR portal),https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=b9757300-75db-47f7-ac6e-5df62472ce7d,ANCSA corporation annual report filed with the Alaska Division of Banking and Securities (STAR portal),Primary verified,High,"ANCSA portal harvest 2026-08-05. The 2018 Ahtna annual report restates the same February 2, 2016 transaction in its supplemental cash-flow disclosures; that is a restatement, not a second deal. The $2,000,000 of ""business acquired with long-term debt"" in the cash-flow note is a financing disclosure for this acquisition and is in no value field.",2026-08-05,2026-08-05
ANCSA-2016-005,2016-09-15,2016,Q3,2016-09,"ASRC Industrial Services acquires Restoration Services, Inc.",Arctic Slope Regional Corporation,Alaska Native corporation,"Restoration Services, Inc.",Acquisition,Environmental services,100% stock acquisition,Completed,52000000,"Purchase price net of cash received, less a closing-date working capital deficiency of $2,425,000; a post-closing purchase price adjustment of $220,000 was finalized in 2017",,AK,"Oak Ridge, Tennessee","ASRC Industrial Services, LLC, a subsidiary of Arctic Slope Regional Corporation, acquired 100% of the outstanding stock of Restoration Services, Inc., an Oak Ridge, Tennessee environmental services company providing regulatory strategy, comprehensive characterization, long-term stewardship, project controls and beneficial site reuse to federal agencies and commercial customers throughout the continental United States. $5,200,000 was placed in escrow at closing, payable 18 months after closing.",Arctic Slope Regional Corporation is an Alaska Native Claims Settlement Act corporation and a filer with the Alaska Division of Banking and Securities under AS 45.55.139.,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=5175bef1-7095-4c66-adb0-40319cb4daaf,ANCSA corporation annual report filed with the Alaska Division of Banking and Securities (STAR portal),https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=6da7b026-355d-4bf5-8237-b23323c6f23d,ANCSA corporation annual report filed with the Alaska Division of Banking and Securities (STAR portal),Primary verified,Medium,"ANCSA portal harvest 2026-08-05. ASRC states figures in thousands. The 2018 annual report's acquisition table states a NET PURCHASE PRICE of $49,575 thousand for RSI after allocation; that figure is recorded in this note rather than in a value field so it is never summed with the $52,000,000 narrative price.",2026-08-05,2026-08-05
ANCSA-2018-001,2018-02-02,2018,Q1,2018-02,"Koniag Operating Company purchases Glacier Services, Inc.","Koniag, Inc.",Alaska Native corporation,"Glacier Services, Inc.",Acquisition,"Technical services (data analytics, automation and controls, process safety, cyber security, SCADA)",100% stock acquisition,Completed,8678000,Total consideration,,AK,"Anchorage and Palmer, Alaska","Koniag Operating Company (KOC) purchased 100% of the stock of Glacier Services, Inc. to expand its energy and water sector in Alaska. KOC paid $2,250,000 in cash, financed $4,100,000 via a promissory note with the seller, recorded $1,627,000 of earn-out liabilities based on EBITDA targets, accrued $132,000 of additional cash owed to the sellers for a working capital adjustment and $569,000 due to the sellers for reimbursement of preferred tax treatment. The residual $7,703,000 was recorded as goodwill.","Koniag, Inc. is an Alaska Native Claims Settlement Act corporation and a filer with the Alaska Division of Banking and Securities under AS 45.55.139.",https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=32e8f0a7-bad4-4cbb-a662-a5e10c20e2f5,ANCSA corporation annual report filed with the Alaska Division of Banking and Securities (STAR portal),,,Primary verified,High,"ANCSA portal harvest 2026-08-05. Transaction costs of $164,000 are expenses, not consideration, and are in no value field.",2026-08-05,2026-08-05
ANCSA-2018-004,2018-06-15,2018,Q2,2018-06,"ASRC Industrial Services acquires Hudspeth & Associates, Inc.",Arctic Slope Regional Corporation,Alaska Native corporation,"Hudspeth & Associates, Inc.",Acquisition,Environmental services and demolition,100% stock acquisition,Completed,13000000,"Purchase price; additional consideration included $493,000 of excess working capital and up to $5,500,000 of contingent consideration based on financial performance during the first five calendar years post close",,AK,"Englewood, Colorado","ASRC Industrial Services, LLC acquired 100% of the outstanding stock of Hudspeth & Associates, Inc., an environmental services and demolition contractor based in Englewood, Colorado serving the Rocky Mountain region. $1,425,000 of the purchase price was retained at closing as an indemnity holdback and $200,000 for additional adjustments. A provisional goodwill estimate of $15,323,000 was recognised.",Arctic Slope Regional Corporation is an Alaska Native Claims Settlement Act corporation and a filer with the Alaska Division of Banking and Securities under AS 45.55.139.,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=6da7b026-355d-4bf5-8237-b23323c6f23d,ANCSA corporation annual report filed with the Alaska Division of Banking and Securities (STAR portal),https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=31c92ac7-49da-4516-995a-4512daa686c4,ANCSA corporation annual report filed with the Alaska Division of Banking and Securities (STAR portal),Primary verified,Medium,"ANCSA portal harvest 2026-08-05. VALUE HANDLING: Announced_Value_USD carries the stated $13,000,000 purchase price. The acquisition table reports a NET PURCHASE PRICE of $18,500 thousand for Hudspeth, which incorporates the working-capital purchase and contingent consideration; that figure is recorded in this note rather than in a value field so it is never double counted. The 2019 ASRC annual report states the contingent-consideration estimate for Hudspeth was subsequently reduced.",2026-08-05,2026-08-05
ANCSA-2019-001,2019-01-15,2019,Q1,2019-01,"ASRC Industrial Services acquires Niles Construction, Inc.",Arctic Slope Regional Corporation,Alaska Native corporation,"Niles Construction, Inc.",Acquisition,Commercial and industrial coatings contracting,100% stock acquisition,Completed,4875000,"Purchase price; additional consideration included the purchase of $71,000 in excess working capital, and $615,000 of the purchase price was retained at closing as an indemnity and adjustments holdback",,AK,"Flint, Michigan","ASRC Industrial Services, LLC acquired 100% of the outstanding stock of Niles Construction, Inc., a commercial and industrial coatings contractor based in Flint, Michigan serving customers primarily in Michigan. Goodwill of $3,681,000 was recognised.",Arctic Slope Regional Corporation is an Alaska Native Claims Settlement Act corporation and a filer with the Alaska Division of Banking and Securities under AS 45.55.139.,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=31c92ac7-49da-4516-995a-4512daa686c4,ANCSA corporation annual report filed with the Alaska Division of Banking and Securities (STAR portal),,,Primary verified,Medium,"ANCSA portal harvest 2026-08-05. ASRC states figures in thousands. Three separate ASRC acquisitions are stated as closing in January 2019 (NCS, NEG and K2); they are three distinct targets with three distinct prices in the same note and are recorded as three rows.",2026-08-05,2026-08-05
ANCSA-2019-004,2019-06-15,2019,Q2,2019-06,"ASRC Industrial Services acquires Environmental Quality Management, Inc.",Arctic Slope Regional Corporation,Alaska Native corporation,"Environmental Quality Management, Inc.",Acquisition,Environmental remediation and consulting,100% stock acquisition,Completed,14000000,"Purchase price, of which $350,000 was retained at closing as holdbacks for items specified in the purchase agreement",,AK,"Cincinnati, Ohio","ASRC Industrial Services, LLC acquired 100% of the outstanding stock of Environmental Quality Management, Inc., which provides environmental remediation, project management, emergency response and environmental consulting services primarily to the federal government, based in Cincinnati, Ohio with satellite offices throughout the United States. A provisional goodwill estimate of $8,520,000 was recognised.",Arctic Slope Regional Corporation is an Alaska Native Claims Settlement Act corporation and a filer with the Alaska Division of Banking and Securities under AS 45.55.139.,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=31c92ac7-49da-4516-995a-4512daa686c4,ANCSA corporation annual report filed with the Alaska Division of Banking and Securities (STAR portal),,,Primary verified,Medium,ANCSA portal harvest 2026-08-05. ASRC states figures in thousands.,2026-08-05,2026-08-05
ANCSA-2023-001,2023-03-31,2023,Q1,2023-03,"Chugach Government Solutions, LLC acquires Vector Planning and Services, Inc.",Chugach Alaska Corporation,Alaska Native corporation,"Vector Planning and Services, Inc. (VPSI)",Acquisition,Technology services (defense and government),100% stock acquisition,Completed,1600000,Total purchase price,,AK,"San Diego, California","Chugach Alaska Corporation's wholly owned subsidiary Chugach Government Solutions, LLC acquired 100% of the outstanding stock of Vector Planning and Services, Inc., a San Diego based technology company.",Chugach Alaska Corporation is an Alaska Native Claims Settlement Act corporation and a filer with the Alaska Division of Banking and Securities under AS 45.55.139.,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=b28ba1f5-ba50-4610-b6fa-3969c56a5768,ANCSA corporation annual report filed with the Alaska Division of Banking and Securities (STAR portal),,,Primary verified,High,ANCSA portal harvest 2026-08-05. Restated in the 2024 and 2025 Chugach annual reports; deduplicated on the transaction.,2026-08-05,2026-08-05
