subject_key,subject_name,outcome,verdict_kind,ruling,resolved_tribe_id,resolved_canonical_name,resolve_how,confidence_tier,tier_source,source_row_ordinal,source_column,source_kind,ruling_date,status
CAGE:00Y21,PROFESSIONAL COMPUTING RESOURCES INC,ENTITY,ENTITY,"Koniag, Incorporated",CE-0007F-X7,"Koniag, Incorporated",exact,A,agent_identifier_rulings_applied.csv,269,YOUR_RULING,RULING,2026-08-06,SETTLED
CAGE:083F2,"PATRICK MECHANICAL, LLC",ENTITY,ENTITY,Aleut Corporation,CE-00077-DZ,Aleut Corporation,exact,A,agent_identifier_rulings_applied.csv,149,YOUR_RULING,RULING,2026-08-06,SETTLED
CAGE:09J30,"ERG - EASTERN SHAWNEE JV, LLC",ENTITY,ENTITY,EASTERN SHAWNEE TRIBE OF OKLAHOMA,CE-0014A-M3,Eastern Shawnee Tribe of Oklahoma,exact,A,cedar_identifier_ledger_final.csv (ruled method),1026,existing_ruling,RULING,2026-08-07,SETTLED
CAGE:0EEG7,DOWLAND-BACH CORPORATION,ENTITY,ENTITY,"Koniag, Incorporated",CE-0007F-X7,"Koniag, Incorporated",exact,A,agent_identifier_rulings_applied.csv,548,YOUR_RULING,RULING,2026-08-06,SETTLED
CAGE:0HY50,"Bonanza Fuel, Llc",ENTITY,ENTITY,Sitnasuak Native Corporation,CE-000C2-8J,Sitnasuak Native Corporation,exact,B,agent_identifier_rulings_applied.csv,33,YOUR_RULING,RULING,2026-08-06,SETTLED
CAGE:0M764,Choctaw Nation of Oklahoma,ENTITY,ENTITY,Choctaw Nation of Oklahoma,CE-0013Y-77,The Choctaw Nation of Oklahoma,core,A,cedar_identifier_ledger_final.csv (ruled method),232,YOUR_RULING,RULING,2026-08-05,SETTLED
CAGE:0QXF8,Barrow,ENTITY,ENTITY,NIMA Corporation,CE-000AX-0N,Nima Corporation,exact,A,cedar_identifier_ledger_final.csv (ruled method),1124,existing_ruling,RULING,2026-08-07,SETTLED
CAGE:0RNZ0,"F. D. Thomas, Inc.",ENTITY,ENTITY,Arctic Slope Regional Corporation,CE-00078-KR,Arctic Slope Regional Corporation,exact,A,agent_identifier_rulings_applied.csv,600,YOUR_RULING,RULING,2026-08-06,SETTLED
CAGE:0T0E9,Sitka,ENTITY,ENTITY,Chugach Alaska Corporation,CE-0007C-BW,Chugach Alaska Corporation,exact,A,cedar_identifier_ledger_final.csv (ruled method),1116,existing_ruling,RULING,2026-08-07,SETTLED
CAGE:0VPR2,Muskogee Metal Works Inc,ENTITY,ENTITY,Poarch,CE-0018H-JJ,Poarch,exact,B,stated_on_ruling_row,0,ruling,RULING,2026-08-06,SETTLED
