bill_id,tribe_id,tribe_canonical_name,matched_span,matched_in,entity_tier,entity_match_method,entity_match_basis,bill_scope,congress,bill_title,entity_keyed_date,cedar_uid
103-hr-2366,TRBF-JNACTW-00,Jena,Jena Band of Choctaw Indians,title,A,spine_name_in_title,multi_token_exact_span_with_tribal_designator,tribe-specific,103,Jena Band of Choctaw Indians of Louisiana Confirmation Act,2026-08-06,CE-0015H-32
103-hr-2514,TRBF-PRSCTT-00,Yavapai-Prescott,Yavapai-Prescott Indian Tribe,title,A,spine_name_in_title,multi_token_exact_span_with_tribal_designator,tribe-specific,103,Yavapai-Prescott Indian Tribe Water Rights Settlement Act of 1993,2026-08-06,CE-0018P-GF
103-hr-4119,TRBF-SILETZ-00,Siletz Tribe,Confederated Tribes of Siletz Indians of Oregon,title,A,spine_name_in_title,multi_token_exact_span_with_tribal_designator,tribe-specific,103,"To declare that certain public domain lands are held in trust for the Confederated Tribes of Siletz Indians of Oregon, and for other purposes.",2026-08-06,CE-001A3-8M
103-hr-4870,TRBF-SNCRLS-00,San Carlos,San Carlos,title,A,spine_name_in_title,multi_token_exact_span_with_tribal_designator,tribe-specific,103,To amend the San Carlos Apache Tribe Water Rights Settlement Act of 1992 to extend the deadline for completing certain actions described therein.,2026-08-06,CE-001AD-4E
103-hr-878,TRBF-POKAGN-00,Pokagon,Pokagon,title,A,spine_name_in_title,exact_span_with_tribal_designator_in_context,tribe-specific,103,To restore Federal services to the Pokagon Band of Potawatomi Indians.,2026-08-06,CE-0018K-Y4
103-s-1156,TRBF-CATWBA-00,Catawba,Catawba,title,A,spine_name_in_title,exact_span_with_tribal_designator_in_context,general,103,Catawba Indian Tribe of South Carolina Land Claims Settlement Act of 1993,2026-08-06,CE-0012V-GC
103-s-1613,TRBF-MHATAT-00,Three Affiliated,Three Affiliated,title,A,spine_name_in_title,multi_token_exact_span_with_tribal_designator,tribe-specific,103,A bill to amend the Three Affiliated Tribes and Standing Rock Sioux Tribe Equitable Compensation Act.,2026-08-06,CE-0016W-A5
103-s-2270,TRBF-NORCHY-00,Northern Cheyenne,Northern Cheyenne,title,A,spine_name_in_title,exact_span_with_tribal_designator_in_context,tribe-specific,103,"A bill to authorize the Secretary of the Interior to transfer 40 acres of land on the Northern Cheyenne Indian Reservation, Montana, to Lame Deer High School District No. 6, Rosebud County, Montana, and for other purposes.",2026-08-06,CE-0017N-56
104-hr-2239,TRBF-UNTHOR-00,Ute,Ute,title,B,spine_name_in_title,no_tribal_designator_in_context:a bare place name proves nothing - tribes and places share names,general,104,Mixed-Blood Ute Indian Tax Status Act,2026-08-06,CE-001BW-3N
104-hr-2560,ANVC-CHCKL1-00,"Chickaloon Moose Creek Native Association, Inc.","Chickaloon Moose Creek Native Association, Inc.",title,B,spine_name_in_title,"compound_name_ambiguous:adjacent to 'Ninilchik' with no designator between them - probably one compound tribal name, not two entities",tribe-specific,104,"To provide for conveyances of certain lands in Alaska to Chickaloon-Moose Creek Native Association, Inc., Ninilchik Native Association, Inc., Seldovia Native Association, Inc., Tyonek Native Corporation, and Knikatnu, Inc. under the Alaska Native Claims Settlement Act.",2026-08-06,CE-00084-04
