nagpra_notice_institution_id,document_number,institution_seq,institution_name,institution_city,institution_state,publication_date,notice_type,institution_basis,n_institutions_in_notice,built_date,split_artefact_suspected,split_artefact_detector,split_artefact_basis,institution_name_repaired,repair_action
94-4238#01,94-4238,1,"of Native American Human Remains from the Hawaiian Islands in the Collections of the Peabody Museum of Natural History, Yale University",,,1994-02-25,inventory_completion,title_remainder,1,2026-09-02,1,A4|A5,"A4: fragment begins with 'of', so it begins mid-sentence: 'of Native American Human Remains from the Hawaiian Islands in the Collections of the Peabo' ~~ A5: fragment still contains the possession locution 'in the Collections of the', so everything left of it is object phrase: 'of Native American Human Remains from the Hawaiian Islands in the Collections of the Peabo' ~~ repair: trimmed at the title's own possession locution 'in the Collections of the'; the remainder is a contiguous substring of the title","Peabody Museum of Natural History, Yale University",trimmed
94-28902#01,94-28902,1,"University of Alaska Museum, University of Alaska Fairbanks",in Fairbanks,AK,1994-11-23,inventory_completion,title_possession,1,2026-09-02,0,,,,none
95-15963#01,95-15963,1,of Native American Human Remains from the Island of Lanai in the Collections of the Bernice Pauahi Bishop Museum,Honolulu,HI,1995-06-29,inventory_completion,title_remainder,1,2026-09-02,1,A4|A5,"A4: fragment begins with 'of', so it begins mid-sentence: 'of Native American Human Remains from the Island of Lanai in the Collections of the Bernic' ~~ A5: fragment still contains the possession locution 'in the Collections of the', so everything left of it is object phrase: 'of Native American Human Remains from the Island of Lanai in the Collections of the Bernic' ~~ repair: trimmed at the title's own possession locution 'in the Collections of the'; the remainder is a contiguous substring of the title",Bernice Pauahi Bishop Museum,trimmed
96-30817#01,96-30817,1,of Native American Human Remains From the Islands of O'ahu and Hawaii in the Collections of the Hawai'i Maritime Center,Honolulu,HI,1996-12-04,inventory_completion,title_remainder,1,2026-09-02,1,A4|A5,"A4: fragment begins with 'of', so it begins mid-sentence: 'of Native American Human Remains From the Islands of O'ahu and Hawaii in the Collections o' ~~ A5: fragment still contains the possession locution 'in the Collections of the', so everything left of it is object phrase: 'of Native American Human Remains From the Islands of O'ahu and Hawaii in the Collections o' ~~ repair: trimmed at the title's own possession locution 'in the Collections of the'; the remainder is a contiguous substring of the title",Hawai'i Maritime Center,trimmed
00-7847#01,00-7847,1,U.S. Fish and Wildlife Service and in Possession of the University of Alaska Museum,Fairbanks,AK,2000-03-30,intent_to_repatriate,title_possession,1,2026-09-02,1,A5,"A5: fragment still contains the possession locution 'in Possession of the', so everything left of it is object phrase: 'U.S. Fish and Wildlife Service and in Possession of the University of Alaska Museum' ~~ repair: not_repaired_missed_split_two_holders: the text left of the locution, 'U.S. Fish and Wildlife Service and', is itself an institution, so this ONE row carries TWO holders. Trimming would delete a named holder and splitting would add a row, so the row is flagged and left intact",,none
E7-9453#03,E7-9453,3,"Philosophy, Archaeology Laboratory",Augusta,GA,2007-05-17,inventory_completion,title_colon,3,2026-09-02,1,A1,"A1: `, and ` fell after the bare noun 'Anthropology', which ends no institution name, and before 'Philosophy'. The title reads verbatim: ""Anthropology, and Philosophy, Archaeology Laboratory"" ~~ repair: not_repaired_ambiguous_chain: the title joins three or more fragments with `, and `, so which of them form one institution is not decidable from the text",,none
2014-21482#02,2014-21482,2,California State University,Sacramento,CA,2014-09-10,inventory_completion,title_colon,2,2026-09-02,1,A1,"A1: `, and ` fell after the bare noun 'Long Beach', which ends no institution name, and before 'California State University'. The title reads verbatim: ""California State University, Long Beach, and California State University"" ~~ repair: not_repaired_right_side_is_its_own_name: 'California State University' repeats the left fragment's own words or is too long to be an enumerated noun, so the `, and ` may be a real list of holders",,none
2019-03588#02,2019-03588,2,Formerly Baylor University Museum),Waco,TX,2019-03-01,inventory_completion,title_colon,2,2026-09-02,1,A2|A4,"A2: unmatched parenthesis in 'Formerly Baylor University Museum)' - a delimiter fell inside a parenthetical ~~ A4: fragment begins with 'Formerly', so it begins mid-sentence: 'Formerly Baylor University Museum)' ~~ repair: absorbed into seq 1; retained, not deleted","Baylor University's Mayborn Museum Complex, (Formerly Baylor University's Strecker Museum; Formerly Baylor University Museum)",merged_absorbed
2020-16780#02,2020-16780,2,Formerly Baylor University Museum),Waco,TX,2020-08-03,inventory_completion,title_colon,2,2026-09-02,1,A2|A4,"A2: unmatched parenthesis in 'Formerly Baylor University Museum)' - a delimiter fell inside a parenthetical ~~ A4: fragment begins with 'Formerly', so it begins mid-sentence: 'Formerly Baylor University Museum)' ~~ repair: absorbed into seq 1; retained, not deleted","Baylor University's Mayborn Museum Complex, (Formerly Baylor University's Strecker Museum; Formerly Baylor University Museum)",merged_absorbed
2021-22743#02,2021-22743,2,formerly Baylor University Museum),,,2021-10-19,inventory_completion,title_colon,2,2026-09-02,1,A2|A4,"A2: unmatched parenthesis in 'formerly Baylor University Museum)' - a delimiter fell inside a parenthetical ~~ A4: fragment begins with 'formerly', so it begins mid-sentence: 'formerly Baylor University Museum)' ~~ repair: absorbed into seq 1; retained, not deleted","Baylor University's Mayborn Museum Complex, Waco, TX (formerly Baylor University's Strecker Museum; formerly Baylor University Museum)",merged_absorbed
