native_party,n_deals,tribe_id,canonical_name,party_role,instrumentality_kind,parent_native_entity,confidence_tier,match_method,rationale,resolved_date,cedar_uid
Mohegan Tribal Gaming Authority (Mohegan Tribe of Indians of Connecticut),14,TRBF-MHEGAN-00,Mohegan,INSTRUMENTALITY,gaming enterprise,Mohegan,A,deterministic_containment,"The deals ledger already established this row as an Indian Country deal; only WHICH entity was open, and the party name resolves to it by containment.",2026-08-06,CE-0016X-GY
"Waseyabek Development Company, LLC (Nottawaseppi Huron Band of the Potawatomi)",2,TRBF-NTWSPH-00,Nottawaseppi Potawatomi,INSTRUMENTALITY,development company,Nottawaseppi Potawatomi,A,deterministic_containment,"The deals ledger already established this row as an Indian Country deal; only WHICH entity was open, and the party name resolves to it by containment.",2026-08-06,CE-0017R-QH
Chippewa Cree Housing Authority,2,TRBF-ROCKYB-00,Chippewa-Cree,INSTRUMENTALITY,housing authority (TDHE),Chippewa-Cree,A,deterministic_containment,"The deals ledger already established this row as an Indian Country deal; only WHICH entity was open, and the party name resolves to it by containment.",2026-08-06,CE-0019D-ZY
Red Lake Reservation Housing Authority,2,TRBF-REDLKE-00,Red Lake,INSTRUMENTALITY,housing authority (TDHE),Red Lake,A,deterministic_containment,"The deals ledger already established this row as an Indian Country deal; only WHICH entity was open, and the party name resolves to it by containment.",2026-08-06,CE-00197-V8
River Rock Entertainment Authority (Dry Creek Rancheria Band of Pomo Indians),1,TRBF-DRYCRK-00,Dry Creek,INSTRUMENTALITY,authority,Dry Creek,A,deterministic_containment,"The deals ledger already established this row as an Indian Country deal; only WHICH entity was open, and the party name resolves to it by containment.",2026-08-06,CE-00143-AM
Wind Creek Hospitality / PCI Gaming Authority (Poarch Band of Creek Indians),1,TRBF-POARCH-00,Poarch,INSTRUMENTALITY,authority,Poarch,A,deterministic_containment,"The deals ledger already established this row as an Indian Country deal; only WHICH entity was open, and the party name resolves to it by containment.",2026-08-06,CE-0018H-JJ
Cheyenne River Sioux Tribe Telephone Authority,1,TRBF-CHYNRV-00,Cheyenne River Sioux Tribe,INSTRUMENTALITY,authority,Cheyenne River Sioux Tribe,A,deterministic_containment,"The deals ledger already established this row as an Indian Country deal; only WHICH entity was open, and the party name resolves to it by containment.",2026-08-06,CE-0013B-NC
Pleasant Point Passamaquoddy Reservation Housing Authority,1,CNSF-PSMQDY-PP,Passamaquoddy Pleasant Point,INSTRUMENTALITY,housing authority (TDHE),Passamaquoddy Pleasant Point,A,deterministic_containment,"The deals ledger already established this row as an Indian Country deal; only WHICH entity was open, and the party name resolves to it by containment.",2026-08-06,CE-000QM-B4
Northern Arapaho Housing Authority,1,TRBF-NAWNDR-00,Northern Arapaho,INSTRUMENTALITY,housing authority (TDHE),Northern Arapaho,A,deterministic_containment,"The deals ledger already established this row as an Indian Country deal; only WHICH entity was open, and the party name resolves to it by containment.",2026-08-06,CE-0017G-79
Pit River Tribal Housing Board,1,TRBF-PITRVR-00,Pit River,INSTRUMENTALITY,housing authority (TDHE),Pit River,A,deterministic_containment,"The deals ledger already established this row as an Indian Country deal; only WHICH entity was open, and the party name resolves to it by containment.",2026-08-06,CE-0018B-EW
