candidate_name,proposed_prefix,proposed_class,priority,evidence,n_occurrences,source_datasets,example_source_row,first_year_seen,last_year_seen,normalised_name,YOUR_RULING,entity_category,roll_up_target,parent_requirement,parent_native_entity,serves_native_entities,serves_basis,record_complete,entity_category,roll_up_target,parent_requirement,parent_native_entity,serves_native_entities,serves_basis,record_complete,reject_reason,cedar_uid
NVE,E-,Unclassified Native-signalled organisation,HIGH,appears in a field that is Native by construction,3,deals[deals_federal_awards_additions].Native_Party|identifier_ledger.legal_business_name,deals_federal_awards_additions.csv:row474,2024,2024,nve,,,,,,,,,,,,,,,,too short to identify an entity,
IRA,E-,Unclassified Native-signalled organisation,HIGH,appears in a field that is Native by construction,1,deals[deals_federal_awards_additions].Native_Party,deals_federal_awards_additions.csv:row62,2022,2022,ira,,,,,,,,,,,,,,,,too short to identify an entity,
SMGHA,E-,Unclassified Native-signalled organisation,HIGH,appears in a field that is Native by construction,1,deals[deals_historical_2020_2025].Native_Party,deals_historical_2020_2025.csv:row34,2021,2021,smgha,,,,,,,,,,,,,,,,too short to identify an entity,
Lower Elwha Klallam Tribe,T-,Tribal government (recognition status unruled),HIGH,tribal-government form 'tribe',15,deals[deals_federal_awards_additions].Native_Party|federal_actions.title_abstract[anchored_suffix]|gaming_facilities.tribe|lobbying_unmatched.client_name|native_bills.title[anchored_suffix],deals_federal_awards_additions.csv:row171,2001,2025,lower elwha klallam tribe,,,,,,,,,,,,,,,,"extracted from document prose - FR/bills text confirms and dates known entities, it does not define new ones",
Colville Tribes,T-,Tribal government (recognition status unruled),MEDIUM,tribal-government form 'tribes',6,federal_actions.title_abstract[anchored_suffix]|lobbying_unmatched.client_name,lobbying_unmatched_clients.csv:row177,2002,2024,colville tribes,,,,,,,,,,,,,,,,"extracted from document prose - FR/bills text confirms and dates known entities, it does not define new ones",
Tolowa Nation,T-,Tribal government (recognition status unruled),MEDIUM,tribal-government form 'nation',3,federal_actions.title_abstract[anchored_suffix]|identifier_ledger.legal_business_name,cedar_identifier_ledger_final.csv:row13973,2010,2014,tolowa nation,,,,,,,,,,,,,,,,"extracted from document prose - FR/bills text confirms and dates known entities, it does not define new ones",
"North Slope Borough, Ukpeagvik Inupiat Corporation, and the Native Village",A-,Alaska Native corporation / village corporation,LOW,Alaska Native corporate token 'inupiat',1,federal_actions.title_abstract[anchored_suffix],federal_actions.csv:row35880,2002,2002,north slope borough ukpeagvik inupiat corporation and the native village,,,,,,,,,,,,,,,,"extracted from document prose - FR/bills text confirms and dates known entities, it does not define new ones",
Against Federal Acknowledgment of the Golden Hill Paugussett Tribe,E-,Enterprise or subsidiary,LOW,"tribal form 'tribe' plus business vocabulary (federal) — reads as an arm of a government, not the government",3,federal_actions.title_abstract[anchored_suffix],federal_actions.csv:row4307,1995,2003,against federal acknowledgment of the golden hill paugussett tribe,,,,,,,,,,,,,,,,"begins with a rulemaking verb - a document title, not a name",
ACADEMY OF INDIAN MUSIC,E-,Unclassified Native-signalled organisation,LOW,Native signal 'indian',2,np_orgs.org_name,np_orgs.csv:row1456,2025,2025,academy of indian music,,,,,,,,,,,,,,,,South Asian Indian cultural organization,
"Eastern Division, the Upper Mattaponi Tribe, the Rappahannock Tribe",E-,Enterprise or subsidiary,LOW,"tribal form 'tribe' plus business vocabulary (division) — reads as an arm of a government, not the government",2,federal_actions.title_abstract[anchored_suffix],federal_actions.csv:row119703,2020,2020,eastern division the upper mattaponi tribe the rappahannock tribe,,,,,,,,,,,,,,,,"extracted from document prose - FR/bills text confirms and dates known entities, it does not define new ones",
