native_party,n_deals,canonical_name,party_role,instrumentality_kind,parent_native_entity,confidence_tier,match_method,rationale,resolved_date,cedar_uid
Mohegan Tribal Gaming Authority (Mohegan Tribe of Indians of Connecticut),14,Mohegan Tribe of Indians of Connecticut,INSTRUMENTALITY,gaming enterprise,Mohegan,A,deterministic_containment,"The deals ledger already established this row as an Indian Country deal; only WHICH entity was open, and the party name resolves to it by containment.",2026-08-06,CE-0016X-GY
"Waseyabek Development Company, LLC (Nottawaseppi Huron Band of the Potawatomi)",2,"Nottawaseppi Huron Band of the Potawatomi, Michigan",INSTRUMENTALITY,development company,Nottawaseppi Potawatomi,A,deterministic_containment,"The deals ledger already established this row as an Indian Country deal; only WHICH entity was open, and the party name resolves to it by containment.",2026-08-06,CE-0017R-QH
Chippewa Cree Housing Authority,2,"Chippewa Cree Indians of the Rocky Boy's Reservation, Montana",INSTRUMENTALITY,housing authority (TDHE),Chippewa-Cree,A,deterministic_containment,"The deals ledger already established this row as an Indian Country deal; only WHICH entity was open, and the party name resolves to it by containment.",2026-08-06,CE-0019D-ZY
Red Lake Reservation Housing Authority,2,"Red Lake Band of Chippewa Indians, Minnesota",INSTRUMENTALITY,housing authority (TDHE),Red Lake,A,deterministic_containment,"The deals ledger already established this row as an Indian Country deal; only WHICH entity was open, and the party name resolves to it by containment.",2026-08-06,CE-00197-V8
River Rock Entertainment Authority (Dry Creek Rancheria Band of Pomo Indians),1,"Dry Creek Rancheria Band of Pomo Indians, California",INSTRUMENTALITY,authority,Dry Creek,A,deterministic_containment,"The deals ledger already established this row as an Indian Country deal; only WHICH entity was open, and the party name resolves to it by containment.",2026-08-06,CE-00143-AM
Wind Creek Hospitality / PCI Gaming Authority (Poarch Band of Creek Indians),1,Poarch Band of Creek Indians,INSTRUMENTALITY,authority,Poarch,A,deterministic_containment,"The deals ledger already established this row as an Indian Country deal; only WHICH entity was open, and the party name resolves to it by containment.",2026-08-06,CE-0018H-JJ
Cheyenne River Sioux Tribe Telephone Authority,1,"Cheyenne River Sioux Tribe of the Cheyenne River Reservation, South Dakota",INSTRUMENTALITY,authority,Cheyenne River Sioux Tribe,A,deterministic_containment,"The deals ledger already established this row as an Indian Country deal; only WHICH entity was open, and the party name resolves to it by containment.",2026-08-06,CE-0013B-NC
Pleasant Point Passamaquoddy Reservation Housing Authority,1,Passamaquoddy Pleasant Point,INSTRUMENTALITY,housing authority (TDHE),Passamaquoddy Pleasant Point,A,deterministic_containment,"The deals ledger already established this row as an Indian Country deal; only WHICH entity was open, and the party name resolves to it by containment.",2026-08-06,CE-000QM-B4
Northern Arapaho Housing Authority,1,"Northern Arapaho Tribe of the Wind River Reservation, Wyoming",INSTRUMENTALITY,housing authority (TDHE),Northern Arapaho,A,deterministic_containment,"The deals ledger already established this row as an Indian Country deal; only WHICH entity was open, and the party name resolves to it by containment.",2026-08-06,CE-0017G-79
Pit River Tribal Housing Board,1,"Pit River Tribe, California (includes XL Ranch, Big Bend, Likely, Lookout, Montgomery Creek, and Roaring Creek Rancherias)",INSTRUMENTALITY,housing authority (TDHE),Pit River,A,deterministic_containment,"The deals ledger already established this row as an Indian Country deal; only WHICH entity was open, and the party name resolves to it by containment.",2026-08-06,CE-0018B-EW
