Deal_ID,Event_Date,Event_Year,Event_Quarter,Event_Month,Deal_Title,Native_Party,Native_Party_Type,Counterparty_or_Funder,Deal_Category,Industry,Event_Type,Status,Announced_Value_USD,Value_Type,Project_Total_Value_USD,State,Location,Description,Native_Connection,Source_1,Source_1_Type,Source_2,Source_2_Type,Verification_Status,Confidence,Notes,Date_Added,Data_As_Of
ND-2021-007,2021-08-02,2021,Q3,2021-08,Chickasaw Health Consulting awarded $25M CDC data modernization contract,"Chickasaw Health Consulting, LLC",Tribally owned enterprise,Centers for Disease Control and Prevention,Contract award,Federal contracting / public health,Awarded,Awarded,25000000,Contract value,,OK,Nationwide,"Two-year contract to provide technical assistance for data modernization under the CDC Epidemiology and Laboratory Capacity (ELC) Cooperative Agreement, awarded by CDC CSELS. Work began August 2021.","Chickasaw Health Consulting, LLC is a subsidiary of Chickasaw Nation Industries, Inc., owned by the Chickasaw Nation.",https://www.chickasaw.com/chickasaw-health-consulting-awarded-25-million-contract,Native enterprise press release,,,Primary verified,High,Entity newsroom sweep 2026-08-05 (chickasaw.com/about/news). Release does not distinguish ceiling from obligated value. Open item: match to FPDS/USAspending for obligated dollars.,2026-08-05,2026-08-05
ND-2021-010,2021-10-26,2021,Q4,2021-10,Waséyabek Development Company and Gun Lake Investments obtain ownership of Zip Xpress and Green Transportation,Waséyabek Development Company / Gun Lake Investments,Tribal economic development companies (two tribes),"Zip Xpress, Inc. and Green Transportation, Inc.",Acquisition,Logistics / trucking,Joint acquisition,Announced,,Undisclosed,,MI,"Holland, Michigan","Two Michigan tribal economic development companies jointly took ownership of Zip Xpress and Green Transportation, which together employ roughly 90 people and operate nationally.",Waséyabek Development Company is owned by the Nottawaseppi Huron Band of the Potawatomi; Gun Lake Investments is the economic development arm of the Match-E-Be-Nash-She-Wish Band of Pottawatomi Indians.,https://waseyabek.com/waseyabek-development-company-and-gun-lake-investments-obtain-ownership-of-zip-xpress-and-green-transportation/,Tribal economic-development company press release,,,Primary verified,High,Entity newsroom sweep 2026-08-05 (waseyabek.com/news). Ownership split between the two tribal entities is not disclosed in the release; do not assume 50/50. Open item: closing date and ownership split.,2026-08-05,2026-08-05
ND-2022-004,2022-02-01,2022,Q1,2022-02,Doyon and Huna Totem form Na-Dena' joint venture and acquire 80% of Alaska Independent Coach Tours,"Doyon, Limited / Huna Totem Corporation (Na-Dena')",Alaska Native corporation joint venture,Alaska Independent Coach Tours LLC,Joint venture,Tourism / transportation,Joint venture formed and 80% stake acquired,Closed,,Undisclosed,,AK,Alaska,"Doyon, Limited and Huna Totem Corporation formed Na-Dena', a 50-50 joint venture to expand Indigenous tourism in Alaska. The joint venture acquired an 80% stake in Alaska Independent Coach Tours LLC, which closed February 1, 2022.","Doyon, Limited is an Alaska Native regional corporation; Huna Totem Corporation is an Alaska Native village corporation.",https://www.doyon.com/new-joint-venture-na-dena/,Native parent press release,,,Primary verified,High,"Entity newsroom sweep 2026-08-05 (doyon.com). Release dated Feb 3, 2022; the Feb 1, 2022 closing date of the Alaska Independent Coach Tours stake purchase is used. Terms not disclosed. The $64M Icy Strait Point tax-revenue figure in the release describes existing Huna Totem operations and is NOT a transaction value.",2026-08-05,2026-08-05
ND-2023-003,2023-02-27,2023,Q1,2023-02,PCI Gaming Authority (Wind Creek Hospitality) completes purchase of Magic City Casino,Poarch Band of Creek Indians / PCI Gaming Authority (Wind Creek Hospitality),Federally recognized tribe,Havenick family (Magic City Casino owners),Acquisition,Gaming / hospitality,Acquisition,Closed,96000000,Recorded deed sale price (Miami-Dade County),,FL,"Miami, Florida","PCI Gaming Authority completed the purchase of Magic City Casino at 450 NW 37th Avenue, Miami, a 305,624-square-foot property on about 30 acres with a license to operate slot machines, poker and electronic casino games. The deed was recorded in Miami-Dade County on February 27, 2023.",PCI Gaming Authority (d/b/a Wind Creek Hospitality) is owned by the Poarch Band of Creek Indians.,https://commercialobserver.com/2023/02/pci-gaming-authority-magic-city-casino-wind-creek-hospitality/,Commercial real estate press citing recorded deed,https://www.globenewswire.com/news-release/2023/02/08/2604438/0/en/PCI-Gaming-agrees-to-acquire-Magic-City-Casino-in-Miami.html,Native parent press release (agreement announcement),Primary + independent verified,High,"Entity newsroom sweep 2026-08-05. The Feb 8, 2023 PCI/GlobeNewswire release announced the agreement following Florida Gaming Control Commission approval of the asset and license transfer to Gretna Racing, LLC; the transaction was expected to close in spring 2023 and the deed was recorded Feb 27, 2023. Announced_Value_USD is the RECORDED DEED price of $96 million. Commercial Observer separately ESTIMATES full deal value near $600 million including the gaming license; that estimate is not a disclosed transaction price and is deliberately not entered in any value field.",2026-08-05,2026-08-05
ND-2023-006,2023-07-05,2023,Q3,2023-07,"Chickasaw Nation Industries acquires Washington Business Dynamics, LLC","Chickasaw Nation Industries, Inc.",Tribally owned enterprise,"Washington Business Dynamics, LLC",Acquisition,Federal contracting / management consulting,Acquisition,Closed/announced,,Undisclosed,,DC,"Washington, D.C.","CNI acquired Washington Business Dynamics, LLC, a management consulting firm founded in 2012 serving federal civilian and defense customers including DoD, USDA, HHS and GSA.","Chickasaw Nation Industries, Inc. is owned by the Chickasaw Nation.",https://www.chickasaw.com/acquisition-washington-business-dynamics,Native enterprise press release,https://tribalbusinessnews.com/sections/federal-8-a-contracting/14592-chickasaw-nation-industries-acquires-federal-contracting-firm,Native business press,Primary + independent verified,High,Entity newsroom sweep 2026-08-05. Terms not disclosed. Stout Risius Ross is publicly named as WBD’s sell-side adviser (not retrieved in full; not relied on for any field here).,2026-08-05,2026-08-05
ND-2024-005,2024-01-02,2024,Q1,2024-01,"Doyon, Limited sells its interest in the Doyon Anvil joint venture","Doyon, Limited",Alaska Native regional corporation,Anvil Corporation,Divestiture,Engineering services,Sale of joint-venture interest,Closed/announced,,Undisclosed,,AK,Alaska / Pacific Northwest,"Anvil Corporation acquired Doyon, Limited’s interest in the Doyon Anvil joint venture, ending a decade-long partnership so each organization could pursue separate strategic objectives. Doyon is the divesting principal.","Doyon, Limited is an Alaska Native regional corporation.",https://www.doyon.com/doyon-anvil-acquisition/,Native parent press release,,,Primary verified,High,Entity newsroom sweep 2026-08-05. Divestiture row (Native entity as principal). Terms not disclosed; no separate closing date stated. Emits an ownership-change record: Doyon Anvil exits the Doyon family effective on/about 2024-01-02.,2026-08-05,2026-08-05
ND-2024-008,2024-10-15,2024,Q4,2024-10,Gun Lake Investments and developer Jeff Konczak acquire the Hot 'n Now restaurant brand,Gun Lake Investments / HNN Holdings LLC,Tribal economic development company,Hot 'n Now brand rights / Jeff Konczak (partner),Acquisition,Restaurants / food service,Brand acquisition,Closed,,Undisclosed,,MI,"Wayland and Alpena, Michigan","Gun Lake Investments, partnering with Alpena developer Jeff Konczak through HNN Holdings LLC, acquired the Hot 'n Now burger brand, with plans to open locations near Gun Lake Casino in Wayland and in Alpena.",Gun Lake Investments is the economic development arm of the Match-E-Be-Nash-She-Wish Band of Pottawatomi Indians (Gun Lake Tribe).,https://tribalbusinessnews.com/sections/real-estate/14984-michigan-tribe-developer-to-revive-hot-n-now-burger-chain,Native business press,https://gunlakeinvestments.com/hot-n-now-news/,Tribal enterprise website,Primary + independent verified,Medium,"Entity newsroom sweep 2026-08-05. SCOPE NOTE: publicly announced January 21-22, 2025, but the acquisition itself is reported as October 2024, so the row is filed in 2024 per the strict-window rule. Event_Date 2024-10-15 is a mid-month PLACEHOLDER, not a reported day. Terms not disclosed.",2026-08-05,2026-08-05
ND-2025-013,2025-02-04,2025,Q1,2025-02,Waséyabek Development Company acquires Great Lakes Warehousing and 156 acres in Holland,Waséyabek Development Company,Tribal economic development company,"Great Lakes Warehousing, LLC and adjoining landowner(s)",Acquisition,Warehousing / logistics / land,Acquisition of operating company plus land,Announced,,Undisclosed,,MI,"Holland, Michigan (899 Interchange Drive)","Waséyabek, through subsidiaries Zip Xpress and Green Transportation, purchased Great Lakes Warehousing in Holland, Michigan, together with 156 acres of surrounding, largely undeveloped land.",Waséyabek Development Company is owned by the Nottawaseppi Huron Band of the Potawatomi.,https://waseyabek.com/waseyabek-invest-west-michigan-warehousing-100-acres-land/,Tribal economic-development company press release,,,Primary verified,High,"Entity newsroom sweep 2026-08-05. Release states ""Terms of the two sales are not being disclosed"" and gives no closing date. Two transactions (operating company + land) reported in one release and recorded as one row to avoid double-counting.",2026-08-05,2026-08-05
ND-2025-016,2025-06-24,2025,Q2,2025-06,Waséyabek Federal Services wins $205M National Energy Technology Laboratory contract,Waséyabek Federal Services,Tribal economic development company subsidiary,National Energy Technology Laboratory (U.S. Department of Energy),Contract award,Federal contracting,Awarded,Awarded,205000000,Contract value (two-year base plus three one-year options),,MI,Michigan / NETL sites,"Five-year contract structured as a two-year initial agreement with three one-year options; operations commenced September 1, 2025.","Waséyabek Federal Services is part of Waséyabek Development Company, owned by the Nottawaseppi Huron Band of the Potawatomi.",https://waseyabek.com/waseyabek-federal-services-lands-five-year-contract-national-energy-technology-laboratory/,Tribal economic-development company press release,,,Primary verified,High,Entity newsroom sweep 2026-08-05. Full option value is not guaranteed revenue or obligated spending. Open item: match to FPDS/USAspending for the obligated series.,2026-08-05,2026-08-05
ND-2025-019,2025-10-06,2025,Q4,2025-10,"Doyon, Limited and The Aleut Corporation invest US$5M in Graphite One","Doyon, Limited / The Aleut Corporation",Alaska Native regional corporations,Graphite One Inc.,Equity investment,Critical minerals / mining,Invested,Closed,5000000,Combined private placement investment (both corporations together),,AK,"Graphite Creek, Alaska","Doyon and Aleut invested a combined US$5.0 million (CDN$7.0 million) through a non-brokered private placement of 8,514,024 units at CDN$0.82 per unit, each unit comprising one common share and one warrant exercisable at CDN$1.03 for three years. Proceeds fund environmental studies and permitting at Graphite Creek.","Doyon, Limited and The Aleut Corporation are Alaska Native regional corporations. Graphite One states this made it the first critical mineral project with direct investment from three Alaska Native regional corporations (Bering Straits Native Corporation invested earlier).",https://www.prnewswire.com/news-releases/graphite-one-welcomes-strategic-investment-from-doyon-limited-and-aleut-302575286.html,Counterparty press release,https://www.graphiteoneinc.com/graphite-one-welcomes-strategic-investment-from-doyon-limited-and-aleut/,Counterparty website,Primary + independent verified,High,"Entity newsroom sweep 2026-08-05. DATE AUDIT: an intermediary summary rendered this release as Oct 6, 2024; the PR Newswire dateline was re-read directly and reads ""VANCOUVER, BC, Oct. 6, 2025"". 2025 is correct. The US$5.0M is COMBINED for Doyon and Aleut — the release does not break out per-corporation amounts, so do not split it. Bering Straits’ earlier investment is a separate event not recorded here.",2026-08-05,2026-08-05
