disclosure_id,assertion_class,assertion_class_note,not_summable_with,figure_type,figure_type_note,value_usd,value_verbatim,value_precision,value_scale_applied,fiscal_period_label,period_type,period_end,fiscal_year,facility_id,cedar_place_id_absent_reason,cedar_place_id,facility_name_cedar,facility_name_as_filed,tribe_name,cedar_uid,state,facility_is_on_indian_lands,filer_name,filer_cik,filer_role,manager_name,form,filing_date,accession,source_url,local_file,source_md5,source_quote,derived_from_fee,derivation_input_fee_usd,derivation_stated_percentage,derivation_percentage_base,derivation_percentage_source_accession,derivation_arithmetic,derivation_caveat,is_first_filing_of_this_fact,n_filings_stating_this_fact,restated_in_accessions,restatements_agree,extraction_pattern,adjudication,adjudication_note,record_scope_basis,built_date
SECFD-0004,SEC_FILED_FINANCIAL_DISCLOSURE,"SEC-FILED FINANCIAL DISCLOSURE. The figure was filed with the Securities and Exchange Commission by the named registrant under a federal disclosure obligation, in the form and accession named on the row, and (for a 10-K) sits inside or beside audited financial statements. That makes it STRONGER than a casino's self-published marketing number and DIFFERENT IN KIND from an NIGC figure - it is the filer's own accounting of its own contract, not a regulator's measurement of the industry. It is neither, and it is pooled with neither.","gaming_revenue_bounds.csv, nigc_regional_ggr.csv, nigc_revenue_bands.csv, gaming_capacity_official.csv, state_gaming_observations.csv, gaming_property_self_published_assertions.csv, gaming_property_self_published_claims.csv - and never across figure_type within this table",DERIVED_FACILITY_NET_INCOME_AS_DEFINED,"Graton Resort net income as the management agreement defines it, recovered from the stated fee and the stated percentage",287037037,$77.5 million fee / 27%,DERIVED_FROM_A_FEE_ROUNDED_TO_TENTHS_OF_A_MILLION,,"year ended December 31, 2018",FISCAL_YEAR,2018-12-31,2018,CCP-638700,,CEDAR-PLACE-000075-CK,Graton Resort & Casino,Graton Resort & Casino,Federated Indians of Graton Rancheria,CE-0014P-WF,CA,Y,"Red Rock Resorts, Inc. (Station Casinos)",0001653653,MANAGER,"Red Rock Resorts, Inc. (Station Casinos)",10-K,2021-02-23,0001653653-21-000005,https://www.sec.gov/Archives/edgar/data/1653653/000165365321000005/rrr-20201231.htm,data/raw/external/sec_edgar_1030/0001653653-21-000005__rrr-20201231.htm,,"""The Company managed Graton Resort & Casino ('Graton Resort') on behalf of the Federated Indians of Graton Rancheria through February 5, 2021. For the years ended December 31, 2020, 2019 and 2018, management fees from Graton Resort totaled $77.4 million, $85.6 million and $77.5 million, respectively."" [percentage, from accession 0001653653-20-000005] ""...is entitled to receive a management fee of 24% of Graton Resort's net income (as defined in the management agreement) in years 1 through 4 of the agreement, and is entitled to receive 27% of Graton Resort's net income in years 5 through 7""",Y,77500000,27,NET_INCOME_AS_DEFINED_IN_THE_MANAGEMENT_AGREEMENT,0001653653-20-000005,"77,500,000 / 0.27 = 287037037","THIS IS NOT REVENUE. The percentage base is ""net income (as defined in the management agreement)"", which under IGRA (25 U.S.C. 2703(9)) is gross gaming revenues less prizes and less gaming-related operating expenses excluding the management fee - much closer to operating profit than to revenue. The 27% rate is stated in Red Rock's FY2019 10-K (accession 0001653653-20-000005: ""24% of Graton Resort's net income ... in years 1 through 4 of the agreement, and is entitled to receive 27% of Graton Resort's net income in years 5 through 7""); Graton opened November 5, 2013, so calendar 2018, 2019 and 2020 sit inside years 5-7. The fee dollars are stated excluding reimbursable costs. The result is the CONTRACT'S OWN BASE and nothing else, and it may not be compared with a net-revenues figure for another property.",Y,1,,,MANUAL_READ,ACCEPT,Derived. The fee row it is derived from is the accepted candidate for the same year and filing.,Third-party SEC filing. PUBLICATION_POLICY.md <!-- BEGIN TERMS-SCOPE -->: a terms restriction attaches to the source that stated it and does not bind a third party's mandatory securities disclosure.,2026-09-02
SECFD-0015,SEC_FILED_FINANCIAL_DISCLOSURE,"SEC-FILED FINANCIAL DISCLOSURE. The figure was filed with the Securities and Exchange Commission by the named registrant under a federal disclosure obligation, in the form and accession named on the row, and (for a 10-K) sits inside or beside audited financial statements. That makes it STRONGER than a casino's self-published marketing number and DIFFERENT IN KIND from an NIGC figure - it is the filer's own accounting of its own contract, not a regulator's measurement of the industry. It is neither, and it is pooled with neither.","gaming_revenue_bounds.csv, nigc_regional_ggr.csv, nigc_revenue_bands.csv, gaming_capacity_official.csv, state_gaming_observations.csv, gaming_property_self_published_assertions.csv, gaming_property_self_published_claims.csv - and never across figure_type within this table",DERIVED_FACILITY_GROSS_REVENUES_AS_DEFINED,"Mohegan Sun Revenues as the Relinquishment Agreement defines them (gross gaming revenues other than Class II, plus all other facility revenues), recovered from the stated fee and the stated 5%",914306360,"$45,715,318 fee / 5%",DERIVED_FROM_AN_EXACT_FEE_AND_A_STATED_RATE,,Relinquishment Fees earned 2001 (filer's label),FISCAL_YEAR,2001-12-31,2001,CCP-45100,,CEDAR-PLACE-000140-WC,Mohegan Sun,Mohegan Sun,Mohegan Tribe,CE-0016X-GY,CT,Y,"Waterford Gaming, L.L.C.",0001028911,RELINQUISHMENT_INTEREST_HOLDER,Trading Cove Associates (former manager; relinquished 1999-12-31),10-K/A,2003-06-05,0001047469-03-020574,https://www.sec.gov/Archives/edgar/data/1028911/000104746903020574/a2112430z10-ka.txt,data/raw/external/sec_edgar_1030/0001047469-03-020574__a2112430z10-ka.txt,,"""For the years ended December 31, 2002, 2001 and 2000, total Relinquishment Fees earned were $58,508,703, $45,715,318 and $41,003,849, respectively."" [tabulated: ""Relinquishment Fees earned 2001 $ 45,715,318""] [rate and base, same filing] ""the Authority agreed to pay to TCA a fee (the RELINQUISHMENT FEES) equal to 5 percent of Revenues, as defined in the Relinquishment Agreement, generated by the Mohegan Sun"" ... ""Revenues [is] defined in the Relinquishment Agreement as gross gaming revenues (other than Class II gaming revenue) and all other facility revenues""",Y,45715318,5,REVENUES_AS_DEFINED_IN_THE_RELINQUISHMENT_AGREEMENT,0001047469-03-020574,"45,715,318 / 0.05 = 914,306,360","DERIVED, and derived from the strongest formula in this corpus: the SAME filings that state the dollars also state the rate and define the base. ""The Authority agreed to pay to TCA a fee (the RELINQUISHMENT FEES) equal to 5 percent of Revenues, as defined in the Relinquishment Agreement, generated by the Mohegan Sun"", and Revenues is defined in those filings as ""gross gaming revenues (other than Class II gaming revenue) and all other facility revenues"". So this figure is Mohegan Sun's GROSS facility revenues on the agreement's definition - before promotional allowances, and excluding Class II. It is NOT the ""net revenues"" MTGA reports in its own 10-K a decade later, and the two must not be plotted as one series. The period caveat on the fee row applies here unchanged. Cross-check, not a proof: the derived FY2005 figure of $1.459bn sits above MTGA's own reported FY2005 net revenues, which is the direction a gross-of-promotional-allowance measure should sit.",Y,1,,,MANUAL_READ,ACCEPT,Derived from MANUAL-0101.,Third-party SEC filing. PUBLICATION_POLICY.md <!-- BEGIN TERMS-SCOPE -->: a terms restriction attaches to the source that stated it and does not bind a third party's mandatory securities disclosure.,2026-09-02
SECFD-0019,SEC_FILED_FINANCIAL_DISCLOSURE,"SEC-FILED FINANCIAL DISCLOSURE. The figure was filed with the Securities and Exchange Commission by the named registrant under a federal disclosure obligation, in the form and accession named on the row, and (for a 10-K) sits inside or beside audited financial statements. That makes it STRONGER than a casino's self-published marketing number and DIFFERENT IN KIND from an NIGC figure - it is the filer's own accounting of its own contract, not a regulator's measurement of the industry. It is neither, and it is pooled with neither.","gaming_revenue_bounds.csv, nigc_regional_ggr.csv, nigc_revenue_bands.csv, gaming_capacity_official.csv, state_gaming_observations.csv, gaming_property_self_published_assertions.csv, gaming_property_self_published_claims.csv - and never across figure_type within this table",DERIVED_FACILITY_GROSS_REVENUES_AS_DEFINED,"Mohegan Sun Revenues as the Relinquishment Agreement defines them (gross gaming revenues other than Class II, plus all other facility revenues), recovered from the stated fee and the stated 5%",1459289320,"$72,964,466 fee / 5%",DERIVED_FROM_AN_EXACT_FEE_AND_A_STATED_RATE,,Relinquishment Fees earned 2005 (filer's label),FISCAL_YEAR,2005-12-31,2005,CCP-45100,,CEDAR-PLACE-000140-WC,Mohegan Sun,Mohegan Sun,Mohegan Tribe,CE-0016X-GY,CT,Y,"Waterford Gaming, L.L.C.",0001028911,RELINQUISHMENT_INTEREST_HOLDER,Trading Cove Associates (former manager; relinquished 1999-12-31),10-K,2006-03-27,0001028911-06-000010,https://www.sec.gov/Archives/edgar/data/1028911/000102891106000010/final10kwgllc123105.txt,data/raw/external/sec_edgar_1030/0001028911-06-000010__final10kwgllc123105.txt,,"""...Relinquishment Fees earned were $72,964,466, $69,101,491 and $65,099,553, respectively."" [tabulated: ""Relinquishment Fees earned 2005 $ 72,964,466""] [rate and base, same filing] ""the Authority agreed to pay to TCA a fee (the RELINQUISHMENT FEES) equal to 5 percent of Revenues, as defined in the Relinquishment Agreement, generated by the Mohegan Sun"" ... ""Revenues [is] defined in the Relinquishment Agreement as gross gaming revenues (other than Class II gaming revenue) and all other facility revenues""",Y,72964466,5,REVENUES_AS_DEFINED_IN_THE_RELINQUISHMENT_AGREEMENT,0001028911-06-000010,"72,964,466 / 0.05 = 1,459,289,320","DERIVED, and derived from the strongest formula in this corpus: the SAME filings that state the dollars also state the rate and define the base. ""The Authority agreed to pay to TCA a fee (the RELINQUISHMENT FEES) equal to 5 percent of Revenues, as defined in the Relinquishment Agreement, generated by the Mohegan Sun"", and Revenues is defined in those filings as ""gross gaming revenues (other than Class II gaming revenue) and all other facility revenues"". So this figure is Mohegan Sun's GROSS facility revenues on the agreement's definition - before promotional allowances, and excluding Class II. It is NOT the ""net revenues"" MTGA reports in its own 10-K a decade later, and the two must not be plotted as one series. The period caveat on the fee row applies here unchanged. Cross-check, not a proof: the derived FY2005 figure of $1.459bn sits above MTGA's own reported FY2005 net revenues, which is the direction a gross-of-promotional-allowance measure should sit.",Y,1,,,MANUAL_READ,ACCEPT,Derived from MANUAL-0105.,Third-party SEC filing. PUBLICATION_POLICY.md <!-- BEGIN TERMS-SCOPE -->: a terms restriction attaches to the source that stated it and does not bind a third party's mandatory securities disclosure.,2026-09-02
SECFD-0026,SEC_FILED_FINANCIAL_DISCLOSURE,"SEC-FILED FINANCIAL DISCLOSURE. The figure was filed with the Securities and Exchange Commission by the named registrant under a federal disclosure obligation, in the form and accession named on the row, and (for a 10-K) sits inside or beside audited financial statements. That makes it STRONGER than a casino's self-published marketing number and DIFFERENT IN KIND from an NIGC figure - it is the filer's own accounting of its own contract, not a regulator's measurement of the industry. It is neither, and it is pooled with neither.","gaming_revenue_bounds.csv, nigc_regional_ggr.csv, nigc_revenue_bands.csv, gaming_capacity_official.csv, state_gaming_observations.csv, gaming_property_self_published_assertions.csv, gaming_property_self_published_claims.csv - and never across figure_type within this table",FACILITY_NET_REVENUES,"segment net revenues, table stated in thousands",992043000.0,"992,043,000 (segment table stated in thousands)",,thousands,fiscal year ended 2019-09-30,FISCAL_YEAR,2019-09-30,2019,CCP-45100,,CEDAR-PLACE-000140-WC,Mohegan Sun,Mohegan Sun,Mohegan Tribe,CE-0016X-GY,CT,Y,Mohegan Tribal Gaming Authority,0001005276,OPERATOR_TRIBAL_INSTRUMENTALITY,,10-K,2021-12-16,0001005276-21-000022,https://www.sec.gov/Archives/edgar/data/1005276/000100527621000022/mtga-20210930.htm,data/raw/external/sec_edgar_1030/0001005276-21-000022__mtga-20210930.htm,78153d50eecea6d9fd95b48c86d580a1,"| For the Fiscal Years Ended September 30, | || | 2021 | 2020 | 2019 | 21 vs. 20 | 21 vs. 20 | || Net revenues: | || Mohegan Sun | $ | 816,376 | $ | 715,674 | $ | 992,043 | $ | 100,702 | 14.1 | % |",,,,,,,,N,2,0001005276-19-000018,Y,C_SEGMENT_TABLE,ACCEPT,"Mohegan Tribal Gaming Authority segment table, 10-K, stated in thousands. MTGA is an instrumentality of the Mohegan Tribe and an SEC registrant in its own right, so this is the property owner reporting its own property under a federal disclosure obligation. A 10-K restates the two prior fiscal years; is_first_filing_of_this_fact says which row is the original.",Third-party SEC filing. PUBLICATION_POLICY.md <!-- BEGIN TERMS-SCOPE -->: a terms restriction attaches to the source that stated it and does not bind a third party's mandatory securities disclosure.,2026-09-02
SECFD-0030,SEC_FILED_FINANCIAL_DISCLOSURE,"SEC-FILED FINANCIAL DISCLOSURE. The figure was filed with the Securities and Exchange Commission by the named registrant under a federal disclosure obligation, in the form and accession named on the row, and (for a 10-K) sits inside or beside audited financial statements. That makes it STRONGER than a casino's self-published marketing number and DIFFERENT IN KIND from an NIGC figure - it is the filer's own accounting of its own contract, not a regulator's measurement of the industry. It is neither, and it is pooled with neither.","gaming_revenue_bounds.csv, nigc_regional_ggr.csv, nigc_revenue_bands.csv, gaming_capacity_official.csv, state_gaming_observations.csv, gaming_property_self_published_assertions.csv, gaming_property_self_published_claims.csv - and never across figure_type within this table",FACILITY_NET_REVENUES,"segment net revenues, table stated in thousands",278938000.0,"278,938,000 (segment table stated in thousands)",,thousands,fiscal year ended 2017-09-30,FISCAL_YEAR,2017-09-30,2017,VP-0034,,CEDAR-PLACE-000541-YN,Mohegan Pennsylvania,Mohegan Sun Pocono,Mohegan Tribe,CE-0016X-GY,PA,N,Mohegan Tribal Gaming Authority,0001005276,OPERATOR_TRIBAL_INSTRUMENTALITY,,10-K,2019-12-20,0001005276-19-000018,https://www.sec.gov/Archives/edgar/data/1005276/000100527619000018/a2019930-10k.htm,data/raw/external/sec_edgar_1030/0001005276-19-000018__a2019930-10k.htm,66ff0fb7c62f6943fb81aecd2763f9b5,"| For the Fiscal Years Ended September 30, | || | 2019 | 2018 | 2017 | 19 vs. 18 | 18 vs. 17 | 19 vs. 18 | 18 vs. 17 | || Net revenues: | || Mohegan Sun Pocono | 251,054 | 265,691 | 278,938 | (14,637 | ) | (13,247 | ) | (5.5 | )% | (4.7 | )% |",,,,,,,,N,3,0001005276-17-000017,Y,C_SEGMENT_TABLE,ACCEPT,"Mohegan Tribal Gaming Authority segment table, 10-K, stated in thousands. MTGA is an instrumentality of the Mohegan Tribe and an SEC registrant in its own right, so this is the property owner reporting its own property under a federal disclosure obligation. A 10-K restates the two prior fiscal years; is_first_filing_of_this_fact says which row is the original.",Third-party SEC filing. PUBLICATION_POLICY.md <!-- BEGIN TERMS-SCOPE -->: a terms restriction attaches to the source that stated it and does not bind a third party's mandatory securities disclosure.,2026-09-02
SECFD-0037,SEC_FILED_FINANCIAL_DISCLOSURE,"SEC-FILED FINANCIAL DISCLOSURE. The figure was filed with the Securities and Exchange Commission by the named registrant under a federal disclosure obligation, in the form and accession named on the row, and (for a 10-K) sits inside or beside audited financial statements. That makes it STRONGER than a casino's self-published marketing number and DIFFERENT IN KIND from an NIGC figure - it is the filer's own accounting of its own contract, not a regulator's measurement of the industry. It is neither, and it is pooled with neither.","gaming_revenue_bounds.csv, nigc_regional_ggr.csv, nigc_revenue_bands.csv, gaming_capacity_official.csv, state_gaming_observations.csv, gaming_property_self_published_assertions.csv, gaming_property_self_published_claims.csv - and never across figure_type within this table",MANAGEMENT_FEE_REVENUE,management fee revenue earned by the filer from the named property,7800000.0,$7.8 million,,million,"year ended December 31, 2021",FISCAL_YEAR,2021-12-31,2021,CCP-638700,,CEDAR-PLACE-000075-CK,Graton Resort & Casino,Graton Resort & Casino,Federated Indians of Graton Rancheria,CE-0014P-WF,CA,Y,"Red Rock Resorts, Inc. (Station Casinos)",0001653653,MANAGER,"Red Rock Resorts, Inc. (Station Casinos)",10-K,2023-02-24,0001653653-23-000004,https://www.sec.gov/Archives/edgar/data/1653653/000165365323000004/rrr-20221231.htm,data/raw/external/sec_edgar_1030/0001653653-23-000004__rrr-20221231.htm,3c386ffd3f8a69ae6741ca49411eac78,"nt agreement with a Native American tribe, as well as management fees earned from the Company's three 50%-owned smaller properties. The Company managed Graton Resort & Casino (""Graton Resort"") on behalf of the Federated Indians of Graton Rancheria through February 5, 2021. For the years ended December 31, 2022, 2021 and 2020, management fees from Graton Resort totaled $ 2.2 million, $ 7.8 million and $ 77.4 million, respectively",,,,,,,,N,3,0001653653-22-000004,Y,D2_RESPECTIVELY,ACCEPT,Restatement of FY2021.,Third-party SEC filing. PUBLICATION_POLICY.md <!-- BEGIN TERMS-SCOPE -->: a terms restriction attaches to the source that stated it and does not bind a third party's mandatory securities disclosure.,2026-09-02
SECFD-0044,SEC_FILED_FINANCIAL_DISCLOSURE,"SEC-FILED FINANCIAL DISCLOSURE. The figure was filed with the Securities and Exchange Commission by the named registrant under a federal disclosure obligation, in the form and accession named on the row, and (for a 10-K) sits inside or beside audited financial statements. That makes it STRONGER than a casino's self-published marketing number and DIFFERENT IN KIND from an NIGC figure - it is the filer's own accounting of its own contract, not a regulator's measurement of the industry. It is neither, and it is pooled with neither.","gaming_revenue_bounds.csv, nigc_regional_ggr.csv, nigc_revenue_bands.csv, gaming_capacity_official.csv, state_gaming_observations.csv, gaming_property_self_published_assertions.csv, gaming_property_self_published_claims.csv - and never across figure_type within this table",FACILITY_NET_REVENUES,"segment net revenues, table stated in thousands",1079920000.0,"1,079,920,000 (segment table stated in thousands)",,thousands,fiscal year ended 2017-09-30,FISCAL_YEAR,2017-09-30,2017,CCP-45100,,CEDAR-PLACE-000140-WC,Mohegan Sun,Mohegan Sun,Mohegan Tribe,CE-0016X-GY,CT,Y,Mohegan Tribal Gaming Authority,0001005276,OPERATOR_TRIBAL_INSTRUMENTALITY,,10-K,2019-12-20,0001005276-19-000018,https://www.sec.gov/Archives/edgar/data/1005276/000100527619000018/a2019930-10k.htm,data/raw/external/sec_edgar_1030/0001005276-19-000018__a2019930-10k.htm,66ff0fb7c62f6943fb81aecd2763f9b5,"| For the Fiscal Years Ended September 30, | || | 2019 | 2018 | 2017 | 19 vs. 18 | 18 vs. 17 | 19 vs. 18 | 18 vs. 17 | || Net revenues: | || Mohegan Sun | $ | 992,043 | $ | 1,068,892 | $ | 1,079,920 | $ | (76,849 | ) | $ | (11,028 | ) | (7.2 | )% | (1.0 | )% |",,,,,,,,N,3,0001005276-17-000017,Y,C_SEGMENT_TABLE,ACCEPT,"Mohegan Tribal Gaming Authority segment table, 10-K, stated in thousands. MTGA is an instrumentality of the Mohegan Tribe and an SEC registrant in its own right, so this is the property owner reporting its own property under a federal disclosure obligation. A 10-K restates the two prior fiscal years; is_first_filing_of_this_fact says which row is the original.",Third-party SEC filing. PUBLICATION_POLICY.md <!-- BEGIN TERMS-SCOPE -->: a terms restriction attaches to the source that stated it and does not bind a third party's mandatory securities disclosure.,2026-09-02
SECFD-0049,SEC_FILED_FINANCIAL_DISCLOSURE,"SEC-FILED FINANCIAL DISCLOSURE. The figure was filed with the Securities and Exchange Commission by the named registrant under a federal disclosure obligation, in the form and accession named on the row, and (for a 10-K) sits inside or beside audited financial statements. That makes it STRONGER than a casino's self-published marketing number and DIFFERENT IN KIND from an NIGC figure - it is the filer's own accounting of its own contract, not a regulator's measurement of the industry. It is neither, and it is pooled with neither.","gaming_revenue_bounds.csv, nigc_regional_ggr.csv, nigc_revenue_bands.csv, gaming_capacity_official.csv, state_gaming_observations.csv, gaming_property_self_published_assertions.csv, gaming_property_self_published_claims.csv - and never across figure_type within this table",FACILITY_NET_REVENUES,"segment net revenues, table stated in thousands",1068892000.0,"1,068,892,000 (segment table stated in thousands)",,thousands,fiscal year ended 2018-09-30,FISCAL_YEAR,2018-09-30,2018,CCP-45100,,CEDAR-PLACE-000140-WC,Mohegan Sun,Mohegan Sun,Mohegan Tribe,CE-0016X-GY,CT,Y,Mohegan Tribal Gaming Authority,0001005276,OPERATOR_TRIBAL_INSTRUMENTALITY,,10-K,2019-12-20,0001005276-19-000018,https://www.sec.gov/Archives/edgar/data/1005276/000100527619000018/a2019930-10k.htm,data/raw/external/sec_edgar_1030/0001005276-19-000018__a2019930-10k.htm,66ff0fb7c62f6943fb81aecd2763f9b5,"| For the Fiscal Years Ended September 30, | || | 2019 | 2018 | 2017 | 19 vs. 18 | 18 vs. 17 | 19 vs. 18 | 18 vs. 17 | || Net revenues: | || Mohegan Sun | $ | 992,043 | $ | 1,068,892 | $ | 1,079,920 | $ | (76,849 | ) | $ | (11,028 | ) | (7.2 | )% | (1.0 | )% |",,,,,,,,N,2,0001005276-18-000018,Y,C_SEGMENT_TABLE,ACCEPT,"Mohegan Tribal Gaming Authority segment table, 10-K, stated in thousands. MTGA is an instrumentality of the Mohegan Tribe and an SEC registrant in its own right, so this is the property owner reporting its own property under a federal disclosure obligation. A 10-K restates the two prior fiscal years; is_first_filing_of_this_fact says which row is the original.",Third-party SEC filing. PUBLICATION_POLICY.md <!-- BEGIN TERMS-SCOPE -->: a terms restriction attaches to the source that stated it and does not bind a third party's mandatory securities disclosure.,2026-09-02
SECFD-0053,SEC_FILED_FINANCIAL_DISCLOSURE,"SEC-FILED FINANCIAL DISCLOSURE. The figure was filed with the Securities and Exchange Commission by the named registrant under a federal disclosure obligation, in the form and accession named on the row, and (for a 10-K) sits inside or beside audited financial statements. That makes it STRONGER than a casino's self-published marketing number and DIFFERENT IN KIND from an NIGC figure - it is the filer's own accounting of its own contract, not a regulator's measurement of the industry. It is neither, and it is pooled with neither.","gaming_revenue_bounds.csv, nigc_regional_ggr.csv, nigc_revenue_bands.csv, gaming_capacity_official.csv, state_gaming_observations.csv, gaming_property_self_published_assertions.csv, gaming_property_self_published_claims.csv - and never across figure_type within this table",MANAGEMENT_FEE_REVENUE,management fee revenue earned by the filer from the named property,77400000.0,$77.4 million,,million,"year ended December 31, 2020",FISCAL_YEAR,2020-12-31,2020,CCP-638700,,CEDAR-PLACE-000075-CK,Graton Resort & Casino,Graton Resort,Federated Indians of Graton Rancheria,CE-0014P-WF,CA,Y,"Red Rock Resorts, Inc. (Station Casinos)",0001653653,MANAGER,"Red Rock Resorts, Inc. (Station Casinos)",10-K,2021-02-23,0001653653-21-000005,https://www.sec.gov/Archives/edgar/data/1653653/000165365321000005/rrr-20201231.htm,data/raw/external/sec_edgar_1030/0001653653-21-000005__rrr-20201231.htm,5c81315c67e97ab2ab47e82d179ed7f0,"on of our Native American management agreements and we may not be successful in entering into additional management or development agreements for Native American gaming opportunities. Our management agreement for Graton Resort was terminated by the FIGR on February 5, 2021. For the years ended December 31, 2020, 2019 and 2018, our management fees from Graton Resort were $77.4 million, $85.6 million and $77.5 million respectively",,,,,,,,Y,3,0001653653-22-000004|0001653653-23-000004,Y,D2_RESPECTIVELY,ACCEPT,"Graton management fee excluding reimbursable costs. Red Rock reports reimbursable payroll separately ($5.5m/$5.2m/$6.6m for 2019/2018/2017); the segment line ""Native American management: Management fees"" INCLUDES them and is therefore a different number.",Third-party SEC filing. PUBLICATION_POLICY.md <!-- BEGIN TERMS-SCOPE -->: a terms restriction attaches to the source that stated it and does not bind a third party's mandatory securities disclosure.,2026-09-02
SECFD-0057,SEC_FILED_FINANCIAL_DISCLOSURE,"SEC-FILED FINANCIAL DISCLOSURE. The figure was filed with the Securities and Exchange Commission by the named registrant under a federal disclosure obligation, in the form and accession named on the row, and (for a 10-K) sits inside or beside audited financial statements. That makes it STRONGER than a casino's self-published marketing number and DIFFERENT IN KIND from an NIGC figure - it is the filer's own accounting of its own contract, not a regulator's measurement of the industry. It is neither, and it is pooled with neither.","gaming_revenue_bounds.csv, nigc_regional_ggr.csv, nigc_revenue_bands.csv, gaming_capacity_official.csv, state_gaming_observations.csv, gaming_property_self_published_assertions.csv, gaming_property_self_published_claims.csv - and never across figure_type within this table",MANAGEMENT_FEE_REVENUE,management fee revenue earned by the filer from the named property,85600000.0,$85.6 million,,million,"year ended December 31, 2019",FISCAL_YEAR,2019-12-31,2019,CCP-638700,,CEDAR-PLACE-000075-CK,Graton Resort & Casino,Graton Resort,Federated Indians of Graton Rancheria,CE-0014P-WF,CA,Y,"Red Rock Resorts, Inc. (Station Casinos)",0001653653,MANAGER,"Red Rock Resorts, Inc. (Station Casinos)",10-K,2021-02-23,0001653653-21-000005,https://www.sec.gov/Archives/edgar/data/1653653/000165365321000005/rrr-20201231.htm,data/raw/external/sec_edgar_1030/0001653653-21-000005__rrr-20201231.htm,5c81315c67e97ab2ab47e82d179ed7f0,"on of our Native American management agreements and we may not be successful in entering into additional management or development agreements for Native American gaming opportunities. Our management agreement for Graton Resort was terminated by the FIGR on February 5, 2021. For the years ended December 31, 2020, 2019 and 2018, our management fees from Graton Resort were $77.4 million, $85.6 million and $77.5 million respectively",,,,,,,,Y,2,0001653653-22-000004,Y,D2_RESPECTIVELY,ACCEPT,As SECGF-beab13d386.,Third-party SEC filing. PUBLICATION_POLICY.md <!-- BEGIN TERMS-SCOPE -->: a terms restriction attaches to the source that stated it and does not bind a third party's mandatory securities disclosure.,2026-09-02
