event_id,effective_date,event_year,acquirer_entity,target_entity,seller_entity,direction,asset_class,ownership_change_type,announced_value_usd,native_party_verbatim,counterparty_verbatim,party_role_basis,deal_category,date_basis,date_usable_for_attribution,source_deal_id,source_url,confidence,verification_status,pre_2000_flag,source_file,native_entity_neid,neid_join_status,source_deal_withdrawn,tribe_id,tribe_canonical_name,entity_match_method,entity_tier,entity_match_basis,entity_keyed_date,entity_id,cedar_uid
OWN-ND-2005-001,2005-01-25,2005,Mohegan Tribal Gaming Authority (Mohegan Tribe of Indians of Connecticut),"Penn National Gaming, Inc. (Nasdaq: PENN)",,acquisition,corporate_entity,Acquisition,280000000,Mohegan Tribal Gaming Authority (Mohegan Tribe of Indians of Connecticut),"Penn National Gaming, Inc. (Nasdaq: PENN)","acquirer = Native_Party verbatim; target = Counterparty_or_Funder verbatim. CAUTION: on asset and real-property rows Counterparty_or_Funder sometimes names the SELLER rather than the thing acquired (e.g. 'Private seller(s)', 'McGregor family'). Read Deal_Title before using target_entity as an entity name.",Acquisition,"Closing date stated in the Form 8-K press release ('has completed its acquisition', Jan 25, 2005)",1,ND-2005-001,https://www.sec.gov/Archives/edgar/data/1005276/000119312505013109/dex991.htm | https://www.sec.gov/Archives/edgar/data/1005276/000119312504173158/d8k.htm,High,Primary + independent verified,0,data/clean/deals_2000_2019_additions.csv,TRBF-MHEGAN-00,JOINED tier A - propagated_from_agent_ruling,0,TRBF-MHEGAN-00,Mohegan,agent_ruling+agent_ruling+alias,A,propagated_from_agent_ruling,2026-08-06,TRBF-MHEGAN-00,CE-0016X-GY
OWN-ND-2015-001,2015-08-03,2015,Bering Straits Native Corporation,"Alaska Industrial Hardware, Inc. (founding-family ownership)",,acquisition,corporate_entity,Acquisition,,Bering Straits Native Corporation,"Alaska Industrial Hardware, Inc. (founding-family ownership)","acquirer = Native_Party verbatim; target = Counterparty_or_Funder verbatim. CAUTION: on asset and real-property rows Counterparty_or_Funder sometimes names the SELLER rather than the thing acquired (e.g. 'Private seller(s)', 'McGregor family'). Read Deal_Title before using target_entity as an entity name.",Acquisition,"Company release date (Aug 3, 2015); the release states no separate closing date",1,ND-2015-001,https://beringstraits.com/bsnc-acquires-alaska-industrial-hardware/ | https://www.newsminer.com/news/local_news/bering-straits-native-corp-acquires-alaska-industrial-hardware/article_420ab988-3a4b-11e5-b7ad-034acc87466a.html,High,Primary verified,0,data/clean/deals_2000_2019_additions.csv,ANRC-BERSTR-00,JOINED tier A - propagated_from_agent_ruling,0,ANRC-BERSTR-00,Bering Straits Native Corporation,agent_ruling+agent_ruling+exact,A,propagated_from_agent_ruling,2026-08-06,ANRC-BERSTR-00,CE-00079-SH
OWN-ND-2018-003,2018-11-30,2018,"Chickasaw Nation Industries, Inc.","Technology Trends Group, LLC (TTG)",,acquisition,corporate_entity,Acquisition,,"Chickasaw Nation Industries, Inc.","Technology Trends Group, LLC (TTG)","acquirer = Native_Party verbatim; target = Counterparty_or_Funder verbatim. CAUTION: on asset and real-property rows Counterparty_or_Funder sometimes names the SELLER rather than the thing acquired (e.g. 'Private seller(s)', 'McGregor family'). Read Deal_Title before using target_entity as an entity name.",Acquisition,"Company announcement date (Nov 30, 2018)",1,ND-2018-003,https://www.chickasaw.com/about/news/2018/cni-acquires-technology-trends-group-llc,High,Primary verified,0,data/clean/deals_2000_2019_additions.csv,TRBF-CHKSWN-00,JOINED tier A - propagated_from_elijah_ruling,0,TRBF-CHKSWN-00,The Chickasaw Nation,elijah_ruling+elijah_ruling+core,A,propagated_from_elijah_ruling,2026-08-06,TRBF-CHKSWN-00,CE-00135-HP
OWN-ND-2019-007,2019-10-31,2019,Snoqualmie Indian Tribe,Muckleshoot Indian Tribe,,acquisition,real_property,Land and operating-asset acquisition,125000000,Snoqualmie Indian Tribe,Muckleshoot Indian Tribe,"acquirer = Native_Party verbatim; target = Counterparty_or_Funder verbatim. CAUTION: on asset and real-property rows Counterparty_or_Funder sometimes names the SELLER rather than the thing acquired (e.g. 'Private seller(s)', 'McGregor family'). Read Deal_Title before using target_entity as an entity name.",Real estate / land acquisition,"Closing date stated in the tribal release ('The transaction was finalized on Thursday, October 31st'); release dated Nov 1, 2019",1,ND-2019-007,https://snoqualmietribe.us/snoqualmie-muckleshoot-tribes-close-historic-deal-to-transfer-salish-lodge-and-land/ | https://ictnews.org/news/snoqualmie-tribe-buys-ancestral-snoqualmie-falls-from-muckleshoot-for-125-million/,High,Primary + independent verified,0,data/clean/deals_2000_2019_additions.csv,TRBF-SNOQLM-00,JOINED tier A - propagated_from_agent_ruling,0,TRBF-SNOQLM-00,Snoqualmie,agent_ruling+agent_ruling+core,A,propagated_from_agent_ruling,2026-08-06,TRBF-SNOQLM-00,CE-001AF-G0
OWN-ACQ2020-016,2020-01-13,2020,Waséyabek Development Company and Gun Lake Investments,McKay Tower,,acquisition,real_property,50/50 joint commercial real-estate acquisition,17500000.0,Waséyabek Development Company and Gun Lake Investments,McKay Tower,"acquirer = Native_Party verbatim; target = Counterparty_or_Funder verbatim. CAUTION: on asset and real-property rows Counterparty_or_Funder sometimes names the SELLER rather than the thing acquired (e.g. 'Private seller(s)', 'McGregor family'). Read Deal_Title before using target_entity as an entity name.",Real estate / land acquisition,Closing/effective date,1,ACQ2020-016,https://waseyabek.com/two-michigan-tribes-announce-joint-venture-to-purchase-mckay-tower-in-grand-rapids/ | https://waseyabek.com/iconic-mckay-tower-acquisition-by-wdc-and-gli-named-mibizs-2020-real-estate-deal-of-the-year/,High,Primary verified,0,deals_historical_2020_2025.csv,TRBF-MEBNSW-00,JOINED tier A - propagated_from_elijah_ruling,0,TRBF-MEBNSW-00,Match-e-be-nash-she-wish Band,elijah_ruling+elijah_ruling+containment,A,propagated_from_elijah_ruling,2026-08-06,TRBF-MEBNSW-00,CE-0016T-YK
OWN-ACQ2020-015,2020-02-05,2020,Oneida Indian Nation,"Microtel Inn & Suites property, reopened as Sandstone Hollow Inn",,acquisition,real_property,Hotel property acquisition,,Oneida Indian Nation,"Microtel Inn & Suites property, reopened as Sandstone Hollow Inn","acquirer = Native_Party verbatim; target = Counterparty_or_Funder verbatim. CAUTION: on asset and real-property rows Counterparty_or_Funder sometimes names the SELLER rather than the thing acquired (e.g. 'Private seller(s)', 'McGregor family'). Read Deal_Title before using target_entity as an entity name.",Real estate / land acquisition,Announcement date,1,ACQ2020-015,https://www.oneidaindiannation.com/oneida-indian-nation-to-open-sandstone-hollow-inn-to-accommodate-increased-visitor-demand-formerly-the-microtel-inn-suites-by-wyndham/ | https://tribalbusinessnews.com/sections/economic-development/11834-tribal-business-news-briefs-feb-10-2020,High,Primary + independent verified,0,deals_historical_2020_2025.csv,TRBF-ONDANY-00,JOINED tier A - propagated_from_agent_ruling,0,TRBF-ONDANY-00,Oneida,agent_ruling+agent_ruling+core,A,propagated_from_agent_ruling,2026-08-06,TRBF-ONDANY-00,CE-0017X-NE
OWN-MA2020-003,2020-05-22,2020,Bering Straits Native Corporation,Northwest Contracting,,acquisition,corporate_entity,Acquisition,18324000,Bering Straits Native Corporation,Northwest Contracting,"acquirer = Native_Party verbatim; target = Counterparty_or_Funder verbatim. CAUTION: on asset and real-property rows Counterparty_or_Funder sometimes names the SELLER rather than the thing acquired (e.g. 'Private seller(s)', 'McGregor family'). Read Deal_Title before using target_entity as an entity name.",Acquisition,Announcement date,1,MA2020-003,https://beringstraits.com/bsnc-acquires-northwest-contracting/ | https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=be368e17-cf57-4f3a-a702-2942dda9a794,High,Primary verified,0,deals_historical_2020_2025.csv,ANRC-BERSTR-00,JOINED tier A - propagated_from_agent_ruling,0,ANRC-BERSTR-00,Bering Straits Native Corporation,agent_ruling+agent_ruling+exact,A,propagated_from_agent_ruling,2026-08-06,ANRC-BERSTR-00,CE-00079-SH
OWN-ND-2020-SEED-007,2020-07-30,2020,Bering Straits Native Corporation,Bureau of Land Management,,acquisition,real_property,Completed,,Bering Straits Native Corporation,Bureau of Land Management,"acquirer = Native_Party verbatim; target = Counterparty_or_Funder verbatim. CAUTION: on asset and real-property rows Counterparty_or_Funder sometimes names the SELLER rather than the thing acquired (e.g. 'Private seller(s)', 'McGregor family'). Read Deal_Title before using target_entity as an entity name.",Real estate / land,Approximate/first-pass date; see notes,1,ND-2020-SEED-007,https://www.blm.gov/press-release/blm-alaska-conveys-lands-bering-straits-native-corporation,High,Primary verified,0,deals_historical_2020_2025.csv,ANRC-BERSTR-00,JOINED tier A - propagated_from_agent_ruling,0,ANRC-BERSTR-00,Bering Straits Native Corporation,agent_ruling+agent_ruling+exact,A,propagated_from_agent_ruling,2026-08-06,ANRC-BERSTR-00,CE-00079-SH
OWN-ND-2024-005,2024-01-02,2024,Anvil Corporation,Doyon Anvil joint venture (Doyon's interest),"Doyon, Limited",divestiture,corporate_entity,Sale of joint-venture interest,,"Doyon, Limited",Anvil Corporation,"hand-transcribed from this row's own text. Description: 'Anvil Corporation acquired Doyon, Limited's interest in the Doyon Anvil joint venture ... Doyon is the divesting principal.'",Divestiture,Announcement/publication date,1,ND-2024-005,https://www.doyon.com/doyon-anvil-acquisition/,High,Primary verified,0,data/clean/deals_historical_additions.csv,ANRC-DOYONL-00,JOINED tier A - propagated_from_elijah_ruling,0,ANRC-DOYONL-00,"Doyon, Limited",elijah_ruling+elijah_ruling+exact,A,propagated_from_elijah_ruling,2026-08-06,ANRC-DOYONL-00,CE-0007E-QE
OWN-ND-2025-017,2025-07-29,2025,Waséyabek Development Company,Michigan Capital Network (MCN),,acquisition,equity_stake,Invested,5000000,Waséyabek Development Company,Michigan Capital Network (MCN),"acquirer = Native_Party verbatim; target = Counterparty_or_Funder verbatim. CAUTION: on asset and real-property rows Counterparty_or_Funder sometimes names the SELLER rather than the thing acquired (e.g. 'Private seller(s)', 'McGregor family'). Read Deal_Title before using target_entity as an entity name.",Equity investment,Announcement/publication date,1,ND-2025-017,https://waseyabek.com/waseyabek-invests-west-michigan-capital-firm/,High,Primary verified,0,data/clean/deals_historical_additions.csv,TRBF-NTWSPH-00,JOINED tier A - propagated_from_elijah_ruling,0,TRBF-NTWSPH-00,Nottawaseppi Potawatomi,elijah_ruling+elijah_ruling+containment,A,propagated_from_elijah_ruling,2026-08-06,TRBF-NTWSPH-00,CE-0017R-QH
