source_claim_id,source_record_id,source_type,subject_entity_id,subject_value,subject_entity_resolved,subject_resolve_how,predicate,object_entity_id,object_entity_resolved,object_value,claim_date,effective_date,effective_date_basis,source_page,supporting_text,confidence,verification_status,claim_note,source_url,fetched_date,built_date,evidentiary_stage,evidentiary_ladder,claim_scope_caution
NIGCDL-CLM-00001,NIGC-DL-20260414-01,nigc_ogc_declination_letter,NIGCP-D66CA4A052,Twenty-Nine Palms Enterprises Corporation,0,"containment_refused_for_a_party: a party may be a distinct legal person (enterprise, authority, subsidiary) from the entity it contains",wholly_owned_by,CE-001BR-BH,1,Twenty-Nine Palms Band of Mission Indians of California,2026-04-14,,"NOT CLAIMED. A declination letter dates the OPINION, not the transaction. The documents reviewed are unexecuted, so no effective date is established by this source.",1,"March 6, 2026 request, on behalf of Twenty-Nine Palms Enterprises Corporation (""Borrower""), a federal corporation chartered under the provisions of 25 U.S.C. § 477 and wholly owned by the Twenty-Nine Palms Band of Mission Indians of California,",high,NIGC_DOCUMENT_QUOTED_ENTITY_HELD,the letter states the ownership in words: 'wholly owned by',https://www.nigc.gov?wpdmdl=14329&ind=14330,2026-08-06,2026-08-06,NIGC_REVIEWED,NIGC_REVIEWED -> EXECUTION_UNCONFIRMED -> EXECUTED_CONFIRMED -> CLOSED_CONFIRMED -> SUPERSEDED / TERMINATED,"This claim states what the letter says about a named legal person. Tribe, gaming authority, gaming enterprise, property-owning subsidiary and operating company are five different persons and are not interchangeable."
NIGCDL-CLM-00015,NIGC-DL-20250724-01,nigc_ogc_declination_letter,NIGCP-583872046E,Acoma Business Enterprises dba Sky City Casino,0,"containment_refused_for_a_party: a party may be a distinct legal person (enterprise, authority, subsidiary) from the entity it contains",wholly_owned_by,CE-0011W-HN,1,Pueblo of Acoma,2025-07-24,,"NOT CLAIMED. A declination letter dates the OPINION, not the transaction. The documents reviewed are unexecuted, so no effective date is established by this source.",1,"Master Agreement between the Acoma Business Enterprises dba Sky City Casino, a wholly-owned enterprise and economic arm of the Pueblo of Acoma,",high,NIGC_DOCUMENT_QUOTED_ENTITY_HELD,legal form stated: wholly owned enterprise,https://www.nigc.gov?wpdmdl=13590&ind=13591,2026-08-06,2026-08-06,NIGC_REVIEWED,NIGC_REVIEWED -> EXECUTION_UNCONFIRMED -> EXECUTED_CONFIRMED -> CLOSED_CONFIRMED -> SUPERSEDED / TERMINATED,"This claim states what the letter says about a named legal person. Tribe, gaming authority, gaming enterprise, property-owning subsidiary and operating company are five different persons and are not interchangeable."
NIGCDL-CLM-00019,NIGC-DL-20250722-01,nigc_ogc_declination_letter,NIGCP-47B7FE29E3,Kansas Gaming Enterprises,0,no_spine_match,party_to_reviewed_agreement,NIGCP-A8887151E9,0,Review of the 2025 Loan Documents for the Wyandotte Nation,2025-07-22,,"NOT CLAIMED. A declination letter dates the OPINION, not the transaction. The documents reviewed are unexecuted, so no effective date is established by this source.",1,"In my review, I considered the following submission (""the 2025 Loan Documents""): • Fourth Amended and Restated Credit Agreement by and among Wyandotte Tribe of Oklahoma, Wyandotte Gaming Enterprises, and Kansas Gaming Enterprises, and BOKF, NA dba Bank of Oklahoma [__], 2025 (marked at top right as ""FDL Draft 6-2-25"" and at bottom left as ""#1279255v10"");",medium,NIGC_DOCUMENT_QUOTED_ENTITY_HELD,named as a party to the documents submitted for NIGC review; NOT evidence the documents were executed,https://www.nigc.gov?wpdmdl=13587&ind=13588,2026-08-06,2026-08-06,NIGC_REVIEWED,NIGC_REVIEWED -> EXECUTION_UNCONFIRMED -> EXECUTED_CONFIRMED -> CLOSED_CONFIRMED -> SUPERSEDED / TERMINATED,"This claim states what the letter says about a named legal person. Tribe, gaming authority, gaming enterprise, property-owning subsidiary and operating company are five different persons and are not interchangeable."
NIGCDL-CLM-00026,NIGC-DL-20250522-01,nigc_ogc_declination_letter,NIGCP-713CCBDE35,National Association,0,"ambiguous_containment:3:National Association of Tribal Historic Preservation Officers, National Indian Education Association, National Tribal Telecommunications Association",party_to_reviewed_agreement,NIGCP-019B297F11,0,Review of the 2025 Loan Documents for the North Fork Rancheria of Mono Indians of California,2025-05-22,,"NOT CLAIMED. A declination letter dates the OPINION, not the transaction. The documents reviewed are unexecuted, so no effective date is established by this source.",3,"• Exhibit L to Credit Agreement Form of Disbursement Agreement among Wells Fargo Bank, National Association, as the Disbursement Agent, and Wells Fargo Bank, National Association, as the Administrative Agent, and North Fork Rancheria Economic Development Authority, as the Authority, dated as of [__] (marked at top right as ""NIGC Submission Draft"" and at bottom left as ""US-DOCS\158755098.2"");",medium,NIGC_DOCUMENT_QUOTED_ENTITY_HELD,named as a party to the documents submitted for NIGC review; NOT evidence the documents were executed,https://www.nigc.gov?wpdmdl=13408&ind=13409,2026-08-06,2026-08-06,NIGC_REVIEWED,NIGC_REVIEWED -> EXECUTION_UNCONFIRMED -> EXECUTED_CONFIRMED -> CLOSED_CONFIRMED -> SUPERSEDED / TERMINATED,"This claim states what the letter says about a named legal person. Tribe, gaming authority, gaming enterprise, property-owning subsidiary and operating company are five different persons and are not interchangeable."
NIGCDL-CLM-00033,NIGC-DL-20240911-01,nigc_ogc_declination_letter,CE-0012F-80,Bishop Paiute Tribe,1,core,party_to_reviewed_agreement,NIGCP-65A8BC7231,0,Review of the 2024 Loan Documents for the Bishop Paiute Tribe,2024-09-11,,"NOT CLAIMED. A declination letter dates the OPINION, not the transaction. The documents reviewed are unexecuted, so no effective date is established by this source.",1,"In my review, I considered the following submission (""the 2024 Loan Documents""): • Loan Agreement Dated as of [__], 2024 between Bishop Paiute Tribe, as Borrower, and Umpqua Bank, as Lender (marked at top right as ""OHS Draft 7-29-24"", and at bottom left as ""4150-3781-2559.7"");",medium,NIGC_DOCUMENT_QUOTED_ENTITY_RESOLVED,named as a party to the documents submitted for NIGC review; NOT evidence the documents were executed,https://www.nigc.gov?wpdmdl=3046&ind=3047,2026-08-06,2026-08-06,NIGC_REVIEWED,NIGC_REVIEWED -> EXECUTION_UNCONFIRMED -> EXECUTED_CONFIRMED -> CLOSED_CONFIRMED -> SUPERSEDED / TERMINATED,"This claim states what the letter says about a named legal person. Tribe, gaming authority, gaming enterprise, property-owning subsidiary and operating company are five different persons and are not interchangeable."
NIGCDL-CLM-00051,NIGC-DL-20230424-01,nigc_ogc_declination_letter,NIGCP-E9A933B794,Federal Charter of Incorporation,0,no_spine_match,wholly_owned_by,NIGCP-0414687270,0,Coyote Valley Band of Pomo Indians,2023-04-24,,"NOT CLAIMED. A declination letter dates the OPINION, not the transaction. The documents reviewed are unexecuted, so no effective date is established by this source.",2,"Federal Charter of Incorporation of Coyote Economic Development Corporation, a federally chartered Tribal business corporation wholly owned by the Coyote Valley Band of Pomo Indians,",high,NIGC_DOCUMENT_QUOTED_ENTITY_HELD,the letter states the ownership in words: 'wholly owned by',https://www.nigc.gov?wpdmdl=3082&ind=3083,2026-08-06,2026-08-06,NIGC_REVIEWED,NIGC_REVIEWED -> EXECUTION_UNCONFIRMED -> EXECUTED_CONFIRMED -> CLOSED_CONFIRMED -> SUPERSEDED / TERMINATED,"This claim states what the letter says about a named legal person. Tribe, gaming authority, gaming enterprise, property-owning subsidiary and operating company are five different persons and are not interchangeable."
NIGCDL-CLM-00067,NIGC-DL-20211025-01,nigc_ogc_declination_letter,NIGCP-660A66D0A0,San Manuel Entertainment Authority,0,no_spine_match,instrumentality_of,NIGCP-23FBA85E6B,0,San Manuel Band of Mission Indians,2021-10-25,,"NOT CLAIMED. A declination letter dates the OPINION, not the transaction. The documents reviewed are unexecuted, so no effective date is established by this source.",1,"September 29, 2021 request, on behalf of the San Manuel Entertainment Authority, an instrumentality of the San Manuel Band of Mission Indians,",high,NIGC_DOCUMENT_QUOTED_ENTITY_HELD,an instrumentality is NOT a wholly owned subsidiary; the distinct predicate preserves the legal form the letter states,https://www.nigc.gov?wpdmdl=3135&ind=3136,2026-08-06,2026-08-06,NIGC_REVIEWED,NIGC_REVIEWED -> EXECUTION_UNCONFIRMED -> EXECUTED_CONFIRMED -> CLOSED_CONFIRMED -> SUPERSEDED / TERMINATED,"This claim states what the letter says about a named legal person. Tribe, gaming authority, gaming enterprise, property-owning subsidiary and operating company are five different persons and are not interchangeable."
NIGCDL-CLM-00072,NIGC-DL-20210913-02,nigc_ogc_declination_letter,CE-0019R-1H,St. Croix Chippewa Indians of Wisconsin,1,alias,party_to_reviewed_agreement,NIGCP-6213A36BDA,0,"Review of Financing Documents for the St. Croix Tribe of Chippewa Indians of Wisconsin, KeyBanc Capital Markets, U.S. Bank, and Western Alliance Bank",2021-09-13,,"NOT CLAIMED. A declination letter dates the OPINION, not the transaction. The documents reviewed are unexecuted, so no effective date is established by this source.",1,"Loan Agreement between St. Croix Chippewa Indians of Wisconsin and Western Alliance Bank (OHS Draft 7/16/21), doc no.",medium,NIGC_DOCUMENT_QUOTED_ENTITY_RESOLVED,named as a party to the documents submitted for NIGC review; NOT evidence the documents were executed,https://www.nigc.gov?wpdmdl=3151&ind=3152,2026-08-06,2026-08-06,NIGC_REVIEWED,NIGC_REVIEWED -> EXECUTION_UNCONFIRMED -> EXECUTED_CONFIRMED -> CLOSED_CONFIRMED -> SUPERSEDED / TERMINATED,"This claim states what the letter says about a named legal person. Tribe, gaming authority, gaming enterprise, property-owning subsidiary and operating company are five different persons and are not interchangeable."
NIGCDL-CLM-00076,NIGC-DL-20210830-01,nigc_ogc_declination_letter,NIGCP-22F1E5AD0A,Capital One,0,"containment_refused_for_a_party: a party may be a distinct legal person (enterprise, authority, subsidiary) from the entity it contains",party_to_reviewed_agreement,NIGCP-B33BAA38EE,0,Review of Loan Documents for River Rock Entertainment Authority,2021-08-30,,"NOT CLAIMED. A declination letter dates the OPINION, not the transaction. The documents reviewed are unexecuted, so no effective date is established by this source.",1,"Loan Agreement, among River Rock Entertainment Authority, as the Borrower, the Tribe and Capital One, National Association as the Lender (""Loan Agreement"") (marked bottom left as ""4842-5744-8691\8"" and top right as ""DW Draft 7/23/21"");",medium,NIGC_DOCUMENT_QUOTED_ENTITY_HELD,named as a party to the documents submitted for NIGC review; NOT evidence the documents were executed,https://www.nigc.gov?wpdmdl=3153&ind=3154,2026-08-06,2026-08-06,NIGC_REVIEWED,NIGC_REVIEWED -> EXECUTION_UNCONFIRMED -> EXECUTED_CONFIRMED -> CLOSED_CONFIRMED -> SUPERSEDED / TERMINATED,"This claim states what the letter says about a named legal person. Tribe, gaming authority, gaming enterprise, property-owning subsidiary and operating company are five different persons and are not interchangeable."
NIGCDL-CLM-00081,NIGC-DL-20210729-01,nigc_ogc_declination_letter,NIGCP-8637916300,National Indian Gaming Commission's Office of,0,no_spine_match,wholly_owned_by,CE-0017A-3K,1,Mescalero Apache Tribe,2021-07-29,,"NOT CLAIMED. A declination letter dates the OPINION, not the transaction. The documents reviewed are unexecuted, so no effective date is established by this source.",1,"March 20, 2020 request for the National Indian Gaming Commission's Office of General Counsel to review an agreement between the Casino Apache Travel Center, an enterprise wholly owned by the Mescalero Apache Tribe,",high,NIGC_DOCUMENT_QUOTED_ENTITY_HELD,the letter states the ownership in words: 'wholly owned by',https://www.nigc.gov?wpdmdl=3159&ind=3160,2026-08-06,2026-08-06,NIGC_REVIEWED,NIGC_REVIEWED -> EXECUTION_UNCONFIRMED -> EXECUTED_CONFIRMED -> CLOSED_CONFIRMED -> SUPERSEDED / TERMINATED,"This claim states what the letter says about a named legal person. Tribe, gaming authority, gaming enterprise, property-owning subsidiary and operating company are five different persons and are not interchangeable."
