observation_id,facility_id,cedar_place_id_absent_reason,cedar_place_id,facility_name,state,site_host,site_name_as_published,metric,value,unit,measurement_type,measurement_basis,page_class,source_url,source_quote,retrieved_at,as_of_date,as_of_date_precision,first_seen,last_seen,supersedes_observation_id,attribution_basis,confidence,source_md5,built_date,entity_id,entity_level,entity_tier,entity_tier_basis,entity_link_rung,entity_link_date,cedar_uid,tribe_id_basis
GPS-000001,CCP-616500,,CEDAR-PLACE-000317-V5,Apache Nugget Travel Center and Casino,NM,apachenuggetcasino.com,,gaming_machines,83,count,PROPERTY_REPORTED_COUNT,the operator's own public website; the operator does not state a count date,property_page,https://apachenuggetcasino.com/,"ENTER YOUR NEXT BIG WIN STARTS AT APACHE NUGGET CASINO Gaming, Fuel, and Fun in Northern New Mexico Experience 83 slot machines, electronic table games, and sports. Located at US-550 and Highway 537, Apache Nugget Casino brings excitemen",2026-08-12,2026-08-12,observed_on_retrieval_date,2026-08-12,2026-08-12,,single_property_host,B,fb6fda0511be0afc805fd8742e8d2c36,2026-08-12,CE-0015E-HQ,facility,A,inherited from gaming_facilities.CCP-616500.entity_tier (method=exact),facility_id_exact,2026-08-26,CE-0015E-HQ,
GPS-000006,CCP-410500,,CEDAR-PLACE-000395-YK,Chisholm Trail Casino,OK,chisholmtrailcasino.com,,gaming_square_feet,22000,sqft,PROPERTY_REPORTED_COUNT,the operator's own public website; the operator does not state a count date,property_page,https://chisholmtrailcasino.com/,"excitement at Chisholm Trail Casino. With over 600 electronic games, you can test your luck regularly in our 22,000 square foot casino. Learn More Chisolm Trail Casino at your fingertips. Whether you're a regular player or a first-time visitor,",2026-08-12,2026-08-12,observed_on_retrieval_date,2026-08-12,2026-08-12,,single_property_host,B,1b5e1b21a7990dfd95126f7d5975f215,2026-08-12,CE-00135-HP,facility,B,inherited from gaming_facilities.CCP-410500.entity_tier (method=core),facility_id_exact,2026-08-26,CE-00135-HP,
GPS-000010,CCP-595800,,CEDAR-PLACE-000057-V1,Chukchansi Gold Resort & Casino,CA,chukchansigold.com,,gaming_machines,45,count,PROPERTY_REPORTED_COUNT,the operator's own public website; the operator does not state a count date,property_page,https://chukchansigold.com/gaming/slots/,"ents, with 79 slot machines at the entrance. View Room The Firehouse Lounge A smoke-free gaming area featuring 45 slot machines, a full-service bar and live entertainment. View Room Back to Top 711 Lucky Lane, Coarsegold, CA 93614 | 1-86",2026-08-12,2026-08-12,observed_on_retrieval_date,2026-08-12,2026-08-12,,single_property_host,B,fdb819508419136adc1a38996cfdd421,2026-08-12,CE-0018X-TY,facility,B,inherited from gaming_facilities.CCP-595800.entity_tier (method=containment),facility_id_exact,2026-08-26,CE-0018X-TY,
GPS-000014,CCP-335500,,CEDAR-PLACE-000156-WW,Clearwater River Casino,ID,clearwaterrivercasino.com,,gaming_machines,600,count,PROPERTY_REPORTED_COUNT,the operator's own public website; the operator does not state a count date,property_page,https://clearwaterrivercasino.com/,"ion is spinning reels for hours, you're in the right place. The casino's identity is built around slots, with over 600 video gaming machines, including Class II and Class III electronic pull-tabs and bingo-style games. Denominations run from $0.01 up",2026-08-12,2026-08-12,observed_on_retrieval_date,2026-08-12,2026-08-12,,single_property_host,B,e1aaee6de0291bb9b9a265cdab8aa9a8,2026-08-12,CE-0017H-D2,facility,A,inherited from gaming_facilities.CCP-335500.entity_tier (method=alias),facility_id_exact,2026-08-26,CE-0017H-D2,
GPS-000018,CCP-408200,,CEDAR-PLACE-000426-XA,Creek Nation Casino Checotah,OK,creeknationcasinochecotah.com,,gaming_machines,300,count,PROPERTY_REPORTED_COUNT,the operator's own public website; the operator does not state a count date,property_page,https://creeknationcasinochecotah.com/,"located a few miles north of I-40 and east of Highway 69. Come enjoy our 12,000 square foot gaming floor with 300 electronic games, plus delicious food and great promotions. It's the ultimate small casino gaming experience for big time fun!",2026-08-12,2026-08-12,observed_on_retrieval_date,2026-08-12,2026-08-12,,single_property_host,B,5cfd68fda6b7c4a8f750832e7f59be98,2026-08-12,CE-0017B-9C,facility,B,inherited from gaming_facilities.CCP-408200.entity_tier (method=core),facility_id_exact,2026-08-26,CE-0017B-9C,
GPS-000022,CCP-659700,,CEDAR-PLACE-000427-33,Creek Nation Casino Duck Creek,OK,creeknationcasinoduckcreek.com,,gaming_machines,500,count,PROPERTY_REPORTED_COUNT,the operator's own public website; the operator does not state a count date,property_page,https://creeknationcasinoduckcreek.com/games/,"content Connect Cards Rewards 918.267.3468 Games Restaurants Expand Promotions Search Toggle Menu Games With more than 500 electronic games ready to play, you'll find everything from classic favorites to the latest games on the market. For those who",2026-08-12,2026-08-12,observed_on_retrieval_date,2026-08-12,2026-08-12,,single_property_host,B,93f7b678669077bb5172d2a39961b6b7,2026-08-12,CE-0017B-9C,facility,B,inherited from gaming_facilities.CCP-659700.entity_tier (method=core),facility_id_exact,2026-08-26,CE-0017B-9C,
GPS-000026,CCP-868300,,CEDAR-PLACE-000429-FN,Creek Nation Casino Holdenville,OK,creeknationcasinoholdenville.com,,gaming_machines,135,count,PROPERTY_REPORTED_COUNT,the operator's own public website; the operator does not state a count date,property_page,https://creeknationcasinoholdenville.com/games/,"ontent Connect Cards Rewards 918.379.3321 Games Promotions Search Toggle Menu Games Get in on the action with more than 135 electronic games ready to play. You'll find a wide variety of Class II and Class III favorites including Mr. Money Bags, Lucky",2026-08-12,2026-08-12,observed_on_retrieval_date,2026-08-12,2026-08-12,,single_property_host,B,2a204e7ab6dc3587549cbc0360d154cd,2026-08-12,CE-0017B-9C,facility,B,inherited from gaming_facilities.CCP-868300.entity_tier (method=core),facility_id_exact,2026-08-26,CE-0017B-9C,
GPS-000030,CCP-126200,,CEDAR-PLACE-000666-0A,Dakota Magic Casino & Resort,ND,dakotamagic.com,,gaming_machines,800,count,PROPERTY_REPORTED_COUNT,the operator's own public website; the operator does not state a count date,property_page,https://dakotamagic.com/casino/,"Step into the action at Dakota Magic Casino—your destination for nonstop excitement and high-stakes fun. With over 800 slot machines , thrilling table and carnival games , live craps , and a full-service s portsbook , there's something for ev",2026-08-12,2026-08-12,observed_on_retrieval_date,2026-08-12,2026-08-12,,single_property_host,B,fdc87d0790681be535419ab1f8858c12,2026-08-12,CE-001B3-D4,facility,B,inherited from gaming_facilities.CCP-126200.entity_tier (method=containment),facility_id_exact,2026-08-26,CE-001B3-D4,
GPS-000034,CCP-841100,,CEDAR-PLACE-000433-7S,Downstream Casino Resort,OK,downstreamcasino.com,,meeting_square_feet,25000,sqft,PROPERTY_REPORTED_COUNT,the operator's own public website; the operator does not state a count date,property_page,https://downstreamcasino.com/meetings-weddings,"xt event exceed all expectations. Contact Us View Meeting Space Chart Meeting Space & Venues At a Glance Over 25,000 sq. ft. meeting space Meeting & banquet services suitable for a variety of events Wedding receptions Indoor and outdoor cerem",2026-08-12,2026-08-12,observed_on_retrieval_date,2026-08-12,2026-08-12,,single_property_host,B,36ae056c489e7831fefedb79309e0e16,2026-08-12,CE-0018Z-6G,facility,B,inherited from gaming_facilities.CCP-841100.entity_tier (method=containment),facility_id_exact,2026-08-26,CE-0018Z-6G,
GPS-000088,CCP-123400,,CEDAR-PLACE-000536-0R,Spirit Mountain Casino,OR,spiritmountain.com,,gaming_square_feet,5200,sqft,PROPERTY_REPORTED_COUNT,the operator's own public website; the operator does not state a count date,property_page,https://spiritmountain.com/history/,"2001 : Gaming Floor Expansion In 2001, Spirit Mountain Casino expanded again when construction work began and 5,200 square feet of gaming floor was added. The new space made room for an additional 200 slot machines. 2005 : Hotel EXPANSION, 163 NEW",2026-08-12,2026-08-12,observed_on_retrieval_date,2026-08-12,2026-08-12,,single_property_host,B,f9815bac0492e2f9c15fc07b77caad2d,2026-08-12,CE-0014S-ET,facility,A,inherited from gaming_facilities.CCP-123400.entity_tier (method=alias),facility_id_exact,2026-08-26,CE-0014S-ET,1141:inherited_from_gaming_facilities on facility_id CCP-123400 - the row already names the property
