identifier_type,identifier,dataset,target_row_ordinal,target_row_key,target_row_hash,channel,ruling,note,applied_date
UEI,YKBMG32J2LL5,Identifier ledger,4,identifier_type=UEI|identifier=YKBMG32J2LL5|attribution_method=elijah_ruling,cee0e619fe203537,IDENTITY,Eyak Corporation,Elijah: there is a village AND a village corp - this is the CORPORATION.,2026-09-01
UEI,QMJEKNF3JN15,Identifier ledger,44,identifier_type=UEI|identifier=QMJEKNF3JN15|attribution_method=elijah_ruling,49167a7361a0d44b,IDENTITY,Afognak Native Corporation,Elijah: Alutiiq is Afognak Native Corporation's federal contracting arm.,2026-09-01
UEI,HZMLPMNZ37J8,Identifier ledger,58,identifier_type=UEI|identifier=HZMLPMNZ37J8|attribution_method=elijah_ruling,27559244fb9c39db,IDENTITY,The Tatitlek Corporation,"CORPORATION, not the Native Village of Tatitlek.",2026-09-01
UEI,CKB4JDLXQ9M3,Identifier ledger,78,identifier_type=UEI|identifier=CKB4JDLXQ9M3|attribution_method=elijah_ruling,51d46629fe2f373f,IDENTITY,Afognak Native Corporation,"Elijah: Alutiiq is Afognak Native Corporation's federal contracting arm. CORPORATION, not the Native Village of Afognak.",2026-09-01
UEI,NEQUZGMGAKJ7,Identifier ledger,89,identifier_type=UEI|identifier=NEQUZGMGAKJ7|attribution_method=elijah_ruling,21a44ebaeb36c6b0,IDENTITY,Afognak Native Corporation,Read as Village; the contracting arm is the CORPORATION.,2026-09-01
UEI,LT9JX6X1HLQ8,Identifier ledger,103,identifier_type=UEI|identifier=LT9JX6X1HLQ8|attribution_method=elijah_ruling,6f4fd6269a1b9964,IDENTITY,Chenega Corporation,"CORPORATION, not the Native Village of Chenega.",2026-09-01
UEI,FC7GAXDMZG68,Identifier ledger,115,identifier_type=UEI|identifier=FC7GAXDMZG68|attribution_method=elijah_ruling,0597c5c6582e478b,IDENTITY,"Choggiung, Ltd.","The Bristol family belongs to CHOGGIUNG (Dillingham village corporation), NOT Bristol Bay Native Corporation.",2026-09-01
UEI,UENJB2AT8GJ9,Identifier ledger,129,identifier_type=UEI|identifier=UENJB2AT8GJ9|attribution_method=elijah_ruling,81bacf3900c53399,IDENTITY,Tanadgusix Corporation (TDX),"St Paul village corporation, not Qagan Tayagungin.",2026-09-01
UEI,D1DBARDKVRW1,Identifier ledger,149,identifier_type=UEI|identifier=D1DBARDKVRW1|attribution_method=elijah_ruling,738727e23061507f,IDENTITY,"Choggiung, Ltd.","The Bristol family belongs to CHOGGIUNG, NOT Bristol Bay Native Corporation.",2026-09-01
UEI,JT1PP6UBAKW1,Identifier ledger,161,identifier_type=UEI|identifier=JT1PP6UBAKW1|attribution_method=elijah_ruling,e66e7ddc28dbf1e0,IDENTITY,OWNER_NAMED,individual native owned https://dscinc.com/,2026-09-01
