native_party,canonical_name,party_role,parent_native_entity,confidence_tier,match_method,value_attribution_caution,org_kind,ruling_text,ruling_note,ruled_date,source_inbox,cedar_uid
ARCTEC Alaska,Arctic Slope Regional Corporation,ENTITY_OWNED,Arctic Slope Regional Corporation,A,elijah_ruling+exact,1,,Arctic Slope Regional Corporation,"Elijah: joint venture, part owned by a Canadian company, part owned by ASRC. PARTIAL OWNERSHIP - do not attribute full deal value to ASRC.",2026-08-06,rulings_inbox_2026-08-05i.csv,CE-00078-KR
Alaska Native Tribal Health Consortium,Alaska Native Tribal Health Consortium,NATIVE_ORGANIZATION,,A,elijah_ruling,0,Alaska Native health consortium,NATIVE ORGANIZATION - Alaska Native health consortium,"Elijah: nonprofit org, the name is its own; one of the unique Alaska Native constellation orgs.",2026-08-06,rulings_inbox_2026-08-05m.csv,
"Chickasaw Strategic Pointe, LLC",The Chickasaw Nation,ENTITY_OWNED,The Chickasaw Nation,A,elijah_ruling+exact,0,,The Chickasaw Nation,,2026-08-06,rulings_inbox_2026-08-05m.csv,CE-00135-HP
Comanche Nation Housing Authority,"Comanche Nation, Oklahoma",ENTITY_OWNED,Comanche Nation,A,elijah_ruling+exact,0,,Comanche Nation,,2026-08-06,rulings_inbox_2026-08-05i.csv,CE-0013G-K9
Fort Peck Housing Authority,"Assiniboine and Sioux Tribes of the Fort Peck Indian Reservation, Montana",ENTITY_OWNED,Assiniboine and Sioux,A,elijah_ruling+containment,0,,Assiniboine and Sioux Tribes of the Fort Peck Indian Reservation,,2026-08-06,rulings_inbox_2026-08-05i.csv,CE-0011T-53
Jamul Indian Village Development Corporation,Jamul Indian Village of California,ENTITY_OWNED,Jamul,A,elijah_ruling+alias,0,,Jamul Indian Village of California,"Elijah: Jamul Indian Village is a tribe, might have a longer name. Spine carries the full Federal Register form.",2026-08-06,rulings_inbox_2026-08-05h.csv,CE-0015C-55
MHA Nation / Midi Enterprises,"Three Affiliated Tribes of the Fort Berthold Reservation, North Dakota",ENTITY_OWNED,Three Affiliated,A,elijah_ruling+containment,0,,Three Affiliated Tribes of the Fort Berthold Reservation,"Elijah: Three Affiliated Tribes, also MHA, also Mandan Hidatsa and Arikara. ALIASES RECORDED.",2026-08-06,rulings_inbox_2026-08-05i.csv,CE-0016W-A5
Navajo Nation,"Navajo Nation, Arizona, New Mexico, & Utah",ENTITY_OWNED,Navajo,A,elijah_ruling+exact,0,,Navajo,Matcher bug: 'Navajo Nation' collided with Ramah Navajo Chapter because that constituency carries 'Navajo' as an alias. Should never have reached review.,2026-08-06,rulings_inbox_2026-08-05h.csv,CE-0017F-1G
RiverTech LLC / Akima / NANA,"NANA (NANA Regional Corporation, Inc.)",ENTITY_OWNED,"NANA Regional Corporation, Incorporated",A,elijah_ruling+core,0,,NANA Regional Corporation,"Elijah: RiverTech is owned by Akima, Akima is owned by NANA. Cross-reference CAGE/UEI against the other datasets. THREE-LEVEL CHAIN.",2026-08-06,rulings_inbox_2026-08-05i.csv,CE-0007G-30
Seneca Nation of Indians / Seneca Gaming Corporation / Seneca Erie Gaming Corporation,Seneca Nation of Indians,ENTITY_OWNED,Seneca,A,elijah_ruling+exact,0,,Seneca,Seneca Nation of Indians (NY). NOT Seneca-Cayuga Nation.,2026-08-06,rulings_inbox_2026-08-05m.csv,CE-001AC-YN
