proposed_id,organization_name,aliases,nho_class,nho_status_basis,verification_route,evidence_url,evidence_quote,ein,subsidiaries,state,city,founded_year,nhoa_member_first_seen,nhoa_member_last_seen,source,retrieved_date,confidence_tier,notes
N-0008,Ho'omaka Foundation,Native Hawaiian Legal Defense and Education Fund|Native Hawaiian Legal Defense & Education Foundation|NHLDEF,contracting_nho,self_stated,org_self_statement + NHOA_member_directory + elijah_ruling,https://www.nhldef.org/about-us/,Native Hawaiian Organizations (NHO) are non-profit organizations like the Ho‘omaka Foundation (formerly the Native Hawaiian Legal Defense and Education Fund) that serve the Native Hawaiian community.,,"Kuhana Associates, LLC|Kukulu, LLC|Kili, LLC|Akahi Associates, LLC|Kaula Ae, LLC|Kako'o Services, LLC|Cornerstone Services, LLC|Kahua Services, LLC",HI,Kailua,,2022-05-28,2024-04-14,"Native Hawaiian Organizations Association member directory, Wayback series (10 captures 2021-05-06..2024-04-14); membership gated on SBA NHO certification per 13 C.F.R. 124.3",2026-08-05,A,"Domain is still nhldef.org after the rename - renames silently break name matching. DISTINCT from Native Hawaiian Legal Corporation (EIN 99-0161861), a different organization; do not merge. Subsidiary list is the union of nhldef.org/member-companies/ and the NHOA directory. GHD-Kaula Ae JV, Cornerstone Bestica Federal Service LLC and Kako'o Spectrum Healthcare Staffing LLC are joint ventures on file at Cedar Press but are NOT named on the member-companies page - left out of subsidiaries."
N-0011,The Makua Group,TMG,contracting_nho,self_stated,org_self_statement + elijah_ruling,http://www.makuagroup.com/about.html,"The Makua Group, a Native Hawaiian Organization (NHO) was founded for the purpose of developing an organization consisting primarily of small businesses that will generate a revenue stream that will provide financial aid to disadvantaged Native Hawaiian people.",,"TMGE, LLC|TMGL, LLC|MakuaTech Solutions, LLC",HI,Waianae,2008,,,organization website / Elijah ruling,2026-08-05,A,"NOT an NHOA member in any harvested capture. Site: 'organized and incorporated in Hawaii in July 2008'. https only serves an invalid cert; fetch over http. ProPublica 'Makua Group' EIN 26-3367723 is an ELKWOOD, VA organization - rejected, wrong state."
N-0015,Manawa Kūpono,Manawa Kupono,contracting_nho,self_stated,subsidiary_statement + elijah_ruling,https://www.pacifictands.com/HistoryandHeritage,"Manawa Kūpono is a Native Hawaiian Organization (NHO) established in Honolulu, Hawaii",,"Pacific Technologies and Solutions, LLC",HI,Honolulu,,,,organization website / Elijah ruling,2026-08-05,B,Tier B: statement is on the subsidiary's site. NAME COLLISION - the 'Manawa Kūpono Native Hawaiian Scholarship Program' at UH Mānoa is unrelated; do not merge. Not an NHOA member.
N-0001,Nakupuna Foundation,Nakupuna Companies,contracting_nho,self_stated,org_self_statement + NHOA_member_directory + NHOA_board_seat,https://nakupuna.com/,"The Nakupuna Companies are majority owned by the Nakupuna Foundation, a Native Hawaiian Organization working to promote and advance the Native Hawaiian community through partnerships, programs, and targeted investments.",,"Nakupuna Consulting|Nakupuna Solutions|Na Ali'i Consulting & Sales, LLC|Nakupuna Federal|Nakupuna Prime|Nakupuna Services|Nakupuna Resources|Nakupuna Technologies",HI,,,2022-05-28,2024-04-14,"Native Hawaiian Organizations Association member directory, Wayback series (10 captures 2021-05-06..2024-04-14); membership gated on SBA NHO certification per 13 C.F.R. 124.3",2026-08-05,A,"NHOA President's organization (Cariann Ah Loo). The 2024 NHOA capture lists 3 subsidiaries; the live site lists 8 - the family grew, live page preferred. EIN NOT recorded: ProPublica returns only 'Nakuwauna Foundation' (84-2031455, Kailua Kona HI) - a FUZZY match to a different organization, rejected."
N-0007,Alaka'ina Foundation,Alakaina Foundation|Alaka'ina Foundation Family of Companies|Bering-Alaka'ina Holdings,contracting_nho,self_stated,org_self_statement + NHOA_member_directory + NHOA_board_seat,http://beringalakaina.com/,"Certified in 2004 as a Native Hawaiian Organization (NHO), the Alaka'ina Foundation entered federal contracting in 2005 and established nine (9) for profit firms that were wholly acquired in June 2026 by BSNC.",,Ke'aki Technologies|Laulima Government Solutions|Kūpono Government Services|Kāpili Services|Po'okela Solutions|Kīkaha Solutions|Pololei Solutions|Alaka'ina Professional Services|Alaka'ina Technical Services,HI,Honolulu,,2021-05-06,2024-04-14,"Native Hawaiian Organizations Association member directory, Wayback series (10 captures 2021-05-06..2024-04-14); membership gated on SBA NHO certification per 13 C.F.R. 124.3",2026-08-05,A,"OWNERSHIP EVENT - the nine for-profit firms were wholly acquired by Bering Straits Native Corporation (an ANC) in June 2026. Those firms are now ANC-owned, not NHO-owned; classification of the SUBSIDIARIES must change from that date forward while the foundation itself remains an NHO. This is exactly the time-aware ownership attribution the deal ledger exists to support - emit an ownership-change record. DO NOT MERGE with Alaka`i Foundation, Inc. - confusingly similar name, different organization, both NHOA members."
N-0021,Kina`ole Foundation,Kinaole Foundation|Kina'ole Family of Companies|KFOC,contracting_nho,sba_8a_entity_owned,NHOA_member_directory,https://web.archive.org/web/20240414202053id_/https://www.nhoassociation.org/members.html,NHOA membership is open to any non-profit NHO certified by the SBA pursuant to 13 C.F.R. 124.3.,,"Ho'olaulima Government Solutions, LLC|Galaide Professional Services Inc.|Kina'ole Service Center LLC",HI,Honolulu,,2022-05-28,2024-04-14,"Native Hawaiian Organizations Association member directory, Wayback series (10 captures 2021-05-06..2024-04-14); membership gated on SBA NHO certification per 13 C.F.R. 124.3",2026-08-05,B,"NEW to the register. NAMING UNRESOLVED: kinaole.com applies NHO status to 'Kina'ole Family of Companies (KFOC)' while NHOA lists 'KINA`OLE FOUNDATION'. Which is the legal NHO is unconfirmed - review queue. ProPublica 'Kinaole Foundation' 27-0287605 is SAN ANTONIO TX - rejected, wrong state."
N-0025,Makaha Cultural Learning Center,,contracting_nho,sba_8a_entity_owned,NHOA_member_directory,https://web.archive.org/web/20240414202053id_/https://www.nhoassociation.org/members.html,NHOA membership is open to any non-profit NHO certified by the SBA pursuant to 13 C.F.R. 124.3.,27-2877447,,HI,Waianae,,2022-05-28,2024-04-14,"Native Hawaiian Organizations Association member directory, Wayback series (10 captures 2021-05-06..2024-04-14); membership gated on SBA NHO certification per 13 C.F.R. 124.3",2026-08-05,B,"NEW to the register. The NHOA entry carries a 'Subsidiary' heading with NO company named under it in any capture - left blank rather than guessed. EIN from the IRS EO Business Master File slice (exact name, HI)."
N-0029,The Ali`i Group,The Alii Group,contracting_nho,sba_8a_entity_owned,NHOA_member_directory,https://web.archive.org/web/20240414202053id_/https://www.nhoassociation.org/members.html,NHOA membership is open to any non-profit NHO certified by the SBA pursuant to 13 C.F.R. 124.3.,01-0942381,"Alliance West Insurance, Inc.",HI,Waianae,,2022-05-28,2024-04-14,"Native Hawaiian Organizations Association member directory, Wayback series (10 captures 2021-05-06..2024-04-14); membership gated on SBA NHO certification per 13 C.F.R. 124.3",2026-08-05,B,"NEW to the Cedar Press register. EIN from ProPublica, exact name + HI state filter."
N-0033,Kalaimoku Foundation,Kālaimoku Foundation,contracting_nho,elijah_ruling,elijah_ruling,https://gtc.emotionalcompany.com/obtaining-8a-and-nho-certifications-the-kalaimoku-group,incorporating it under a nonprofit umbrella organization to achieve NHO status... the Kalaimoku Foundation can create perpetual 8(a) companies to benefit all native Hawaiians,,The Kālaimoku Group (TKG),HI,Honolulu,,,,organization website / Elijah ruling,2026-08-05,C,"TIER C. The only evidence is a CONSULTING VENDOR'S CASE STUDY, not a statement by either organization. kalaimoku.com never mentions the Foundation and describes itself only as 'Native Hawaiian-Owned' and '8(a) Certified since 2011'. Not an NHOA member. Sent to the review queue."
N-0045,Association of Hawaiian Civic Clubs,,doi_notification_list,doi_roster_only,doi_onhr_notification_list,https://www.doi.gov/sites/default/files/documents/2025-04/nhol-complete-list-final-web.pdf,"Listed on the DOI Office of Native Hawaiian Relations Native Hawaiian Organization Notification List (updated 2025-04-02). This is an NHPA Section 106 CONSULTATION list, not a contracting registry and not evidence of SBA NHO certification.",99-0242276,,HI,,,,,"DOI Office of Native Hawaiian Relations, NHO Notification List (updated 2025-04-02)",2026-08-05,C,"Roster presence alone is NOT verification of NHO status. Most entries are community organizations, homestead associations and civic clubs, not SBA-certified contracting NHOs. Carried for completeness and for the EIN identifier only."
