Deal_ID,Event_Date,Event_Year,Event_Quarter,Event_Month,Deal_Title,Native_Party,Native_Party_Type,Counterparty_or_Funder,Deal_Category,Industry,Event_Type,Status,Record_Scope,Announced_Value_USD,Value_Type,Project_Total_Value_USD,State,Location,Description,Native_Connection,Source_1,Source_1_Type,Source_2,Source_2_Type,Verification_Status,Confidence,Threshold_Exception,Date_Basis,Notes,Date_Added,Data_As_Of
ND-2000-001,2000-11-30,2000,Q4,2000-11,"Mohegan Tribal Gaming Authority exercises increase option, raising bank credit facility to $500.0 million",Mohegan Tribal Gaming Authority (Mohegan Tribe of Indians of Connecticut),Tribal gaming authority,Bank lending group (bank credit facility),Financing,Gaming / casino resort finance,Facility increase option exercised,Closed,2000 commitment,,Bank credit facility increased from $459.5M to $500.0M (increase option exercised); incremental commitment $40.5M,,CT,"Uncasville, Connecticut",The Authority exercised its contractual right to increase the size of its bank credit facility to $500.0 million. The facility had previously been increased to $459.5 million in November 1999. It is secured by a lien on substantially all of the Authority's assets and by a leasehold mortgage on the land on which Mohegan Sun is located. Proceeds supported the Project Sunburst expansion.,"The Mohegan Tribal Gaming Authority is an instrumentality of the Mohegan Tribe of Indians of Connecticut, a federally recognized tribe.",https://www.sec.gov/Archives/edgar/data/1005276/000092838501501759/ds4.txt,SEC filing (Form S-4 exchange-offer prospectus),,,Primary verified,High,No,"Transaction/effective date stated in SEC filing text (Nov 30, 2000)","2000-2019 backfill 2026-08-05, channel: SEC EDGAR. Retrieved via curl with a declared User-Agent (WebFetch is blocked HTTP 403 on sec.gov) and re-read as document text. VALUE HANDLING: Announced_Value_USD left blank deliberately. The filing states the facility was increased TO $500.0M FROM $459.5M; the $500.0M is a facility size, not consideration, and the incremental commitment is $40.5M. Neither figure was written into a value field, to avoid overstating the transaction. Both are stated here from retrieved text. This is the only year-2000 row located in this run.",2026-08-05,2026-08-05
ND-2002-002,2002-10-08,2002,Q4,2002-10,Chukchansi Economic Development Authority issues $153 million of 14 1/2% Series A Senior Notes due 2009,Chukchansi Economic Development Authority (Picayune Rancheria of Chukchansi Indians),Tribal economic development authority,Private placement note purchasers,Financing,Gaming / casino resort finance,Notes issued,Closed,2002 commitment,153000000,14 1/2% Series A Senior Notes due 2009 (aggregate principal),,CA,"Coarsegold, California","The Authority issued $153,000,000 aggregate principal amount of 14 1/2% Series A Senior Notes due 2009 in a private transaction, financing the Chukchansi Gold Resort & Casino. The notes were later exchanged for registered Series B notes of the same amount.","The Chukchansi Economic Development Authority is an instrumentality of the Picayune Rancheria of Chukchansi Indians, a federally recognized tribe.",https://www.sec.gov/Archives/edgar/data/1210298/000095017202002856/la296675.txt,SEC filing (Form S-4 exchange-offer prospectus),,,Primary verified,High,No,"Issuance date stated in SEC filing text ('which were issued on October 8, 2002')","2000-2019 backfill 2026-08-05, channel: SEC EDGAR. Retrieved via curl with a declared User-Agent (WebFetch is blocked HTTP 403 on sec.gov) and re-read as document text. The Authority separately had $14.8M of senior subordinated PIK notes and $12.0M of subordinated PIK notes due 2009 outstanding. Those are described in the same prospectus but NO issuance date is given for either, so neither was written as a row (logged as skipped, no_date).",2026-08-05,2026-08-05
ND-2004-001,2004-05-05,2004,Q2,2004-05,Seneca Gaming Corporation issues $300 million of 7 1/4% Senior Notes due 2012,Seneca Gaming Corporation (Seneca Nation of Indians),Tribally owned enterprise,"Merrill Lynch, Pierce, Fenner & Smith Incorporated and other initial purchasers",Financing,Gaming / casino resort finance,Notes issued,Closed,2004 commitment,300000000,"7 1/4% Senior Notes due May 1, 2012 (aggregate principal)",,NY,"Niagara Falls, New York","Seneca Gaming Corporation issued $300 million aggregate principal amount of 7 1/4% Senior Notes due May 1, 2012 to the initial purchasers in a transaction not registered under the Securities Act, later exchanged for registered notes.","Seneca Gaming Corporation is wholly owned by the Seneca Nation of Indians, a federally recognized tribe.",https://www.sec.gov/Archives/edgar/data/1296785/000104746904024134/a2140167zs-4.htm,SEC filing (Form S-4 exchange-offer prospectus),,,Primary verified,High,No,"Issuance date stated in SEC filing text (May 5, 2004)","2000-2019 backfill 2026-08-05, channel: SEC EDGAR. Retrieved via curl with a declared User-Agent (WebFetch is blocked HTTP 403 on sec.gov) and re-read as document text.",2026-08-05,2026-08-05
ND-2006-001,2006-11-09,2006,Q4,2006-11,Seneca Nation of Indians reaches agreement with the City of Buffalo for the $125 million Seneca Buffalo Creek Casino,Seneca Nation of Indians / Seneca Gaming Corporation / Seneca Erie Gaming Corporation,Federally recognized tribe / tribal enterprise,"City of Buffalo, New York",Commercial partnership,Gaming / casino development,Agreement approved by Tribal Council,Signed/announced,2006 commitment,,"Land purchase price $631,000 (below the $1M threshold); capital commitment recorded in Project_Total_Value_USD",125000000,NY,"Buffalo, New York","The Seneca Nation Tribal Council approved an agreement with the City of Buffalo under which the Nation and its gaming corporations purchase a two-block section of Fulton Street for approximately $631,000, commit to invest an aggregate of at least $125 million in the proposed permanent Seneca Buffalo Creek Casino on the Seneca Buffalo Creek Territory, spend approximately $5 million to $7 million on agreed infrastructure improvements to City-owned streets and rights of way, and spend at least $1.7 million annually marketing the permanent casino.",The Seneca Nation of Indians is a federally recognized tribe; Seneca Gaming Corporation and Seneca Erie Gaming Corporation are wholly owned by the Nation.,https://www.sec.gov/Archives/edgar/data/1296785/000110465906075108/a06-23772_18k.htm,SEC filing (Form 8-K),https://www.sec.gov/Archives/edgar/data/1296785/000110465906075108/a06-23772_1ex99d1.htm,Tribal government press release (filed as Exhibit 99.1),Primary verified,High,No,"Agreement/approval date stated in the Form 8-K and in the Nation's release (Nov 9, 2006)","2000-2019 backfill 2026-08-05, channel: SEC EDGAR. Retrieved via curl with a declared User-Agent (WebFetch is blocked HTTP 403 on sec.gov) and re-read as document text. VALUE HANDLING: Announced_Value_USD left blank. The only purchase consideration is the $631,000 Fulton Street parcel, which is BELOW the $1M threshold and is not the substance of the transaction; the $125 million is a minimum committed capital investment in a project, so it is recorded in Project_Total_Value_USD only. The $5-7M infrastructure and $1.7M/yr marketing commitments are a range and a recurring obligation and were placed in no value field. This is the only year-2006 row located in this run.",2026-08-05,2026-08-05
ND-2009-001,2009-08-11,2009,Q3,2009-08,Global Gaming Solutions RP (Chickasaw Nation) agrees to buy Remington Park from Magna Entertainment for $80.25 million,"Global Gaming Solutions RP, LLC (Chickasaw Nation)",Tribally owned enterprise,Magna Entertainment Corp. subsidiary (Chapter 11 debtor),Acquisition,Gaming / racing,"Purchase agreement executed (bankruptcy sale, subject to auction and court approval)",Announced,2009 commitment,80250000,Agreed purchase price per U.S. Bankruptcy Court filing (District of Delaware),,OK,"Oklahoma City, Oklahoma","Global Gaming Solutions RP, LLC executed an agreement on August 11, 2009 with a subsidiary of Magna Entertainment Corp. for the sale of Remington Park. The sale was subject to a competitive bidding process, a final auction scheduled for September 8, 2009, approval by the U.S. Bankruptcy Court for the District of Delaware, and approval of a racing and gaming licence by the Oklahoma Horse Racing Commission.","Global Gaming Solutions RP, LLC is owned by the Chickasaw Nation, a federally recognized tribe.",https://www.bloodhorse.com/horse-racing/articles/147200/global-gaming-to-buy-remington,Trade press (racing industry),https://ictnews.org/archive/tribal-subsidiary-agrees-to-buy-remington-park/,Native press (reports the price from the bankruptcy-court filing),Secondary corroborated,Medium,No,"AGREEMENT EXECUTION DATE (Aug 11, 2009) per the trade-press report. The CLOSING date was NOT located in any retrieved text and is not asserted anywhere in this row.","2000-2019 backfill 2026-08-05. DATE RISK DISCLOSED: this row is filed at the agreement date, consistent with existing ledger rows filed at 'definitive agreement signed'. Retrieved text says the sale was expected to close by year end 2009 subject to court and Oklahoma racing-licence approval. Search-engine summaries (NOT written into this row) place payment in October 2009 and operational control in January 2010; if the closing proves to be 2010 this row must be re-dated. Confidence Medium: no primary buyer or seller release was retrieved, and the $80.25M is reported from a court filing rather than read from the filing itself. FOLLOW-UP: pull the Delaware bankruptcy sale order for the closing date and final consideration.",2026-08-05,2026-08-05
ND-2011-002,2011-11-02,2011,Q4,2011-11,River Rock Entertainment Authority and Dry Creek Rancheria reach restructuring framework with holders of more than 60% of $200 million 9 3/4% senior notes,River Rock Entertainment Authority / Dry Creek Rancheria Band of Pomo Indians,Tribal economic development authority,Majority senior noteholders,Financing,Gaming / casino resort finance,Restructuring framework agreed / forbearance entered,Announced,2011 commitment,200000000,"Aggregate principal of the 9 3/4% senior notes being restructured (matured Nov 1, 2011)",,CA,"Geyserville, California","The Authority and the Tribe reached agreement with holders representing in excess of 60% of the $200,000,000 aggregate principal of 9 3/4% senior notes, which matured on November 1, 2011, establishing a framework to restructure the notes. In connection with the restructuring, the Authority and the Tribe entered into a Forbearance and Support Agreement with the majority senior noteholders and a further forbearance agreement.","River Rock Entertainment Authority is an instrumentality of the Dry Creek Rancheria Band of Pomo Indians, a federally recognized tribe.",https://www.sec.gov/Archives/edgar/data/1288924/000110465911060635/a11-28099_58k.htm,SEC filing (Form 8-K),,,Primary verified,High,No,"Agreement date stated in the Form 8-K (agreements entered Nov 2, 2011, previously reported in a Nov 2, 2011 press release)","2000-2019 backfill 2026-08-05, channel: SEC EDGAR. Retrieved via curl with a declared User-Agent (WebFetch is blocked HTTP 403 on sec.gov) and re-read as document text. This is a debt restructuring, not new money. Announced_Value_USD is the principal being restructured, disclosed as such in Value_Type. DO NOT aggregate with ND-2003-003, which records the ORIGINAL 2003 issuance of the same notes; the two rows describe the same instrument at two different events and must never be summed as capital raised.",2026-08-05,2026-08-05
ND-2015-001,2015-08-03,2015,Q3,2015-08,Bering Straits Native Corporation acquires Alaska Industrial Hardware,Bering Straits Native Corporation,Alaska Native regional corporation,"Alaska Industrial Hardware, Inc. (founding-family ownership)",Acquisition,Retail / industrial and construction supply,Acquisition,Closed/announced,2015 commitment,,Undisclosed,,AK,"Anchorage, Alaska (statewide: three Anchorage locations plus Eagle River, Fairbanks, Juneau, Kenai and Wasilla)","BSNC announced the acquisition of Alaska Industrial Hardware, a statewide construction and industrial equipment supplier founded in Anchorage in 1959 with more than 230 employees. AIH continued to operate under existing management, with Terry Shurtleff remaining as president. Terms were not disclosed.",Bering Straits Native Corporation is an Alaska Native regional corporation established under the Alaska Native Claims Settlement Act.,https://beringstraits.com/bsnc-acquires-alaska-industrial-hardware/,ANC newsroom (company press release),https://www.newsminer.com/news/local_news/bering-straits-native-corp-acquires-alaska-industrial-hardware/article_420ab988-3a4b-11e5-b7ad-034acc87466a.html,Regional press,Primary verified,High,No,"Company release date (Aug 3, 2015); the release states no separate closing date","2000-2019 backfill 2026-08-05, channel: entity newsroom (ANC). Purchase price was expressly not disclosed by the corporation. Ownership-change record to emit: Alaska Industrial Hardware enters the BSNC family on or about 2015-08-03. This is the only year-2015 row located in this run.",2026-08-05,2026-08-05
ND-2018-001,2018-02-27,2018,Q1,2018-02,"Waseyabek Development Company acquires Baker Engineering, Inc.","Waseyabek Development Company, LLC (Nottawaseppi Huron Band of the Potawatomi)",Tribal investment arm,"Baker Engineering, Inc. (BEI)",Acquisition,Engineering / design / manufacturing,Acquisition,Closed/announced,2018 commitment,,Undisclosed,,MI,"Nunica, Michigan","WDC acquired Baker Engineering, Inc., an engineering, design and manufacturing resource for industry and the U.S. military specializing in prototyping, component manufacturing and testing. Jack Jerovsek continued as president. The release describes this as WDC's fourth acquisition, bringing the portfolio to two income properties and two operating companies.","Waseyabek Development Company, LLC is the non-gaming economic development arm of the Nottawaseppi Huron Band of the Potawatomi, a federally recognized tribe.",https://waseyabek.com/wdc-announces-acquisition-baker-engineering-inc/,Tribal economic-development company press release,,,Primary verified,High,No,"Company announcement date (Feb 27, 2018); the release places the acquisition in February 2018 and states no separate closing date","2000-2019 backfill 2026-08-05, channel: entity newsroom. waseyabek.com was the highest-yield newsroom in the 2026-08-05 sweep, which reached a 2019 floor; this run pushed it back into 2018. Terms not disclosed. Ownership-change record to emit: Baker Engineering enters the Waseyabek family in February 2018.",2026-08-05,2026-08-05
ND-2019-002,2019-05-31,2019,Q2,2019-05,Wind Creek Hospitality (Poarch Band of Creek Indians) completes $1.3 billion purchase of Sands Casino Resort Bethlehem,Wind Creek Hospitality / PCI Gaming Authority (Poarch Band of Creek Indians),Federally recognized tribe / tribal gaming authority,Las Vegas Sands Corp. (NYSE: LVS),Acquisition,Gaming / casino resort,Acquisition,Closed,2019 commitment,1300000000,Total enterprise value,,PA,"Bethlehem, Pennsylvania","Wind Creek Hospitality purchased the Sands Casino Resort Bethlehem for a total enterprise value of $1.3 billion, rebranding it Wind Creek Bethlehem. The property comprises a 282-room hotel, a 183,000 square-foot casino floor with 3,000 slot machines and 200 table games, a 150,000 square-foot retail mall and a multi-purpose event center. The transaction was first announced in March 2018 and closed after roughly fourteen months of regulatory review and other customary closing conditions.","Wind Creek Hospitality is an authority of the Poarch Band of Creek Indians, a federally recognized tribe.",https://www.sec.gov/Archives/edgar/data/1300514/000130051419000063/lvs_ex991x05312019.htm,"SEC filing (seller Form 8-K, Exhibit 99.1 press release)",https://www.prnewswire.com/news-releases/wind-creek-hospitality-closes-on-sands-bethlehem-purchase-300860717.html,"Native parent press release (buyer, datelined Jun 3, 2019)",Primary + independent verified,High,No,"CLOSING DATE PER THE SELLER'S SEC FILING (May 31, 2019). DATE CONFLICT RESOLVED AND DISCLOSED: the buyer's own press release is datelined Jun 3, 2019; Las Vegas Sands' Form 8-K exhibit is datelined 'Las Vegas, NV May 31, 2019' and states the company 'has completed the sale'. Under the ledger convention (closing beats announcement) the row is dated 2019-05-31, Q2.","2000-2019 backfill 2026-08-05. Taking the buyer's Jun 3 dateline would have landed the row in the right quarter but on the wrong day; the seller's SEC-filed completion statement is the authority. The $1.3B is 'total enterprise value' in BOTH sources, not a cash purchase price, and is labelled as such in Value_Type. VALUE TRAP AVOIDED: the buyer's release also describes an estimated $340 million of PLANNED future expansion (a 300-room hotel, a 300,000 sq ft adventure and water park, a 400-450 room hotel). That is prospective capital expenditure, not consideration, and is in no value field.",2026-08-05,2026-08-05
ND-2019-006,2019-09-24,2019,Q3,2019-09,Chickasaw Management Services awarded $17.3 million Defense Security Cooperation Agency cybersecurity contract,"Chickasaw Management Services, LLC",Tribally owned enterprise,Defense Security Cooperation Agency,Contract award,Federal contracting / cybersecurity,Awarded,Awarded,2019 commitment,17300000,Contract value as reported (one-year base with four one-year options),,OK,Various Defense Security Cooperation Agency facilities,"CMS was awarded a $17.3 million contract to provide commercial cybersecurity services in support of the Defense Security Cooperation Agency's Information Technology Division, with a one-year base period and four one-year options. Services commenced in September 2019.","Chickasaw Management Services, LLC is a Chickasaw Nation Industries family company, owned by the Chickasaw Nation, a federally recognized tribe.",https://www.chickasaw.com/about/news/2019/chickasaw-management-services-awarded-dsca-contract,Native enterprise press release,,,Primary verified,High,No,"Announcement/publication date (Sep 24, 2019); the release says services commence in September 2019 but gives no award date","2000-2019 backfill 2026-08-05, channel: entity newsroom. FOLLOW-UP: match to FPDS for the award ID and obligated dollars.",2026-08-05,2026-08-05
