position_id,issue_area,case_name,court,docket_number,case_stage,filing_date,filing_year,organization_name_as_filed,organization_type,program_or_unit,evidence_class,litigation_role,side_supported_verbatim,position_relative_to_native_interest,native_interest_reference,position_basis,named_individual,individual_role,individual_affiliations_as_stated,counsel_of_record,counsel_organization,funder_name,funder_ein,grant_tax_year,grant_cash_usd,event_class,channel,is_lobbying,verbatim_quote,quote_location,quote_verified_against_document,source_url,local_file,confidence_tier,row_caveat,fetched_date,built_date
LITPOS-00001,ICWA,"Haaland v. Brackeen (consolidated with Cherokee Nation v. Brackeen, Texas v. Haaland, Brackeen v. Haaland)",Supreme Court of the United States,21-376,MERITS,2022-06-01,2022,Goldwater Institute,POLICY_INSTITUTE,Scharf-Norton Center for Constitutional Litigation,C_INSTITUTIONAL_ACTION,AMICUS_LEAD,"BRIEF AMICI CURIAE GOLDWATER INSTITUTE, CATO INSTITUTE, TEXAS PUBLIC POLICY FOUNDATION, AND FAMILIES AFFECTED BY ICWA* IN SUPPORT OF BRACKEEN, ET AL. AND STATE OF TEXAS",OPPOSED_TO_TRIBAL_PARTIES,Cherokee Nation; Oneida Nation; Quinault Indian Nation; Morongo Band of Mission Indians (named tribal litigants in Nos. 21-376/21-377),"Derived ONLY from the side the brief's own cover states it supports, relative to the tribal parties named as litigants in this case. It is not a statement about the organisation's general stance toward tribes or toward any other tribe.",,,,Timothy Sandefur,Scharf-Norton Center for Constitutional Litigation at the Goldwater Institute,,,,,ADVOCACY,LITIGATION_BRIEF,0,"BRIEF AMICI CURIAE GOLDWATER INSTITUTE, CATO INSTITUTE, TEXAS PUBLIC POLICY FOUNDATION, AND FAMILIES AFFECTED BY ICWA* IN SUPPORT OF BRACKEEN, ET AL. AND STATE OF TEXAS",brief cover page,YES,https://www.supremecourt.gov/search.aspx?filename=/docket/docketfiles/html/public/21-376.html,data/raw/litigation/21-376_Jun012022_Brief_amici_curiae_of_Goldwater_Institute_et_al_filed_VIDED_.pdf,A,Coalition membership behind an 'et al.' is recorded only where the cover or an appendix names the member verbatim; unnamed coalition members are not enumerated here.,2026-08-12,2026-08-12
LITPOS-00005,ICWA,"Haaland v. Brackeen (consolidated with Cherokee Nation v. Brackeen, Texas v. Haaland, Brackeen v. Haaland)",Supreme Court of the United States,21-376,MERITS,2022-06-01,2022,Project on Fair Representation,ADVOCACY_ORGANIZATION,,C_INSTITUTIONAL_ACTION,AMICUS_LEAD,"BRIEF FOR THE PROJECT ON FAIR REPRESENTATION AS AMICUS CURIAE IN SUPPORT OF TEXAS AND BRACKEEN, ET AL.",OPPOSED_TO_TRIBAL_PARTIES,Cherokee Nation; Oneida Nation; Quinault Indian Nation; Morongo Band of Mission Indians (named tribal litigants in Nos. 21-376/21-377),"Derived ONLY from the side the brief's own cover states it supports, relative to the tribal parties named as litigants in this case. It is not a statement about the organisation's general stance toward tribes or toward any other tribe.",,,,J. Michael Connolly,Consovoy McCarthy PLLC,,,,,ADVOCACY,LITIGATION_BRIEF,0,"BRIEF FOR THE PROJECT ON FAIR REPRESENTATION AS AMICUS CURIAE IN SUPPORT OF TEXAS AND BRACKEEN, ET AL.",brief cover page,YES,https://www.supremecourt.gov/search.aspx?filename=/docket/docketfiles/html/public/21-376.html,data/raw/litigation/21-376_Jun012022_Brief_amicus_curiae_of_Project_on_Fair_Representation_filed_VIDED_.pdf,A,Coalition membership behind an 'et al.' is recorded only where the cover or an appendix names the member verbatim; unnamed coalition members are not enumerated here.,2026-08-12,2026-08-12
LITPOS-00009,ICWA,"Haaland v. Brackeen (consolidated with Cherokee Nation v. Brackeen, Texas v. Haaland, Brackeen v. Haaland)",Supreme Court of the United States,21-376,MERITS,2022-06-02,2022,Academy of Adoption and Assisted Reproduction Attorneys,PROFESSIONAL_ASSOCIATION,,C_INSTITUTIONAL_ACTION,AMICUS_LEAD,BRIEF FOR ACADEMY OF ADOPTION AND ASSISTED REPRODUCTION ATTORNEYS AND NATIONAL COUNCIL FOR ADOPTION AS AMICI CURIAE IN SUPPORT OF INDIVIDUAL AND STATE PETITIONERS,OPPOSED_TO_TRIBAL_PARTIES,Cherokee Nation; Oneida Nation; Quinault Indian Nation; Morongo Band of Mission Indians (named tribal litigants in Nos. 21-376/21-377),"Derived ONLY from the side the brief's own cover states it supports, relative to the tribal parties named as litigants in this case. It is not a statement about the organisation's general stance toward tribes or toward any other tribe.",,,,Larry S. Jenkins,Kirton McConkie,,,,,ADVOCACY,LITIGATION_BRIEF,0,BRIEF FOR ACADEMY OF ADOPTION AND ASSISTED REPRODUCTION ATTORNEYS AND NATIONAL COUNCIL FOR ADOPTION AS AMICI CURIAE IN SUPPORT OF INDIVIDUAL AND STATE PETITIONERS,brief cover page,YES,https://www.supremecourt.gov/search.aspx?filename=/docket/docketfiles/html/public/21-376.html,data/raw/litigation/21-376_Jun022022_Brief_amici_curiae_of_Academy_of_Adoption_and_Assisted_Reproduction_Attorneys_et_al_filed_.pdf,A,Coalition membership behind an 'et al.' is recorded only where the cover or an appendix names the member verbatim; unnamed coalition members are not enumerated here.,2026-08-12,2026-08-12
LITPOS-00013,ICWA,"Haaland v. Brackeen (consolidated with Cherokee Nation v. Brackeen, Texas v. Haaland, Brackeen v. Haaland)",Supreme Court of the United States,21-376,MERITS,2022-08-18,2022,Administrative Law and Constitutional Law Professors,SCHOLAR_COALITION,,C_INSTITUTIONAL_ACTION,AMICUS_LEAD,"BRIEF OF AMICI CURIAE ADMINISTRATIVE LAW AND CONSTITUTIONAL LAW PROFESSORS IN SUPPORT OF DEB HAALAND, SECRETARY OF THE INTERIOR, ET AL., AND CHEROKEE NATION, ET AL.",ALIGNED_WITH_TRIBAL_PARTIES,Cherokee Nation; Oneida Nation; Quinault Indian Nation; Morongo Band of Mission Indians (named tribal litigants in Nos. 21-376/21-377),"Derived ONLY from the side the brief's own cover states it supports, relative to the tribal parties named as litigants in this case. It is not a statement about the organisation's general stance toward tribes or toward any other tribe.",,,,David S. Coale,"Lynn Pinker Hurst & Schwegmann, LLP",,,,,ADVOCACY,LITIGATION_BRIEF,0,"BRIEF OF AMICI CURIAE ADMINISTRATIVE LAW AND CONSTITUTIONAL LAW PROFESSORS IN SUPPORT OF DEB HAALAND, SECRETARY OF THE INTERIOR, ET AL., AND CHEROKEE NATION, ET AL.",brief cover page,YES,https://www.supremecourt.gov/search.aspx?filename=/docket/docketfiles/html/public/21-376.html,data/raw/litigation/21-376_Aug182022_Brief_amici_curiae_of_Administrative_Law_and_Constitutional_Law_Professors_et_al_filed_VID.pdf,A,Coalition membership behind an 'et al.' is recorded only where the cover or an appendix names the member verbatim; unnamed coalition members are not enumerated here.,2026-08-12,2026-08-12
LITPOS-00017,ICWA,"Haaland v. Brackeen (consolidated with Cherokee Nation v. Brackeen, Texas v. Haaland, Brackeen v. Haaland)",Supreme Court of the United States,21-376,MERITS,2022-08-18,2022,Lakota People's Law Project of the Romero Institute,ADVOCACY_ORGANIZATION,,C_INSTITUTIONAL_ACTION,AMICUS_COUNSEL,BRIEF OF AMICUS CURIAE SENATOR JAMES ABOUREZK IN SUPPORT OF FEDERAL AND TRIBAL PARTIES,ALIGNED_WITH_TRIBAL_PARTIES,Cherokee Nation; Oneida Nation; Quinault Indian Nation; Morongo Band of Mission Indians (named tribal litigants in Nos. 21-376/21-377),"Derived ONLY from the side the brief's own cover states it supports, relative to the tribal parties named as litigants in this case. It is not a statement about the organisation's general stance toward tribes or toward any other tribe.",,,,Daniel P. Sheehan,Lakota People's Law Project of the Romero Institute,,,,,ADVOCACY,LITIGATION_BRIEF,0,BRIEF OF AMICUS CURIAE SENATOR JAMES ABOUREZK IN SUPPORT OF FEDERAL AND TRIBAL PARTIES,brief cover page,YES,https://www.supremecourt.gov/search.aspx?filename=/docket/docketfiles/html/public/21-376.html,data/raw/litigation/21-376_Aug182022_Brief_amicus_curiae_of_Senator_James_Abourezk_filed_VIDED_.pdf,A,Coalition membership behind an 'et al.' is recorded only where the cover or an appendix names the member verbatim; unnamed coalition members are not enumerated here.,2026-08-12,2026-08-12
LITPOS-00021,ICWA,"Haaland v. Brackeen (consolidated with Cherokee Nation v. Brackeen, Texas v. Haaland, Brackeen v. Haaland)",Supreme Court of the United States,21-376,MERITS,2022-08-19,2022,American Medical Association,PROFESSIONAL_ASSOCIATION,,C_INSTITUTIONAL_ACTION,AMICUS_COALITION_MEMBER,BRIEF OF AMERICAN ACADEMY OF PEDIATRICS AND AMERICAN MEDICAL ASSOCIATION AS AMICI CURIAE IN SUPPORT OF RESPONDENTS,ALIGNED_WITH_TRIBAL_PARTIES,Cherokee Nation; Oneida Nation; Quinault Indian Nation; Morongo Band of Mission Indians (named tribal litigants in Nos. 21-376/21-377),"Derived ONLY from the side the brief's own cover states it supports, relative to the tribal parties named as litigants in this case. It is not a statement about the organisation's general stance toward tribes or toward any other tribe.",,,,Keith Bradley,Squire Patton Boggs (US) LLP,,,,,ADVOCACY,LITIGATION_BRIEF,0,BRIEF OF AMERICAN ACADEMY OF PEDIATRICS AND AMERICAN MEDICAL ASSOCIATION AS AMICI CURIAE IN SUPPORT OF RESPONDENTS,brief cover page,YES,https://www.supremecourt.gov/search.aspx?filename=/docket/docketfiles/html/public/21-376.html,data/raw/litigation/21-376_Aug192022_Brief_amici_curiae_of_American_Academy_of_Pediatrics_and_American_Medical_Association_file.pdf,A,Coalition membership behind an 'et al.' is recorded only where the cover or an appendix names the member verbatim; unnamed coalition members are not enumerated here.,2026-08-12,2026-08-12
LITPOS-00025,ICWA,"Haaland v. Brackeen (consolidated with Cherokee Nation v. Brackeen, Texas v. Haaland, Brackeen v. Haaland)",Supreme Court of the United States,21-376,MERITS,2022-08-19,2022,Society of Indian Psychologists,PROFESSIONAL_ASSOCIATION,,C_INSTITUTIONAL_ACTION,AMICUS_COALITION_MEMBER,"BRIEF OF THE AMERICAN PSYCHOLOGICAL ASSOCIATION, SOCIETY OF INDIAN PSYCHOLOGISTS, INDIANA PSYCHOLOGICAL ASSOCIATION, LOUISIANA PSYCHOLOGICAL ASSOCIATION, AND TEXAS PSYCHOLOGICAL ASSOCIATION AS AMICI CURIAE IN SUPPORT OF THE FEDERAL AND TRIBAL PETITIONERS",ALIGNED_WITH_TRIBAL_PARTIES,Cherokee Nation; Oneida Nation; Quinault Indian Nation; Morongo Band of Mission Indians (named tribal litigants in Nos. 21-376/21-377),"Derived ONLY from the side the brief's own cover states it supports, relative to the tribal parties named as litigants in this case. It is not a statement about the organisation's general stance toward tribes or toward any other tribe.",,,,Beth S. Brinkmann,Covington & Burling LLP,,,,,ADVOCACY,LITIGATION_BRIEF,0,"BRIEF OF THE AMERICAN PSYCHOLOGICAL ASSOCIATION, SOCIETY OF INDIAN PSYCHOLOGISTS, INDIANA PSYCHOLOGICAL ASSOCIATION, LOUISIANA PSYCHOLOGICAL ASSOCIATION, AND TEXAS PSYCHOLOGICAL ASSOCIATION AS AMICI CURIAE IN SUPPORT OF THE FEDERAL AND TRIBAL PETITIONERS",brief cover page,YES,https://www.supremecourt.gov/search.aspx?filename=/docket/docketfiles/html/public/21-376.html,data/raw/litigation/21-376_Aug192022_Brief_amici_curiae_of_American_Psychological_Association_et_al_filed_VIDED_.pdf,A,Coalition membership behind an 'et al.' is recorded only where the cover or an appendix names the member verbatim; unnamed coalition members are not enumerated here.,2026-08-12,2026-08-12
LITPOS-00029,ICWA,"Haaland v. Brackeen (consolidated with Cherokee Nation v. Brackeen, Texas v. Haaland, Brackeen v. Haaland)",Supreme Court of the United States,21-376,MERITS,2022-08-19,2022,Former Foster Children,INDIVIDUAL_COALITION,,C_INSTITUTIONAL_ACTION,AMICUS_LEAD,BRIEF OF AMICI CURIAE FORMER FOSTER CHILDREN IN SUPPORT OF FEDERAL AND TRIBAL DEFENDANTS,ALIGNED_WITH_TRIBAL_PARTIES,Cherokee Nation; Oneida Nation; Quinault Indian Nation; Morongo Band of Mission Indians (named tribal litigants in Nos. 21-376/21-377),"Derived ONLY from the side the brief's own cover states it supports, relative to the tribal parties named as litigants in this case. It is not a statement about the organisation's general stance toward tribes or toward any other tribe.",,,,Rebecca A. Patterson,"Sonosky, Chambers, Sachse, Miller & Monkman, LLP",,,,,ADVOCACY,LITIGATION_BRIEF,0,BRIEF OF AMICI CURIAE FORMER FOSTER CHILDREN IN SUPPORT OF FEDERAL AND TRIBAL DEFENDANTS,brief cover page,YES,https://www.supremecourt.gov/search.aspx?filename=/docket/docketfiles/html/public/21-376.html,data/raw/litigation/21-376_Aug192022_Brief_amici_curiae_of_Former_Foster_Children_filed_VIDED_.pdf,A,Coalition membership behind an 'et al.' is recorded only where the cover or an appendix names the member verbatim; unnamed coalition members are not enumerated here.,2026-08-12,2026-08-12
LITPOS-00033,ICWA,"Haaland v. Brackeen (consolidated with Cherokee Nation v. Brackeen, Texas v. Haaland, Brackeen v. Haaland)",Supreme Court of the United States,21-376,CERTIORARI_PETITION,2021-10-08,2021,Goldwater Institute,POLICY_INSTITUTE,Scharf-Norton Center for Constitutional Litigation,C_INSTITUTIONAL_ACTION,AMICUS_LEAD,"BRIEF AMICI CURIAE OF GOLDWATER INSTITUTE, TEXAS PUBLIC POLICY FOUNDATION, AND CATO INSTITUTE IN SUPPORT OF STATE OF TEXAS AND BRACKEEN, ET AL.",OPPOSED_TO_TRIBAL_PARTIES,Cherokee Nation; Oneida Nation; Quinault Indian Nation; Morongo Band of Mission Indians (named tribal litigants in Nos. 21-376/21-377),"Derived ONLY from the side the brief's own cover states it supports, relative to the tribal parties named as litigants in this case. It is not a statement about the organisation's general stance toward tribes or toward any other tribe.",,,,Timothy Sandefur,Scharf-Norton Center for Constitutional Litigation at the Goldwater Institute,,,,,ADVOCACY,LITIGATION_BRIEF,0,"BRIEF AMICI CURIAE OF GOLDWATER INSTITUTE, TEXAS PUBLIC POLICY FOUNDATION, AND CATO INSTITUTE IN SUPPORT OF STATE OF TEXAS AND BRACKEEN, ET AL.",brief cover page,YES,https://www.supremecourt.gov/search.aspx?filename=/docket/docketfiles/html/public/21-376.html,data/raw/litigation/21-376_Oct082021_Brief_amici_curiae_of_Goldwater_Institute_et_al_filed_.pdf,A,Coalition membership behind an 'et al.' is recorded only where the cover or an appendix names the member verbatim; unnamed coalition members are not enumerated here.,2026-08-12,2026-08-12
LITPOS-00037,ICWA,"Haaland v. Brackeen (consolidated with Cherokee Nation v. Brackeen, Texas v. Haaland, Brackeen v. Haaland)",Supreme Court of the United States,21-376,CERTIORARI_PETITION,2021-10-05,2021,Project on Fair Representation,ADVOCACY_ORGANIZATION,,C_INSTITUTIONAL_ACTION,AMICUS_LEAD,BRIEF FOR THE PROJECT ON FAIR REPRESENTATION AS AMICUS CURIAE IN SUPPORT OF PETITIONERS,OPPOSED_TO_TRIBAL_PARTIES,Cherokee Nation; Oneida Nation; Quinault Indian Nation; Morongo Band of Mission Indians (named tribal litigants in Nos. 21-376/21-377),"Derived ONLY from the side the brief's own cover states it supports, relative to the tribal parties named as litigants in this case. It is not a statement about the organisation's general stance toward tribes or toward any other tribe.",,,,J. Michael Connolly,Consovoy McCarthy PLLC,,,,,ADVOCACY,LITIGATION_BRIEF,0,BRIEF FOR THE PROJECT ON FAIR REPRESENTATION AS AMICUS CURIAE IN SUPPORT OF PETITIONERS,brief cover page,YES,https://www.supremecourt.gov/search.aspx?filename=/docket/docketfiles/html/public/21-376.html,data/raw/litigation/21-378_Oct052021_Brief_amicus_curiae_of_Project_on_Fair_Representation_filed_VIDED.pdf,A,Coalition membership behind an 'et al.' is recorded only where the cover or an appendix names the member verbatim; unnamed coalition members are not enumerated here.,2026-08-12,2026-08-12
