Deal_ID,Event_Date,Event_Year,Event_Quarter,Event_Month,Deal_Title,Native_Party,Native_Party_Type,Counterparty_or_Funder,Deal_Category,Industry,Event_Type,Status,Announced_Value_USD,Value_Type,Project_Total_Value_USD,State,Location,Description,Native_Connection,Source_1,Source_1_Type,Source_2,Source_2_Type,Verification_Status,Confidence,Notes,Date_Added,Data_As_Of
NLTR-2024-001,2024-12-31,2024,,,"(AGC or Company) is pleased to announce that on December 31, 2024, Bristol Bay Native Corporation (BBNC) acquired a majority interest in the Company from McKinley Management, LLC (","Alaska Growth Capital BIDCO, Inc.",Native Community Development Financial Institution,Bristol Bay Native Corporation,Private transaction,,acquired,Closed,,,,AK,,"(AGC or Company) is pleased to announce that on December 31, 2024, Bristol Bay Native Corporation (BBNC) acquired a majority interest in the Company from McKinley Management, LLC (McKinley).",Party is the transacting Native entity named in the source sentence; publisher-vs-party read applied by code/1088 gate G5,https://www.alaskagrowth.com/press-release-12-31-24/,Tribal newsletter / tribal press (WordPress posts API),,,Single source (tribal press),"candidate - pattern match on publisher's own text, NOT hand-verified",Staged by code/994; merged by code/1088_merge_staged_deals.py after gates G0-G7. deal_status_std from source: Closed. past-tense completion verb in the source sentence,2026-09-02,2026-09-02
SECX-2020-001,2020-11-01,2020,,,Navajo Transitional Energy Company agrees to acquire Public Service Company of New Mexico's interest in Four Corners Power Plant for $1.00 plus assumption of liabilities,"Navajo Transitional Energy Company, LLC",Tribal enterprise (Navajo Nation LLC),Public Service Company of New Mexico (PNM Resources),Acquisition,Electric power generation,Purchase and Sale Agreement,Signed,1,Stated purchase price; consideration is the assumption of liabilities,,NM,,"The purchase price for the Assets and the Acquired Interest shall be one dollar ($1.00) (the “ Purchase Price ”), it being understood that the consideration of the transaction is the assumption of the Assumed Liabilities and retention of Excluded Liabilities, among other things.",Native party named in the filing text,https://www.sec.gov/Archives/edgar/data/1108426/000110842621000010/pnm12312020ex1018.htm,SEC filing (EDGAR),,,Primary filing retrieved and read,High,"Staged by code/1032_stage_edgar_deal_candidates.py; merged by code/1088_merge_staged_deals.py after gates G1/G6/G7. VALUE TRAP: $1.00 is the stated price and is NOT the economic value. The agreement also provides for a CSA Assignment Payment FROM the seller to NTEC in consideration of NTEC assuming the coal supply agreement, and for reclamation true-up - so the net cash flow runs toward the Native party. Closing was scheduled for 2024 and the closed date is not established by this filing; STATUS IS ANNOUNCED, NOT CLOSED.",2026-09-02,2026-09-02
SECX-2020-002,2020-12-30,2020,,,"Tetlin Tribal Council exercises its option to increase the Manh Choh production royalty by 0.75% for $450,000",Native Village of Tetlin,Federally recognized Alaska Native Village,"Peak Gold, LLC (Contango ORE, Inc. / Kinross Gold)",Royalty transaction,Gold mining,Option exercise under the Tetlin Lease,Completed,450000,"Option exercise price, satisfied as a credit rather than in cash",,AK,,"The Tetlin Tribal Council exercised the option to increase its production royalty by 0.75% by payment to the Joint Venture Company of $450,000 on December 30, 2020.",Native party named in the filing text,https://www.sec.gov/Archives/edgar/data/1502377/000143774921002477/conta20201231_10q.htm,SEC filing (EDGAR),,,Primary filing retrieved and read,High,"Staged by code/1032_stage_edgar_deal_candidates.py; merged by code/1088_merge_staged_deals.py after gates G1/G6/G7. The $450,000 was NOT paid in cash: the same filing says it 'will be credited against future production royalty and advance minimum royalty payments due by the Joint Venture Company to the Tetlin Tribal Council under the lease once production begins.' Value_Type records this. A Native government buying UP its royalty rate is an unusual and clean event class.",2026-09-02,2026-09-02
SECX-2018-001,2018-04-12,2018,,,Mohegan Tribal Gaming Authority amends its credit agreement to permit up to $300 million of investment in the INSPIRE Korea project,Mohegan Tribe of Indians of Connecticut (Mohegan Tribal Gaming Authority),Federally recognized tribe,Increased Revolving and Term B Facility Lenders,Debt amendment,Gaming,Incremental Joinder and Second Amendment to Credit Agreement,Signed,,,,CT,,"This INCREMENTAL JOINDER AND SECOND AMENDMENT TO CREDIT AGREEMENT (this “ Second Amendment ”), dated as of April 12, 2018 and effective as of the Effective Date (as hereinafter defined), is made and entered into by and among THE MOHEGAN TRIBE OF INDIANS OF CONNECTICUT, a federally recognized Indian Tribe and Native American sovereign nation (the “ Tribe ”), the MOHEGAN TRIBAL GAMING AUTHORITY, a governmental instrumentality of the Tribe (the “ Borrower ”)",Native party named in the filing text,https://www.sec.gov/Archives/edgar/data/1005276/000119312518116799/d575734dex101.htm,SEC filing (EDGAR),,,Primary filing retrieved and read,High,"Staged by code/1032_stage_edgar_deal_candidates.py; merged by code/1088_merge_staged_deals.py after gates G1/G6/G7. VALUE TRAP AVOIDED: the $300,000,000 in this amendment is an INVESTMENT BASKET CEILING for Inspire, not an amount raised or spent. Announced_Value_USD is blank. This amendment is the credit-agreement step that made the later INSPIRE financing possible and predates ND-2021-002.",2026-09-02,2026-09-02
SECX-2019-001,2019-02-21,2019,,,"Norwegian Cruise Line Holdings partners with Huna Totem Corporation to build a second cruise pier at Icy Strait Point, Hoonah, Alaska",Huna Totem Corporation,Alaska Native Village Corporation,Norwegian Cruise Line Holdings Ltd. / NCL Corporation Ltd.,Joint venture,Cruise / tourism infrastructure,Pier development partnership with preferential berthing rights,Announced,,,,AK,,"The Company announced a partnership with Alaska Native-owned Huna Totem Corporation to develop a second cruise pier in Icy Strait Point, Huna Totem’s world-class cruise ship destination in Hoonah, Alaska.",Native party named in the filing text,https://www.sec.gov/Archives/edgar/data/1513761/000117184319001074/exh_991.htm,SEC filing (EDGAR),,,Primary filing retrieved and read,High,"Staged by code/1032_stage_edgar_deal_candidates.py; merged by code/1088_merge_staged_deals.py after gates G1/G6/G7. No consideration is stated and none was inferred. The filer itself supplies the Native attribution - 'Alaska Native-owned Huna Totem Corporation' - so this needs no name inference at all. Two later Huna Totem transactions with the same counterparty are staged as leads rather than rows because NCLH's 10-K states neither a date nor a value: Glacier Creek Development, LLC (Whittier cruise terminal, operational 2025) and AAK'W Landing LLC (Juneau berthing facilities, operational 2027). Huna Totem's OWN AS 45.55.139 annual report names Icy Strait Point, Glacier Creek Development and Aak'w Landing among its consolidated subsidiaries - the ANCSA route supplies the ownership and EDGAR supplies the counterparty.",2026-09-02,2026-09-02
SECX-2005-001,2005-05-26,2005,,,Northern Cheyenne Nation signs a casino management agreement with Full House Resorts,Northern Cheyenne Tribe,Federally recognized tribe,"Full House Resorts, Inc.",Management agreement,Gaming,Casino management agreement,Signed,,,,MT,,NORTHERN CHEYENNE NATION SIGNS CASINO MANAGEMENT AGREEMENT WITH FULL HOUSE RESORTS,Native party named in the filing text,https://www.sec.gov/Archives/edgar/data/891482/000118143105030984/rrd80601_5998.htm,SEC filing (EDGAR),,,Primary filing retrieved and read,High,"Staged by code/1032_stage_edgar_deal_candidates.py; merged by code/1088_merge_staged_deals.py after gates G1/G6/G7. The arc, from the same filer's later 10-Ks: a letter of intent on 2005-03-07, this management agreement, a best-efforts obligation on Full House to arrange tribal financing quoted as 'up to $18 million' (2006 424B4), 'up to $16 million' (FY2008 10-K) and 'up to $15.0 million' (FY2009 10-K), and advances to the tribe of $0.7 million by 2009-12-31. NONE of those is consideration - a best-efforts arranging obligation is not money paid, the figure moved three times, and the advances are a running balance. announced_value_usd is blank.",2026-09-02,2026-09-02
ANCSA3-2013-001,2013-07-01,2013,,,"K'oyitl'ots'ina, Limited purchases a 100 percent ownership interest in Yukon Fire Protection Services, Inc.","K'oyitl'ots'ina, Limited",Alaska Native Village Corporation,"Yukon Fire Protection Services, Inc.",Acquisition,,Purchase of ownership interest,Completed,3839848,Total purchase price as stated,,AK,,"The purchase price totaled $3,839,848, included $3,423,685 for goodwill, which is the excess of the purchase price over the fair value of identifiable assets and liabilities.",Native party named in the filing text,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=b028bbea-bb6d-4f70-96d5-400d893acbee,ANCSA corporation annual report filed with the Alaska Division of Banking and Securities (STAR portal),,,Primary filing retrieved and read,High,"Staged by code/1031_ancsa_45_55_139_annual_reports.py; merged by code/1088_merge_staged_deals.py after gates G1/G6/G7. VALUE TRAP AVOIDED: $3,423,685 of the $3,839,848 is GOODWILL, not a second payment. The price is $3,839,848 and goodwill is a component of its allocation. The effective date comes from the adjoining sentence in the same note: 'effective July 1, 2013, the Corporation purchased a 100 percent ownership interest in Yukon Fire Protection Services, Inc., a corporation located in Anchorage, Alaska.'",2026-09-02,2026-09-02
ANCSA3-2016-004,2016-07-01,2016,,,"Natives of Kodiak, Incorporated agrees to acquire 100% of H&S Environmental, Inc. for $4,000,000 cash plus long-term debt and an earnout of up to $3,800,000","Natives of Kodiak, Incorporated",Alaska Native Village Corporation,"H&S Environmental, Inc.",Acquisition,,Stock purchase agreement,Completed,4000000,Cash portion of the consideration as stated,,AK,,"During 2016, the Company entered into a stock purchase agreement to acquire 100% of the issued and outstanding shares of common stock of H&S Environmental, Inc., a Massachusetts corporation, for $4,000,000 cash, long-term debt and an earn out payment of up to $3,800,000 over a five-year period endin",Native party named in the filing text,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=0f3f9277-863f-49f9-b9bc-eabd27f0331a,ANCSA corporation annual report filed with the Alaska Division of Banking and Securities (STAR portal),,,Primary filing retrieved and read,High,"Staged by code/1031_ancsa_45_55_139_annual_reports.py; merged by code/1088_merge_staged_deals.py after gates G1/G6/G7. VALUE TRAP: the $3,800,000 is an EARNOUT MAXIMUM over five years to 2020-12-31 and pays nothing unless the targets are met - it is not in announced_value_usd. The 'long-term debt' component is unquantified in this sentence. So $4,000,000 is a FLOOR on the consideration, not the whole of it, and value_type says so.",2026-09-02,2026-09-02
ANCSA3-2019-001,2019-04-01,2019,,,"KOMAN Government Solutions, LLC acquires 100% of Trinity Analysis and Development Corporation","Natives of Kodiak, Incorporated",Alaska Native Village Corporation,Trinity Analysis and Development Corporation,Acquisition,,Stock purchase agreement,Completed,1500000,"Cash portion of the consideration; long-term debt is a further, separately stated component",,AK,,"On April 1, 2019, the Company’s wholly owned subsidiary KOMAN Government Solutions, LLC (KGS) entered into a stock purchase agreement to acquire 100% of the issued and outstanding shares of common stock of Trinity Analysis and Development Corporation, a Florida corporation, for $1,500,000 cash and long-term debt with a fa",Native party named in the filing text,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=13df26b0-f6d2-4ceb-bc52-7f32dda14f8a,ANCSA corporation annual report filed with the Alaska Division of Banking and Securities (STAR portal),,,Primary filing retrieved and read,High,"Staged by code/1031_ancsa_45_55_139_annual_reports.py; merged by code/1088_merge_staged_deals.py after gates G1/G6/G7. VALUE IS A FLOOR: the consideration is '$1,500,000 cash AND long-term debt', and the debt component is not quantified in this sentence. The same note adds 'three potential payments of additional purchase price of $250,000 each based on certain events occurring before the third anniversary of closing' - contingent, so excluded.",2026-09-02,2026-09-02
ANCSA3-2025-001,2025-06-30,2025,,,"Old Harbor Native Corporation acquires STR Holdings, LLC for $21,791,744 in cash",Old Harbor Native Corporation,Alaska Native Village Corporation,"STR Holdings, LLC",Acquisition,,Business combination,Completed,21791744,"Cash transferred by Old Harbor, as stated",,AK,,"The following table summarizes the consideration paid for STR Holdings, LLC along with the amounts of the assets acquired and liabilities assumed, which were recognized at the acquisition: Consideration Cash (Transferred by OHI) $ 21,791,744",Native party named in the filing text,https://portal.akdbsstar.us/StarWebPortal/ViewFile.aspx?Id=20feccc4-cff5-4280-92cf-564ccd070e80,ANCSA corporation annual report filed with the Alaska Division of Banking and Securities (STAR portal),,,Primary filing retrieved and read,Medium,"Staged by code/1031_ancsa_45_55_139_annual_reports.py; merged by code/1088_merge_staged_deals.py after gates G1/G6/G7. The largest transaction in this wave, and the second time Old Harbor appears - it acquired EP Roofing in FY2023 (AS4555139-TX-019). VALUE TRAP AVOIDED: the recognised assets in the same table ($8,923,493 cash, $30,776,942 other current assets, $28,257,741 property and equipment against $31,670,544 of current liabilities) are the ALLOCATION, not the price. DATE IS A PLACEHOLDER and must be settled before merging.",2026-09-02,2026-09-02
