visitor_access_event_id,appointment_start_date,appointment_end_date,appointment_made_date,appointment_cancelled_date,n_visitor_records,visitor_names_published,visitor_name_withheld_reason,visitee_last_name,visitee_first_name,visitee_capacity,caller_last_name,caller_first_name,meeting_location,meeting_room,access_type,description_verbatim,native_term_matched,native_relevance_basis,native_entity_id,native_entity_link_basis,native_entity_link_refusal_reason,organisation_id,matter_id,meeting_occurred,meeting_occurred_basis,channel,event_class,is_lobbying,may_promote_to_advocacy,release_label,release_date,source_url,source_record_id,source_codebook_url,fetched_date,confidence_tier,cedar_uid
WAVES-2009-2010-00000,2009-10-30,2009-10-30,2009-10-30,,7,N,WAVES is person-level and names ordinary members of the public. Cedar Press publishes this source at the APPOINTMENT grain only; no visitor name is stored. The visitee is named because a WAVES visitee is an EOP staff member receiving visitors in an official capacity.,GREENAWALT,ANDREI,EXECUTIVE_OFFICE_OF_THE_PRESIDENT_STAFF,MILAKOFSKY,BENJAMIN,OEOB,100,VA,TRIBAL CONFERENCE PLANNING MEETING,TRIBAL,DESCRIPTION_TERM_MATCH,,NOT_ATTEMPTED_BY_RULE,"resolve_entity's containment tier matches whenever one name's token set contains the other's, and a free-text meeting description is the worst possible input to it (AGENTS.md, THE CONTAINMENT DEFECT). No entity is attributed from this field.",,,NOT_ESTABLISHED,"A WAVES record is a building-access clearance. It does not establish that a meeting took place, what was discussed, or that anyone was influenced.",VISITOR_RECORD,ACCESS,N,N,2009-2010,2010-01-29,https://obamawhitehouse.archives.gov/briefing-room/disclosures/visitor-records,WAVES appointment 2009-10-30 / ANDREI GREENAWALT / 100,https://obamawhitehouse.archives.gov/files/disclosures/visitors/WhiteHouse-WAVES-Key-1209.txt,2026-08-12,A,
WAVES-2009-2010-00002,2009-11-02,2009-11-02,2009-10-30,,8,N,WAVES is person-level and names ordinary members of the public. Cedar Press publishes this source at the APPOINTMENT grain only; no visitor name is stored. The visitee is named because a WAVES visitee is an EOP staff member receiving visitors in an official capacity.,KIMBALL,ASTRI,EXECUTIVE_OFFICE_OF_THE_PRESIDENT_STAFF,MILAKOFSKY,BENJAMIN,OEOB,228,VA,TRIBAL CONFERENCE PLANNING MEETING,TRIBAL,DESCRIPTION_TERM_MATCH,,NOT_ATTEMPTED_BY_RULE,"resolve_entity's containment tier matches whenever one name's token set contains the other's, and a free-text meeting description is the worst possible input to it (AGENTS.md, THE CONTAINMENT DEFECT). No entity is attributed from this field.",,,NOT_ESTABLISHED,"A WAVES record is a building-access clearance. It does not establish that a meeting took place, what was discussed, or that anyone was influenced.",VISITOR_RECORD,ACCESS,N,N,2009-2010,2010-02-26,https://obamawhitehouse.archives.gov/briefing-room/disclosures/visitor-records,WAVES appointment 2009-11-02 / ASTRI KIMBALL / 228,https://obamawhitehouse.archives.gov/files/disclosures/visitors/WhiteHouse-WAVES-Key-1209.txt,2026-08-12,A,
WAVES-2009-2010-00004,2010-04-15,2010-04-15,2010-04-15,,1,N,WAVES is person-level and names ordinary members of the public. Cedar Press publishes this source at the APPOINTMENT grain only; no visitor name is stored. The visitee is named because a WAVES visitee is an EOP staff member receiving visitors in an official capacity.,TEEHEE,KIMBERLY,EXECUTIVE_OFFICE_OF_THE_PRESIDENT_STAFF,TEEHEE,KIMBERLY,OEOB,401,VA,"MEETING WITH INDIAN HEALTH SERVICE DIRECTOR, DR. YVETTE ROUBIDEAUX.  SHE WAS WAVED INTO THE WH JUST YESTERDAY.",INDIAN HEALTH,DESCRIPTION_TERM_MATCH,,NOT_ATTEMPTED_BY_RULE,"resolve_entity's containment tier matches whenever one name's token set contains the other's, and a free-text meeting description is the worst possible input to it (AGENTS.md, THE CONTAINMENT DEFECT). No entity is attributed from this field.",,,NOT_ESTABLISHED,"A WAVES record is a building-access clearance. It does not establish that a meeting took place, what was discussed, or that anyone was influenced.",VISITOR_RECORD,ACCESS,N,N,2009-2010,2010-07-30,https://obamawhitehouse.archives.gov/briefing-room/disclosures/visitor-records,WAVES appointment 2010-04-15 / KIMBERLY TEEHEE / 401,https://obamawhitehouse.archives.gov/files/disclosures/visitors/WhiteHouse-WAVES-Key-1209.txt,2026-08-12,A,
WAVES-2009-2010-00006,2010-04-28,2010-04-28,2010-04-26,,8,N,WAVES is person-level and names ordinary members of the public. Cedar Press publishes this source at the APPOINTMENT grain only; no visitor name is stored. The visitee is named because a WAVES visitee is an EOP staff member receiving visitors in an official capacity.,GILLETTE,JODI,EXECUTIVE_OFFICE_OF_THE_PRESIDENT_STAFF,BLOCK,MICHAEL,OEOB,530,VA,ARTIC TRIBAL MEETING,TRIBAL,DESCRIPTION_TERM_MATCH,,NOT_ATTEMPTED_BY_RULE,"resolve_entity's containment tier matches whenever one name's token set contains the other's, and a free-text meeting description is the worst possible input to it (AGENTS.md, THE CONTAINMENT DEFECT). No entity is attributed from this field.",,,NOT_ESTABLISHED,"A WAVES record is a building-access clearance. It does not establish that a meeting took place, what was discussed, or that anyone was influenced.",VISITOR_RECORD,ACCESS,N,N,2009-2010,2010-07-30,https://obamawhitehouse.archives.gov/briefing-room/disclosures/visitor-records,WAVES appointment 2010-04-28 / JODI GILLETTE / 530,https://obamawhitehouse.archives.gov/files/disclosures/visitors/WhiteHouse-WAVES-Key-1209.txt,2026-08-12,A,
WAVES-2009-2010-00008,2010-06-14,2010-06-14,2010-06-07,,24,N,WAVES is person-level and names ordinary members of the public. Cedar Press publishes this source at the APPOINTMENT grain only; no visitor name is stored. The visitee is named because a WAVES visitee is an EOP staff member receiving visitors in an official capacity.,GILLETTE,JODI,EXECUTIVE_OFFICE_OF_THE_PRESIDENT_STAFF,BLOCK,MICHAEL,OEOB,430A,VA,NAVAJO NATION MEETING,NAVAJO,DESCRIPTION_TERM_MATCH,,NOT_ATTEMPTED_BY_RULE,"resolve_entity's containment tier matches whenever one name's token set contains the other's, and a free-text meeting description is the worst possible input to it (AGENTS.md, THE CONTAINMENT DEFECT). No entity is attributed from this field.",,,NOT_ESTABLISHED,"A WAVES record is a building-access clearance. It does not establish that a meeting took place, what was discussed, or that anyone was influenced.",VISITOR_RECORD,ACCESS,N,N,2009-2010,,https://obamawhitehouse.archives.gov/briefing-room/disclosures/visitor-records,WAVES appointment 2010-06-14 / JODI GILLETTE / 430A,https://obamawhitehouse.archives.gov/files/disclosures/visitors/WhiteHouse-WAVES-Key-1209.txt,2026-08-12,A,
WAVES-2009-2010-00010,2010-07-07,2010-07-07,2010-07-06,,4,N,WAVES is person-level and names ordinary members of the public. Cedar Press publishes this source at the APPOINTMENT grain only; no visitor name is stored. The visitee is named because a WAVES visitee is an EOP staff member receiving visitors in an official capacity.,TEEHEE,KIMBERLY,EXECUTIVE_OFFICE_OF_THE_PRESIDENT_STAFF,TEEHEE,KIMBERLY,WH,WW,VA,CHEROKEE NATION DELEGATION.,CHEROKEE NATION,DESCRIPTION_TERM_MATCH,,NOT_ATTEMPTED_BY_RULE,"resolve_entity's containment tier matches whenever one name's token set contains the other's, and a free-text meeting description is the worst possible input to it (AGENTS.md, THE CONTAINMENT DEFECT). No entity is attributed from this field.",,,NOT_ESTABLISHED,"A WAVES record is a building-access clearance. It does not establish that a meeting took place, what was discussed, or that anyone was influenced.",VISITOR_RECORD,ACCESS,N,N,2009-2010,2010-10-29,https://obamawhitehouse.archives.gov/briefing-room/disclosures/visitor-records,WAVES appointment 2010-07-07 / KIMBERLY TEEHEE / WW,https://obamawhitehouse.archives.gov/files/disclosures/visitors/WhiteHouse-WAVES-Key-1209.txt,2026-08-12,A,
WAVES-2011a-00012,2010-11-10,2010-11-10,2010-11-08,,1,N,WAVES is person-level and names ordinary members of the public. Cedar Press publishes this source at the APPOINTMENT grain only; no visitor name is stored. The visitee is named because a WAVES visitee is an EOP staff member receiving visitors in an official capacity.,STOEV,IVAN,EXECUTIVE_OFFICE_OF_THE_PRESIDENT_STAFF,STOEV,IVAN,OEOB,2211,VA,NATIVE AMERICAN DIVERSITY FILM,NATIVE AMERICAN,DESCRIPTION_TERM_MATCH,,NOT_ATTEMPTED_BY_RULE,"resolve_entity's containment tier matches whenever one name's token set contains the other's, and a free-text meeting description is the worst possible input to it (AGENTS.md, THE CONTAINMENT DEFECT). No entity is attributed from this field.",,,NOT_ESTABLISHED,"A WAVES record is a building-access clearance. It does not establish that a meeting took place, what was discussed, or that anyone was influenced.",VISITOR_RECORD,ACCESS,N,N,2011a,2011-02-25,https://obamawhitehouse.archives.gov/briefing-room/disclosures/visitor-records,WAVES appointment 2010-11-10 / IVAN STOEV / 2211,https://obamawhitehouse.archives.gov/files/disclosures/visitors/WhiteHouse-WAVES-Key-1209.txt,2026-08-12,A,
WAVES-2011a-00014,2010-12-08,2010-12-08,2010-12-08,,1,N,WAVES is person-level and names ordinary members of the public. Cedar Press publishes this source at the APPOINTMENT grain only; no visitor name is stored. The visitee is named because a WAVES visitee is an EOP staff member receiving visitors in an official capacity.,POTUS,,EXECUTIVE_OFFICE_OF_THE_PRESIDENT_STAFF,CONRAD,SHASTI,WH,OVAL OFFIC,VA,PIGFORD/COBELL SIGNING,COBELL,DESCRIPTION_TERM_MATCH,,NOT_ATTEMPTED_BY_RULE,"resolve_entity's containment tier matches whenever one name's token set contains the other's, and a free-text meeting description is the worst possible input to it (AGENTS.md, THE CONTAINMENT DEFECT). No entity is attributed from this field.",,,NOT_ESTABLISHED,"A WAVES record is a building-access clearance. It does not establish that a meeting took place, what was discussed, or that anyone was influenced.",VISITOR_RECORD,ACCESS,N,N,2011a,2011-03-25,https://obamawhitehouse.archives.gov/briefing-room/disclosures/visitor-records,WAVES appointment 2010-12-08 /  POTUS / OVAL OFFIC,https://obamawhitehouse.archives.gov/files/disclosures/visitors/WhiteHouse-WAVES-Key-1209.txt,2026-08-12,A,
WAVES-2015-00016,2015-02-24,2015-02-24,2015-02-19,,2,N,WAVES is person-level and names ordinary members of the public. Cedar Press publishes this source at the APPOINTMENT grain only; no visitor name is stored. The visitee is named because a WAVES visitee is an EOP staff member receiving visitors in an official capacity.,Sellheim,Will,EXECUTIVE_OFFICE_OF_THE_PRESIDENT_STAFF,GRIPPANDO,HESTER,NEOB,7002,VA,Indian Health Service,INDIAN HEALTH,DESCRIPTION_TERM_MATCH,,NOT_ATTEMPTED_BY_RULE,"resolve_entity's containment tier matches whenever one name's token set contains the other's, and a free-text meeting description is the worst possible input to it (AGENTS.md, THE CONTAINMENT DEFECT). No entity is attributed from this field.",,,NOT_ESTABLISHED,"A WAVES record is a building-access clearance. It does not establish that a meeting took place, what was discussed, or that anyone was influenced.",VISITOR_RECORD,ACCESS,N,N,2015,2015-05-29,https://obamawhitehouse.archives.gov/briefing-room/disclosures/visitor-records,WAVES appointment 2015-02-24 / Will Sellheim / 7002,https://obamawhitehouse.archives.gov/files/disclosures/visitors/WhiteHouse-WAVES-Key-1209.txt,2026-08-12,A,
WAVES-2016-00018,2015-10-27,2015-10-27,,,112,N,WAVES is person-level and names ordinary members of the public. Cedar Press publishes this source at the APPOINTMENT grain only; no visitor name is stored. The visitee is named because a WAVES visitee is an EOP staff member receiving visitors in an official capacity.,,,EXECUTIVE_OFFICE_OF_THE_PRESIDENT_STAFF,,,VPR,,,Native American Arts Reception,NATIVE AMERICAN,DESCRIPTION_TERM_MATCH,,NOT_ATTEMPTED_BY_RULE,"resolve_entity's containment tier matches whenever one name's token set contains the other's, and a free-text meeting description is the worst possible input to it (AGENTS.md, THE CONTAINMENT DEFECT). No entity is attributed from this field.",,,NOT_ESTABLISHED,"A WAVES record is a building-access clearance. It does not establish that a meeting took place, what was discussed, or that anyone was influenced.",VISITOR_RECORD,ACCESS,N,N,2016,2016-01-29,https://obamawhitehouse.archives.gov/briefing-room/disclosures/visitor-records,WAVES appointment 2015-10-27 /   / ,https://obamawhitehouse.archives.gov/files/disclosures/visitors/WhiteHouse-WAVES-Key-1209.txt,2026-08-12,A,
