issuer,issuer_entity_id,cusip,issue_date,par_amount,instrument_type,maturity,use_of_proceeds,rating_at_issue,rating_agency,source_url,retrieved_date,date_basis,notes,issuer_entity_id_rung,issuer_entity_id_subject,issuer_entity_id_subject_basis,issuer_entity_id_tier,issuer_entity_id_tier_basis,issuer_is_the_borrowing_enterprise
Seminole Tribe of Florida,TRBF-SMNLFL-00,,,68000000,Series 2005A taxable 5.798% term revenue bonds,2013-10,,,Moody's Investors Service,https://www.moodys.com/research/Moodys-upgrades-Seminole-Tribe-ratings-to-Baa3-assigns-Baa3-to--PR_269885,2026-08-05,"Par amount, coupon and maturity are quoted from the retrieved rating action; the retrieved document does not state an issue or settlement date, so issue_date is left blank rather than inferred from the maturity or the rating date.","Itemised in the Moody's rating action of 2013-04-02, where the series was upgraded to Baa3 from Ba1. Rating shown there is the 2013 rating, not the rating at issue.",R1_exact_alias,Seminole Tribe of Florida,issuer_is_the_tribe_itself,B,"B - an algorithmic name resolution through the alias layer, pending human review. The tier is what THIS RESOLUTION earns and is NOT inherited from the alias row it matched (START_HERE trap #1: the exactness of the key says nothing about the correctness of the link).",N
Seminole Tribe of Florida,TRBF-SMNLFL-00,,,113000000,Series 2007A tax-exempt 5.250% special obligation bonds,2027,,Ba1,Moody's Investors Service,https://www.moodys.com/research/Moodys-raises-Seminole-gaming-ratings-to-Baa3-new-459-mil--PR_140784,2026-08-05,"Par amount, coupon and maturity are quoted from the retrieved rating action; the retrieved document does not state an issue or settlement date, so issue_date is left blank rather than inferred from the maturity or the rating date.","One of three 2007A tranches. Moody's assigned Ba1 to the proposed $240 million Series 2007A tax-exempt special obligation bonds due 2027 on 2007-09-14; the 2013-04-02 action itemises the issued tranches as $113m due 2027, $60m due 2022 and $66m due 2024 (total $239m). Deal-ledger row: ND-2007-301.",R1_exact_alias,Seminole Tribe of Florida,issuer_is_the_tribe_itself,B,"B - an algorithmic name resolution through the alias layer, pending human review. The tier is what THIS RESOLUTION earns and is NOT inherited from the alias row it matched (START_HERE trap #1: the exactness of the key says nothing about the correctness of the link).",N
Seminole Tribe of Florida,TRBF-SMNLFL-00,,,66000000,Series 2007A tax-exempt 5.50% special obligation bonds,2024,,Ba1,Moody's Investors Service,https://www.moodys.com/research/Moodys-upgrades-Seminole-Tribe-ratings-to-Baa3-assigns-Baa3-to--PR_269885,2026-08-05,"Par amount, coupon and maturity are quoted from the retrieved rating action; the retrieved document does not state an issue or settlement date, so issue_date is left blank rather than inferred from the maturity or the rating date.",Third 2007A tranche. See notes on the $113m tranche.,R1_exact_alias,Seminole Tribe of Florida,issuer_is_the_tribe_itself,B,"B - an algorithmic name resolution through the alias layer, pending human review. The tier is what THIS RESOLUTION earns and is NOT inherited from the alias row it matched (START_HERE trap #1: the exactness of the key says nothing about the correctness of the link).",N
Seminole Tribe of Florida,TRBF-SMNLFL-00,,,105000000,Series 2008A taxable 8.030% special obligation bonds,2020,,,Moody's Investors Service,https://www.moodys.com/research/Moodys-upgrades-Seminole-Tribe-ratings-to-Baa3-assigns-Baa3-to--PR_269885,2026-08-05,"Par amount, coupon and maturity are quoted from the retrieved rating action; the retrieved document does not state an issue or settlement date, so issue_date is left blank rather than inferred from the maturity or the rating date.","Itemised in the Moody's rating action of 2013-04-02 (upgraded to Ba1 from Ba2). A Moody's release titled 'Moodys-assigns-Ba1-to-Seminole-Tribe-of-Floridas-105-mil--PR_148912' exists but is not archived and could not be retrieved, so its date is unknown.",R1_exact_alias,Seminole Tribe of Florida,issuer_is_the_tribe_itself,B,"B - an algorithmic name resolution through the alias layer, pending human review. The tier is what THIS RESOLUTION earns and is NOT inherited from the alias row it matched (START_HERE trap #1: the exactness of the key says nothing about the correctness of the link).",N
Seminole Tribe of Florida,TRBF-SMNLFL-00,,,330000000,Series 2010B taxable 7.75% bonds,2017-10,,,Moody's Investors Service,https://www.moodys.com/research/Moodys-upgrades-Seminole-Tribe-ratings-to-Baa3-assigns-Baa3-to--PR_269885,2026-08-05,"Par amount, coupon and maturity are quoted from the retrieved rating action; the retrieved document does not state an issue or settlement date, so issue_date is left blank rather than inferred from the maturity or the rating date.","ISSUED INSIDE THE 2010-2017 WINDOW and the single largest unrecorded in-window tribal issuance identified in this run. Itemised in the Moody's rating action of 2013-04-02 (upgraded to Baa3 from Ba1). No dated issuance document was retrieved, so no deal-ledger row was written. See skip SK-TD-014.",R1_exact_alias,Seminole Tribe of Florida,issuer_is_the_tribe_itself,B,"B - an algorithmic name resolution through the alias layer, pending human review. The tier is what THIS RESOLUTION earns and is NOT inherited from the alias row it matched (START_HERE trap #1: the exactness of the key says nothing about the correctness of the link).",N
Seminole Tribe of Florida,TRBF-SMNLFL-00,,,750000000,Senior secured term loan B,2020,"Refinance the Tribe's existing term loan due 2014 ($794 million outstanding), together with balance sheet cash",Baa3,Moody's Investors Service,https://www.moodys.com/research/Moodys-upgrades-Seminole-Tribe-ratings-to-Baa3-assigns-Baa3-to--PR_269885,2026-08-05,"Par amount, coupon and maturity are quoted from the retrieved rating action; the retrieved document does not state an issue or settlement date, so issue_date is left blank rather than inferred from the maturity or the rating date.",Rated Baa3 as a proposed instrument on 2013-04-02. Deal-ledger row: ND-2013-301.,R1_exact_alias,Seminole Tribe of Florida,issuer_is_the_tribe_itself,B,"B - an algorithmic name resolution through the alias layer, pending human review. The tier is what THIS RESOLUTION earns and is NOT inherited from the alias row it matched (START_HERE trap #1: the exactness of the key says nothing about the correctness of the link).",N
Choctaw Resort Development Enterprise (Mississippi Band of Choctaw Indians),TRBF-MSBCTW-00,,,118500000,"Senior unsecured notes, amount outstanding at 2012-03-14",2019,,,Moody's Investors Service,https://www.moodys.com/research/Moodys-raises-Choctaw-Resorts-CFR-to-Caa1-outlook-stable--PR_240242,2026-08-05,"Par amount, coupon and maturity are quoted from the retrieved rating action; the retrieved document does not state an issue or settlement date, so issue_date is left blank rather than inferred from the maturity or the rating date.","Balance outstanding, not original par - the same instrument stood at $110 million by 2014-07-10. Successor instrument to the 2001 notes.",R1_exact_alias,Mississippi Band of Choctaw Indians,parenthetical_names_the_owning_tribe,B,"B - an algorithmic name resolution through the alias layer, pending human review. The tier is what THIS RESOLUTION earns and is NOT inherited from the alias row it matched (START_HERE trap #1: the exactness of the key says nothing about the correctness of the link).",Y
Choctaw Resort Development Enterprise (Mississippi Band of Choctaw Indians),TRBF-MSBCTW-00,,,145000000,Senior secured term loan (unrated),2019,Refinance the $70 million senior secured term loan due 2017 and pre-fund $75 million of capital expenditure projects,Not rated,Moody's Investors Service,https://www.moodys.com/research/Moodys-upgrades-Choctaw-Resorts-CFR-to-B3-and-affirms-senior--PR_303516,2026-08-05,"Par amount, coupon and maturity are quoted from the retrieved rating action; the retrieved document does not state an issue or settlement date, so issue_date is left blank rather than inferred from the maturity or the rating date.","ISSUED INSIDE THE 2010-2017 WINDOW. Deal-ledger row: ND-2014-301. The agreement also carried up to $75 million of additional borrowing capacity, which is undrawn commitment and is not recorded as par.",R1_exact_alias,Mississippi Band of Choctaw Indians,parenthetical_names_the_owning_tribe,B,"B - an algorithmic name resolution through the alias layer, pending human review. The tier is what THIS RESOLUTION earns and is NOT inherited from the alias row it matched (START_HERE trap #1: the exactness of the key says nothing about the correctness of the link).",Y
Chukchansi Economic Development Authority (Picayune Rancheria of the Chukchansi Indians),TRBF-PYCKCH-00,,,200000000,8% senior notes,2013-11,,,Moody's Investors Service,https://www.moodys.com/research/Moodys-downgrades-Chukchansis-CFR-to-Caa2-outlook-negative--PR_227436,2026-08-05,"Par amount, coupon and maturity are quoted from the retrieved rating action; the retrieved document does not state an issue or settlement date, so issue_date is left blank rather than inferred from the maturity or the rating date.",Outstanding at the Moody's rating action of 2011-10-04. Chukchansi's 2012 secured-note refinancing ('Moodys-assigns-Caa2-to-Chukchansis-975-secured-notes-CFR-to--PR_247365') is confirmed to exist but is NOT archived and could not be retrieved - see skip SK-TD-011.,R7_core_token_equality,Picayune Rancheria of the Chukchansi Indians,parenthetical_names_the_owning_tribe,B,"B - an algorithmic name resolution through the alias layer, pending human review. The tier is what THIS RESOLUTION earns and is NOT inherited from the alias row it matched (START_HERE trap #1: the exactness of the key says nothing about the correctness of the link).",Y
Downstream Development Authority (Quapaw Nation of Oklahoma),TRBF-QUAPAW-00,,,285000000,10.5% senior secured notes,2019,,,Moody's Investors Service,https://www.moodys.com/research/Moodys-confirms-Downstreams-CFR-and-affirms-secured-notes-at-B3--PR_359989,2026-08-05,"Par amount, coupon and maturity are quoted from the retrieved rating action; the retrieved document does not state an issue or settlement date, so issue_date is left blank rather than inferred from the maturity or the rating date.","Amount stated at the 2016-12-20 action; $265 million was stated as the refinanced amount at 2018-02-22, so the balance had been reduced in the interim. Successor to the 2015 notes.",R5_issuer_of_state_removed_alias,Quapaw Nation of Oklahoma,parenthetical_names_the_owning_tribe,B,"B - an algorithmic name resolution through the alias layer, pending human review. The tier is what THIS RESOLUTION earns and is NOT inherited from the alias row it matched (START_HERE trap #1: the exactness of the key says nothing about the correctness of the link).",Y
