relationship_id,source_entity_id,relationship_type,target_entity_id,start_date,end_date,is_current,legal_or_informal,direct_or_inferred,verification_status,confidence,tier,source_id,evidence_text,notes,created_at,counterparty_side,counterparty_kind,counterparty_name_as_recorded,counterparty_identifier_type,counterparty_identifier,counterparty_identity_state,counterparty_nest_enterprise_id,counterparty_nest_basis,counterparty_extraction_basis
CEDAR-REL-00014303,,owned_by,ANRC-ARCSLO-00,,,1,legal,direct,TIER_A,0.90,A,cedar_identifier_ledger_final.csv,Ruled by Elijah 2026-08-06: confirmed owner,"firm 'Petro Star, Inc.' (UEI JGSGGJJTAMK1) is owned by this Native entity directly. No spine entity for the firm and no intermediate holding layer invented.",2026-08-07,source,firm_registration,"Petro Star, Inc.",UEI,JGSGGJJTAMK1,NAMED_SUB_HUB_WITH_PUBLISHED_IDENTIFIER,CEDAR-NEST-000176-S0,rung3_normalised_name_unique_among_nest_enterprises_of_this_same_owner_hub,notes:firm '<name>' (<UEI|CAGE> <id>) is owned by
CEDAR-REL-00014320,,owned_by,ANRC-ARCSLO-00,,,1,legal,direct,TIER_A,0.90,A,cedar_identifier_ledger_final.csv,Ruled by Elijah 2026-08-06: confirmed owner,firm 'Asrc Research And Technology Solutions Limited Liability Company' (UEI VF2ANJQHJ1N7) is owned by this Native entity directly. No spine entity for the firm and no intermediate holding layer invented.,2026-08-07,source,firm_registration,Asrc Research And Technology Solutions Limited Liability Company,UEI,VF2ANJQHJ1N7,NAMED_SUB_HUB_WITH_PUBLISHED_IDENTIFIER,CEDAR-NEST-000162-52,rung1_published_uei_equals_nest_published_uei,notes:firm '<name>' (<UEI|CAGE> <id>) is owned by
CEDAR-REL-00014342,,owned_by,ANVC-KPVKPT-00,,,1,legal,direct,RULED,0.90,A,cedar_identifier_ledger_final.csv,Ruled by Elijah 2026-08-06: re-attributed to Ukpeaġvik Iñupiat Corporation (matched by exact); the earlier claim was wrong.,"firm 'Bowhead Professional Solutions, Llc' (UEI GRZ5EJZB3JC4) is owned by this Native entity directly. No spine entity for the firm and no intermediate holding layer invented.",2026-08-07,source,firm_registration,"Bowhead Professional Solutions, Llc",UEI,GRZ5EJZB3JC4,NAMED_SUB_HUB_WITH_PUBLISHED_IDENTIFIER,CEDAR-NEST-000811-Z3,rung3_normalised_name_unique_among_nest_enterprises_of_this_same_owner_hub,notes:firm '<name>' (<UEI|CAGE> <id>) is owned by
CEDAR-REL-00014354,,owned_by,ANRC-ARCSLO-00,,,1,legal,direct,TIER_A,0.90,A,cedar_identifier_ledger_final.csv,Ruled by Elijah 2026-08-06: confirmed owner,"firm 'Asrc Communications, Ltd' (UEI D9KZT4XZLP21) is owned by this Native entity directly. No spine entity for the firm and no intermediate holding layer invented.",2026-08-07,source,firm_registration,"Asrc Communications, Ltd",UEI,D9KZT4XZLP21,NAMED_SUB_HUB_WITH_PUBLISHED_IDENTIFIER,CEDAR-NEST-000141-25,rung1_published_uei_equals_nest_published_uei,notes:firm '<name>' (<UEI|CAGE> <id>) is owned by
CEDAR-REL-00014364,,owned_by,ANRC-BRBYCO-00,,,1,legal,direct,TIER_A,0.90,A,cedar_identifier_ledger_final.csv,"Structural parent->child, documented","firm 'Cci Construction Services, Llc' (UEI H5LQWNXCMAH5) is owned by this Native entity directly. No spine entity for the firm and no intermediate holding layer invented.",2026-08-07,source,firm_registration,"Cci Construction Services, Llc",UEI,H5LQWNXCMAH5,NAMED_SUB_HUB_WITH_PUBLISHED_IDENTIFIER,CEDAR-NEST-000279-JZ,rung3_normalised_name_unique_among_nest_enterprises_of_this_same_owner_hub,notes:firm '<name>' (<UEI|CAGE> <id>) is owned by
CEDAR-REL-00014376,,owned_by,ANRC-BERSTR-00,,,1,legal,direct,TIER_A,0.90,A,cedar_identifier_ledger_final.csv,"Structural parent->child, documented","firm 'Global Precision Systems, Llc' (UEI F5JZUL8JTEK3) is owned by this Native entity directly. No spine entity for the firm and no intermediate holding layer invented.",2026-08-07,source,firm_registration,"Global Precision Systems, Llc",UEI,F5JZUL8JTEK3,NAMED_SUB_HUB_WITH_PUBLISHED_IDENTIFIER,CEDAR-NEST-000215-8Z,rung3_normalised_name_unique_among_nest_enterprises_of_this_same_owner_hub,notes:firm '<name>' (<UEI|CAGE> <id>) is owned by
CEDAR-REL-00014386,,owned_by,ANRC-CKINLT-00,,,1,legal,direct,TIER_A,0.90,A,cedar_identifier_ledger_final.csv,Ruled by Elijah 2026-08-06: confirmed owner,firm 'Weldin Construction Inc' (UEI QA3CH4ZHCBG1) is owned by this Native entity directly. No spine entity for the firm and no intermediate holding layer invented.,2026-08-07,source,firm_registration,Weldin Construction Inc,UEI,QA3CH4ZHCBG1,NAMED_SUB_HUB_WITH_PUBLISHED_IDENTIFIER,CEDAR-NEST-000500-34,rung3_normalised_name_unique_among_nest_enterprises_of_this_same_owner_hub,notes:firm '<name>' (<UEI|CAGE> <id>) is owned by
CEDAR-REL-00014397,,owned_by,ANVC-TNDGSX-00,,,1,legal,direct,RULED,0.90,A,cedar_identifier_ledger_final.csv,Ruled by Elijah 2026-08-06: re-attributed to Tanadgusix Corporation (TDX) (matched by exact); the earlier claim was wrong.,"firm 'Sand Point Services, Llc' (UEI UENJB2AT8GJ9) is owned by this Native entity directly. No spine entity for the firm and no intermediate holding layer invented.",2026-08-07,source,firm_registration,"Sand Point Services, Llc",UEI,UENJB2AT8GJ9,NAMED_SUB_HUB_WITH_PUBLISHED_IDENTIFIER,CEDAR-NEST-001073-F2,rung3_normalised_name_unique_among_nest_enterprises_of_this_same_owner_hub,notes:firm '<name>' (<UEI|CAGE> <id>) is owned by
CEDAR-REL-00014418,,owned_by,TRBF-NAVAJO-00,,,1,legal,direct,TIER_A,0.90,A,cedar_identifier_ledger_final.csv,"Structural parent->child, documented",firm 'Ddc It Services Llc' (UEI LKCXFSNY42Q3) is owned by this Native entity directly. No spine entity for the firm and no intermediate holding layer invented.,2026-08-07,source,firm_registration,Ddc It Services Llc,UEI,LKCXFSNY42Q3,NAMED_SUB_HUB_WITH_PUBLISHED_IDENTIFIER,CEDAR-NEST-001373-4Y,rung3_normalised_name_unique_among_nest_enterprises_of_this_same_owner_hub,notes:firm '<name>' (<UEI|CAGE> <id>) is owned by
CEDAR-REL-00014430,,owned_by,ANRC-KONIAG-00,,,1,legal,direct,TIER_A,0.90,A,cedar_identifier_ledger_final.csv,Ruled by Elijah 2026-08-06: confirmed owner,firm 'Koniag Services Inc' (UEI KYN9K7FSCVN4) is owned by this Native entity directly. No spine entity for the firm and no intermediate holding layer invented.,2026-08-07,source,firm_registration,Koniag Services Inc,UEI,KYN9K7FSCVN4,NAMED_SUB_HUB_WITH_PUBLISHED_IDENTIFIER,CEDAR-NEST-000554-HA,rung3_normalised_name_unique_among_nest_enterprises_of_this_same_owner_hub,notes:firm '<name>' (<UEI|CAGE> <id>) is owned by
