facility_id,cedar_place_id_absent_reason,cedar_place_id,facility_name,tribe_id,entity,state,property_status,entity_id,cedar_uid,entity_tier,entity_tier_basis,n_official_capacity,n_vendor_capacity,n_nigc_region,n_federal_traces,n_lodes_employment,n_employment_other,n_block_geocode,n_universe_events,n_game_finder,n_website,n_website_labor_demand,n_device_observation,n_loyalty_program,n_revenue_bound,n_vendor_metrics,n_compact,n_compact_terms,n_land_decision,n_declination_letter,n_financing,n_source_claims,n_digital_gaming,n_digital_revenue,n_publishable_sources,n_licensed_sources,evidence_strength,built_date
CCP-686900,,CEDAR-PLACE-000001-6S,Keex Kwan Gaming – Bingo,AKNF-VLKAKE-00-SEALSK-TLNGHD,Kake,AK,current,AKNF-VLKAKE-00-SEALSK-TLNGHD,CE-0006Y-JE,A,inherited from gaming_facilities.CCP-686900.entity_tier,0,24,1,1,0,0,0,0,0,0,0,0,0,4,24,0,0,0,0,0,0,0,0,3,2,MODERATE - 2-3 sources,2026-09-01
CCP-544800,,CEDAR-PLACE-000006-4P,Wind Creek Wetumpka,TRBF-POARCH-00,Poarch,AL,current,TRBF-POARCH-00,CE-0018H-JJ,A,inherited from gaming_facilities.CCP-544800.entity_tier,0,227,4,1,0,1,0,0,0,0,0,0,0,50,227,0,0,0,7,7,0,0,0,6,2,STRONG - 4+ independent sources,2026-09-01
CCP-1291900,,CEDAR-PLACE-000015-TQ,Del Sol Marketplace,TRBF-PSQYQI-00,Pascua Yaqui,AZ,current,TRBF-PSQYQI-00,CE-0018S-2T,B,inherited from gaming_facilities.CCP-1291900.entity_tier,1,11,2,1,0,1,0,0,0,0,0,1,0,10,11,4,20,1,2,2,0,2,0,12,2,STRONG - 4+ independent sources,2026-09-01
CCP-805000,,CEDAR-PLACE-000029-EN,Lehi Community Building,TRBF-SRPMCP-00,Salt River,AZ,current,TRBF-SRPMCP-00,CE-001AT-JK,B,inherited from gaming_facilities.CCP-805000.entity_tier,0,29,2,1,0,1,0,0,0,0,0,0,0,5,29,4,24,0,0,0,0,2,0,7,2,STRONG - 4+ independent sources,2026-09-01
CCP-842400,,CEDAR-PLACE-000035-QV,Salt River Senior Center,TRBF-SRPMCP-00,Salt River,AZ,current,TRBF-SRPMCP-00,CE-001AT-JK,B,inherited from gaming_facilities.CCP-842400.entity_tier,0,14,2,1,0,1,0,0,0,0,0,0,0,4,14,4,24,0,0,0,0,2,0,7,2,STRONG - 4+ independent sources,2026-09-01
CCP-930600,,CEDAR-PLACE-000040-NR,Wild Horse Pass Hotel & Casino,TRBF-GILARV-00,Gila River,AZ,current,TRBF-GILARV-00,CE-0014N-PP,B,inherited from gaming_facilities.CCP-930600.entity_tier,0,211,4,1,0,5,0,0,0,1,0,0,0,25,211,2,12,0,0,0,0,2,0,8,2,STRONG - 4+ independent sources,2026-09-01
CCP-915700,,CEDAR-PLACE-000046-SE,Bear River Pump and Play,TRBF-BEARRV-00,Bear River,CA,current,TRBF-BEARRV-00,CE-00127-RR,B,inherited from gaming_facilities.CCP-915700.entity_tier,0,33,2,1,0,1,0,0,0,0,0,0,0,18,33,2,12,0,0,0,0,0,0,6,2,STRONG - 4+ independent sources,2026-09-01
CCP-1129300,,CEDAR-PLACE-000052-X4,Canyon Lanes at Morongo,TRBF-MORNGO-00,Morongo,CA,current,TRBF-MORNGO-00,CE-00178-Q1,B,inherited from gaming_facilities.CCP-1129300.entity_tier,0,20,3,1,0,1,0,0,0,0,0,0,0,19,20,3,10,0,2,2,0,0,0,8,2,STRONG - 4+ independent sources,2026-09-01
CCP-250100,,CEDAR-PLACE-000060-DC,Coyote Valley Casino,TRBF-CYOTEV-00,Coyote Valley,CA,current,TRBF-CYOTEV-00,CE-00140-R9,B,inherited from gaming_facilities.CCP-250100.entity_tier,0,285,4,1,0,4,0,0,0,0,0,0,0,25,285,1,19,0,2,2,0,0,0,8,2,STRONG - 4+ independent sources,2026-09-01
CCP-249900,,CEDAR-PLACE-000065-GS,Eagle Mountain Casino,TRBF-TULERV-00,Tule River,CA,current,TRBF-TULERV-00,CE-001BM-KD,B,inherited from gaming_facilities.CCP-249900.entity_tier,2,327,4,1,0,1,0,0,0,0,0,0,0,25,327,4,20,1,1,1,0,0,0,10,2,STRONG - 4+ independent sources,2026-09-01
